product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
dataslayer,Very good tool for save reporting time. ,"I think it's a very good tool for reporting teams, save a lot of time.",Jose Luis S.,4.0,"May 31, 2024",It's cheaper than others similar tools. The support team is very good (and in speak Spanish if you want.) It has lees limitations on their subscription plans than others. Good relation between price and quality.,Sometime connectors don't work. But in most cases it's a problem with data sources.,Director,Marketing and Advertising,Used the software for: 2+ years
dataslayer,"I've been using it for a short time, and I absolutely love it!",It has been a great experience. It was very easy to start and set up.,Raquel A.,5.0,"February 17, 2025","With Dataslayer, I can accomplish things that I couldn't with other connectors, allowing me to create more comprehensive reports in Looker Studio. I’m automating reports in Sheets so employees can have data available at all times, helping us save time on manual work.",I don't have any contra. It has been a great experience.,CEO,Marketing and Advertising,Used the software for: I used a free trial
dataslayer,Great tool,,Charles L.,4.0,"March 30, 2026","It is very easy to use and the data sent is accurate and reliable. The setup process is straightforward and quick, making it simple to implement even without deep technical knowledge.","I haven’t encountered any major issues so far. If anything, there could be more advanced customization options or additional documentation for complex use cases, but overall the tool works very well.",Chargé d’acquisition,Higher Education,Used the software for: I used a free trial
dataslayer,Sorry excuse for a software,,Verified Reviewer,1.0,"January 21, 2026",They are easy to find on a Google Search and have no problem taking your money without offering any form of support or resolution.,The platform is ineffective and lacks more qualities that other competitors provide. Customer service is severely lacking and they hide behind T&Cs with no care for their customers.,Paid Media,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Great Experience with Dataslayer,Dataslayer and their team has been great! Their support team is quick to answer questions and assist.,Brad M.,4.0,"September 5, 2024",Dataslayer is easy to use and connect to Looker Studio. This makes it simple to create well designed reports for clients.,There are a few reporting metrics that are missing from Klaviyo (new connection at time of review),Founder,Marketing and Advertising,Used the software for: I used a free trial
dataslayer,Dataslayer over Supermetrics!,Amazing service that I am completely happy with.,Dan K.,5.0,"August 7, 2024",The customer service and ease of use. It is much more reliable then Supermetrics.,The integrations could use additions. They however are doing their best to add what we need.,Associate Director,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Great for avoiding API connectors and just worry about data!,,Alejandro D.,5.0,"May 31, 2024","Dataslayer compared with their competitors is cheaper, and not just that, they offer a great support and have a lot of API connectors.","Sometime ago, they did have a UI which I was not very fan of, but they modernized and changed it! It's great now.",Data Analyst,Marketing and Advertising,Used the software for: 2+ years
dataslayer,a helpful tool,"easy to use, great support to fix tools.",nadia lucia F.,4.0,"May 31, 2024",the facility to use and the fast support via email.,the diferences between costs in platforms (like google ads) and dataslayer import (i think for the exchange rate USD-ARS).,Operative director,Marketing and Advertising,Used the software for: 6-12 months
dataslayer,I won't considerate other options,They are very happy to help us in every need we might have,Blanca Ester L.,5.0,"May 20, 2024","They have an amazing customer support, communication is so easy and they are always ready to help us to create the queries we aren't able to. In adition they are always happy to learn more about aur needs and to be propposed with new sources to be created.","It is not about Dataslayer bu about the change of KPIs names in the platforms, since they do the reporting more complicated",PPC Manager,Marketing and Advertising,Used the software for: 2+ years
dataslayer,Great Value for the Money,"I love dataslayer. For the money, I wouldn't change a thing.",Jeremy R.,4.0,"May 31, 2024",Dataslayer performs essential functions for managing my digital advertising campaigns.,It can be a little clunkier than the industry-leading tools.,Founder,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Dataslayer: Una Herramienta Imprescindible para Mi Trabajo,"Excelente, es una herramienta indispensable en mi trabajo. Me sirve para obtener información y analizar tendencias.",Noelia B.,4.0,"May 31, 2024",La rapidez de exportar los datos. La automatización. Las métricas y dimensiones disponibles. Y el soporte técnico.,Que las url de las imágenes de los posteos se venzan.,Marketing digital,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Best product for pulling data,,Adi I.,5.0,"January 31, 2024",Easy to use Fast Best value for money I search a replacement for supermetrics and it is the best,Nothing it is really have no cons only pros,PPC manager,Commercial Real Estate,Used the software for: I used a free trial
dataslayer,Herramienta de extracción de datos para todos,,Raul P.,5.0,"June 12, 2024","me parece que es una herramienta sumamente sencilla, he intuitiva y es accesible ya que tiene planes que se ajustan a todos.",creo que deberían tener una guiar donde expliquen que datos se pueden combinar y cuales no en una misma consulta.,Data Tech Solutions Developer,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Totally recommended,"100% recommended to work with paid and organic dashboards in Looker. They have a lot of connectors, the price is quite good, and customer support is excellent.",Neus P.,5.0,"May 17, 2024","The number of connectors. The price. Easy to use, easy to connect and set up connectors and sources. Excellent, brilliant and fast customer support.","Google Ads connector doesn't give me a metric that are in the Google Ads platform, but right now I don't need this metric so i don't miss it.",Performance Manager,Alternative Medicine,Used the software for: 1-2 years
dataslayer,Dataslayer review,Pretty good. I have been using it for 2 years now,Bautista T.,5.0,"May 31, 2024",The select all accounts feature! It’s a life saver,When duplicating google sheets it isn’t essy to change account and not breaking the query,Data and Tech specialist,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Dataslayer Review,,Ignacio A.,4.0,"June 4, 2024",Its very usefull to connect diferent sources and create multiple dashboards for reporting and visualization,"the refreshing proceses could be better, also if there are multiples users trying to refresh a google sheets",Marketing Specialist,Marketing and Advertising,Used the software for: 6-12 months
dataslayer,Good connector for our marketing campaigns,,Fernanda F.,5.0,"May 31, 2024","- Ease of use, integration with Google Sheets make us centralize everything in a single spreadsheet. - Reduced the time spent generating reports.",- Maybe the pricing could be more affordable for countries that don't have USD as their main currency.,Head of Marketing,Information Technology and Services,Used the software for: Less than 6 months
dataslayer,A must have tool for data visualization,,Eynar P.,5.0,"May 31, 2024","Its solid as a rock, you can rely on getting your data everytime","Can sum up more tools as connectors, its hard to deploy",Lead consultant,Marketing and Advertising,Used the software for: 1-2 years
dataslayer,Improvement in Data Collection and Linking,,salvador A.,5.0,"May 31, 2024",The ease with which it collects and links data and accounts.,"Sometimes the system is slow or doesn't provide the necessary data, but the next day, for example, it works fine again.",publicist,Online Media,Used the software for: Less than 6 months
