product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
plezi,Perfect for small marketing team !,,Aurore B.,4.0,"August 11, 2021",Easy to understand once you get the training with the team. The customer service is really great and available at any time. You're not alone to understand how it works.,Maybe the whole setting at the beginning takes time and could be a little tricky. But at least it's to get a full personnalized platform,Responsable communication,Real Estate,Used the software for: 6-12 months
plezi,"Ease of use, great features and amazing support team",My overall experience with Plezi is great. I recommend it to my clients and I love working with the software and together with the support team to implement next-gen marketing campaigns.,Cédric C.,5.0,"August 2, 2021","I like the ease for the set-up, some unique features like the smart campaigns and the efficiency in deploying classical but nonetheless indispensable features such as landing page creations, marketing automation tools and reactive support on the chat.",I sometimes experiences bugs but they were always quickly and efficiently fixed. The team is working hard to deploy the next important features such as connectors with third-party apps.,CEO,Marketing and Advertising,Used the software for: 6-12 months
plezi,A very powerful tool which would need a bit more personalization features. ,I am happy to have this tool. Special shoutout to Nabila who is the best one to take care of us when we need any information.,Sofiane D.,4.0,"August 5, 2021","Really easy to use. The software is very powerful. I really enjoyed the Happy Academy and the disponibilité of the all team. Anytime you've got a problem, Plezi teams can solve it SUPER QUICKLY.","The features to personalize landing pages and emails are still not very different. It would be great to be able to change the font, the shapes...",Marketing & Communication,Computer Software,Used the software for: 1-2 years
plezi,Plezi : let there be the perfect marketing automation tool !,,Fanny B.,5.0,"March 10, 2017","Plezi means ""Pleasure"" in Haitian : it sums it all up ! Everything about Plezi is a real pleasure. - The tool is more than easy to use - the way features are designed represents a huge gain in time and productivity - everything you need is there : you can administrate your emailing campains, all your marketing automation, post on social networks, post all your contents (ebooks, blog...), design your newsletters/landing pages... Using Plezi is just like having you own MacGyver Inbound Marketing Tool ! And as we all know, MacGyver is great ! - Cherry on the cake : the team behind Plezi is Great ! Always available, nice... it's the first time I'm sad to reach the end of a support conversation Thanks to Plezi my job as marketing manager is more efficient and easy. I have significantly increased my results in terms of generated leads, conversion and adhesion rate.","The reporting section is not perfect yet and needs to be improved. But it's on the Plezi Road map for the next month, so I'm not worried but mostly impatient to discover the new reports.",Responsable Marketing et Communication,Management Consulting,Used the software for: 1-2 years
plezi,Plezi is the best solution for inbound marketing,,Corentin D.,5.0,"September 6, 2021","The product is quite complete, with regular updates and is a must for successful inbound marketing campaigns. The automatic newsletters with blog posts that adapt to those who receive them is great",Some bug on analytic graphics. Sometimes a little difficult to understand in the workflows. The fact that you can't open individual contacts in a new tab (you have to open it over the list of all your contacts). Adding contacts to an automatic newsletter is very complicated if you don't enter this list from the beginning.,Digital Marketing Manager,Information Technology and Services,Used the software for: 2+ years
plezi,Nice app for marketing automation!,"We are just starting to work on marketing automation and Plezi is just perfect for that. We're still integrating the tool for all our websites but as far as we used it now we can yet know what our customers do on our website, check their scoring and start a customized approach to offer them our products.",Verified Reviewer,4.0,"November 5, 2016",The best customer support I've ever met! They are always available and super helpful. They find a solution within the day and are even super nice and funny! The app is super easy to use and they are always working on new features.,We miss to have a big dashboard with all the figures without filter the data manually (would be nice to create our own filtered report and see it on the homepage by user).,Responsable Marketing et Evénementiel - Community Manager,Computer Software,Used the software for: 6-12 months
plezi,Plezi is the right partner in marketing automation,,Robert H.,5.0,"July 27, 2021",It gives structure to organise your marketing automation & to measure your performance and improvements,Marketing automation is not magic but if you work to make it work ... it works and the magic happens,Director,Marketing and Advertising,Used the software for: 1-2 years
plezi,R2B Review,"Plezi is perfect for our need. It’s not a big toolbox, but a well thought application that do exactly what I need, and quickly ! To have all I need in one place make it so much easier to manage my inbound marketing strategy.",Didier F.,5.0,"March 10, 2017",User interface ; Good and responsive support.,"The contact import was a bit boring, but the team was quick to answer and get us through the steps. some more fonctions for contact management would be helpfull.",Dirigeant,Marketing and Advertising,Used the software for: 1-2 years
plezi,Well-rounded marketing automation tool,,Dimitri C.,4.0,"April 19, 2017","Plezi works perfectly fine with the needs of my customers. It's a well-thought toolbox that helps me get all the info I need all in one place. The integration went quite smoothly, especially thanks to the awesome support team. I have yet to explore all functionalities but so far so good !","User interface can be confusing at times, especially reporting dashboard, it takes a while to get used to it.",Used the software for: 6-12 months,,
plezi,A user friendly tool and an excellent support team,,Emmanuelle C.,5.0,"April 14, 2017","Plezi is perfect for our need. It’s not a big toolbox, but a well thought application that does exactly what we need, and quickly ! To have all we need in one place makes it so much easier to manage our inbound marketing strategy.","The contact import was a bit tricky, but the Plezi team is always very quick to answer and get us through the steps.",Chargée de stratégie digitale,Marketing and Advertising,Used the software for: 6-12 months
plezi,Un logiciel efficace dans une stratégie Inbound,"Nous sommes satisfaits de l'utilisation de Plezi au quotidien, qui nous permet d'apporter du business à nos commerciaux.",Clémentine M.,4.0,"August 11, 2021","Un produit facile à utiliser au quotidien, avec plusieurs fonctionnalités intuitives. La connexion avec notre blog nous fait gagner beaucoup de temps, ainsi que la possibilité de publier et programmer des publications en lien avec les contenus sur nos réseaux sociaux.","Au bout de plusieurs mois d'utilisation, une fois que la stratégie est correctement mise en place et fonctionne d'elle-même, on a envie d'aller plus loin, avec de nouvelles fonctionnalités. Peut-être manque-t-il de nouveautés de temps en temps.",Responsable Marketing,Renewables & Environment,Used the software for: 1-2 years
plezi,Solution idéale pour les entreprises qui veulent se démarquer grâce au marketing digital,"J'utilise Plezi depuis 2 ans et en étant seule au marketing pour un groupe international, c'est vraiment un outil idéal pour optimiser mon temps. Les tableaux de bord sont clairs, les données sont très facilement exploitables. La campagne intelligente tourne en autonomie, sans que j'ai à m'en soucier. Je reçois régulièrement des réponses et/ou des appels de destinataires qui semblent vraiment me connaître alors que tout est automatisé. C'était l'une des craintes de ma direction générale lors de la souscription à Plezi, mais cette automatisation a au contraire permis de renforcer la relation humaine avant vente. En 2 ans, j'ai plus que doublé le nombre de leads et ceux-ci sont clairement mieux qualifiés. Les résultats sont indiscutables !",Jennifer B.,4.0,"January 9, 2025","La simplicité de lecture des données collectées via le tableau de bord, le contact et le suivi ultra personnalisé du CSM. L'outil est très complet, intuitif et vraiment simple à prendre en main. Les fonctionnalités automatiques sont faciles à paramétrer.","Toutes les conversions ne sont pas comptabilisées (signalé au support, enquête en cours depuis septembre), le format logiciel web n'offrant pas l'alternative d'auto-hébergement.",Directrice,Building Materials,Used the software for: 2+ years
plezi,Plezi : l'outil pour vos équipes marketing,"Un outil intéressant et plein de promesses pour piloter le marketing et nurturer les prospects. Plezi est facile à prendre en main et pourra, avec une bonne stratégie marketing/sales décidée en amont, être un atout pour votre stratégie d'acquisition/fidélisation de prospects.",Thomas P.,5.0,"December 31, 2024","La simplicité d'utilisation et la réactivité des gens de chez Plezi. La plateforme est plutôt intuitive à utiliser et même si on ne sait pas vraiment comment faire il y a leur Plezi Acaedmy ou le support par chat. Les gens de chez Plezi sont réactifs, que ce soit le support via chat ou notre chargée de compte, c'est appréciable.","L'interface de création de landing pages et d'emails pourrait être améliorée, mais je suis encore sur une version antérieure de l'outil et lorsque la migration vers leur nouveau Plezi sera effective, l'expérience sera meilleure dans cet aspect.",Chef de projet marketing digital,Computer Software,Used the software for: 2+ years
