product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
screendragon,Complete Project Management system.,"Lots of work goes into developing and agency process; It's often a point of differentiation from one agency to another. Screendragon took our business objectives and created a custom platform that activated our unique process and language on top of a seemingly endless list of powerful features. The end result was a flexible, scalable, centralized project management solution that gave us operational visibility across clients and project details. The no-code Admin tool gave further access to customize any aspect of the platform as our business evolved. In the end, what we created together incorporated users across every location, department, partner agency and client.",Greg H.,5.0,"October 27, 2020","1. Access to Powerful dynamic forms which, consequently, is how you evolve from 20 forms to 1. Our final ""Brief"" accommodated print, digital, strategy, media inputs and specificity that formerly required 7 forms. 2. Sophisticated workflows move our forms and files along approval process' that ensure review, annotations and approvals are captured. 3. Custom Rate Card matrices are not common in this space and gave us the ability to create deliverable based rates in addition to standard role based rates. 4. Resource management at he project and portfolio level. Tasks and task management are tied to budgets and are instrumental in how we establish tasks priorities, deadlines and how our resources are assigned. Ultimately, our project initiation process passively generates tasks and a complete picture of how our teams are resourced. From there we just needed to move work around to resources that showed capacity. If all of that isn't enough.. add amazing support to the list. Live support is readily accessible and, as an organization, Screendragon is incredibly receptive to developing new functionality to support their client needs. Amazing partners.","As with any system, be wary of over-engineering your process. We often get in our own way on the road to efficiency.",Director of Creative Operations,Marketing and Advertising,Used the software for: 2+ years
screendragon,SuperDragon,,Eduardo B.,5.0,"March 12, 2026","Once you learn how to use it, it is an amazing tool for proyect management. I could organize my team more efficiently and keep tabs and updates on the tasks each member si working on.",It was not so easy or straightforward to learn the different menus and workflow of the application. The many features make it difficult for a first timer as it is not so intuitive.,Production manager,Design,Used the software for: I used a free trial
screendragon,Good experience and learning opportunity,"Overall, it was a positive experience where I learned a lot about marketing operations and project workflows.",Waldor R.,3.0,"March 12, 2026",I liked working with a platform focused on marketing workflows and collaborating with different teams.,Sometimes processes could feel a bit slow because of the complexity of large projects and the number of approvals required across different teams.,Production Manager,Graphic Design,Used the software for: 6-12 months
screendragon,Simple tool that keeps projects organized,"Overall it’s been a good experience. Once you get used to it, it really helps manage projects and keep teams aligned.",Adriana C.,5.0,"March 11, 2026","I like that everything is in one place, projects, tasks, estimates and time tracking. It helps keep things organized and makes it easier to see the status of projects.","Sometimes it can feel a bit slow and not very intuitive, especially for new users. Some features take time to figure out.",Operation manager,Outsourcing/Offshoring,Used the software for: 6-12 months
screendragon,Best all-in-one work management platform for creative teams,"Great knowledgeable team, easy to work with and so accommodating... and a fantastic product to match!",Verified Reviewer,5.0,"July 14, 2021","It's a brilliant all-in-work management tool for creative teams - the best out there in my experience. We use it to manage our creative workflow - everything from creative briefs, task management, resource forecasting and automated approval workflows for our creative assets. It has everything you need and more!","Nothing but looking forward to some future updates due to be rolled out over the next few months, which will make Screendragon even better.","Marketing, head",Consumer Goods,Used the software for: 6-12 months
screendragon,Screendragon transformed the way we work for the better!,"The level of customer service from Screendragon is outstanding, the team there really go above and beyond to support you and this doesn’t just stop after implementation. We have had a great partnership with them from day one and that continues today.",Tracy J.,5.0,"July 14, 2021","We are using Screendragon as a complete work management tool – project, resource, budget and workflow management. I’ve never come across a tool that does it all and does it all so well. Screendragon does!","It’s a powerful system, the number of features can be overwhelming but at the same time, that’s probably more of a plus than a minus too.",Senior Consultant,Information Technology and Services,Used the software for: 6-12 months
screendragon,Screendragon is a comprehensive solution that helps us manage projects between JWT and our client. ,,Romy P.,5.0,"July 19, 2018","We manage every project for our client, regardless of project type, using Screendragon and have replaced over 70% of project based emails and file transfers. Tracking reviews and approvals through online file annotations provides a clear audit trail of when files are delivered, what the revision comments are and who completed final approvals. We have streamlined and improved the oversight of all projects allowing for team members to jump on and off projects without managing lengthy hand-over and tracking of old email correspondence. The reporting features are powerful in the creation of single project or large integrated campaign calendars, real-time status reports on any project, standard monthly reports on asset deliveries by project and media type and comprehensive budget reports across all projects. All project details are stored and enable projections for annual planning on future projects. Using Screendragon has put us in a position for streamlined communication, clear visibility on current project and financial status, historical learnings from past projects, auditable workflows for reviews and approvals and comprehensive reporting.","While the flexibility of Screendragon is an overall strength, it has proven to be a challenge at times. The software is so robust that we often aren't aware of functionality until we have a specific problem we're trying to solve. It would be helpful to understand the full capabilities up front so we can we be more proactive with our solution.",Project Manager,Used the software for: 2+ years,
screendragon,Complete tool,"Good technical supporto, always open to develop new features and matching with our needs. We work as if we belonged to the same team.",Laura D.,4.0,"October 15, 2020","Integration with other platforms, multiple functionalities, and technical support.","Sometimes it takes too long to develope new funtionalities, and we need to wait until it's approved for all the platform and customers, but it's good though that they understand that matching our needs becomes others benefits.",Branding,Oil & Energy,Used the software for: 2+ years
screendragon,Screendragon is a good project collaboration software.,Ability to categorize and organize assets to share across a Marketing Communications community; unlimited file storage and rapid downloading; control of workflows,Lori M.,5.0,"July 17, 2018","Visual project tracking; excellent and responsive customer support. The Screendragon team works hard to help customize the interface and functionality for users. Excellent storage capacity, and relatively quick downloading.","Although strong as project management software, it is a bit less robust at document management and retrieval. Searching is via an open-text field;. files can be organized according to a behind-the-scenes directory structure, however.",Project Manager/Writer/Editor,Used the software for: 2+ years,
screendragon,Fast and Great Support Team,"My overall experience with Screendragon has been so great that I recommend them with my eyes closed. Great team and always accessible. Also, they will explain and train you with patience. Working with Screendragon has exceeded my expectations.",Katia Q.,5.0,"August 10, 2018","I LOVE this software because it was made exactly based on our needs, process and clients. I am in Miami Florida and my Support team is in Ireland. They are always accessible and ready to help for any new request. Implementation time is always quick and effective.",Since this is a customizable software there might be some features that are not available at the moment but the good things is that they always take those in consideration to improve the software in the future.,Senior Creative Manager,Marketing and Advertising,Used the software for: 6-12 months
