product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
avantra,Xandria will save your time and money,So far my experience was good till now there is no harm for me to manage this will save my time and cost benefits to the customer software it will trigger more alerts and setting parameters.,Ravi K.,5.0,"October 31, 2018",There are user friendly tool which will get more advanced features to configure the alert and monitoring the customer software its easy to use without any issues and easy to manage the software to trigger the alert in every 5 min based on your configuration settings in the tool,There are few additional settings like web dispatcher in windows level need more improvements on the way of configuration was bit difficult.,Consultant,Computer Software,Used the software for: 1-2 years
avantra,Xandria Support 24/7 with tremendous solution.,My experience on Xandria its good to use customer application monitoring it will give the overall alert with description of the issues and path for the solution if they required and finally its a user friendly software no need to worry and also its minimize the cost / support,Ravikumar M.,5.0,"October 16, 2018",Its easy to install the software and configuration of the SAP system without any issues,There are few of the things which are not getting proper configuration on high availability but they are give alternate solution for the configuration of the software,Sap Basis Consultant,Computer & Network Security,Used the software for: 1-2 years
avantra,Xandria experience,,Priscila R.,3.0,"October 16, 2018",it's intuitive and easy to analice alerts,Some reports englobing all systems or between customer are not able to do,Sap basis admin,Telecommunications,Used the software for: 1-2 years
avantra,Xandria Review,,Devi Prasad K.,5.0,"October 16, 2018","The interactive dashboards which alert us on real time basis - helped us to manage file systems, DB tablespaces, System downs etc effectively .",Java updates on AIX couldnt be pushed centrally from Xandria.,Senior Consultant,Mining & Metals,Used the software for: 2+ years
avantra,If you manage complex SAP systems - this is the product for you,"I was truly surprised with this product. The company been around for 20 years with huge list of customers and I've never heard of it before. Anyhow, Xandria is a SAP performance monitoring, operation and management solution. It automated our SAP daily checks and saved us many hours per day. On top of that all of it is reported in a ready to give to management report. So even more saving. We also had issues with SAP solution manager errors and notification being very hard to understand making troubleshooting very hard. Xandria provides detailed errors and notification and perform predictive analysis this notify us on expected future failures so we can prevent them in advance. The installation was really simple, about 10 min per SAP server plus short time for the master and we were up and ready to go within two days. Their engineers are a pleasure to work with. I would highly recommend it to anyone managing complex SAP environments",Kevin G.,5.0,"December 8, 2016",Automated reporting Predictive failures and notifications Daily checks and monitoring,Haven't found one yet,IT architect and developer,Computer Software,Used the software for: 6-12 months
avantra,Syslink Xandria Monitoring Tool,"SAP Landscape, SAP Systems Monitoring has been enabled using the Xandria Monitoring Tool. It was easy to implement and kick off with. Configuring the thresholds for warning and critical alerts is also quite easy and the Syslink Support team is always on standby to help you out with Implementing and understanding the Software.",Vijish A.,5.0,"October 16, 2018","Implementation of Syslink Xandria Tool is very user friendly and easy to adapt. You just need to install the agents, import the requested changes to your Operating System Host and SAP System and that's it, you are ready to go with the most efficient SAP Monitoring. You can configure email alerts which we are currently using to notify the System Administrators about various critical alerts and warnings to identify and resolve various issues in the nascent stage.",We faced some implementation issues with some Windows 2008 R2 machines which might be due to outdated network drivers/adapters.,SAP BASIS Consultant,Computer Software,Used the software for: 6-12 months
avantra,Mine...,rather good,Verified Reviewer,4.0,"October 17, 2018",this helps run SAP in a easier way. Dashboards are good.,"the costs. Today, SAP offer free solutions and there are other cheaper solutions on the market",CEO and Cofounder - TeamWork Architecture & Solutions,Computer Software,Used the software for: 2+ years
avantra,Quality and Quantity ,"We are monitoring our customer's systems in a DevOps environment. We have international customers as well as local customers. Each has a different support model, SLA's, maintenance windows and procedures. With Xandria the effort of managing the system on a technical level decreased and our quality of monitoring, reporting and overall support increased",Theo E.,5.0,"October 16, 2018",The software is easy to use and easy to setup. It has an extremely broad customizing capabilities and it is very well documented.,"The notifications. It's a bit cumbersome to setup and it's not always working 100% as configured, causing multiple iterations and changes to the config.",SAP Technical Consultant,Computer Software,Used the software for: 2+ years
avantra,A Blessing for Basis Administrators ,The business loves the graphs generated in the reports and lot of information that the tool provides is useful for auditing purposes.,Lovneesh N.,5.0,"October 16, 2018",Ease of accessing the portal and the information that the tool provides is amazing. The reporting functionality is very valuable for our customers.,Cannot customise the reports. As in cannot add comments to the reports.,SAP Basis Consultant,Information Technology and Services,Used the software for: 1-2 years
avantra,My Personal Review,,Rohit Y.,5.0,"October 17, 2018","Dashboard, monitoring and real time information",it needs to be more cost effective as licensing is very costly when all the corporates are looking for cost cutting,Subject Matter Expert,Pharmaceuticals,Used the software for: I used a free trial
avantra,My overall experience has been extremely positive.,This software allows us to offer a best-in-class monitoring service to our SAP clients. Internally this software gives my team a single-pane-of-glass to monitor all their systems while providing efficiencies in our organization.,Nick M.,5.0,"March 1, 2018","The best areas of this software are its ease of deployment and ability to customize. Most monitoring products are limited in how they can be used and cumbersome to deploy. Xandria has been quick to deploy within in SAP landscape and customization, once you become familiar with the product, takes minutes.",If I could change one aspect of this software it would be an agent-less deployment. There is no SAP monitoring tool today that offers this so I cannot say that this is an actual Xandria limitation.,Senior Solutions Engineer,Information Technology and Services,Used the software for: Less than 6 months
