product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
motadata_aiops,Meghal Shah-AIOps Review,Over all AIOps is a good product. I am very much relay on AIOps to monitor my network devices and server monitoring.,Shah M.,5.0,"September 5, 2024",Network Monitoring and alert are the good features that i like the most.,"I required network diagram to be created, but this is not in Alops as of now.",Senior Manager-Information Technology,Pharmaceuticals,Used the software for: Less than 6 months
motadata_aiops,Powerful NMS and Health Monitoring tool,AIOps is a very powerful tool for managing network in a efficient manner by administrators. The dashboard has a very good collection of widgets for monitoring and reporting.,Ramesh K.,5.0,"September 27, 2024",Motadata AIOps is a powerful tool to get realtime health status for devices available on the network. It was very useful in bandwidth optimizing as well as preparing a baseline for our network safety. The NCM feature is a very good tool for taking the backups of network devices in a easy process.,1. Use of CDP protocol for network discovery. 2. Use of some protocols which are having flagged vulnerabilities.,Deputy General Manager,Oil & Energy,Used the software for: 6-12 months
motadata_aiops,Commendable expperience with the Motadata tool implementation in state data centre HP,,Devansh J.,4.0,"July 19, 2024","All in one platform as currently we were using multiple tools for the server, network. asset, patch management and monitoring which makes it multiple alert based platforms difficult to manage, with motadata we are projecting the early alert based issues which can help in avoiding the big impactful issues in state data centre.","Currently what i can assume is the session time out and refresh sessions of motadata tool while monitoring, incase of any website going down it generates alert but as soon as the site is up it takes time or needs to be refresh to update current scenario of application.",EMS Admin,Information Technology and Services,Used the software for: Less than 6 months
motadata_aiops,Motadata AIOps and Service Ops,,Arun Kumar M.,5.0,"September 30, 2024",Dashboards and UI is very interactive. Overall software operation is smooth.,Integration with OT & SCADA environment with several customized network configurations,Senior Manager,Oil & Energy,Used the software for: Less than 6 months
motadata_aiops,Motadata review,Motadata is a good product that monitors live and provides timely alerts.,Rakesh K.,5.0,"October 8, 2024","I like the monitor feature, which shows all the data on one page.",There is no shortage of motadata tool from my site.,system administrator,Banking,Used the software for: Less than 6 months
motadata_aiops,good experience ,,Manish T.,5.0,"September 3, 2024","Prompt services, useful NMS tool and good supporting attitude.","We have recently purchased and implemented, Motadata AI_OPS and Service-Ops in our organization",Asst. Manager,Information Technology and Services,Used the software for: Less than 6 months
motadata_aiops,Greate service and support,Great experience with the implement team.,Shrad P.,5.0,"August 9, 2024",Motadata AIOps application dashboard and the support,There is not any such think which be dislike,IT Infra Admin,Banking,Used the software for: Less than 6 months
motadata_aiops,Motadata AIOPS,very useful tool to help us manage and monitor every endpoint we had in our environment,Renaldy S.,5.0,"June 27, 2024",feature forecast can help us to identify and analyze for what will be happen on our environment,doesnt have reprentative in our country to help us more further because language barrier,IT Infrastructure,Financial Services,Used the software for: 6-12 months
motadata_aiops,Best out of AI Product,"Capacity planning is something where we were lagging. Motadata AIOps aided capacity planning by analyzing historical data and forecasting future demands, helping us optimize resource utilization, preventing over-provisioning and unnecessary costs while ensuring a smooth and efficient IT environment.",Yogesh B.,4.0,"February 21, 2024","The platform's intelligent analytics have allowed us to identify patterns and trends that were previously hidden, leading to improved performance and better resource allocation.","A steep learning curve, particularly for AI newcomers, making platform interaction challenging.",Architect,Information Technology and Services,Used the software for: Less than 6 months
motadata_aiops,My go platform for monitoring and logging ,,Verified Reviewer,5.0,"February 21, 2024","The platform's real-time event correlation and root cause analysis capabilities simplify troubleshooting, saving valuable time for IT teams.",There isn't anything we we dislike about motadata as of yet,Network Admin,Computer Software,Used the software for: 6-12 months
motadata_aiops,Monitoring Tool with AI,Very nice tool. Customer support is good.,Perin C.,5.0,"June 12, 2024",Easy deployment. User-friendly. Customization in dashboard & reports.,Device gets disappear from the tool if its status is UNKNOWN. Instead of showing in down state.,Support Specialist,Information Technology and Services,Used the software for: Less than 6 months
motadata_aiops,Powerful Monitoring Tool,,Pratik J.,5.0,"June 12, 2024",Its very easy to use and the interface are very user friendly. We can monitor all the things that our organization is used.,The metric policy setting need to upgrade or need to make user friendly.,Network Engineer,Computer & Network Security,Used the software for: 6-12 months
motadata_aiops,Empowering Proactive IT Management ,"Best Experience as made the work easier, also with the easy way to discovering the profile of the devices adding, getting an alert as per the setting done.",Jinal G.,4.0,"June 12, 2024","Motadata Monitoring Suite offers all the standard features of a monitoring tool, but its standout feature is the advanced Motadata AIOps, which excels in generating comprehensive reports. Additionally, users can customize these reports to meet their specific requirements and receive them in various formats.",As of now there is not as such in which i can say that any cons for using the tool. It has all the features which we want in monitoring,Executive Support Operations,Information Technology and Services,Used the software for: Less than 6 months
motadata_aiops,Motadata NMS & Log Monitoring,,Mohammad F.,5.0,"June 19, 2024",motadata helps in monitoring servers and network devices in terms of availability and utilization and also helps in flexible reporting so that it helps in monthly reporting,Sometimes you still like to find bugs and agents that are less stable,IT Infrastructure,Financial Services,Used the software for: Less than 6 months
motadata_aiops,Feedback on AIOPS,Planning and implimentation are good. Support is also good.,Ramajogarao M.,5.0,"June 13, 2024",we can have the required licenses as we want,ON cloud should be available as a part of eliminating the On-premises Hardware,Sr.Manager,Automotive,Used the software for: 6-12 months
motadata_aiops,Motadata AIOps ,,Surojit M.,5.0,"June 13, 2024",Enable a shift to proactive IT. Predict and prevent incidents before they occur Saves Time & Effort by Automating Repetitive Tasks,Excellent User Interfaces with customized Dashboards. Ease of deployment & Configuration. Excellent support from the AIOps engineers,IT Support Specialist,Information Technology and Services,Used the software for: Less than 6 months
motadata_aiops,AIOPS- The Ultimate Monitoring Solution ,,Umesh M.,4.0,"June 13, 2024","Motadata helps in monitoring the devices accurately, also the tool helps with agent less monitoring which is a good concept. Further the observability of the tool has a high potential to monitor any devices.","In the tool there is only one cons that the tool don't support Nutanix OS, bur have heard that the upcoming version has this included.",Senior Cloud Specialist,Information Technology and Services,Used the software for: Less than 6 months
