product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
appian,Business Process Management Suite - Appian,,Wayne F.,5.0,"July 14, 2020","The most powerful feature of this platform for us was the ability to integrate seamlessly into quite a number of upstream and downstream systems using a variety of integration methods (connected systems, pub/sub methods, web services of various types and shared data among others). With thousands of users working across complex, often long-running business processes, this was a key enabler.","Recent releases have added capabilities only to the Appian Cloud based product, would like these also available to on-premise installations.","Manager, Architecture Strategy",Telecommunications,Used the software for: 2+ years
appian,IT Solutions Architect ,"Over experience is good and easy, Appian tec team helped our team to build web services to get live data from Appian to our host system.",Kondaiah N.,4.0,"December 7, 2025","Easy for trucks route planning, modeling for retail whoole Route Planning, Modeling & Design sale Distribution , and easy to het real Time Data theough apis.",Application is not having ability for cuatomers to Custumize dashboard reports available for tracking truck status.,IT Solution Architect,Retail,Used the software for: 1-2 years
appian,Appian feedback 2017,"Good workflow, Still to mature into a robust tool with better ui capabilities + performance monitoring and debugging capabilities",Parag S.,3.0,"April 3, 2017",Good workflow capabilities,Very basic ui Immature deployment and monitoring capabilities,Development director,Financial Services,Used the software for: 2+ years
appian,Best software ever to build and design business workflows,It releases new features and functionality in every quarter of the year to keep up with the cutting edge technology.,Varnika M.,5.0,"July 25, 2022","Low code platform so minimum coding is needed and turn around time to build and design workflows, user interfaces, reports, and dashboards is low.",Appian is inefficient to handle enormous amount of data.,Senior Associate,Management Consulting,Used the software for: 2+ years
appian,Great for rapid application development,I was able to quickly standup useful business applications with Appian that has helped my department become more productive in day to day tasks.,Verified Reviewer,4.0,"March 30, 2021",Appian's rapid application development capabilities allow you to quickly standup a production ready application with a user interface and business workflows.,"Some of the things involved in application development are not standards based. It feels like I have to learn a new programming language, although it is quite simple to learn.",Solutions Architect,Financial Services,Used the software for: 1-2 years
appian,Appiam alow code no code great tool,"Excellent, but requires more tools to model data flows.",Sudharshan K.,5.0,"December 24, 2023",Excellent administration dashboards.user setup was very easy.,Single instance setup is tpugh takes 40 minutes to update a patch in windows.,Ceo,Computer Software,Used the software for: 1-2 years
appian,Best lowcode app development platform in the market!,"Banking sector projects, healthcare projects",Khemraj S.,5.0,"October 14, 2022","It’s easy to setup integrations with 3rd party systems, prebuilt standard layouts and UI components & powerful process model capabilities are excellent.","UI customisation should be improved, as we can use only standard components with standard functionality.",Sr Consultant,Computer Software,Used the software for: 2+ years
appian,Hugely Effective BPM Tool with Ever-growing features! ,"I have been working as a developer on Appian for almost 2 years. This tools has been there in my organization for around 5 years now. We have replaced so many tools in BPM but this has always remained intact solely because of it's user-friendly approach, easy to learn and build and it's huge market dominance. I picked up the tool and got going with it in a week's time. It's so easy to learn it. Also, the kind of capabilities and features it provides and the overall UI has kept customer satisfaction levels in my organization at an all time high!",Verified Reviewer,5.0,"May 29, 2021",This is the best BPM tool I have ever worked on. We are using it in our organization for 5+ years now. Features I like the most are : -Easy to learn and use. -Deployment suite is super nice and easy. -UI is very user-friendly and even a beginner will not have much difficulty in understanding and hovering around the tool a little bit. It's that easy! I was able to learn it in a week's time. -They are now also adding RPA features in the tool which makes us remain on the same tool skill set yet move around other BPM related industry capabilities like RPA and AI.,It might be a little costly for small and medium enterprises. I can't think of anything else.,Intelligent Automation Developer,Financial Services,Used the software for: 2+ years
appian,Tasks meets process ,Appian is used for approval of various users and services and has a set up where role based/level based approvals are handled.,Verified Reviewer,4.0,"August 10, 2022","Appian has functionality for users, where various functions can be created as per the process.",Appian sometimes is slow because of large user base and data activity.,Analyst,Financial Services,Used the software for: 2+ years
appian,Appian User,"BPM tool is nice to use , RPA and other features are available in the tool and i have not used it yet.",Verified Reviewer,4.0,"December 22, 2020",Installation and configuration is easy. Maintenance is easy and upgrades are easy. Platform contains latest technologies.,Expression builder is a tough debugging ask. Design considerations are to run deep. Database design considerations are also to run deep to maintain developers ease to debug and update.,Software Engineer,Computer Software,Used the software for: 6-12 months
