product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
django,Django_Review,,Constantin A.,5.0,"November 4, 2023","Django is a very useful Python web framework that excels in productivity, providing built-in features like automatic admin interface, authentication, and form handling. It is very good and a secure and efficient choice for web development.","Django's learning curve is a Calvary for beginners due to its complex structure and advanced concepts. Despite its performance, it may not be the best choice for applications requiring extreme performance, such as real-time apps. If the developers can work in this line, it will be perfect.",Developer,Computer Software,Used the software for: 2+ years
django,Django - The only framework more powerful than a Swiss Army Knife,"Overall, Django is a loyal companion that is clearly ahead of other frameworks such as Flask or Pyramid. Not only in terms of functionality, the modulatity through the plugin system, the native file and user management system (the list could go on endlessly at this point), but also the continuous development and the scope for customization impress in its entirety. For this reason, it can be confidently stated: ""Django is the Swiss Pocket Knife among Python frameworks for web applications"".",Marc F.,5.0,"October 28, 2022","Django is one of the few, if not the only Python framework that is suitable for web applications.Django convinces through the integrated data and user management system, which is natively integrated.Equally impressive is the model-view-controller principle, which makes it possible to separate the frontend, the logic and the data management of a web application cleanly.Likewise, the plug-in system for the integration of applications and their functions enables extremely light and versatile design options.","Actually, there are no real problems with Django. The only problems from Django itself come from the rapid evolution of the surrounding environment. For example, Django is traditionally designed for relational- but not for NoSQL-based databases. Embedding graph-based data, e.g. in the context of social networks to link users or directly analyze data structures using Neo4j, remains quite tricky at the moment, although it is possible and the logical next step for Django to implement.",Ph.D. Student,Research,Used the software for: 2+ years
django,Django is reliable solution ,Overall i like django development,Verified Reviewer,2.0,"October 1, 2022",Fast api development and fast modal Creation,Slow in page rendering and data upload .,Web developer,Animation,Used the software for: 6-12 months
django,Solid multi-page application framework,"Positive for our multi-page SaaS, but we have moved on to more modern stacks/frameworks for our SPAs.",Eric C.,5.0,"March 16, 2025",We use it for our multi-page SaaS application. Works well for this with a great ORM and acceptable templating language. Can also use the DRF (Django Rest Framework) if you wish to use it for a REST API backend.,"As we have moved to a React single-page application, we decided against Django for the REST API are there are more modern options available. If you were to stay with Python you could also consider Flask.",Engineering Manager,Education Management,Used the software for: 2+ years
django,Default choice of web framework in the Python world,"Django is my default solution when it comes to building a Python web application which will use a database. It's very enjoyable to use, and enables to quickly produce a lot of value.",Jacek L.,5.0,"April 8, 2023",Great balance of flexibility and structure. Enables to quickly create complex solutions. Excellent documentation. A lot of available material online. Easy to use ORM. Many great plugins.,"Sometimes the documentation is lagging behind. Some features are hidden in 3rd party libraries (especially regarding the forms - e.g. Widget Tweaks) and APIs (rest-toolkit) - they could be integrated in the core, or adopted by the Python Software Foundation.",DevOps Engineer,Information Technology and Services,Used the software for: 2+ years
django,Excellent framework for building content management systems,"Django is suitable for a wide range of projects, from small applications to large-scale websites.",Charles Boampong K.,5.0,"November 26, 2023","Django uses abstracts database interactions, simplifying data modeling.",Django's extensive features can appear to be overwhelming if you are new to Django.,Software Engineer,Computer Software,Used the software for: 2+ years
django,Best open source python framework ,We were using PHP stack and we transformed all our applications to django framework because it’s inbuilt libraries and security and we are quite happy after that,Verified Reviewer,5.0,"September 25, 2022","Extremely fast, reduce development efforts upto 60%, plenty of libraries to use and best for data analysis forecasting and AI and ML use cases, and highly secure",No direct support for IOS mobile apps working single code base,Assistant Director IT,Retail,Used the software for: 2+ years
django, A Powerful Framework for Building Web Apps,,Ozone B.,4.0,"September 24, 2023","Django is a powerful framework that makes use of the Python programming language for building fast and scalable web applications. Just out of the box, Django provides decent security protection, SQLite3 database, an admin panel, a User model, groups and permissions, and many other features. It makes use of the Jinja templating engine for building dynamic web apps and has its own ORM which is very intuitive and easy to understand. It can also be used for building REST APIs and GraphQL APIs with tools such as Rest Framework or Graphene, which is a popular practice for building web apps nowadays. The use of Python language also makes the code more readable and easy to understand.","By default, since Django comes with a lot of features, multiple files, and a large settings file, it can feel overwhelming to initially get into. It might also not be the best tool if you are building a basic application, for which alternatives like Flask and FastAPI may be better choices.",Jr. Full Stack Developer,E-Learning,Used the software for: 1-2 years
django,a versatile python based framework for programmers,Overall I have enjoyed using Django the convenience of its versatility to make multiple projects.,Verified Reviewer,4.0,"October 22, 2022","The versatility of it for making web based applications, ML projects, train ML model.","As there are libraries and Danjo's own SQLite based backend, which is great for beginners but does in a makes new learner take for granted.",marketing supervisor,Marketing and Advertising,Used the software for: 2+ years
django,Easy to develop web apps,"I am a self-taught Django developer, it has a huge community of developers. Your queries will get solved easily. creates web apps faster with ORM support.",Verified Reviewer,5.0,"October 2, 2022","Inbuild admin panel, robust security features, lots of third-party libraries for frontend customization.",Very less websites with free deployment.,IT Engineer,Information Technology and Services,Used the software for: 2+ years
