product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
knack,Sky is the Limit,"Fantastic. We had worked to solve problems for no less than 24 months prior to our introduction to knack. From the time we started with knack we had a minimum viable internal product within 90 days and a customer facing web-portal (providing sales, project, and invoice detail) in 180 days. With knack we have have saved an immeasurable amount of time and resource.",Adam C.,5.0,"August 4, 2019","Very simple to solve for Secure, HIPPA, PCI compliant user logins. Ability to pivot large data-set with simplified permission based views - no incremental expense for additional users / views / roles.","Support. Our reliance on knack is significant in pre-sale functions and as a result, when it breaks we have always defined the solution (or created the work-around) several days before a knack tech gets around to responding to our requests.",Managing Director,Telecommunications,Used the software for: 6-12 months
knack,Great Zero Code Front End App,"I really enjoy it. It can serve so many functions. It's a great tool that I wouldn't want to be without. Support has been great as well, and they are constantly working on new features. It's affordable as well. I think the price is a massive win and what help prevents us from even shopping around.",Cary K.,5.0,"May 28, 2025","It's flexible, but not so much that you lose control. It's a great tool to get a project up and running very quickly, but can support a lot of more detailed interaction with Flows and the API.","It's sometimes complicated to do complicated actions between tables, but if you have the cash, Flows will allow you to do it without too much complication.",Info Sys Mgr,Education Management,Used the software for: 2+ years
knack,"Refused to cancel after free trial, said email was inadequate notice of intent","Very Bad. Trifecta of petty, greedy, and dumb.",Alan C.,2.0,"June 6, 2024","Sounds like it might be easy to use, could obscure a lot of development detail.","Didn't really get a chance to use it, and forgot to cancel within the 30 day window. OK, I'm out $25, my fault and I don't have a problem with that. So I reply to one of their inquiry, follow up sales emails, say I need to cancel, I can't use it, WELL within the second ( the first PAID ) month that I am subscribed. So I assume they might refund the first month out of goodwill, but of course they are not obligated so I don't mind if they don't. But -- fun news-- despite TWO emails in that 2nd month requesting cancellation, ( I am not using it and not loading their servers or using their tech support in any way whatsoever, it cost them zero to have me subscribed and not even logging on) They Bill me for a SECOND subscription month , because i didn't go through some ""cancellation process"". If they are too dumb to prefer the extra $25 they scrounged off me to maintaining good will public image, I can't imagine they have personalities I want to deal with long term.",Principal,Education Management,Used the software for: Less than 6 months
knack,There's a KNACK to it!,"I have created a number of applications in Knack over the last 3 or 4 years. I am not a 'tekkie' but I have a consulting/process background and I find it reasonably easy to create at least the basic infrastructure of apps and I have a Knack 'expert' who completes the work You may want to think about making standard apps available for a number of quality management areas like quality management, risk management, compliance management et al. I have created a number of them as I found whats on the market to be expensive and not really flexible enough. Just a thought. Happt to discuss",Frank H.,4.0,"May 1, 2025",1 You dont need to be a developer to create apps in Knack. I like how easy it is to create Objects/Fields and then with Pages which makes it easy to construct screen views 2. Role based access complements workflow and embeds process responsibilities 3. Built in Reporting using graphics /click throughs 4 Online access makes it easy rather than having an in-house team supporting an instal version 5 Security - very important in my case in Healthcare - and ability to configure,I get periods of latency - Im in the UK so it might be a server location issue. Not a huge issue but one you should be aware of,EVP Quality Risk and Compliance,Computer Software,Used the software for: 2+ years
knack,Knack.com Review,"Overall, Knack is the best and most cost-effective database solution.",Martin S.,5.0,"April 15, 2025",Building basic or complex databases is easy for small to medium businesses.,Keeping track of changes in the database. There is no log that keeps track of changes made in the database builder.,Engineer,Civil Engineering,Used the software for: 2+ years
knack,Easy to use,"Very easy to use and online support is great, with good knowledge available in the forums also. Developer docs have come in really useful lately as I expand the app",Chris G.,5.0,"May 28, 2025","Ease of setup, very quick to get started. Had an app published pretty much straight away, and have been building on it since.","Not too many cons to be honest. I would have liked to be able to set up relational tables, but have worked around that.",Data manager,Hospitality,Used the software for: 2+ years
knack,Awesome Knack,"My experience is very good, and I am satisfied with the Knack app.",Navlok G.,5.0,"April 14, 2025","We have been using Knack for the last two years, and making websites on Knack is super easy. The new feature, ""Flow,"" is going to get us super excited. It also provides various helpful features to automate workflows. Knack can integrate with various other tools, so it makes it more handy.","Sometimes, people may find it difficult, but if we have invested time in our designing part, then it is very easy to work and design the app on Knack. If you are not able to implement any functionality with the help of the given features, you can also write your code, and it blends very well with the app. The thing that I am missing that it does not allow to copy the components between different apps. You can copy an app but you can not copy a component from an app into other app.",Software Development Manager,Legal Services,Used the software for: 2+ years
knack,Amazing! Knack is really easy to use to build your database application.,"The first time I used Knack about 10 years ago, I never considered myself a programmer and did struggle setting up my first application. One of the Knack team members offer to copy and make some tweaks to my app to get my going. If you need any assistance, their support team is great. Always quick and will work until the problem is resolved.",Verified Reviewer,5.0,"April 12, 2025","As advertised, you can have a professional database application up and running with no coding. I used Knack for about 10 years on different projects and have always been satisfield.",I never had a situation or lack of feature that prevented me from building an application.,President,Electrical/Electronic Manufacturing,Used the software for: 2+ years
knack,Fund Development Director,"I haven’t been a member long enough to provide a comprehensive assessment, but the initial impression is positive. The platform demonstrates strong potential to meet our needs, thanks to its flexibility and useful features.",LaQuita G.,4.0,"June 2, 2025","Knack offers a highly customizable platform that can be tailored to a wide range of needs, making it adaptable as our organization grows or changes, providing the flexibility we need. The discounted pricing for non-profits is a major plus, helping us stay within budget while tracking the data we need to manage projects and grants. The built-in ability to schedule events is a great time-saver, streamlining our workflow and replacing Eventbrite; this allows us to manage both the event and project together. Knack appears to be an all-in-one solution to date, offering us the potential to consolidate multiple tools we currently use, simplify processes, and reduce the need for separate systems.","While powerful and flexible, Knack has a steep learning curve. It can take time to understand its full capabilities and set up complex workflows, especially for users without prior experience (members of our team) in database or app-building platforms.",Fund Development Director,Non-Profit Organization Management,Used the software for: I used a free trial
knack,"Knack, the great....but could be epic.","I have been utilising Knack since 2019, it is mostly great but with some caveats.",Luke H.,4.0,"April 12, 2025",Flexibility in customisation and ease of data transference between Knack itself and to other systems.,No offline mode and no setting maximum records consumption per each app.,Founder and Digital Consultant,Design,Used the software for: 2+ years
knack,Knack Review,Great! Knack has given us the ability to quickly spin up new objects and solve issues in a timely manner,Luke J.,5.0,"April 18, 2025",I love the customizations you can do on the front end. Additionally the ability to connect multiple objects has been great.,The documentation of formula functions We use a lot of formula functions and it can be tricky to dial them in based off of docs.,Data Engineer,Logistics and Supply Chain,Used the software for: 1-2 years
