product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sublime_text,Ideal for Mac users.,"Love it. If I want a very light, fast, easy to use editor for Mac Sublime is a no-brainer. Can't recommend it enough.",Phil R.,4.0,"November 29, 2025","It's free, it's Mac friendly and it does exactly what you need it to. Very customisable but I often don't need to.",Could have some AI features baked in nowadays. Cursor and windsurf have them baked in but the UI isn't as good.,UX Lead,Design,Used the software for: 1-2 years
sublime_text,Sublime Text is my go to editor especially when working on my Mac Pro.,"Overall I have used products like emacs, notepad++, the built in editor in visual studio and intellij and I prefer sublime text. I really like the new UI in sublime text and I like the fact that they allow you to use the free version for awhile to determine if you like it. I like the try before you buy.",Gene B.,5.0,"September 11, 2025",I like the ability to split the pane and compare two pieces of software code side by side. I can use that to compare my version to the master version and verify that I only changed what was intended to be changed. I also like the color coding of certain key words which helps me prevent typos in my code.,I don't always like the auto-complete. It gets it right 95% of the time but sometimes it gets it wrong.,Independent Consultant,Financial Services,Used the software for: 2+ years
sublime_text,Sublime Text for over a year,"It’s a great editor when you want speed, simplicity, and control, and it shines for quick development work or clean text editing. Over time, I outgrew it for more complex workflows, but it’s still one of the smoothest and most dependable editors I’ve used.",Rakhi V.,4.0,"April 9, 2026","It is fast and lightweight—especially for quick edits or jumping between files without any lag. The search and multi-cursor editing were also a huge plus, because they made it easy to make repetitive changes quickly without feeling like the tool was getting in the way.","it can start to feel a bit barebones once you need deeper “IDE-like” features such as built-in debugging or richer project tooling. Also, while packages help, managing plugins and keeping everything configured the way you want can take extra effort compared to more integrated editors.",QA Lead,Information Technology and Services,Used the software for: 6-12 months
sublime_text,"Good software, but could be better","Overall I'd say sublime text is very good, but with zed and vscode available and open source, you do not necesarily have to buy a sublime license",Mike G.,3.0,"January 20, 2026",The application is extremely fast compared to VS code. It is extremely user friendly and does not lag when you open large files. It has good programming language support and extension support,"Since sublime text is not open source, it cost money for a license and there are bugs occasionally that wasn't addressed immediately.",Member of Technical Staff,Computer Hardware,Used the software for: 1-2 years
sublime_text,The fastest lightweight text editor for large files and quick edits,"While I use full IDEs for my development jobs, I keep Sublime Text running in parallel for my other tools: note-taking (quick notepad), regex replacement, and the analysis of heavy server logs. I love Sublime for its dependability, minimalist design, and speed.",Verified Reviewer,5.0,"January 15, 2026","The performance is second to none. It opens immediately and works with huge log files (size in GBs) without crashing, a problem other IDEs have. The Multi-Edit / Multi-Cursor tool is a Godsend for immediate refactoring or working with data lists.","Unless you have bought a license, the 'Unregistered' alert that pops up every so often can be irritating. Furthermore, compared to the current extension market places available with VSCode, using Package Control to manage plugins seems dated and less user-friendly than current systems.",Software Engineer,Information Technology and Services,Used the software for: 1-2 years
sublime_text,"My First Coding Tool – Still Love It, But No AI Support Hurts","Now I use VS Code for most of my development work, but I still have a soft corner for Sublime. It helped me build my base in coding. For someone who’s starting out or wants a fast and distraction-free editor, Sublime Text is still a great option. I’d definitely recommend it for beginners or even experienced devs who want speed.",Sameer R.,4.0,"July 18, 2025","I started my coding journey with Sublime Text, and honestly, it was perfect for a beginner like me. I loved the colour combo and clean interface — very smooth and easy to use. It never lagged, even on my older laptop, and opening big files was super fast. It gave me a nice push in the beginning.","One issue I faced was that some advanced features are locked behind the paid version, so for full functionality you have to purchase it. Also, when I moved to VS Code, I realised Sublime is a bit limited — especially in terms of extensions and integrations. The biggest drawback for me was the lack of AI support. It doesn’t have built-in tools like Copilot or Blackbox, which are now very useful in modern coding.",Student Developer,Information Technology and Services,Used the software for: 1-2 years
sublime_text,Lightweight application full of potential,"It is an amazing application, and I use it as my main note-taking application due to the fact that it is very lightweight and capable of opening huge files.",Nuno P.,5.0,"September 21, 2025","It is a very lightweight tool that has a variety of uses, such as a note-taking application or a mostly complete IDE with code highlighting and formatting.","Managing packages is somewhat complex, as it requires navigating to the file explorer to manage all the packages.",Senior Backend Developer,Financial Services,Used the software for: 2+ years
sublime_text,Great if you do not need AI,Great up until I needed to integrate AI into my daily workflow. I would love to go back to using Sublime Text if/when they ever fully support AI coding agents.,Sarah T.,4.0,"December 6, 2025",I like the simplicity and straightforwardness of the Sublime Text editor paired with the flexibility of being able to install the packages I care about.,"Unfortunately, the app is behind the curve in terms of integrating AI with the IDE. I ended up switching to a competitor because of this.",Head of Marketing,Computer Software,Used the software for: 2+ years
sublime_text,simplistic text program with lots of potential,"Sublime offers a one stop shop text program for editing, viewing, and creating that can be used across multiple platforms.",Ahmad A.,4.0,"April 27, 2025","Sublime is so straight forward and easy to use that you can become an expert after your first use. Since it is so easy to use, you will end up using it for a variety of purposes throughout your day. Additionally, it has a wide variety of features that you have become acustomed to using, giving you a one stop show for a text program.",The tabbing for multiple open documents can become painful to navigate through when you have a large amount of files opened at once.,Full Stack Developer,Information Technology and Services,Used the software for: 2+ years
sublime_text,Simple and easy to use text editor for coding.,I think sublime text is a cleaner and easier to use code based editor. It does everything I need for coding emails and I prefer it using Dreamweaver.,Christopher T.,4.0,"April 7, 2025",I have been using sublime text for editing and writing code for emails. it does everything it needs and has a simpe UI which makes it comfortable to use.,"I had been using dreamweaver for editing and designing emails, which has a split screen view and live preview option which would be useful in Sublime text.",Senior Creative,Design,Used the software for: 6-12 months
