product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
wavemaker,Rapid Application Development? WaveMaker is the answer!,"When having a project of software development for a web-based app, even if short of time or no, WaveMaker is a great choice as will allow you to spend less time on ordinary tasks and let your developers team concentrate more on the business logic and the functionality of the app. It really speeds up the development and reduce the time which would take in average.",Román Josué D.,5.0,"February 20, 2019","WaveMaker is a great studio to develop web-based applications for Java Developers. As it uses the latest technologies and frameworks your app will be up to date for a long term. It uses the MVC arquitecture, on both frontend and backend, and there's a clear separation between this last two. Something I really like is that WaveMaker is like a combination of code generator for the tedious and cumbersome parts, while you still have full control of everything and can change it as required.","I really loved the desktop version, and I'm missing that they no longer support it. My favorite version was the 6.7.0 RELEASE, even if having some bugs, the desktop version was something great!",Data Science Team Lead,Computer Software,Used the software for: 2+ years
wavemaker,Implement large-scale business-specific applications.,,Abdelfattah H.,4.0,"April 28, 2025",I like the fact that WaveMaker is an API-first application and it was easy for me to incorporate several services in my applications. I also learnt how to coordinate API’s and how to manage them which was very instrumental when building complex applications.​,"Sometimes it seemed rather slow to process the data, particularly if the latter is huge in size. That is, possible issues can be improved in terms of response time to the platform during the peak development hours of the project.",Senior Demand Planner,Mechanical or Industrial Engineering,Used the software for: 2+ years
wavemaker,Developed a Leave Management system within weeks for our startup,,Ayesha M.,3.0,"March 14, 2018","It is fast compared to other players in aPaaS space, feature rich and efficient. Its took only weeks to create a Leave management software.","Wave maker can get really expensive, particularly for a start up business like ours. Hope they come up with a better pricing model",Manager,Used the software for: Less than 6 months,
wavemaker,Security capabilities have been reliable and effective,,Marcos Z.,4.0,"May 5, 2025","Satisfactory security aspect of WaveMaker was noted especially with OWASP compliance as well as role base access control. Enabling the authentication and authorization of my applications was easy, and ensured that they complied with the enterprise security baseline.​","When using the platform, I realized that the error messages provided were not specific, and hence making security issues debugging time-consuming. The authors should provide more specific logs or more details regarding errors to help in faster response.​",IT Support Specialist,Media Production,Used the software for: 1-2 years
wavemaker,good but not excellent,"good but not excellent, it has chance to be the best tool",Jakub S.,4.0,"January 13, 2025","intuitive interface, fast app development, integration with various databases, mobile app support, and easy API integration",limited customization options and steep learning curve for advanced features,Consultant,Legal Services,Used the software for: 6-12 months
wavemaker,"Wavemaker is the ultimate development platform, comparing to open source","This platform is most hidden from anywhere in Google search. When you're looking for website, or software development, you come across a patchwork of tools which are haphazardly used to create a workflow. Anything from database schema tools, front end, back end, security all require a tremendous amount of time and effort. Our case use was creating a video sharing service. We analyuzed WordPress, Drupal, and many others which worked with AWS, CloudFront. The primary reason for choosing Wavemaker was we did not need to install anything, or rely on the multitude of dependencies like in WordPress or Drupal plugins and modules. We wanted to create a custom application but we had little time and budget. We went through many RAD (rapid application development) environments which lacked standardization of libraries like jQuery, HTML5, or even multi platform support like iOS, Anddroind and web. We tried everything and virtually every language including PHP. We realized we wanted to work with Java because of its vast libraries which are mature and time tested. With Wavemaker we were using Java but without being stuck in a boilerplate nightmare or manual coding. With wavemaker, we defined our database schema. Then with a very intuitive GUI were able to construct the various screens with this data and make a very quick but fully functioning prototype with fully aesthetic control, and fully responsive. We were able to configure security, users, role, and permissions very thoroughly right out-of-the-box with any additional Java libraries or customizations. If you're familiar with WordPress, or Drupal, then you know that coming to point of a projects require a host of third party add-ons creating the dependency and update process that is perpetual. Java and Wavremaker rarely needs so many updates if at all every few years. While open source and its many varieties claim to be FREE in cost, and ease of development, as well as ease of usage by end users, after looking at Wavemaker, this is far from the truth. The initial cost of open source projects maybe free, but to develop anything of value and enterprise grade is very costly and filled with hurdles. Wavemaker includes everything one could need to create robust applications for the browser, iOS and Android by automating the most routine tasks and reducing the need to code Java by more than 80%. If you must use Java, and I suggest you do, Wavemaker is it.",Zarrar S.,5.0,"September 20, 2016","Ease of use. Every tool imaginable on other open source solutions requiring a plugin or module are already available. The database schema tool is far beyond other third party tools. The GUI form building, data linking, and aesthetic control are that of a desktop app. The level of sophistication is above just rapidly developing and app. Wavemaker is also a very sophisticated IDE for Java. The list of Wavemaker features and uses is beyond the scope of this Capterra entry. Coming from the world of WordPress and Drupal, I have ditched them both in favor of Java and Wavemaker.","In the beginning the price and available features were odd. For nearly $10,000 per year you could acquire a Wavemaker license for ONE app. After some time, Wavemaker now offer unlimited app development for $99 per month. So there are no CONS at this point in my experience with Wavemaker. Customer service is awesome.",Used the software for: 6-12 months,,
wavemaker,The most affordable and capable platform compared to market leaders in RAD space.,,Verified Reviewer,5.0,"September 10, 2018","We were tasked with creating some internal applications for our firm, we have tried out many platforms like OutSystems and Mendix which proved to too costly and some tools like KissFlow and Zoho Creator which are no where near the capabilities offered by WaveMaker. There are a lot of other tools which claim that they are alternatives to WaveMaker but that is far from truth. WaveMaker offers a variety of functionalities and tools which will enable you to create great business class applications where as the claimed alternatives are just form builders, one observation that we had from our journey of finding a good RAD platform is that most of the tools are just form builders and they claim to be equal to WaveMaker, one interesting fact is that you can create similar applications on Microsoft Excel rather than using KissFlow or ZohoCreator. I would not want to go into details but WaveMaker is a great tool if you are interested in creating great applications. It is affordable and their customer services team is amazing.",There is very little you can think of when you are paying a very small amount. WaveMaker is easily the most affordable platform which has so many capabilities. I do not understand why the claimed market leaders OutSystems and Mendix charge so much where as WaveMaker charges only 10% of OutSystems and Mendix. WaveMaker offers great freedom to move your applications out of their platform but OutSystems and Mendix do not allow users to move application away from their platform. WaveMaker is a great tool but I fail to understand why this is not so popular.,Test Engineer,Computer Software,Used the software for: 1-2 years
wavemaker,Good tool to make app for POC,We can develop apps and good speed but only to POC..,Verified Reviewer,4.0,"January 4, 2020",Drag and drop of the UI elements which generates the angular js code under the hood.. and single tool for both android and ios app,Less scope for customisation.. and less default templates,Technical Lead,Computer Networking,Used the software for: 2+ years
wavemaker,Amazing tool for develper and their customers,"Is good, but for me the cost is very expensive, once my team is very small. And... the control of database should be more easy than it is nowadays, for example import and export data could be easier than now... Allowing the developer to create link with their servers, ,strucuture instead of to be hold only inside the database on cloud; The Help Manuals and tutorial should be update often; The others function ready to use can be included: -PayPal (or other); -Integration with Instagram, Twitter, etc... -Report tools (for printers); -IA; -AR/VR; -Thinking as community once a developers can help one each other in many projects inside the WaveMaker, onde the project can be considered shared or not.",Carlos M.,5.0,"June 12, 2019",PROS: easy to hadle it; many functions ready to use; Totally SaaS; VCS included and 100% functional; Quickly to test even in many devices;,"Cons: The documentation need to updated quicky,. There are many features out of date or does not working as expected. For instance: user control and security; export data (dump); camera;",Head of IT,Information Technology and Services,Used the software for: 6-12 months
wavemaker,i have achieved more than expected -- learned and developed first app for my startup within 3 weeks,,Li-Da G.,4.0,"February 7, 2018","Wavemaker has great customer support (fast response and step by step guidance) which is the major reason I decided to subscribe a plan. A true RAD platform, yet it provides flexibility for complex coding. A cloud platform allow me code anywhere at anytime.",Hope there is a special pricing which is more friendly to small startup like mine :) and introduce more prefabs especially in area of payment gateway.,"Manager, Supply Chain BPR APAC",Used the software for: Less than 6 months,
wavemaker,Wavemaker ROCKS!,"Very good tool to use and just delivers its promisses; generates pristine code and makes development a swell. Last but not least, actually on top of all that, customer support is just FIRST GRADE! They listen and stick with you all the way through completion whatever need, big or small you may have.",Rodrigo M.,4.0,"October 21, 2016","Support, support, support!",Debug documentation needs improvement. It would not render us so dependent on support.,Software developer,Computer Software,Used the software for: Less than 6 months
wavemaker,Great speed on development,"Integration with backend rest and database is what we are looking for. We don't need anymore software installation at customer site. In two months we have completed and delivered custom development projects for our customers. With visual studio we could not have such a speed. The ability to export the webapp in WAR format, allows those who have already an internal J2EE infrastructure, to start immediately with the developed webapp in minutes. The support with the chat is very good, fast and reliable...",Marcello M.,4.0,"March 27, 2017",,,Used the software for:,,
wavemaker,Glad I choose Wavemaker,"I've evaluated a lot of RAD tools including Mendix, Outsystems, BettyBlocks and I have been very pleased to have choosen Wavemaker . They demonstrate a committment to constantly improving the product. If there is a problem they are ready to help you overcome. Their support is getting better and better and the tool is really maturing. I have been able to build a 1st class application for my customer because of Wavemaker.",Kameron V.,5.0,"September 22, 2016",,,Used the software for:,,
wavemaker,great product,,Paul D.,5.0,"April 1, 2019",i like the functionality of this software most..,"it's a little bit difficult to get the hang of and not the easiest to learn, with little tutorials available",engineer,Electrical/Electronic Manufacturing,Used the software for: 6-12 months
wavemaker,Best RAD Software Platform for WEB Applications,"Best RAD tool for building WEB HTML5 applications. No IDE required, just use the browser to build apps for the browser. Connect to multiple data sources on 1page from databases to WEB Services. Connect to popular 3rd party apps like Facebook, YouTube, Twitter.",Jerry B.,5.0,"September 30, 2016",,,Used the software for:,,
wavemaker,RAD platform for Java Web & Mobile applications I have been waiting for,"WaveMaker is the Rapid Application Development environment for the Java world that I have been waiting for about a decade, to help develop web and mobile applications. Built on latest tech stack (Bootstrap, Angular, Spring, Hibernate etc.) with no vendor lock-in or proprietary code.",Krishna M.,4.0,"April 18, 2017","With the widgets and service building framework you would be able to write a SQL to create RESTful webservice integrate with the widgets in a matter of minutes to create responsive web & mobile applications. Easy to build navigation and assign security for the pages or services with support for multiple roles. The ability to create partial pages makes your UI modular and reusable in many places easily. Custom business logic can be created as handwritten Java services. Seasoned web developers should be able to get trained within a week or so and start being productive. With some training simple functionality, reports etc can even be built by business users having the basic technical background. The platform is a lot more stable now than what it was when I started using 1.5 years ago. Knowledgeable and prompt support helps you get around any issues or help using the platform. Expecting server-side validation framework in the next release, which should help tighten the ability to build business logic on the server side instead of purely relying on client side validations.","Expected areas of improvement for coming releases (as of April 2017) Impact to existing application functionality due to platform version upgrades need to be improved by ensuring backward compatibility for all changes and by making the previous version of the platform available for a short period after the upgrade without forcing apps to migrate with no option. Would make it even more suitable for enterprise applications with additional enhancements around configurable server-side validation and workflows. Given that the platform is Angular/JSON heavy, by nature of how search engines work making it SEO ready could a challenge. Overall, I strongly recommend WaveMaker for small companies as well as enterprises looking for a robust RAD platform.",Used the software for:,,
wavemaker,RAD Platform - hype or real?,"I had been looking for many years for a platform/framework that would satisfy my need for developing web based and mobile applications. I tried the usual Deamweaver, Embarcedero, Telerik platfoms and none of them lived up to the hype of RAD. I had used Wavemaker (5, 6) many years ago when it was open source and was surprised when they changed to a subscription based pricing model last year. I decided to kick the tires with an evaluation last September... and now I'm a paying customer. My proof-of-concept and proof-of-RAD was based on my skills: 1) I am a quick study wth programming languages & databases but don't have the depth of knowledge 2) I don't have the mastery of Javascript & CSS that is fundamental to modern UI's 3) I did not want to break the bank 4) I needed a single platform for web / mobile development (a single codebase is still a dream) I was pleasantly surprised by the rich feature set baked into Wavemaker and even though it's not perfect - the support staff is willing to work with you on issues that are not inherently intuitive or doable - it's worth paying for. All in all I am satisfied with the product.",Terence F.,5.0,"April 12, 2017","The platform is hosted and updated regularly. The features are complete from DB design, import schemas, query, procedures, web services, UI widgets and plain old javascript provide all the tools in a central development environment.",There is always the learning curve to deal with but this is normal for any platform. I have yet to find something that is a problem. A few browser artifacts while scrolling and switching between design and runtime mode are minor inconveniences.,Principal,Information Technology and Services,Used the software for: 6-12 months
wavemaker,Great Tool but beware pricing,"We undertook a trial of the product based on online reviews and articles. From a UX point of view and meeting the need for 98% codeless programming Wavemaker is extremely well designed and implemented. The learning curve is not too steep, although online materials arent as user friendly as the product interface, and within a month we had built our first fully functioning app (reasonably complex) and had gone through UAT and deployment, incredible speed considering from a standing start. The support team were incredible, very responsive and helpful. Then towards the end of the trial we contacted the sales team to purchase the monthly developer licence mentioned on this and other sites, unfortunately this option was withdrawn from the market and that the current pricing model is an eyewatering per month per application! This price is justified as it included AWS hosting, bearing in mind a medium AWS EC2 instance cost roughly per month, this clearly points to wavemaker withdrawing itself from the SME market only being interested in very large enterprises running apps that would need XLarge AWS instances. In short excellent tool, but unless you are looking at hosting an expensive bill anyway not really worth undertaking the trial.",chris D.,5.0,"March 22, 2017","UX, ease of development and deployment, support team excellent","cost model is for large enterprises only, and only for applications that will have a very clear ROI. $99 developer licence no longer available, $24k per year per application. Prior reviewers mentioned at $99 not even a decision to be made, and i would agree but at this price point also no decision to be made but in the opposite direction.",CTO,Information Services,Used the software for: Less than 6 months
wavemaker,WM enables us to do many times as much with limited headcount.,Development speed and less bugs on final developed application.,Rodrigo M.,4.0,"February 7, 2018","The speed we have from concept to product is paralleled only by much more expensive tools like IBM VisuaAge, currently available only to high end risc workstations. The support is by large the best part in WM. The support team is always solicit and ready to pursue and provide any need for either support or information on how to do things with the tool.","WM would benefit greatly if had a planned roadmap ahead in time. Sometimes corrections and new features are expected and hence we face difficulties planning ahead in time without such information from WM product management. We have the release notes, of course, but only a few days before a release is actually made available.",Software developer,Computer Software,Used the software for: 1-2 years
