product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
xmlspy,Great Product!,I've written tens of thousands of lines of XSLT code using XMLSpy. It is my favorite XML editor.,Scott B.,5.0,"March 13, 2019","XMLSpy is a full featured markup language editor. I am able to work within multiple markup languages, including XSLT and easily debug my code using this product.",In my opinion the cost is a little high for this product. But if you work in coding (by hand) these languages on a daily basis then it is worth it.,Senior Architect,Information Technology and Services,Used the software for: 2+ years
xmlspy,Great product ,,marc L.,5.0,"March 28, 2025",Easy to use xml reader once everything is setup. Can handle big autosar files,"Initial setup can be a headache. Luckily, everything has been documented by my team",Software engineer,Automotive,Used the software for: 1-2 years
xmlspy,XMLSpy Review,I loved my time invested and would definitely recommend to other people.,Stephen M.,5.0,"September 14, 2023",I like debugging. Everything about it makes it easy to use.,"graphics are not the best, but one can work with",environment engineer,Environmental Services,Used the software for: I used a free trial
xmlspy,XMLSpy for all your XML needs ..its a game changer,Generally used to create class definitions for our Component Object Model project which uses XML to define behavior if its class factory...,daniel L.,5.0,"October 16, 2025","xml spy , if you are required to use XSD, XSLT, XQuery, XBRL, SOAP or whatever XMLish flavor you use, is super convenient. It's basically makes creating and using XML a whole lot faster and makes you look like a xml genius to anyone who sees the files you have made with it..",I think it should have been called XMLAwesomerator instead of xml spy ...and I would like it better if my boss had never heard of it because then he would think I was super amazing when he saw the stuff I made with it....,software architect,Computer Software,Used the software for: 1-2 years
xmlspy,First class XML based editor and IDE,"This is a fully featured software for developing XML and web services using XML, JSON, XSD, XSLT, and WSDL SOAP among other things. If you spend time working with these 'languages' XMLSpy is a must-have tool.",Verified Reviewer,5.0,"November 2, 2022","XMLSpy has everything you need in one product. It's very well designed. The GUI is well laid out, and the interface is intuitive. Being able to visualize your XML, JSON, XSDs etc. is a massive time saver!","There was nothing about this product to complain about. From price to implementation, it checked all of the boxes.","Director, Information Technology",Food Production,Used the software for: 2+ years
xmlspy,A feature rich development tool for any XML Developer,"This is an outstanding tool packed with features. It lets you manage any XMLs DTD, with out of the box schema and XSL style sheet editors. You can easily import any XML and the UI interface makes it so easy to view XML files and edit your code. The tool has inbuilt validation and auto complete, which is great with any tool a developer uses. Add in syntax colouring and indenting makes any XML file easy to read.",Edward B.,4.0,"December 9, 2016","The tool has inbuilt validation and auto complete, which is great with any tool a developer uses. Add in syntax colouring and indenting makes any XML file easy to read.",,Senior Consultant,Used the software for: 2+ years,
xmlspy,XML Spy - the XML Editor of your choice,XMLSpy is a very versatile XML Editor that we use a lot for our integrations. Like all Altova Products if you get stuck with a problem you usually count on the Altova team in Austria to fix your support issue within 24 hours.,Michael S.,5.0,"November 5, 2020",I like the new XBRL Taxonomy Manager in XML Spy 2021 which helps to manage XBRL taxanomies across the different Altova applications. XML Spy will always be my first choice of XML editors. We use it a lot in conjunction with Altova's MapForce product,Software has several updates over the course of the year as have all Altova products. That can be a plus but it also means testing the updated versions before releasing them into the Production environment.,Programmer/Analyst,Paper & Forest Products,Used the software for: 2+ years
xmlspy,The best software for managing XML,"I have uploaded XML of some data sources into my relationship database, creating the database model with the automatic function",Verified Reviewer,5.0,"November 21, 2018",1.Continue updates 2. Complete solution 3.Useful for generating the dabase model 4.Fast,The interface could be improved; functions sometimes remain difficult to find,Business Intelligence Specialist,Financial Services,Used the software for: 2+ years
xmlspy,Great for Viewing and Editing,"I use this software to create, view, and edit XML and WSDL files for our platform. The ease of use allows me to come in with no prior experience and be able to pick up the format quickly. This software aided me in presenting deliverables that the client made a point to say were excellent.",Ray V.,5.0,"February 11, 2020",This software allows a user to easily create and view XML and WSDL files in multiple ways. The text is presented in an easy to read format that is miles about standard text editors.,I haven't personally encountered any issues with this software. It has filled all of my needs and came highly recommended.,Systems Engineer,Information Technology and Services,Used the software for: 6-12 months
xmlspy,Long term XML Spy Customer,,Verified Reviewer,5.0,"January 15, 2019",I have used XMLSpy for over 10 years and across multiple jobs/employers. I have found it nearly indispensable when designing complex schemas. The interface is intuitive and it makes easy actions easy and difficult actions possible.,The only downside to XMLSpy is the cost. I've had several employers balk at the cost but it more than pays for itself in productivity gains in my opinion.,"Sr Software Engineer - NASA Identity, Credential, and Access Management (ICAM)",Computer Software,Used the software for: 2+ years
xmlspy,Great product for using and maintaining XML code,- Manipulating and maintaining XML and JSON files easily.,Allan M.,4.0,"July 27, 2017","- Features, features, features. Everything and anything that you might like to do with XML files and some things you may not realize you could do - Straightforward interface - Customer support was excellent although typical menu system to talk to a real person",- Examples are not great. Too complex in some ways and not enough explanations of how to use features. Need a better set of examples and perhaps one that continues through all the features. - Renewals are end of September which is problematic as that is in the middle of peak use time for us,Professor,Education Management,Used the software for: 2+ years
xmlspy,Very useful and widely used XML software. Helps making work on XML very easy.,,Lakshmana Murthy K.,5.0,"July 20, 2018",Parsing XML using XML spy is very easy. Provide flexibility in adding tags in the middle of the XML file very easy,The cost of the software is a bit more compared to competitors. Also not allowing online formatting of XML even after purchase.,Sr OTM Techno-Functional Solutions Specialist,Used the software for: 6-12 months,
