product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
allgeo,Richard's review,"My overall experience with ALL Geo app has been a good one, I really love the ease of use, time tracking and the value for the money. Also every time we have an issue the customer service is quick to get a solution or make changes to the app to accommodate our company.",Ricardo B.,5.0,"November 4, 2025","I really enjoyed the ease of use of the all geo app, another noteworthy mention would be that is nice to see the location and of staff for employee management. The tracking works well on this app as well",At times the clock in and out can be a tad bit to work with. Occasionally it will clock staff in or out depending on what their clocking in or out status is. Not a deal breaker and I'm sure the ALL GEO team is working on a solution.,Program Coordinator,Non-Profit Organization Management,Used the software for: 1-2 years
allgeo,Trident Review,I am very please with our experience and I would recommend this product to others.,Allan A.,5.0,"June 2, 2020",I enjoy that this platform includes all of the features that myself and my company were looking for. Most others services included some but not all of the features that allGeo advertised.,"The platform needed to be a bit customized to fit our requirements when in my opinion, they were basic requirements that most other platforms already had built into their systems. That said, customer service was excellent and tailored this to us and really help us throughout the entire process.",Project Manager,Information Technology and Services,Used the software for: Less than 6 months
allgeo,Terrible System- DO NOT PURCHASE,We were trying to use this as a way to track our employees for dispatching efficiency and safety but we have realized NO BENEFITS.,Azaria K.,1.0,"September 10, 2019",Nothing - I can not think of a single thing good to say about this software,"1- I can not get the system to work reliably for any amount of time does not matter the operating system or the brand of phone - iPhone, Android it does not matter. We have tried multiple times working with tech support to get them working and nothing has changed. It does not matter how many times you verify, update no one phone stays active consistently. 2 - I have no clue what the administrator screen is sorting by but when you try and sort by another column as soon as you refresh the screen it reverts back. 3 - We have been trying to get the same 5 phones initialized since May and they are still not. Every time we launch a complaint, tech support comes back with some obscure solution that works for 2.5 seconds and then breaks. 4 - We made a deal with them to purchase all our licences upfront and it worked for 4 months and the rest of the time has been us trying with all our might to get them working again.",Office Manager,Construction,Used the software for: 6-12 months
allgeo,Bang for Your Buck,,Brandon F.,4.0,"June 1, 2023",The breadcrumb report tracks location of vehicle.,System usability isn't always intuitive; original alerts were annoying and had to email support to stop them,Owner,Facilities Services,Used the software for: Less than 6 months
allgeo,Pestinger Distributing AllGeo Review,"Overall our experience with AllGeo has been wonderful. There were a few hiccups along the way, but the AllGeo team made sure that their product was working the way we needed it to. We are a happy customer!",Faron N.,5.0,"May 31, 2023",Customer Support is top notch and available instantly through the chat feature whenever needed. Product and reporting is flexible to accommodate our business needs. AllGeo team provides great support during implementation and is willing to work with you to solve any problems that arise.,Geofencing entry/exit works very well but could be more precise. Historic time tracking data for devices cannot be transferred from one phone number to another.,Sales Execution Coordinator,Food & Beverages,Used the software for: 1-2 years
allgeo,"Robust & Sometimtes Intimidating, but with the Customer Service it will get done",,Kari G.,4.0,"May 6, 2021","The most impactful features are time-keeping, active tracking, and location reporting that helps us with job costing. The time-keeping is helping us eliminate paper timesheets and eliminates a lot of human error once staff gets used to clocking in. The active tracking allows us to understand where our team is and to more efficiently operate. Part of the tracking actually determines how much time is spent at each property and that allows us to do job costing for each of our properties.","Although, I have run into features that don't necessarily fit our business the AllGeo team has been able to help modify them to better suit us! Which is a form of flexibility I don't think is very common among different services. AllGeo is not the most intuitive and I do wish there was training since I want to be able to do the functions on my own, but I am incredibly thankful for the customer service team. They have been incredibly patient with all my questions about our setup.",Systems Specialist,Real Estate,Used the software for: 6-12 months
allgeo,Easy to access the Time clock and GPS tracking is the best,,Srinivas B.,4.0,"July 27, 2021",Easy to use no need to spend time to train employee Real Time GPS Tracking Reasonable cost Top customer service,No. of location sites are limited Sometime shows wrong location,Manager,Food & Beverages,Used the software for: 6-12 months
allgeo,Good product for the price,"The mobile software wasn't as easy to use for me or my employees. Also, the phone tracking features weren't always correct, especially if we had customer job near each other. The main complaint I had from my employees was that the app ""drained"" the phone battery quickly (we set the tracking to every 15 min). Therefore, if the employees can't keep their phone charged it doesn't work as intended.",Scott H.,4.0,"September 18, 2019",It's easy to set up and use. The website is laid out very nice.,The reports and the mobile software. I would have liked to be able to customize my reports. The mobile software was difficult and I couldn't edit my notes.,Owner,Construction,Used the software for: 1-2 years
allgeo,Great product,"Overall the system is great, the customer service is stellar and it makes my job so much easier.",James T.,4.0,"November 5, 2021",This program is a quick and easy way to track our employees hours. The customized visit record time sheets they developed for our company makes it easy to keep up with our employees' performance for company compliance. The app is easy for our tech challenged employees to use as well.,Its a little expensive. But not too much where we would consider leaving.,HR Director,"Health, Wellness and Fitness",Used the software for: 1-2 years
allgeo,Promotes work ethic ,,Verified Reviewer,4.0,"July 12, 2018",Allows for automatic time tracking system. When leaving a location it will record when leaving and the address.,Sometimes the application is not accurate and it will send daily reminders to turn on the tracker even though it is on.,District Manager,Wireless,Used the software for: 6-12 months
allgeo,Great Product,"My experience has been overwhelmingly positive. I appreciate that the team at allGeo is super responsive and ready to assist. I tested this product from day one, implemented it's use, and administer our account. My questions have always been answered promptly, training was provided to me with set up, and I can rely on the team to provide support. Thank you!",Kim S.,5.0,"March 6, 2020","The reporting features, customer service and reliability.","Nothing. If I do not understand a new feature, an answer is a just quick email, chat window or phone call away.",Asset Protection and Auditing Analyst,Telecommunications,Used the software for: 1-2 years
allgeo,Very Happy Customer,I am responsible for holding 16 marketers across the nation accountable for their daily activity.,David Y.,5.0,"February 10, 2020",I like the fact that it automatically documents the time and GPS address on every entry.,We do not have any complaints we are happy.,Administrator,Medical Practice,Used the software for: 2+ years
allgeo,Not happy with myGeoTracking,Not Good. I am currently looking for another app to replace this,Mike H.,1.0,"August 26, 2019",I like what it is suppose to do.... It however is to hard to get the information needed.,The inability to track the phones without updating daily,VP of Dealer Development,Automotive,Used the software for: 1-2 years
allgeo,Excellent!,,Gladys T.,5.0,"September 2, 2020",That i am able to track our employee and pull out reports to provide to our client.,Is not that easy to manuever. But it's good either way,Operation Coordinator,Business Supplies and Equipment,Used the software for: 2+ years
allgeo,A great accountability tool ,"It does the job, and it is well supported",Frederic H.,4.0,"October 16, 2019",Having a source to go back to in case a problem develops,"The additional cost to add addresses, we have loads of customers, so it makes it costly to add more",CEO,Wholesale,Used the software for: 1-2 years
allgeo,Use for Field Employees,,Joshua G.,4.0,"September 20, 2019","I like using this software for tracking and monitor field employees. This is good for our purposes, but also for allowing the technician to verify where they are at any given time.",I would really like to see the ability to have special locations in different colors,Technical Service Systems Specialist,Medical Devices,Used the software for: 1-2 years
allgeo,Great Tool,"Great experience, software has helped streamline payroll by providing virtual time lock. No lost hours",Scott D.,5.0,"February 26, 2020","Geofencing for timeclock, helps maximize hours by our service team and prevent shrink",Some updates required fir different iOS,"Director, Sales",Consumer Goods,Used the software for: 1-2 years
allgeo,Just what we needed,,Lenora K.,5.0,"August 28, 2019","Cost effective, and does exactly what we needed. Pretty good support as well.","Takes a bit of understanding to use reports and such, but once you get the hang of it, it's pretty easy.",Chief of Staff,Real Estate,Used the software for: 1-2 years
allgeo,Novacell Review ,works well [SENSITIVE CONTENT HIDDEN] and his team is awesome,Sati M.,4.0,"February 26, 2020",tracking is great . customer service is great as well,I have no complaints . I will keep using this service,General MAnager,Wireless,Used the software for: 1-2 years
allgeo,Helped me much more accurately track my employee.,They were very responsive anytime I had a concern or problem.,Keith A.,5.0,"May 6, 2020",It was easy to set up in years and is inexpensive way for me to monitor my workers location and hours on the job. He moves between 20 different sites.,I gave my employee an old phone that didn’t work well. Ended up buying a $50 Smart phone with good battery life. And now it works perfectly,Manager,Real Estate,Used the software for: 2+ years
allgeo,Construction Company not an option on the first page,Good,Leigh N.,4.0,"September 3, 2019",Tracking employees and the time logs.,Employee's location is on but the app still needs refreshing constantly because it isn't reading.,President,Wholesale,Used the software for: 1-2 years
