product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
attendancebot,Valuable tool for time management!,"While still in the early stages of deployment, we are beginning to develop labor hour benchmarks for certain tasks and projects. Without information like this we could not run the business or make plans for future staffing requirements.",Paul B.,5.0,"March 7, 2022","Having used Time and Attendance systems in the past, I was pleasantly surprised with the setup and ease of customization. We’ve been able to create as many projects as we like and selectively assign those projects to the appropriate individual(s). Without this customization, my staff would have to scroll through a long list of tasks to find the one they want. And the whole point of any time and attendance system is to collect data to help run the business – not become a hinderance to someone who is just trying to get their job done. From a personal perspective I find that it helps me stay focused on the task that I’m working on, while it can be tempting to answer that email the second it arrives…that’s usually not the most effective and efficient way to manage one’s time.","Editing timesheets can be a bit cumbersome, but I’m still a relatively new user, this should get easier with practice.",General Manager,Oil & Energy,Used the software for: Less than 6 months
attendancebot,Best Attendance Tracker for Distributed Teams,,Selva M.,5.0,"July 7, 2025","Attendance Bot has been a game-changer for managing our distributed team's work hours and leave requests. It automates reminders, time tracking, and leave balance updates all within tools like Slack or Microsoft Teams. It saves us hours of manual follow-up every week. Setup was easy, and the UI is clean and user-friendly. We also love the customization options especially setting different policies for different departments.","Regarding Cons, there isn't any features or incidence that makes me like least about Attendance Bot.",Finance and Operations,Apparel & Fashion,Used the software for: Less than 6 months
attendancebot,Could have been so good but instead made more work for us,It's created 10X more work than doing this manually.,Catalina B.,2.0,"September 13, 2022",Love how it integrated with Slack to make it easy for staff to clock in and out.,The logic of this software is fundamentally broken. It is far to segmented and the features don't speak together properly. Their support is not very helpful. Takes like 5 emails just to get them to understand what your problem is and you can't call them. I was given a number once and when I called it was their sales department.... Who then tried to cancel our call. The reports are terrible. It's a great concept and I hope one day they work out all the issues but save yourself the time and don't get this.,Owner,Events Services,Used the software for: Less than 6 months
attendancebot,Simple and Handy Attendance Tracking in Slack,"AttendanceBot has been a solid tool for keeping track of attendance. It’s simple, reliable, and fits nicely into our existing workflow. Great option for teams that live in Slack and want something lightweight that just works.",Bryan L.,5.0,"January 20, 2026","Super easy to use and works smoothly inside Slack. Clocking in/out and requesting leave is quick, and it saves a lot of time compared to manual tracking. Setup was straightforward, and it does exactly what we need without being complicated.","Initial setup takes a little getting used to, but nothing major. Some advanced reporting and customization options are also a bit limited.",-,Marketing and Advertising,Used the software for: Less than 6 months
attendancebot,A very useful attendance control tool,,Malory C.,5.0,"November 4, 2022","The impact of this tool on our operation has been very positive. It has allowed us to make detailed follow-ups on the activities carried out by each employee: How much time they invest in each project, specific times to solve each activity and validate the performance during that period. Both employees and administrators have liked the application too much. It gives us more order and control in the operation of the operation.","What we did not like very much is that we are different departments managing the same account and what is configured for a specific area, is for the entire operation. It would be great to be able to configure different rules for each area, since they are not the same in all our operation.We also don't like that when we filter schedules to track, they appear in disarray, instead of showing in order from the time that starts earlier to the one that starts later.",Customer Service and VIP Manager Latam,Gambling & Casinos,Used the software for: Less than 6 months
attendancebot,Your friendly smart punch card,"AMAZING Few companie have such a good feedback loop, every time we asked for a new feature the team would just try to make sure it was what we needed. I think they are always moving adding features that make users happy!",Jose Pablo M.,5.0,"July 23, 2020","We needed some way to keep track of the time that we were spending in each project, we are a small studio and creating our own software to handle time was out of scope, we were using slack free, and we had so many limitations. When we learned about attendance bot I fell in love, it would allow our team to keep track of hours. rates and even measure how much time we were putting into the project!","The fact that we had to pay haha JK I think the thing we like the least is that sometimes there might be bugs with the punches, meaning I have to fix them manually",CEO,Computer Games,Used the software for: 2+ years
attendancebot,A hidden gem within the vast Internet,It saves you a great time and effort in team work even if you are in different regions or far from each other through this program you can know where your employees are and know the salaries of the team. It is the perfect choice for remote work,Moaaz E.,5.0,"August 4, 2020",Easy and complete clarity in using as a team that facilitates work for you. You can do anything with limited steps such as taking sick leave and tracking team work hours. The best thing for me is that you can use it through the mobile phone with ease and without us or complicated processes.,I almost don't see any negatives. but I hope that there will be a little less pricing plan to suit everyone. Thank you and I wish you progress and prosperity forever.,Use,Design,Used the software for: 1-2 years
attendancebot,Excellent Tool which solved many day to day challenges ,"AttendenceBot solved many day to day challenges for us. The best thing is the support from the team from Demo to integration. User experience is excellent, our team took no time to adapt to the system as it is so simple to understand. Overall we are very happy with the product and would definitely recommend it.",Bimal S P.,5.0,"May 26, 2022",- Simple and effective UI/UX - Bot integration is seamless - Customisation options for vacation management - Almost work as a self service portal for employees - Time tracking really helps the payroll team,We are looking forward for the Jira integration (Which will be coming out soon as informed),CEO,Information Technology and Services,Used the software for: Less than 6 months
attendancebot,Easy time-tracking. Seamless integration with Slack,Saved time. Employees could track their time in the app we use the most.,Adam G.,5.0,"June 11, 2018",It was easy for our employees to track their time. It integrated nicely into our Slack workflow. Overall it streamlined everything for our company. We would recommend this for any company who uses Slack.,It was a little bit challenging to edit the time to track reports in Slack. It would be a bit easier if there was also a web-based dashboard where we could make edits.,Owner,Used the software for: 6-12 months,
attendancebot,Time off requests made easy,,Christopher C.,5.0,"October 25, 2022","Ability to quickly look at the calendar and plan for time off requests for my team and I. Ease of use when applying for leave, slack/mobile app integration and reporting.",Reporting Parameters are not as intuitive.,Agile Team Lead,Information Technology and Services,Used the software for: 6-12 months
