product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
expo_pass,ExpoPass - The Premier CheckIn (and beyond!) Platform,"ExpoPass was able to create an event that was remarkable for our clients. Yes, we had some issues with Android and getting vendors loaded, but in the end the experience and data was extremely valuable to both ourself as an organization and our clients. My one piece of advice is: Take their recommendation on how many printers and iPads they suggest! We didn't and definitely regret it as we had a great turnout.",Shane C.,4.0,"June 14, 2025","Attendees and brands loved the simplicity and how next level it felt (beyond just a wristband). I'd definitely recommed ExpoPass for your next event, especially if you are looking for it to feel like you're offering a premier experience!",We had difficulty with our sessions and logging in on Android devices. We also ran into some issues during the sales process of the sales rep knowing the services that are included/not included in the price,President,Events Services,Used the software for: Less than 6 months
expo_pass,ExpoPass Review,"We've used ExpoPass for 4 years now to help manage our conference registrations, collect payments and stream our sessions live to those attendees that can't make it in person. They have the whole package for your event management needs. In addition, their customer service is top notch and they are always there when you need them. I highly recommend you give them a chance to help support your next event or conference!",Ryan S.,5.0,"February 28, 2025",ExpoPass has everything you need to manage you event or conference! It helps when you have a event management platform that works and you have the support on the back end to bring it all together.,"The only thing I think they need to improve on is the live streaming. Not sure if it's a Zoom issue or ExpoPass issue, but sometimes the Zoom links do not work for our attendees.",VP of Marketing,Management Consulting,Used the software for: 2+ years
expo_pass,"Could be good, but currently it is extraordinarily limited. ","The majority of the people at ExpoPass are great to work with, but the gross limitations to the system do not warrant the price tag. It would not have looked as nice, but I could have almost all the same functionality through a Google From that I received registering with ExpoPass.",David H.,1.0,"September 12, 2024",The app and registration interface is beautiful. Printing badges is pretty quick and also aesthetically pleasing.,"There are several aspects of ExpoPass that needs to be corrected for Conference with 1000 or more attendees, CEU tracks, group registration needs, or multiple sessions offered simultaneously. I've delineated the issues below: 1. Registration Page set-up has minimal customization at the time of our conference (Sept 2024). As a User there is no way to indicate where you want your questions to show up on the ExpoPass registration form, nor what order you want the options from a drop down box to appear (ie. alphabetical order, number order, etc). 2. Session selections have no internal logic. Registrants can select multiple conflicting sessions. For example, if between 1pm and 3pm there are 4 workshops, at registration there is nothing that prevents a person from selecting all 4 of those workshops and registering for them. This plays havoc on the ability to know actual registration numbers verse mistakes. Additionally there is no way to make any session selections time slots mandatory so registrants easily look over session hour options, or for multi day events, miss the subsequent days because they did not select each day through the small drop down box at the top of the page. Additionally if you do see that box and move to the next page, it does not begin you at the top of that page, but rather in the same x/y position as the previous page. 3. Once a person is registered there no way to print their session selections. Session numbers cannot be printed on badges, mail merges, or even exported as an excel database. You have 2 options to retrieve this data, either export the ""Session Pre-registration URL"" which you can click for every user to see their selections, or you can download the Session Attendance report which is a roster for who is signed up for individual sessions. Neither report is useful if you want to look at what a group of individuals selected (or failed to select because they overlooked something, see number 2). Additionally the URL once opened does not indicate on the open browser whose sessions you're editing. When working in spreadsheets you must be VERY careful to avoid mistakenly selecting Joe's URL when attempting to edit Jane's URL because once the URL is open it does not tell you whether you are looking at Joe's or Jane's session options and since you can't pull a report on those options mistakes are easily made. 4. The only way to register groups through the system is through a Promocode system. We have several schools and Churches who register groups for our conference, and creating promocodes and invoicing those groups for their group amount through the promocode they purchased was our only option. This became cumbersome as promocodes at the time of our conference (Sept 2024) could only adjusted by the user to be either unlimited or one time use. We needed to create an additional database of promocodes and work with ExpoPass' Dev Team to ensure the appropriate limits were set, the promise was that these limits would take effect 1 to 2 business days after the request but in reality it was up to a week or beyond since the Dev Team would only review those requests weekly. Additionally the promocodes are tied to Registration Level and not to individual registrant. This makes sense in a ""Tiered Ticket"" scenario but for CEU tracks that have the same value as General Admission tracks this is a complete mess, as groups like schools and Churches who need promocodes to register their groups will have multiple different track needs. There should be an option to tie a promocode to the registration at the end rather than only to tracks. 5. The Exhibitor tab is completely unusable. When an exhibitor is inputted into the Exhibitor tab the ARE NOT included with the credentials that are printed. They need to be added to the Attendees tab in addition to being in the Exhibitor tab. In the Exhibitor tab only one person can be link with an exhibitor company. We have several publishing companies who come to exhibit at our conference and every one of them will send more than one person to assist at their exhibitor booth. This is ""rectified"" in the exhibitor portion of the app, but even there exhibitors can add their own personnel, but none of that info gets to the User and thus none of their personnel gets credentials for the event. 6. Attendees cannot also be Users. A User in ExpoPass is anyone who has access to the data to add attendees, manipulate sessions, or scan attendees at session doors for CEU tracking. For example, me as the client could not be registered as an attendee at my conference if I wanted to also control the data at my conference. The way around this is to create a separate email and generate 2 different sign-in profiles, one as a user and one as an attendee. There are many more problems, but the max character limit is 5000. Other issues to ask about: inconsistent capitalization across platform, Spanish options, if/than logic needs, and more.",Coordinator of Adult Faith Formation,Religious Institutions,Used the software for: 6-12 months
expo_pass,Level up your event with ExpoPass!,"ExpoPass has been just the right addition to level up our conferences. Participants are always impressed at how easy it is to check in, review their info, and print their badge on site. It is also extremely helpful on the back end for set up. ExpoPass team members help you with everything from setting up the badge design, importing attendee lists, and shipping the equipment (with return labels) directly to your conference location. I would definitely recommend using ExpoPass.",Ashley W.,5.0,"February 20, 2026","My favorite thing about ExpoPass is the ease of use for both planners and participants. Also, the ExpoPass team is great at reminding you of deadlines to fill out event info online, upload badge designs, import attendees, and more.",ExpoPass is a little pricey but absolutely work every penny! They take care of shipping the equipment directly to your event location and schedule pick up for after the event is over.,Business Manager,Professional Training & Coaching,Used the software for: 1-2 years
expo_pass,Love Expo Pass!,"I have only good things to say about expopass. We use Swoogo as our registration provider, which is lovely, but they don't offer onsite badge printing services. The companies they've traditionally partnered with require us to pay for one of their staff members to come to the event, which places us way out of our budget. In the past, when we used Cvent, we used their Event in a box product. This is expo pass's version, and it works wonderfully and honestly better! I've used them for 6 events now, with an attendance of 100-400 people and I've had no issues getting the equipment set up. I usually go in to our setup call having everything ready, and if there are any minor issues, I can address them in that call.",Katie P.,5.0,"May 7, 2025","Printing quality is great, the ipads and online portal are easy to use too. If you're looking for a onsite badging solution that helps avoid pre-printing madness and looks more polished than your in-house printer could be, I highly recommend trying them.","I will note - if you have any attendees that like to have a long night out and get into mischief, they may need a badge reprint if you're using their reinforced paper stock (this was the exception though, not the rule!).",Senior Meetings and Events Manager,Government Relations,Used the software for: 2+ years
expo_pass,Successful event with help from Expo Pass! ,You have a call with someone from their Event Operations Team that goes over the whole set up process either hours before the event or a day before just to make sure the product works as intended. With that I felt very confident that I going into our event!,Ruben R.,5.0,"October 13, 2025","Set up was pretty easy, they have instructions that are super detailed. Once that's done the printing process is very fast and efficient. We also used their reporting process for our event raffles, so their time tracking of printed badges helped us out a lot.","Honestly everything worked really well, I can't think of anything that would be a negative. It is a little pricey but everything that is provided makes it so worth it.",Marketing Coordinator,Food & Beverages,Used the software for: Less than 6 months
expo_pass,NAEA Loves Expo Pass,"Our organization has used EXPO Pass for the last 2 years and just signed a 2 year contract to use for the next 2 years. I love the access to support during the planning phases, as well as the overall ease of the app for our attendees. Our attendees love to build their schedules and sessions, read about the options for breakout sessions and even access to their social media pages to be able to connect.",Mary F.,5.0,"December 17, 2024","Expo Pass has an amazing support team that walks with you from your event, start to finish. Their customer support is unmatched! They can help provide solutions to any question I have ever had, from scheduling calls to help, to sending tutorials to walk through any question I had. I recommend EXPO pass to anyone planning a large event!","Once recommendation that I have is when I needed immediate assistance during our registration, I wasn't able to connect on the phone with anyone with the number that was provided. Having someone to be able to talk to right away helps with the immediate issues during registration!",Executive Director,Education Management,Used the software for: 2+ years
expo_pass,Great Name Badge Printing Solution,Fantastic experience with the Team - can't wait to utilize them again! The team was always available and ready to support.,Chantal F.,5.0,"September 14, 2025","Ease of use, customer service, quality. There was always someone available to support. We had an expedited timeline for this event, and they guided me through the process quickly.","One of the printers was being troublesome, but after troubleshooting with the support desk, it ended up taking care of itself. Note that the system is unable to process duplicates - so in the past I've had to delete the Guest List and re-upload it. Reminder to always make sure the Client provides a clean list.",Founder,Events Services,Used the software for: 1-2 years
expo_pass,ExpoPass has been a great addition to our annual Tech Summit,"ExpoPass provided event day check-in, badge printing, exhibitor lead scanning, session check-ins, and a whole event app for our annual Tech Summit. We had a dedicated person who helped and supported us in the months leading up to the event who was very quick to respond not only to my team, but also any questions that came in from our exhibitors and guests. We look forward to continuing to use ExpoPass for our future events.",Kaitlin W.,5.0,"November 20, 2024",On site badge printing Vendor Lead Scanning Dedicated support staff who were available at all times during our event,Exhibitor lead scanners can be difficult to setup. No options for gamification.,Events Manager,Computer & Network Security,Used the software for: 1-2 years
expo_pass,The Best Onsite Support That We Could Ask For!,We always have a very good experience with Expo Pass. They offer tremendous onsite support and help with making sure we set up everything correctly in their software.,Justin O.,5.0,"February 6, 2026",Having onsite support is huge for our company and our events. Expo Pass always has exceptional support staff onsite at our event and we could not do it without them!,"Saving leads after badge scanning is sometimes confusing. Our exhibitors would scan a badge and take notes, and sometimes back out after that with the scan not saving to the software.",Creative Director,Food & Beverages,Used the software for: 2+ years
