product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
ezclocker,Review,"Overall I like the app and their customer service was excellent. Responded to my inquiry professional, quickly, and we're very courteous.",Fabio R.,5.0,"January 10, 2020",Easy to install and easy to use. Really useful.,At times it can get a bit buggy and you have to close the app routinely to get it working properly. While the set up is fairly easy it would be wise to have some minor instructions/tips when setting up employee schedules and date ranges.,Office Manager,Hospital & Health Care,Used the software for: 6-12 months
ezclocker,Reasonable-easy to use software,,Natalie P.,5.0,"December 12, 2019","Since our employees are typically in field and don't come to office, the convenience of being able to have app on phone for clock in is crucial. Having the ability to clock in employees who have forgotten or enter time manually is another feature that is helpful. All at reasonable pricing.",I have to make some adjustments to timesheets when I download to excel in order to have details needed for jobs.,Owner,Construction,Used the software for: 1-2 years
ezclocker,Experience,,Kenneth G.,4.0,"January 27, 2020",I love that ezclocker gives my employer my exact location and time when checking in.,The software in the past seemed to have a few glitches when checking in and out.,Music facilitator,Education Management,Used the software for: 2+ years
ezclocker,Great Clock-in / Clock-out system!,It has been a great experience for us! We would definitely recommend ezClocker.,Nils N.,5.0,"September 5, 2019",This is a great deal! Almost all other apps like this cost money to use. It allows us to have our hourly employees clock in and clock out when they get to and leave work. It also has gps tracking on it. Very cool!,We have no cons at the moment. We've enjoyed the software and it's a great value! No other apps like this are free.,Wholesale Manager,Tobacco,Used the software for: 1-2 years
ezclocker,Best for work site,"Easy to use, easy for workers to use",Melissa S.,5.0,"August 24, 2019",I love that I can see where workers clock in and out so I know if they are on the job site when they clock in,Sometimes the system is down and makes it difficult for the works to clock in but that could be more of a phone or phone service issue,VP/ Office Manager,Construction,Used the software for: 1-2 years
ezclocker,Great thanks,Here in there the app May go slow not a big issue,Anthony C.,5.0,"October 22, 2019",What I like most about the software is the GPS coordinates so I can know that employees are actually on a job site when you’re clocking in and clocking out.,What I like most about the software is the GPS coordinates so I can know that employees are actually on a job site when you’re clocking in and clocking out.,Member/Operator,Consumer Services,Used the software for: 1-2 years
ezclocker,EZ Clocker,Simplified hours tracking for employees,Matt B.,5.0,"August 13, 2019","Ease of use, connectivity with employees, simple to calculate hours",I haven’t found anything that I don’t like about it.,Owner,Construction,Used the software for: 2+ years
ezclocker,Great little timecard app,I am so busy with running my farm operation that putting the time clock burden on my employees has freed me up to do other tasks. Plus my employees just have to email me their time sheets and I can easily review them and cut their paychecks.,Burkhart L.,5.0,"August 24, 2019",Easy to use and to set up. Makes it easier to keep track of employees' time,Having to annotations when you edit time.,Owner,Farming,Used the software for: 1-2 years
ezclocker,Great App for Employees and Employers,Excellent App,Michelle W.,5.0,"November 14, 2019",I like how easy to use this App is for our employees to clock in/out I also like how easy it is for me to get the hours sent to my email so I can do up their payroll,rarely it doesn't connect for employee to clock in/out,Administration/Book Keeper,Farming,Used the software for: 1-2 years
ezclocker,Excellent app,,Judy S.,5.0,"September 6, 2019","ability to use, ability to correct times etc. ease of access","nothing at all, it has been wonderful! Highly recommend",President,Events Services,Used the software for: 2+ years
