product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
fetchkids,Best School Dismissal Application Tested,"The team is great, and onboarding was smoother than expected.",Paul H.,5.0,"March 24, 2023","We helped research and deploy FetchKids in a few partner schools. They were the best-designed app for parents and schools to track complex schedules and authorized adults for pickups. We LOVED the arrival time functionality that allows us to line the students up in order of whose parent is first to arrive. In our daycares, it allows the providers to prepare the child and pack up their items for a smooth pickup as well. This app also has a broadcast communication tool; parents and dropoff/pickup teams can communicate in real time.",They are still working on integrations into our bigger LMS providers.,Operations,Education Management,Used the software for: 6-12 months
fetchkids,"Great, affordable attendance solution. ","Overall, this platform serves us well as a small after-school program. The communication team is open to our feedback and responsive to our questions.",Crystal B.,4.0,"August 7, 2024",We like that it is an affordable software system for our small organization. We also like that our account rep is very responsive to our needs and questions. The customer service via email is great.,I wish there was a push notification option so we could message all enrolled or selected accounts. Generally the communication with accounts has areas where it could improve. We would love to see more user friendly or customizable reporting that we could do with the dashboard.,Executive Director,Child Day Care Services,Used the software for: 2+ years
fetchkids,We love Fetch!,,Elias B.,5.0,"June 20, 2022",The reason why we love fetch is because of how easy it is to have parent drop and pick up their kids!,There are some features that are just simply not used for us but it is always good to know that they are still there!,Administrative Assistant,Education Management,Used the software for: 6-12 months
fetchkids,Great communication and tracking tool between center and parents!,We have had a great experience with FetchKids. We had been looking for a product to help manage our Mother's Day Out and After School programs that was simple to use for both our center and the parents. We also wanted a tool that allowed us direct contact with parents without having to make numerous phone calls and playing phone tag. FetchKids also allows us to communicate with parents via our personal cell phones without having to give our our personal numbers. It has been a great addition to our programs.,Kim S.,5.0,"August 9, 2024","As a child activity center, we like the variety of options we have for keeping track of our students and communicating with our parents. FetchKids has alleviated our phone traffic and given us a way to streamline communications with our parents. It also allows gives us an estimated time of arrival for pick ups so that we have the kids ready to go when the pick up arrives.",There are some features that are unavailable in the app and must be done from a desktop computer.,Kid Care Director,Sports,Used the software for: 1-2 years
fetchkids,Arts Reaching Youth Director ,10/10 Overall this has been a great addition to our program compared to the previous PikMyKid. I'm excited to see how it can improve our after school program.,Fatima B.,5.0,"August 14, 2024",That we are able to see when parents are on their way to pick up students. That there is a direct messaging system to parents. How easy the parent app is for them to use.,Some features you can only access on a desktop - creating new student profiles -marking students calendar (absent),Arts Reaching Youth Director,Non-Profit Organization Management,Used the software for: I used a free trial
fetchkids,FetchKids Has Been a Game-Changer,,Traci W.,5.0,"September 11, 2024","FetchKids has been a game-changer for the dismissal process of our after school program. Because parents can pick up their kids at any time within a 3 hour window, knowing when parents are coming has enabled us to have their child ready when they arrive saving everyone a lot of time and energy. The parents have provided overwhelming positive feedback on the efficiency of using the app. My late stay staff has reported they appreciate knowing when a child is getting picked up so they can assist the child in finishing homework, packing up or completing a task before leaving. There have also been times where it was incredibly helpful to have a record of who picked up a child. FetchKids' staff has been helpful, professional and reacts to our questions/need for help in a very timely manner.",The only challenge to using FetchKids were for our Android users - often the predicted time of arrival was off by several minutes.,Director of Auxiliary Programs,Education Management,Used the software for: 1-2 years
fetchkids,FetchKids has been a lifesaver!,"FetchKids is AWESOME for our camp use. With over 150 kids picking up within a 2 hour time frame, the app works wonders for limiting an excessive dismissal line and getting kids out the door quickly. We also use FetchKids for our after school program during the year. The app offers many different features (in addition to its real time dismissal function) that are very helpful such as attendance, alternative extracurriculars, broadcast messages etc.",Alaina L.,5.0,"September 18, 2024",The best part of FetchKids is the ease of pick ups for both the parents and staff in our program by giving real time updates on parent arrival time.,"The website at times is not the most user-friendly, in the sense that it is hard to locate the function I am looking for.",Program Director,Child Day Care Services,Used the software for: 1-2 years
fetchkids,This app is a MUST!,"Overall, I wish this was something we had sooner. The ease of the app, for us and the parents, having the kids ready to leave when the parents get here, so they are not having to wait, has been fantasic.",Danielle V.,5.0,"October 17, 2024","The ease! When parents use the app the way they are supposed to, we can have the kids ready to walk right out the door as soon as the parents pull up.",We have had just a couple parents not want to buy into it but they are the parents that we can't get to sign up for anything.,Site Director,Non-Profit Organization Management,Used the software for: Less than 6 months
fetchkids,Easy to use and very functional!,Appreciate the ease of use and pickup functionality!,Kelly F.,5.0,"September 18, 2024",The pickup function! Works very well and like how it tracks the drive.,Nothing comes to mind. Very satisfied overall!,Business Owner,Information Technology and Services,Used the software for: 1-2 years
fetchkids,LOVE FETCHKIDS!! ,,melanie K.,5.0,"August 9, 2024",It's super easy to use for families and us as a business. I also love that you can text a family from it as well.,I love everything about this app and website!!!,Childcare Director,Child Day Care Services,Used the software for: 2+ years
