product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
greythr,GreytHR helps us manage all HR activities,The ease of usage is arguably one of the best features. The intuitive design makes it easy to keep tabs on employees' time off and attendance. Insightful data can also be gleaned from the available reporting choices.,Katrina V.,4.0,"October 2, 2023","Our company has found GreytHR to be an invaluable tool for managing its human resources. Paystubs, credit information, insurance policies, and more are all easily accessible thanks to the excellent document center. Applying for time off is a simple procedure. It's a great way to keep track of important dates like birthdays, work anniversaries, and more for all of our staff members.",The only drawback to using Greythr is that it always logs us out when we shut the browser. It seems like a security measure to me.,Human Resources Generalist,Hospital & Health Care,Used the software for: 1-2 years
greythr,A Value For Money HRMS ,"We are having a good experience so far, . Modules are very easy to use and navigations are smooth and simple . System is easy understandable to employees as well as admins .",Veena N.,4.0,"August 7, 2025",Interface is user friendly and UI is engaging . Supporting videos and Bella is really useful. Page navigations are smooth and quick. All reports are available in simple steps .,"Customer support . For employee information and leave modules the support is quick and correct, but when its payroll module, many of the support agent not trying to understand the real concern or they dont have a clear idea about the payroll rules. Many uploads to be done from backend, if its available for admins, tickets can be reduced .",HR Manager,Information Technology and Services,Used the software for: 6-12 months
greythr,Pathetic Service,"Nothing to say, very pathetic service 1. Lack of technical expertise to handle the escalation 2. Complicated Interface 3. Lot of technical glitches after the latest update 4. Failing to inform the customers about the changes that happened in the portal 5. Unable to customise the things as per our requirements.",Emmanual J.,2.0,"June 27, 2024","1. Noting as such pathetic service looking to migrate to another platform like keka, bamboo, etc. We are exploring them.",1. Lack of technical expertise to handle the escalation 2. Complicated Interface 3. Lot of technical glitches after the latest update 4. Failing to inform the customers about the changes that happened in the portal 5. Unable to customise the things as per our requirements.,HR,Airlines/Aviation,Used the software for: 2+ years
greythr,User-Friendly and Cost-Effective HR Tool,"This is a great tool we can use and understand easily.Helps manage PF, ESI, TDS, and other statutory obligations with minimal manual effort.Handles salary calculations, tax deductions, payslips, and compliance. Saves significant time during payroll runs.",swapna P.,4.0,"June 25, 2025","Easy Understanding the tools and modules.Clean, user-friendly interface that makes daily tasks straightforward. Simple onboarding process for both admins and employees. Handles salary calculations, tax deductions, payslips, and compliance. Saves significant time during payroll runs. Quick Respons from GreytHR Team i like most this thing",Some times taking time to to open the application. If any updates in greytHR team has to inform the updates to users. users can understand the changes and they can update the things what can required.,Accountant,Information Technology and Services,Used the software for: 6-12 months
greythr,"this is not the greythr, it's Great peak HR, The legend HR for all the hr software., ","overall experience with the software is eco-friendly, easy to access. Agents are professional, to fast reaction.",Bille M.,5.0,"May 29, 2025","As HR i like payroll process, once adopt the greytHR Software. My work is simple and easy in the Employee engagement activates.","Ticket issues, resolved. in the quick action. Attendance tracking with swipe attachments, is quite slow. need to improve.,",HR Assistant Manager,Telecommunications,Used the software for: Less than 6 months
greythr,GreytHR-The great HRMS software ,"Overall, GreytHR is well-regarded for its robust HR and payroll functionalities, offering significant value to businesses seeking to automate their HR processes. While there are areas for improvement, such as enhancing customer support and reporting features, the software remains a popular choice among users.",Chandana P.,5.0,"April 4, 2025",User-friendly interface Comprehensive HR and payroll features,Occasional customer support delays Initial setup may be time-consuming,Sr HR,Construction,Used the software for: 2+ years
greythr,Great Platform for all Organizations.,Absolutely impressed with the product and especially the warm-hearted and helpful support people.,Rajeev K.,5.0,"February 20, 2025",Ease of use. Extensive help availability. Quick and detailed support from customer support.,There is nothing specific that I could point out. One minor irritant is the popups that come as soon as I log-in could be great if we could find some other method to get user attention for events and offers.,Director,Computer Networking,Used the software for: 2+ years
greythr,Dadabhai ksa greytHR,Overall is good. but you have to be upgraded some areas for user friendly. As per our experience users can not understanding the options rapidly.,Saleel M.,4.0,"March 20, 2025",I would like to greytHR overall developed style I most like the Mass email communication.,The main issues we are facing there is not available approved leave forms PDF printing option in greytHR.,Sr Accountant and HR admin,Airlines/Aviation,Used the software for: 1-2 years
greythr,Efficient HR Management with Room for Improvement,"I've had a good overall experience with GreytHR. It is a dependable and effective HR management application that makes personnel administration, payroll, and attendance tracking easier. HR procedures run more smoothly thanks to the automation features, which also save time and minimize errors.",Dominic R.,5.0,"March 12, 2025","GreytHR is easy to use and streamlines HR procedures through automation, increasing the effectiveness of payroll, attendance, and staff management. It increases overall productivity, decreases errors, and saves time.",The user interface could also be more modern and intuitive.,Regional Head,Education Management,Used the software for: 2+ years
greythr,greytHR Product Review,"greytHR is well-regarded for its ease of use, robust HR features, and its ability to streamline many HR functions",v S.,5.0,"December 24, 2024","It helps ensure businesses stay compliant with labor laws and regulations in India, particularly with regard to statutory requirements like PF, ESI, and tax calculations.also all type of hr activities",The tiered pricing model may not always feel justified for companies with simpler HR needs. try to reduce pricing,Asst Manager,Real Estate,Used the software for: 1-2 years
