product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
honeybeebase,Quick and Easy!,,Bert B.,5.0,"March 1, 2019","I like how quick it is to sign in, and how easy it is to post information.","I don't see any ""cons"" with this software. It's really easy to use.",Customer service,Retail,Used the software for: Less than 6 months
honeybeebase,Here for HoneybeeBase,"Overall I love the flexibility of the platform. It adapts well to different workflows, allowing customization that fits individual or team preferences. This adaptability has really streamlined my processes and boosted productivity.",Sean C.,4.0,"September 24, 2024","This product has a very user-friendly platform. Whether you're managing projects, collaborating with a team, or tracking progress. Honeybee makes it all so easy to use.",I felt overwhelmed by the number of options available. It took some time to figure out the best way to utilize certain features effectively with the help of customer service.,Intake Specialist,Non-Profit Organization Management,Used the software for: Less than 6 months
honeybeebase,Great Dev Side - Maybe Some UI improvements,"Solid. Easy for my managers to communicate, easy for clocking in and out, the application itself is quick. 9/10 just a bit too dated on the HTML/CSS/ JS side.",kathlene C.,3.0,"February 10, 2020","Well, it works. Buttons go where you need them to. Clocking in and out is the main point and it's easy to do. I've never had any api call or server errors. Everything seems up to speed.","It's a bit of an eyesore. I like the idea of a top nav with icons, but I'm not always sure which one to click on. I don't think you should have to think about a nav bar. Also, there's a lot of extra stuff on my home dashboard that I just don't need. I just need the clock in/out / break section, and the number of hours ive worked that week. The notifications on the left usually aren't that useful to me, but I can see why they're there. Beyond that, I rarely scroll to the bottom. Also the icons throughout look extremely outdated. Maybe it's the combination with the color palette? Maybe white icons? I get the honeybee idea, but I'm not sure all of the icons need to be black or with such heavy line weights.",Employee / Volunteer,Education Management,Used the software for: Less than 6 months
honeybeebase,A simple software for leading your team,"HoneybeeBase is a nice software for leading your team. HoneybeeBase works great for small businesses, start ups, restaurants and more. There is also a mobile app. It has an easy setup and any problems are addressed immediately. There are several features such as time and attendance, task management, time of tracking and employee scheduling. For example, time and attendance is very useful as it can provide an accurate and easy to use tracking for employee hours. With task management feature you can create tasks that can be assigned and managed. Employees can be notified of their assignments and the progress of the work can be monitored.",Chrysanthos S.,5.0,"July 8, 2022","There is an app that I can download into my phone Accesibility and easy of use Able to clock in off-site There are several features that can be used such as attendance, task management, time of tracking and scheduling The price is low",I don’t have any real dislikes about the software. Sometimes the app on my phone accidentally clocks me in. Very rarely the software freezes but afte few seconds is working ok.,Teacher,Education Management,Used the software for: 1-2 years
honeybeebase,Excellent product,Overall I am very happy with the product. The customer service is exceptional. I cannot rave enough on that. I always get a response almost immediately and that in itself makes this an awesome product.,Cathy B.,5.0,"January 31, 2020",It's very easy to use and implement. The customer service is awesome.,"I cannot enter our holidays across the board for all employees. I have to enter each holiday for each employee individually which is very time consuming. Also wish there was a way to make a group punch, such as when we were closed due to power outage or because of a hurricane evacuation, etc..... and employees received admin leave with pay. I had to enter each one individually. Our employees are not allowed to enter or make adjustments on their time sheets. They can only clock in and out.",Administrative Assistant,Government Administration,Used the software for: 6-12 months
honeybeebase,Honeybee is a valuable tool for time tracking and management,"The fact that employees can visibly see their vacation/personal time, and keep track of their own schedule is a huge benefit to time spent contacting HR with questions.",Drew P.,4.0,"January 31, 2020","It's ease of use. Once logged in, the software is user-friendly after 10 minutes of training. Hours worked, vacation/personal time, all the valuable information is right in front of you, like a dashboard. Easy to enter time off requests, messages are displayed where they are most visible.","Working with a vehicle manufacturer, the systems they have in place slow the software down. At times, you clock out for lunch, and are waiting for the software to catch up and record the time. I don't believe this is attributed to the software itself though.",Warranty Analyst,Automotive,Used the software for: 1-2 years
honeybeebase,Great Tracking!,"We have been able to drastically reduce out absenteeism and tardiness, the employees are held accountable for their actions and can see it in one dashboard. Prior to this we did not have a time clock, and had tons of late employees as well as tardy employees. the point system for absences was a great way for the employees to realize the amount of call offs they made",Cory C.,5.0,"January 31, 2020",The ease of seeing all reporting employees in one location,I had some issues when attempting to export the reports for payroll records,Team Lead,Automotive,Used the software for: 1-2 years
honeybeebase,Honeybee Review,I feel that this has eased a burden on my employer for helping track time. I know that it is frustrating and time consuming on the bosses when an employees forgets to clock in.,Crystal G.,4.0,"February 10, 2020","Accessibility, ease of using the phone app. We have a lot of agents in the field, and that travel for work after hours. This program helps track their work time and helps alleviate our Workers Compensation concerns when they are not in the office. I am sure that most companies do not think about from that perspective.","The bugs in the software, when it freezes, or throws an error, which I understand sometimes is operator error.",Insurance Agent,Insurance,Used the software for: 6-12 months
honeybeebase,"Overall, Great!","Currently rolling out to the entire team, but it has made the vacation request & tracking extremely efficient as well as the time clock feature giving direct responsibility back to the employees.",Thomas H.,4.0,"February 20, 2019","Ease of adding employees, constantly adding updates and great customer support.","You can tell this tool is oriented towards smaller groups. For example, doing mass updates is not possible with vacation allowances or locations access. I had to manually modify the location for 67 employees 1 by 1. When mass updating it would be a god send to be able to input hire date and employee number instead of one by one later. While the knowledge section is a great starter, there is much left that's needed, specifically for managers , supervisors, and the account owners. There are several aspects that are missing from the tool, for example the absent function. When searching for it in the knowledge base, no results returned. How is it intended to be used?What can it be used for? Is there a way to set specific holidays? I'm not sure at this point still. I'd hate to have to add it for 130 agents, or even add 6 different accruement policies.",Manager,Automotive,Used the software for: Less than 6 months
honeybeebase,Great Software ,,Zachary M.,5.0,"March 9, 2019",I like that I am able to setup multiple departments within a company but for many that would be different physical locations. Instead of that function I would like to see site functionality button. So I can setup different locations.,There is not much I do not like about the software. The worse part would be the breadcrumbs (the link clicking) do not always take you back to where you were.,Manager,Food & Beverages,Used the software for: 1-2 years
honeybeebase,Good product for the price.,,Amy F.,3.0,"January 31, 2020",It's cheap and aesthetically pleasing. Easy for staff to use. The mobile app is nice.,No time rounding. Some PTO settings seem to have issues and don't add correct accruals. This requires manual adjustments.,Finance Manager,Non-Profit Organization Management,Used the software for: 1-2 years
honeybeebase,Tracking my students at clinical,We did a trial semester then a full semester and now are continuing to use the product.,Helen R.,4.0,"February 5, 2020",I could easily get a message from my students when they arrived and left clinical. I could text back and forth with my group. I could follow their attendance. I could document if they were late.,My students forget to sign in or out. It needs an alarm clock reminder.,Professor of Nursing,Higher Education,Used the software for: 6-12 months
honeybeebase,Ease of use and access to my information,I think all the people in our department are very satisfied with the program. I am only a user. The administrators may be able to say more.,Aamir H.,5.0,"January 31, 2020","The software is very user friendly. It provides access, in detail, to all the information I need about my working hours, etc. It gives speedy access which I like a lot.",My use of this software is at a basic level but so far there is not much I would complain about.,Intl. Programs Coordinator,Education Management,Used the software for: 2+ years
honeybeebase,Review,"The glitches are frustrating, great idea though",Liberty S.,3.0,"January 31, 2020",The ability to clock in or out when visiting other sites or offices and not being tied to a time clock or computer with a certain program,The software does not always work. I can clock out and come back into program and it shows that I am not clocked out. So there has to be a time fix.,Asst. District Attorney,Law Enforcement,Used the software for: 6-12 months
honeybeebase,Review of the Bee,Overall it's been great to use,Marie M.,5.0,"January 31, 2020",It's simple to use and easy to keep track of your time,It lags a lot of the time when clocking in and out during the day for lunch.,Warranty Consultant,Automotive,Used the software for: 1-2 years
honeybeebase,Ok to Use,Easier to use than a punch time clock.,Michele G.,3.0,"February 4, 2020",It's great when it works. Weather sometimes affects it.,Sometimes I can't use it. Won't work properly.,Executive Secretary I,Consumer Services,Used the software for: 1-2 years
honeybeebase,Feedback,Have had a lot of issue with it,Nicole T.,3.0,"February 5, 2020","Easy lay out / use, I like that my HR team handles everything and all I have to do is clock in or out",Freezes alot and you have to wait for bee to completely stop spinning before you can be sure you clocked out or in,Account Exec,E-Learning,Used the software for: 6-12 months
honeybeebase,Great App!,,Christine U.,5.0,"February 10, 2020",What I like best about the software is the app that I can download onto my phone. I start my day out at properties and this lets my team know where I am.,There is nothing that I dislike about the software.,Property Manager,Real Estate,Used the software for: 6-12 months
honeybeebase,EXTREMELY SLOW,,theodore W.,3.0,"January 31, 2020",HAVING THE ABILITY TO PUNCH IN AND OUT ON OUR CELL PHONES WHEN IT WORKS,EXTREMELY SLOW TO LOAD AND REPOND ON ALL OUR PHONES HERE. EASY TO FORGET TO PUNCH IN AND OUT,SERVICE WRITER,Automotive,Used the software for: 6-12 months
honeybeebase,Non-Required,,Jeannette L.,4.0,"February 10, 2020","It will track vacation, sick and holiday time/hours",Should trust your employees and know that if their work is being done you don't need to track their time.,Senior Property Controller,Real Estate,Used the software for: 6-12 months
honeybeebase,10/24/18 Environmental Laboratory Review,Customer service is outstanding. Honeybeebase worked with us to create a function for paid time off based on custom dates versus date of hire.,Marcy B.,5.0,"October 24, 2018","The ability to see real time employee Human Resource information, the ability to assign users to a specific supervisor, the ability to assign rights to users, user access to paid time off accruals and a web based time clock system. The software also provides a means to create quizzes and print certificates. The customer support team provides on-line training, answers questions promptly by email and helps populate users in the software.",Honeybeebase provide on-line training but as with any new software product it is a little difficult to find some of the functions.,President,Environmental Services,Used the software for: Less than 6 months
honeybeebase,Honey Bee,,Ray P.,4.0,"February 10, 2020",What I like the most about this software is how easy it is to use.,There is nothing that I dislike about this software.,Property Manager,Real Estate,Used the software for: 6-12 months
honeybeebase,Mobile time clock ,,Cain T.,4.0,"February 6, 2020",Having a mobile time clock is very useful in our industry.,Some of the click throughs are not user friendly,Owner,Construction,Used the software for: 6-12 months
honeybeebase,Very User Friendly,,Colleen G.,5.0,"February 5, 2020",I like how user friendly the software is.,There is nothing I dislike about the software.,Administrative Assistant,Real Estate,Used the software for: 6-12 months
honeybeebase,Fantastic software that is accurate and easy to use. ,"The price, service, and actual product it great. Reports are neat and much easier to use than our last company we were using.",Kate A.,5.0,"December 12, 2017","This software is extremely user-friendly. We have employees from all age ranges and everyone uses it daily with ease. The customer service is also phenomenal. Extremely fast with their responses to any questions we have. They provide hands-on training, and so much more. Can't recommend enough.",,President,Used the software for: Less than 6 months,
