product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
itcs_webclock,Get what you want with ITCS-webclock,,Andrew W.,4.0,"December 23, 2024",My love for this tool goes to the use of biometric while integration while checking in to work. It works magnificiently,There is limited support and they are unresponsive when you need them,ERP specialist,Banking,Used the software for: 1-2 years
itcs_webclock,Make Time For WebClock!,"Compliance, reliability, dependability and accountability. Kind of says it all when you don't have a good time system.",Kurt R.,5.0,"June 17, 2022","Great sales discipline. Listened to our needs and didn't push for things we don't need right now. Once we agreed on what to move forward with, implementation became the priority. Our sales person stayed involved all the way through to make sure the implementation was seamless and successful. I felt like I was part of the team and process.",Would like the software to not allow employees to punch in or out unless their GPS is enabled.,owner,Facilities Services,Used the software for: Less than 6 months
itcs_webclock,Training needs work,,Amanda S.,3.0,"October 21, 2022",I like the idea of this software. Keeping track of PTO and employee time.,"Taylored training is a must. Better set up is a must. When there is an issue, instead of figuring out what the issue was, they wanted us to force balance the time. Which means, we would be doing that forever. I let the trainer know, that instead of that, it would be better to figure out what was wrong so that it could be fixed going forward. That conversation was after I figured out what the problems were.",Billing Manager,Medical Practice,Used the software for: Less than 6 months
itcs_webclock,A great ease of use with this company,"Easy, fast and simple. i am able to count on my hours being tracked correctly with this program.",Bryson G.,5.0,"January 4, 2025",the ease of use within the time clock feature,"nothing to dislike, the software is easy to use and understand",CRNA,Medical Practice,Used the software for: 1-2 years
itcs_webclock,webclock review,"Overall, ITCS-WebClock is a dependable time management tool that streamlines workforce management. While it could benefit from improved customization and a modernized interface, it delivers on its core functionalities effectively.",khalil B.,4.0,"January 14, 2025","The system is user-friendly, with intuitive navigation and reliable time tracking features. It simplifies employee scheduling and ensures accurate record-keeping.","The reporting tools could be more customizable, and the interface sometimes feels outdated compared to modern software standards.",manager,Food & Beverages,Used the software for: 6-12 months
itcs_webclock,If I have any chance to work with them I like to work with them.and definitely recommend others.,It's a great experience with the working projects and all the new technology that they are using.,Patel D.,4.0,"January 8, 2025",I like the most is the service's are the best.,The working projects is that I like most.,Engeriing,Computer Hardware,Used the software for: 6-12 months
itcs_webclock,Couldn't be happier!,"The set up and integration were easy and completed without issue and within the promised timeframe, the team at WebClock is phenomenal. Training for my staff was informative and customized to provide what we needed, when we needed it, and delivered to who we needed it delivered to. Working with Travis was (and remains) a pleasure. Customer Support is knowledgeable and responsive. Overall the system does what we need it to do without issue and the people behind the system have proven that they take personal responsibility for the product that they put out. They were willing to make changes within the system to accommodate some specific needs that we had and worked with me to make sure that the platform not only met but exceeded our needs and expectations. Honestly not what I expected going in, as my previous experiences in this arena have been less than stellar, it is nice to know that there are companies out there that still care about not only the product that they put out but the end user and their experience in the environment.",Jules C.,5.0,"September 4, 2019","It works the way I need it to work, consistently. That is a big deal when you have 140 employees in multiple states and at 6 locations. Since the switch I have been able to stop thinking about time and labor management every minute of the day.",There isn't anything that I can say I dislike about the platform.,"Vice President, Human Resources","Health, Wellness and Fitness",Used the software for: 6-12 months
itcs_webclock,Portmeirion Group ,,Paula H.,5.0,"October 28, 2022",This product is easy to use and helpful when you have to modify weekly timesheets and run employee's PTO / vacation time/ audit reports.,The delay from entering the New Hire into the Engage system to waiting almost 2 hours for the new hire information to port over to the Web Clock system.,HR Coordinator,Import and Export,Used the software for: 2+ years
itcs_webclock,Good job,,Emre Ç.,5.0,"September 9, 2022","""Simple and Easy to Use"". I integrated it into my payroll and it worked flawlessly. The overall quality is good.","In general, I did not have a problem and I was satisfied. customer service responds very quickly when you have a problem.",Software developer,Computer Software,Used the software for: 2+ years
itcs_webclock,Loving WebClock!!!,,Verified Reviewer,5.0,"September 22, 2022",Ease of integration and user interface make it easy for users to time track and accurately report their time,No issues encountered. Loving every bit of this new product,IT Project Manager,Information Technology and Services,Used the software for: Less than 6 months
itcs_webclock,Ceo ,Very dependable software. Excellent support - [SENSITIVE CONTENT] did an awesome job assisting us.,Christopher S.,5.0,"October 20, 2022",Minimal maintenance and extent of reporting capibility,There is nothing I have found yet that I felt fail short.,CEO/Admin,Medical Practice,Used the software for: 2+ years
itcs_webclock,I'm very satisfied,,Darrin E.,4.0,"September 23, 2022","The software has very easy access and very informal information, to lead you to a solution if there are any problems.",There is nothing to add other than you are doing a great job.,Owner,Construction,Used the software for: 1-2 years
itcs_webclock,Office Mgr.,Good,Nellene H.,5.0,"September 22, 2022",It also does my PBJ hours for us and they submit to CMS. :),Issues with internet with phone app working and just some days logging in.,Office Mgr,Hospital & Health Care,Used the software for: 2+ years
itcs_webclock,[SENSITIVE CONTENT] is the best!,,Antionette B.,4.0,"January 6, 2023",The ease of tracking time and running reports.,Not being able to customize the look and color.,Sr. HR Generalist,Mental Health Care,Used the software for: 1-2 years
itcs_webclock,"Great team, great product ",The team is very responsive and helpful.,Jackie R.,5.0,"December 29, 2022",The service is easy to set up and extremely easy to use.,Any feature requests we had were acknowledges and either worked or are scheduled to be worked.,CEO,Computer Software,Used the software for: 6-12 months
itcs_webclock,Great Service ,,Tonya T.,5.0,"December 3, 2021",The ease of use and ability to customize,There is nothing that I haven't been able to work through to dislike.,Director of Employment Engineering,Staffing and Recruiting,Used the software for: 6-12 months
itcs_webclock,Works well,Simple product that does the job we need,Angela M.,4.0,"June 30, 2022",Product is simple with options to expand,occassional glitches when we cannot access the software online,Business Manager,Medical Practice,Used the software for: 1-2 years
