product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
memtime,Efficient Time Tracking Made Easy with TimeBro,Love it.,Bob D.,4.0,"August 25, 2023","I've been using TimeBro for my time tracking needs, and I must say, it's been a game changer. This software has truly made time tracking efficient and hassle-free for me. Not only does it help me keep track of my work hours effortlessly, but it also saves me valuable time that I can dedicate to more important tasks.One of the standout features of TimeBro is its user-friendly interface. Setting up projects and tracking time is a breeze, even for someone like me who isn't particularly tech-savvy. The intuitive design makes the entire process seamless and enjoyable.What really sets TimeBro apart, though, is the exceptional customer support. Whenever I've had a question or needed assistance, their team has been incredibly responsive and helpful. It's reassuring to know that if I encounter any issues, I can rely on their support to quickly resolve them.Overall, TimeBro has become an indispensable tool in my workflow. It simplifies time tracking, boosts my productivity, and the top-notch customer support is the cherry on top. I'm genuinely impressed with how it has improved my work efficiency. If you're looking for a reliable and user-friendly time tracking software, I highly recommend giving TimeBro a try.","I still lose some time with the final export. I really need a chronological order of the time spent. It exports everything in order of the projects which is not how I'd like to get the final document. Bit of a hassle to manually do this in excel at the end. However, still saving time.",Owner,Food & Beverages,Used the software for: Less than 6 months
memtime,Automatic Time Tracking Saved me,It was easy to install and use. Grateful to have it.,LaDawn D.,5.0,"December 16, 2022","I was having issues tracking my time. Working for a consulting company has made this a critical part of my job. No other tool worked as well with automatic tracking as TimeBro. I pay for it myself and it is well worth the investment. I would love to see the rest of the company move in this direction. As long as there is an affordable single user option, I will always use this product.",I have had some weird issues with my computer restarting or closing a Zoom or Teams meeting. I don't know why and it may not be related to Timebro at all. I am curious if the automatic tracking is what is causing the crash.,Tech Consultant,Human Resources,Used the software for: 1-2 years
memtime,Worst customer service,"Terrible! I would never use this again, they’re a bunch of cheap cnts",Gupi M.,1.0,"April 28, 2025","I don’t have anything nice to say about the app, it’s shit at its purpose, and it’s worse to talk to the people behind the app.","Worst customer service, they chase you to the end of the world even after you finish your subscription and cancel your cards they’ll send you debt collectors to get paid for the months you don’t use the app! Stay away!!!",Design manager,Architecture & Planning,Used the software for: 6-12 months
memtime,Comprehensive time tracking with minimal overhead,I do a lot of consulting work for my clients which requires that I read through many documents and write reports. I needed a way to track how I spend in research and in writing and I needed to be able to split it out by client. What I love about timeBro is that it automatically tracks what I'm doing and shows the titles of the docs I'm reading or writing so I can easily categorise which client to bill.,Robin W.,5.0,"July 14, 2021",The automatic time-tracking is the best feature from my perspective. I have having to interrupt my flow in order to log my time. I love the way timeBro shows me the application I was working in as well as the title of the document.,There are many additional features built into timeBro that I will never use.,Instructor,Computer Software,Used the software for: Less than 6 months
memtime,timeBro is great for tracking time,,Sophie C.,5.0,"December 17, 2022",Being able to assign activities to different projects is very helpful for me in completing my time sheet weekly.,I wish it were possible to search keywords and assign projects automatically. I also wish there were a free version.,Assistant Vice President,Civil Engineering,Used the software for: 1-2 years
memtime,Great for time tracking ,,Kate M.,4.0,"April 27, 2023","Really easy to connect to calenders and tag time tracking against projects, to enable accurate time sheets and costings for clients, which in turn helps me accurately estimate my time for future clients","I'd like it to have more automated functions, like being able to pull a weekly or monthly report rather than daily ones I then have to collate.",Creative Producer,Events Services,Used the software for: Less than 6 months
memtime,Stable Time Tracking,"I work for short periods on multiple items for multiple clients and without timebro, its easy to forget to log the time involved when I switch between, and lose hours. With this you won't. It is basic compared to the competition but the tracking itself is really accurate, which is the most important part (for me at least).",Tim A.,4.0,"December 16, 2022","Simple to installSimple to use,Rock steady automatic time tracking (I tried several of the competitors before deciding on timebro and its the most consistent by far if working on multiple projects and software)Tracks software and filenames so fairly easy to log time even if you leave it a few days before getting back to it.","Options outside of tracking are pretty basicNo cloud-based backup of log or online version of it (as far as I can see)No cost and a budget tracking (inbuilt as far as I can see)Can be hard to categorise projects and logging the time against specifics within multiple projects can be laborious compared to competitors - that's largely down to the basic UI).Can occasionally just stop tracking (restart of the machine starts it again, but can be tricky if you are relying on it and dont spot it for a day)",Designer,Design,Used the software for: Less than 6 months
memtime,TimeBro saves me so much time and frustration! ,I love this product and have suggested it to many of my clients.,Danielle R.,5.0,"December 16, 2022",Timebro helps me track every thing we need in the moment!,It is not easy to download reports with editable fields,CEO,Marketing and Advertising,Used the software for: 6-12 months
memtime,timeBro s the best,Great time tracker software for a legal practice.,Polly M.,5.0,"August 24, 2021",Very easy to use. Always running. Error proof. Great customer service.,I have no complaints about the software. It lets me see my time easily and quickly.,Owner/Attorney,Law Practice,Used the software for: 6-12 months
memtime,timeBro keeps track of your work so you can accurately log time and bill for it,"Totally great experience - and the customer support is amazing. For example, I had a request to pull task lists from Teamwork a little differently than how they were doing it, and they agreed to my request.. within just a couple of weeks, they built and deployed a feature that totally helped my workflow!",Rob W.,5.0,"August 19, 2021","It's great to be able to look back and see what I've done throughout the day. I work across many clients and many projects with many tasks. At the end of my day, I have a hard time remembering what I did.. timeBro helps remind me so that I can log my time correctly.",Sometimes there feels like there's a slowness issue between timeBro and Outlook.,"Partner, Interactive Director",Marketing and Advertising,Used the software for: 6-12 months
