product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
papershift,Great application and customer service,,Josef C.,5.0,"May 27, 2019",Ease of use and the performance (fast loading speeds). Very customizable.,Missing mobile and tablet app functionalifies,CEO,Information Technology and Services,Used the software for: Less than 6 months
papershift,Definitive allrounder,Implementing the program in the organisation was rather easy and everybody seemed to get along with it from the very begining very nicely.,Miguel A. R.,4.0,"August 12, 2019",The use is very instinctive and user friendly. It is highly customisable.,It does crush regularly and sometimer it does take way to long to load.,Head of Department,Marketing and Advertising,Used the software for: 2+ years
papershift,poor overall impression,Everyone is hating papershift (also the responsible) in our company. I can't take my free time because Papershift is not able to calc it SINCE 6 MONTHS !!!,Carsten A.,2.0,"May 27, 2019","nothing, but it is very colourful :-(","Changes from superior are not reported by email, time calculation not working since 6 month, confusing design, chat support is very awkward",Systemadministrator,Media Production,Used the software for: Less than 6 months
papershift,The one tool I use everyday,"There are functionalities for everything I need. It fits perfectly in my daily job. It helps me to manage my times, organise my vacations, track my overtimes.",Albin B.,5.0,"July 26, 2019","Easy to use tool with all the necessary options and beyond. It helps me easily manage, track and organise my times on a daily basis.","I basically like everything. However the mobile app wasn't on its best, but the web app is good enough to cover the mobile need as well.",Web developer,Information Technology and Services,Used the software for: 2+ years
papershift,Really flexible ,"6 hotels, mostly student staff that needs to change shifts frequently. Different hours every month",Peter F.,5.0,"July 12, 2019","Intuitive to use, fast, platform independent","App, sometime the menu is confusing. Diagrams would be great.",Front Office Manager,Hospitality,Used the software for: 2+ years
papershift,Very easy to use ,"I use every week to check the shifts at work, which is very simple and easy.",Maria S.,4.0,"June 18, 2021",I like how simple and easy the app is to use that it is helpful to what I need to do.,I had some difficulties finding extra settings. I want to use more than I usually do.,Designer,Marketing and Advertising,Used the software for: 1-2 years
papershift,The apt forware for your payroll attendance tracking,This has been nice and satisfactory to business needs making it worth the deal,Aditya Y.,5.0,"March 12, 2021","The easiness of punch-in & out for employees, the leave balance, hour balance is clearly shown. The application of leave and work tags make it easier to communicate with the administrator.",The onboarding can be more helpful overall but it was still good.,Senior Software Engineer,Information Technology and Services,Used the software for: 2+ years
papershift,Excellent product,Overall we had a great experience with Papershift so far. Especially the support is excellent and very supportive when one is having issues or need help with certain features.,Volker P.,5.0,"July 12, 2019",At our doctors office we were looking for an easy to use software to track our employees working hours. With the support from the Papaershift team it was easy and really straightforward. It’s easy to use for the daily tasks and even the monthly accounting based on the Papershift reports is much easier and faster.,"Sometimes I had some difficulties to find the right settings in the many different settings pages. But as one doesn’t need those on a daily base, it‘s not a big deal.",Office Manager,Hospital & Health Care,Used the software for: 1-2 years
papershift,Bye bye to cumbersome excel worksheets ! ,Got rid of cumbersome excel worksheets GIven access to to employees More dynamic shift plans,Gernot S.,5.0,"July 1, 2019",Within a short time I got rid of the excel worksheet which I used to to my shift planning. Now I can also ask other employees to do this work and the employees love it because they get access to it from their smartphones. I am not using all features but the extract of worked hours goes straight into my accounting system.,I am looking for a more direct way to print the shift plan without going through export and download. But at the rate of change the product is experiencing I think this will come soon.,Owner,Food & Beverages,Used the software for: 6-12 months
papershift,A versatile and easy to use Tool,It was good. I barely had any problems and would recommend using it for your company.,Fatih E.,4.0,"May 27, 2019","The simpleness. Being able to do your work and applying your times easily, without hassle.",A little bit slow and that it's accessed through a website. A dedicated app would be much better.,Disposition Außendienst - Deutsche Telekom,Telecommunications,Used the software for: 6-12 months
