product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
peoplelink,Peoplelink - i clienti sempre al primo posto!,Esperienza complessivamente molto positiva. Assistenza sempre presente e veloce nella risoluzione di eventuali problematiche sorte. Impegno costante per cercare di soddisfare tutte le esigenze rilevate dal cliente.,Barbara M.,5.0,"October 23, 2023","Facilità di utilizzo, adattabilità alle esigenze aziendali, eccellente assistenza clienti.",In alcuni casi impossibilità di implementazione di alcune funzionalità per ottenere i risultati richiesti.,Responsabile Risorse Umane,Environmental Services,Used the software for: 2+ years
peoplelink,Software completo ed intuitivo per la gestione del personale,Il prodotto è completo e permette la gestione semplice e completa delle tematiche relative alla gestione delle risorse umane utilizzando interfacce utente intuitive e fornendo report dettagliati e personalizzabili. Il team People Link è molto disponibile e competente.,Emanuele R.,5.0,"March 12, 2023","La parte più importante e facile da usare è la gestione dei cartellini e dei giustificativi da inserire che permette di risparmiare molto tempo. Fondamentale la possibilità di report personalizzati che consente di monitorare in modo completo e rapido l'andamento delle ore lavorate anche su diversi sede operative.Rapidi ed efficienti nell'installazione, competenti e cortesi. Nei primi 30 giorni di collaborazione è stato realizzato più di quanto abbia fatto il fornitore precedente in 5 mesi.",Ad oggi non emergono aspetti negativi da segnalare.,Imprenditore,Outsourcing/Offshoring,Used the software for: Less than 6 months
peoplelink,People@Time,"L'esperienza è più che positiva, ora possiamo gestire i dipendenti divisi su 3 sedi senza costi aggiuntivi, i giustificativi sono digitalizzati e approvati/rifiutati dai responsabili anche quando sono fuori ufficio. I dipendenti hanno maggior controllo sulle loro timbrature/richieste ed HR ha in tempo reale la visibilità dello stato della forza lavoro. HR ha ridotto le attività di inserimento nel sistema dei giustificativi cartacei con conseguente incremento di produttività e riduzione degli errori",Verified Reviewer,5.0,"July 18, 2022","Rilevazione presenze semplice ed efficace, gli utenti hanno piena visione delle entrate/uscite. Possibilità di definire orari di lavoro con automatismi per tempi di flessibilità e abbuoni automatici. Approvazione/rifiuto delle richieste di assenza/extra-orario dall'eMail di notifica oltre che dal portale.","Come in tutti i progetti complessi c'è stato un periodo di rodaggio durato circa 30 giorni, una volta definiti tutti i parametri il sistema risponde ottimamente alle varie casistiche. Possibilità di modificare una richiesta di assenza/extra orario già approvata. E' possibile migliorare l'auditing esistente con report/viste che presentino i dati in un unico prospetto per facilitare il monitoraggio di ferie/permessi/extra orario/... oppure presenti/assenti di un dato periodo di tempo per un singolo/unità organizzativa/tutti dipendenti.",IT Manager,Religious Institutions,Used the software for: Less than 6 months
peoplelink,CLOUD per tutti,OGNI GIORNO RIMANGO SODDISFATTO DALLE RISPOSTE DEL SOFTWARE. MI HA PERMESSO DI RISOLVERE IN MANIERA ABBASTANZA SEMPLICE PROBLEMI CHE ALTRI SOFTWARE NON RISPONDEVANO ALLE MIE necessità,Massimo M.,5.0,"March 3, 2023","INTUITIVO, FACILE, VELOCE, PERSONALIZZABILE, PERFORMANTE, bella grafica","AMPLIARE LE FUNZIONALITA' SULLE app, migliorare i log di accesso e modifica dei dati",Libero professionista,Information Technology and Services,Used the software for: 2+ years
peoplelink,Ottimo prodotto,,Sabrina F.,5.0,"July 17, 2023","L’esperienza con Peoplelink è stata fino ad oggi perfetta, molto soddisfacente da tutti i punti di vista. Peoplelink è riuscita a migliorare la qualità e l’efficienza del lavoro di tutti all’interno dell’azienda. Il portale e la app sono molto intuitivi, completi e personalizzabili. Il servizio di implementazione e di supporto è eccellente. Qualsiasi necessità è stata ascoltata e si è cercato di trovare una soluzione.La professionalità e l’empatia sono le caratteristiche principali che desidero far emergere della mia esperienza con Peoplelink.",Inserirei ulteriori dashboard già preimpostate di analisi per i responsabili,Global HR Director,Luxury Goods & Jewelry,Used the software for: 6-12 months
peoplelink,Gestione delle presenze ,Molto soddisfacente.,Paola S.,5.0,"November 25, 2021","La velocità di estrazione dei dati, di tabelle personalizzate e di analisi delle informazioni. Ottimo anche l'integrazione dei dati con altri sistemi software.",Alcune estrazioni di dati particolarmente complesse ma conseguenti a politiche aziendali messe in atto dal Cliente molto complicate nella gestione di alcuni report di dati. In questi casi la richiesta di personalizzazioni non é sempre conveniente.,Impiegata,Biotechnology,Used the software for: 2+ years
peoplelink,Neo utilizzatore senza esperienza,,Luca F.,5.0,"December 4, 2023",Facilità di utilizzo e accessibilità da qualsiasi dispositivo. Disponibilità nell'assistenza al cliente per ogni genere di problematica possa insorgere o necessità di implementazione/sviluppo delle nuove funzionalità.,"Alcune funzioni poco immediate da comprendere, risolvibili con l'esperienza di utilizzo.",Impiegato,Environmental Services,Used the software for: Less than 6 months
peoplelink,Ottimo servizio,Peoplelink permette di creare una moltitudine di range e turnazioni per poter risolvere le anomalie date dalle timbrature dei dipendenti. Questo aspetto è veramente utile per poter andare incontro alle esigenze lavorative di ognuno.,Verified Reviewer,5.0,"July 12, 2022","È molto funzionale, semplice ed immediato nell'utilizzo. Permette una gestione globale delle utenze: dal monitoraggio delle timbrature, alla registrazione degli attestati nelle anagrafiche; inoltre le app ad esso collegate sono molto intuitive e semplificano il lavoro.","Sulla base dell'utilizzo che ne faccio, al momento non c'è niente che non mi piaccia del software, penso sia veramente ben fatto!",Impiegata amministrativa HR,Logistics and Supply Chain,Used the software for: 6-12 months
peoplelink,Piattaforma semplice ed intuitiva per tutti gli utenti,"Peoplelink rimane comodo e facilita la gestione delle presenze, ma non è perfetto. In certi passaggi andrebbe sistemato e rivisto, ma nel contempo aiuta molto la rilevazione presenze e gestione cartellini.",Fabio S.,4.0,"May 12, 2021","La parte più importante e facile da usare è la gestione del proprio cartellino e dei giustificativi da inserire, il sistema mi è piaciuto molto per la semplicità e l'interfaccia intuitiva della piattaforma web.","La parte più complicata rimangono i settaggi e le varie impostazioni lato amministrativo, le quali in certe sezioni diventano leggermente complesse. Questo lo rende per un certo senso difficile da sistemare senza il supporto dell'Help desk, nonostante le pratiche guide dedicate per ogni sezione che si trovano sulla stessa piattaforma in certi punti il sistema è poco intuitivo.",Sistemista,International Trade and Development,Used the software for: 6-12 months
peoplelink,Un software da consigliare,,Mirko S.,5.0,"May 25, 2021","Prodotto altamente flessibile che riesce ad adattarsi alle esigenze più particolari delle aziende. Per lavoro ho avuto modo di utilizzare anche altri programmi ma questo è sicuramente il più ""plasmabile""",Per adesso non ho trovato alcuna nota negativa da segnalare,Consulente del lavoro,Human Resources,Used the software for: 6-12 months
