product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
qandle,Qandle for HR works,"Overall experience with Qandle is amazing, will suggest to other users also .",Verified Reviewer,4.0,"January 1, 2023",I most liked about Qandle is it's payroll management and Onboarding feature which provides best experience.,"As using for long this software is good, yet price feel more , all other are user friendly experience.",Jr. Software developer,Financial Services,Used the software for: 6-12 months
qandle,Qandle - The HR Solution,User Friendly Comprehensive Smooth On-boarding and Off-boarding,Gopika R.,5.0,"April 3, 2025",Effectivity User Friendly Employee management,No complains as such works great for employee management,Senior Executive - Digital business,E-Learning,Used the software for: 1-2 years
qandle,Just your average HR tool,Not worth the money.,Verified Reviewer,3.0,"September 17, 2022",It is really user friendly and the features and options are really less.,Lots of bugs and the application crashes at times. Does not save your login and password.,SDE,Computer Software,Used the software for: 1-2 years
qandle,Great experience ,My overall experience with Qandle is very good,Shailesh B.,5.0,"September 7, 2024",All are about good experience Very good,Attendent system is very punctual and honest,Manager,Construction,Used the software for: Less than 6 months
qandle,Saurabh review on qandle,Its too Good coz im not used app before,Saurabh A.,5.0,"August 4, 2024","Interface is very good , All my details available on it",Notifications system of qandle get all information through mail,Manager,Civil Engineering,Used the software for: 1-2 years
qandle,And easy ro use feature rich and user-friendly tool,A feel good HR tool which is user-friendly and not that complex,Sanket S.,4.0,"July 13, 2021",The most important thing for me is how easy it is to use and it covers all the important aspects,At some places editing a field and saving it is laggy and can be improved,Senior Software Engineer,Computer Software,Used the software for: 6-12 months
qandle,Decent portal in mid range,,Verified Reviewer,4.0,"July 13, 2022","The compensation management module is decent, has been able to manage the database of employees with an ease","Lags a lot, customer support has been poor, geo-tagging has an issue, implication of new modules is very slow",HR,Human Resources,Used the software for: 1-2 years
qandle,UI - UX King,,Kumar G.,4.0,"November 19, 2020",1). Support from Qandle team - 5/5 2). Fluid UI 3). Extremely user friendly 4). All in one product,Full and final module and related reports,HR Manager,E-Learning,Used the software for: 1-2 years
qandle,A must have scalable great HRMS,,Sukhpreet S.,5.0,"April 16, 2021",Everything is fabulous. From user management to payroll and capturing right data. Not to mention that their after sales support and continuous customer success teams are simply phenomenal,There has been nothing that is unlikeable about this product.,Head- Human Resources,Automotive,Used the software for: 2+ years
qandle,Qandle - An employee friendly experience,"We have been using Qandle for more than 2 years now. We feel happy and satisfied. The team is very helpful and extend support 24*7. Plus they customise modules as per our demands. Trust me, this is the best part!",Rimakshi C.,5.0,"November 10, 2020","We loved it's interface the maximum. But above all, the recruitment module has helped us to streamline the hiring process. We can now generate various reports from the system.",There can be more improvement in regards to adding more options to the performance modules.,Senior HR Manager,Marketing and Advertising,Used the software for: 2+ years
qandle,Great Tool | Really intuitive to Use,- Payroll Operations TAT - Transforming and manintaing a High Performance Culture - Query Management - Accuracy and Transparency of Data,Mohammad H.,5.0,"March 18, 2021",- Intuitive Product for Use - Well Defined Workflows with remarkable UI - True Focus on Customer Service,"While it handles important HR processes, they would attain a certain level of depth with time. This is a common issue with all maturing products",Director,Automotive,Used the software for: 2+ years
qandle,HRIS for the modern workforce,,Shreya R.,5.0,"June 19, 2021","Qandle is extremely easy to understand and use. Their support team is always ready to go out of their way to help you and work on the feedback provided by you. As they are also a startup, they will customise and add features according to your needs.",Not a con as such but as a startup they also have their learning curves which might make resolving some of your issues take some time. But they always come through.,Senior HR,Staffing and Recruiting,Used the software for: 1-2 years
qandle,HR management for employees,,Nikhil F.,4.0,"January 1, 2023",Leaves management is best feature just by clicking on it we can view all our leaves taken and also status for the leave applied for,Cost is bit high rest all features are best,Quality engineer,Telecommunications,Used the software for: Less than 6 months
qandle,Good ,,Mr.Faiz A.,4.0,"May 20, 2021",I really like the features and the tools that helps us to access the related things about our organisation and make our every second count.,There errors occur more frequently and lots of corrections should be done to make it bug free.,Business Development,Electrical/Electronic Manufacturing,Used the software for: 6-12 months
qandle,Qandle Review,,Aviral B.,5.0,"September 30, 2022","Helps track employee's attendance with the help of geo-fencing. Helps maintain attendance monitor performance, run payroll with minimal human intervention.",Does not sync with bio-metric machines. Uses shared servers to login attendance which causes a lot of technical glitches at the time of login.,Web Developer,Information Technology and Services,Used the software for: 6-12 months
qandle,Attendance tracking,Compare to other software this one is too friendly to use and understand.,BV S.,5.0,"July 26, 2021",It's very easy to use and track ur attendence,Server is slightly slow on peak hours like 10 in the morning,Asst. Manager,Warehousing,Used the software for: 6-12 months
qandle,Satisfied,Very good app to work and management,Nitin M.,5.0,"September 3, 2021","Very good app to work and management,I like user interface","Not found anything to dislike, almost it is likeble",Sales force developer,Information Technology and Services,Used the software for: Less than 6 months
qandle,not a value for money app,,aditi K.,3.0,"May 26, 2022",a good software for employees track record in the organisation,"yes, there are lot of features the software needs to improve and needs to work on its user interface",Recruiter,Staffing and Recruiting,Used the software for: 1-2 years
qandle,Useful app,Good experience,Zoya K.,3.0,"August 16, 2021",The attendance feature View the leaves of the entire team on a particular day.,"The clock in , clock out option especially in the virtual world.",School Leader,Education Management,Used the software for: Less than 6 months
qandle,A good HRMS tool,"Overall experience has been good, 360 degree feedback of qandle is always very informative",Roshinee P.,4.0,"April 10, 2021","Ability to do 360 degree feedback easily is a plus. Notifications for availability of openings within the organisation, birthdays of colleagues is a good way to stay connected with company happenings.","The UI is bleak, can be more exciting with good colours. And can have more gamified experience for employees.",Europe Regional Head,Events Services,Used the software for: 6-12 months
qandle,Awesome Experience,Awesome & Super,Partha R.,5.0,"July 31, 2021","User friendly, One stop solution for routine activities",Auto clock out feature after twelve hours,AM,Logistics and Supply Chain,Used the software for: 6-12 months
qandle,The software is good. But sometimes not worked properly,The experience is good,Anshul G.,5.0,"July 18, 2022",It is easy to use this software. The information presentation also good.,Sometimes not worked properly. It becomes slow many time in morning.,Article Assistant,Accounting,Used the software for: Less than 6 months
qandle,Good ,Better,Bittu K.,3.0,"January 3, 2023",Punch in punch out and other information to sallary,This software is so good software that why,IT Support,Computer & Network Security,Used the software for: Less than 6 months
qandle,User friendly Tool,Great tool for PMS. Timely support from the team . Happy to use the tool.,Kiruthika P.,5.0,"June 22, 2020","Easy accessible, good features. Great tool for PMS process.",I don’t have anything least abt the software,Sr.HR.Manager,Information Technology and Services,Used the software for: 6-12 months
qandle,Best app,Best,Sonia S.,5.0,"July 27, 2021",It shows all the information about the employee.,It should have reminder for log in and log out.,Teacher,Education Management,Used the software for: Less than 6 months
