product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
synerion,I'm really beginning to enjoy synerion ,,Daniel M.,4.0,"December 30, 2024",I enjoy real time reporting features of synerion which gives insight and updates of workforce data,The cost of synerion is something to talk about. It is abit expensive,Administrator,Banking,Used the software for: 2+ years
synerion,Great product,"Can review OT, hours spent on a daily, weekly and monthly basis. Can look at the whole team or an individual employee. We can adjust any of the areas that will benefit us when discussed with a Synerion team member.",Mike R.,5.0,"April 29, 2020","Easily used on a daily basis, customer service on questions is a one on one meeting with an expert on their product, always looking to improve their product, and webinars often to cover any changes they make in their product.",I did not have any least liked concerns about the product because it was implemented easily and fixed a big opportunity in our hourly payroll punching and reporting.,Operations Manager,Wholesale,Used the software for: 2+ years
synerion,Not what was promised ...,"It has been very time consuming to use. Admin still has to go through each day for each employee every month to check if the system has recorded time off properly into the accrual system. Synerion also promotes ""webinar training"" on their website but there is nothing offered.",Darlene S.,1.0,"August 24, 2022",The absence request system drew us in as we liked the audit feature of the approvals. It does not work properly.,The absence request system and subsequent accrual tracking.,Financial Controller,Non-Profit Organization Management,Used the software for: 6-12 months
synerion,Easy time and attendance system for employees to use,Overall we used the system as intended and it was not as expensive as some other systems.,Val C.,4.0,"March 26, 2025",Easy and intuitive system for employees to use,The admin side is more complex and maintaining it can be time consuming and difficult at times.,Great system,Accounting,Used the software for: 2+ years
synerion,A modern workforce management tool.,Introduction of Synerion software in our organisation has made it more easier for us to manage both time and productivity needs. This has been made possible by being able to schedule employees and value labour in real-time.,Gideon B.,4.0,"March 28, 2025",The best thing about Synerion is its ability to streamline time tracking processes and ensure timely payment of employees.,Apart from reluctant customer care services providers. The product is worth it.,Customer manager,Media Production,Used the software for: 2+ years
synerion,"Keeps good records, organized, simple and easy to use","Overall it did the job and worked well with many users, nobody had challenges with it across all tech skill levels.",Verified Reviewer,5.0,"January 29, 2025","Synerion is simple and easy to use for everyone to track time and attendance, keeps good organization of records, easy to reference at any time either on desktop or mobile.","The UI/UX could be aesthetically improved a bit, it's functional but could look little nicer if they made some cosmetic adjustments. Making manual adjustments was sometimes a challenge.",Senior Web Developer,Defense & Space,Used the software for: 1-2 years
synerion,Positive experience ,My experience has been very positive with this software. Everything is very automated for myself and employees.,LISA C.,5.0,"December 6, 2025","This program makes scheduling so easy. Scheduling, shift switching, vacation, sick leave. Does it all.","As with all programs, there is a learning curve. The program has demos available. It's very automated.",Owner,Retail,Used the software for: Less than 6 months
synerion,Synerion made us save a lot of time & money,Our employees are all unionised & there are many premiums to apply because of their convention. I am sooo amazed on how Synerion are able to program these work rules within the application & thus making it very easy for us to program & download our pays,Lyne C.,5.0,"April 12, 2024",How much time we save by using this application which in turn makes of save a lot of money because of the time it takes & the errors in data entry that we used to make when doing the pays manually.,"We have been using this application for almost 10 years & I am able to say that the experience as gotten better & better because of the improvements that they have made throughout these 10 years. So, I really have nothing negative to say",Owner,Hospital & Health Care,Used the software for: 2+ years
synerion,"This software allowed control working hours , vacation , day sicking . ",It is good software to control employees working hours .,Alexander S.,4.0,"December 16, 2018","This software allowed control working hours , vacation , day sicking . It is very helpful for company administration .",Some time when you have make enter at system it is miss at Synerion .,Senior Buyer,Semiconductors,Used the software for: 2+ years
synerion,Good workforce management software,,Verified Reviewer,4.0,"July 13, 2023","I had an excellent experience with Synerion thanks to their amazing customer service. They were prompt, attentive, and resolved the issues I had. The product itself has a lot of features making it one of the best choices in the workforce management software category.","I found the user interface to be quite disappointing. Navigating through the software is a struggle, and accessing specific features requires a certain level of familiarity which proved to be a steep learning curve for me as a new user.",Founder,Computer Software,Used the software for: Less than 6 months
synerion,Excellence in Customer Service,I would recommend this company to any firm looking for a well support time keeping solution.,Yvette S.,4.0,"November 21, 2017",The product meets our needs at the current time and the company goes out of their way to inform you of any upcoming changes. My favorite part of this system is the customer support. They go above and beyond to help their customers. You could not ask for better support services!,The product is a bit complex in some areas so takes some training. The training and customer support given by the company more than make up for this. The sad part is it will no longer be supported at the end of this year so an upgrade in product is required. But Synerion has gone out of their way to keep us up to date on this and what is required to upgrade.,Human Resources,Electrical/Electronic Manufacturing,Used the software for: 2+ years
synerion,Muhammad Malik - user,"Excellent""",Muhammad M.,5.0,"November 5, 2022",It is easy to use and give you all the revelent information.,Nothing: Every thing looks great. It is user friendly. Provides all the required information,MANAGEMENT CONSULTANT/ PROFESSOR,Education Management,Used the software for: 2+ years
synerion,Best softwere,,Yvon C.,5.0,"December 4, 2020","easy to use, friendly user, manage holliday very easy to add on",when people punch should bring back to the schedule in place,dir adjoint,Food Production,Used the software for: 2+ years
synerion,Great Software for attendance,Great software for daily employee attendance,Saro S.,5.0,"February 3, 2022","User friendly and web based, so it works on any device.",Doesn't show the current time before punching in/out,IT Support,Construction,Used the software for: 6-12 months
synerion,Very easy to use,"We like that you can clock in and out from your Smart phone. Also, we like that staff can manage their own time off requests. They can also see what allotment they have left.",Karen R.,5.0,"August 12, 2019",The software is pretty customizable. We have various types of employees with many different schedules. We found this to be pretty straight forward to set up and utilize.,"There are a couple of things that we had to work around but for the most part, it works for our company.",Clinic Director,Medical Practice,Used the software for: 1-2 years
