product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
bankpoint,BankPoint review,A+,Robin G.,5.0,"June 5, 2019","We had a fantastic experience working with BankPoint. Customer service and responsiveness was exceptional, especially with regard to customizing or adapting features of the application to better align with our functional needs. BankPoint was very attentive to the need for system integration in development. The greatest advantage was probably the developers' knowledge of needs from a financial services end user perspective, unlike many technology suppliers who work from the software to the application. Overall a great partner and highly recommended.",Implementation process with respect to mapping to the core was time-consuming but this is true of all applications. The support we received from the vendor through this process and after was stellar.,VP,Banking,Used the software for: 1-2 years
bankpoint,A Great Software with Amazing Employees,"BankPoint was a crucial part of our process for PPP loans. It has cut down our reliance on spreadsheets to handle workflow and pipeline reporting. Additionally, in going through a core conversion, BankPoint was critical to our success for getting month end reporting right. They were also able to map to both cores' imaging software simultaneously for a seamless view of what we had in the file before our images were moved from FISERV Director to Jack Henry Synergy.",Andrew B.,5.0,"November 30, 2020","BankPoint helps control the chaos with workflow, mapping to core(s), and working with other software. The software is intuitive and easy to set up. The team at BankPoint is responsive and helpful. While working with them, their knowledge base has helped us refine our processes. We see BankPoint as a strategic partner rather than just another vendor.","I have difficulty in finding anything we don’t like about BankPoint. When you bring up any features that are missing or could be improved, BankPoint is quick to respond and are receptive to ideas about the software. When they receive a request, they quickly 1) show us how we could accomplish the task through a capability that already exists in the system or 2) find out if changes are feasible. BankPoint will not solve for every want, but they value your opinion and take it into account when developing the software further.",Director of Credit Admin,Banking,Used the software for: 2+ years
bankpoint,"I use ARCS daily for the pipeline, and also for the loan portfolio to avoid using Jack Henry.",I don't have to use Silverlake.,Christopher B.,1.0,"May 4, 2017","ARCS can actually export loan data, unlike our core system, which is very helpful. The pipeline is also a useful tool for managing workflow at the bank.","Overall, the site is painfully slow and the design is incredibly dated, lacking a number of easy UI improvements common in modern web application design that would make it far more usable and readable. The data export features are for some reason limited as to what fields can be exported, the data is often output in unusable formatting in Excel (especially the Pipeline), and the export takes far too long, likely because of inefficient programming and/or database design. The Pipeline has a number of restrictions that should be customizable, such as the ability to change the loan amount (or other details) after it goes to review/approved status. It should also be easier to link multiple booked loans to a pipeline loan (i.e. for loan pools). The Reports page is basically unusable and impossible to find anything of value, and changing the effective dates and filters of a report is a painfully slow and tedious process. Inability to export historical data for a loan in bulk (i.e. daily balances) is annoying, and something easy that should be in place already. There should be an Excel add-in for the ribbon that allows for using a formula in Excel (i.e. =ARCS(...)) to pull data from the ARCS database if you enter a loan number, date, and data field. The URL for a loan detail page uses an internal numbering system, not the loan number itself, which is annoying for creating external links. Extracts lack full customization, such as reordering data fields.",VP Credit,Banking,Used the software for: 2+ years
bankpoint,"BankPoint, the easiest part of On-boarding!","My department uses BankPoint for the Document Preparation piece we call DocExpress. I would prefer to work with BankPoint over all the other vendors I support. When I say they are responsive, I mean same day in most cases. If we have any problems, they are fixed in a matter of minutes, not hours or days. The staff has always been pleasant and respective. We have a great working relationship.",Debbie H.,5.0,"November 25, 2020","The ability to design the product around our procedures. We did not have to ""take what you get"" but rather, BankPoint took our ideas and delivered them in the product. As we have added a very detailed product to our product line, we have found that BankPoint is most flexible and efficient in brainstorming on how to best on-board the product. The BankPoint staff is always available and responsive to our questions and urgent needs.",Sometimes the tasks built into the process can be so simple or repetitive that I am concerned that users will just check them off without thinking whether they actually did the task.,"VP, Product Manager Treasury Management",Financial Services,Used the software for: 1-2 years
bankpoint,"Great. Easy group to work with, they offer a good product with great support.",Improved and automated processes.,Brandi T.,4.0,"May 18, 2017","Ease of use and continued improvements to functionality. VSI continues to look for ways to improve their product, leveraging on the experience and knowledge of its own staff as well as its banking customers who have direct industry knowledge. They have a great commitment to ""getting it right"" and they work diligently to provide the best product they can.","Very little to not like. VSI continues to work to improve the features and functions of the product. Currently lacks a few common features; however, those features are in the process of being added to the system.","Asset Review Manager, AVP",Banking,Used the software for: 2+ years
bankpoint,Long time valuable management tool from a long term partner.,"Portfolio management, better imaging user interface, pipeline management, risk rating management, and loan portfolio data reporting",Bill M.,5.0,"May 4, 2017","Reliable information based on creditably validated data sources. Multiple system views from one source. Strong workflow to support our policies, procedures, and processes. Quick integration to multiple document imaging sources",Extracts could be expanded to include a broader data set than is currently available Credit line data (global and sub account information) would be helpful.,SVP of Loan Operations,Banking,Used the software for: 2+ years
bankpoint,EVP Loan Operations,Excellent,Janice V.,5.0,"November 25, 2020",The simplicity of the system makes it very user friendly,We have not had any bad issues. We have received great and quick service.,EVP Director of Loan Operations,Banking,Used the software for: 2+ years
bankpoint,"An incredible, easy to use system that has vast capabilities","We switched to ARCS from a competing product. I cannot say enough about how transformational ARCS has been for our banking team. Now our loan pipeline, loan operations, document management, deposit pipeline and deposit operations are in a single system. We also now have sophisticated reports that make communicating with regulators straight forward. The best part about ARCS is it's about as easy to use as possible. It's like the iPad of banking software, our users can figure it out with almost no training! The result is happy employees and a more productive bank. ARCS is fully integrated with our Jack Henry Silverlake system. The integration was done in a single day. I know they also support the other major cores. VSI's support has been second to none. They delivered 100% on our engagement and 100% on time.",Jonathan M.,5.0,"April 21, 2017","Powerful, easy to use, very flexible.",None.,Director,Banking,Used the software for: 6-12 months
bankpoint,Titan Bank review,Great experience overall. Quick turnaround and exceptional knowledgeable staff.,Brunilda D.,5.0,"November 25, 2020",The product is extremely easy to use - user friendly.,No cons. I need to spend some time on developing the deposits side.,EVP Director of Deposit Ops,Banking,Used the software for: 1-2 years
bankpoint,The whole VSI team is focused on delivering an exceptional experience. ,,Kevin F.,5.0,"May 7, 2017",The product combines information from several servicing systems and delivers it to the end user through an elegant user interface. Customer support is terrific.,ARCS allows for easy report building. It is not meant to replace the core processing systems. I have no complaints.,"SVP, Strategic Planning",Banking,Used the software for: 2+ years
