product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
nexorone,Excellent Platform,We have been most pleased with NexorONE and plan on continuing to do business with them as we grow and expand.,Verified Reviewer,5.0,"January 3, 2019",The simplicity and intuitive nature of the platform makes it very easy to navigate and quickly use.,"Really nothing that is a problem, so simplicity is key.",CEO & Founder,Banking,Used the software for: 1-2 years
nexorone,I worth it!!,"Ease of use, accuracy",Henry M.,5.0,"April 24, 2018",Huge improvement over their desktop version in my opinion. We're able to know how much money we have in the bank and how much is owed on the go,I with the tool were less expensive,Training Manager,Retail,Used the software for: 6-12 months
nexorone,NexorOne Core Banking Solutions Highly Recommended,"Excellent. Bespoke portal to meet our company needs, excellent customer service, easy to use portal to support our banking and payments operations as well as our compliance and transaction monitoring",Carolina B.,5.0,"February 26, 2024","Bespoke approach, easy to access the team, ease of use.",Extended geographical presence would increase the value proposition.,CEO,Financial Services,Used the software for: 2+ years
nexorone,Efficient and reliable ,,Carlos R.,5.0,"September 19, 2017","What do you like most about this software? - Nexor is a customizable web-based software, which is able to offer a complete solution. - Excellent Customer Services. - The management team is working closely with us to understand our needs and provided us with an efficient solution. - Nexor has been able to keep up with innovation and with an updated system. - During 5 years Nexorone has provided us with an invaluable solution to service our client base.","In our opinion, it would be great to add a mobile user-friendly app for cellphones.",Consultant,Used the software for: 2+ years,
nexorone,Robust and Efficient ,,Marcel S.,5.0,"October 2, 2017","NexorONE is an online and fully customizable software solution package. The NexorONE Support Team offers an excellent customer service by working closely with us and understanding our issues to provide quick and efficient solutions. The Core system is continuously being updated, keeping up with innovation and latest technology. We have used the system for over 5 years and it has become an invaluable solution to service our client base.","Although the system is fully responsive on mobile devices, we would also like to have a native app for cellphones.",Director/Partner,Financial Services,Used the software for: 2+ years
nexorone,NexorOne - The Best Value on the Market for Banking Software,"It's extremely refreshing to work with a company that meets deadlines and follows through with every promised commitment. NexorOne has exceeded my expectations in every way. The staff is personable, knowledgeable and extremely competent in so many ways. They've made numerous customizations that have enabled my company to meet the needs of a very niche market. The software is user friendly and particularly easy to learn. Without hesitation, I can say the best decision I've made was making NexorOne my technology partner. I would recommend them without hesitation to anyone looking for a viable and affordable online banking solution.",Daren J.,5.0,"June 8, 2011","Very Easy to Learn (Consumer & Admin Side) Powerful, Scalable and Customizable Every bit as good as very expensive online banking platforms Excellent & Responsive customer service Value of product far out ways price - It's a bargain! 100% Web based & can be Whitelabled Safe, Secure & PCI Compliant Can be integrated with just about anything through API's Always being improved and updated Great company that does what they say they'll do and delivers results.","I have no issues saying there are very few Cons with this product. It works so well for so many types of applications that the"" proof is in the pudding as they say."" If I had to list anything as a Con, is it would be I'd love to see a US based office but even then, I've never had any issues contacting during them during business hours in Latin America.","Principal, VP of Sales",Used the software for:,
nexorone,A GEM of a Financial Management System!,,F. Luciano C.,5.0,"May 10, 2017","We have been using NexorONE since late 2006 and find it a very safe and user-friendly platform. The NexorONE Platform is expandable with their modules and support, and can be customized to suit individual needs. We particularly like the messaging environment within the platform as it is confidential and safe.","For the purpose of which we use the system, we have no cons, as it serves our purpose holistically.",CEO,Used the software for: 2+ years,
nexorone,Excellent software to start a business operation ,1. Responsive to changes flexibly 2. Easily attuned to customer requirements 3. Good connectivity with service centre 4. User-friendly,Joseph L.,5.0,"March 17, 2017",,,CEO,Banking,Used the software for: 1-2 years
nexorone,Cost effective online banking software with many modules and supportive staff members,"First and foremost, the staff members are knowledgeable, supportive, and friendly, which makes you to proceed your projects comfortably and swimmingly while you are learning the software and the area of online banking businesses. The software is simple and easy to manage. It will give you flexible options to the way you want easily, for instance for designs, fees schedules, side notes, messages, languages, and so forth. Numbers of modules are a lot of help too, which you can add later. With that said, I would absolutely recommend NexorOne to anyone who want to step into this market and/ or who needs legit and reliable software. If you want it fully customized, you may want to consult with them upfront. You won't regret to contact with them anyway. Lastly, you can not find any other software as much cost effective as NexorOne software.",Taki S.,5.0,"November 20, 2014",,,Marketing Manager,Used the software for:,
nexorone,Excellent software products and outstanding customer service,"We have been partnered with NexorOne for nearly 5 years now. The integration of the NexorOne platform into our financial services and brokerage products have increased efficiency, compliance and overall productivity. The company continues to add new and exciting features to the already great lineup of functionality and they are always open to suggestions to make the software even better. Customer service is swift and the platform has NEVER been down which has, of course, provided a very consistent user experience. I highly recommend the NexorOne services and products. The quality far outweighs the price, which is to say that the cost of running the NexorOne services is affordable enough for even small startup businesses. Thank you for your continued partnership and we look forward to many years ahead.",Nick V.,5.0,"January 20, 2017",,,Used the software for:,,
nexorone,Gestión sencilla y segura con NexorONE,"Mi experiencia general con NexorONE ha sido muy positiva. Es una plataforma robusta, fácil de navegar y bastante completa en cuanto a funcionalidades. Destaco la organización de los módulos, la seguridad que transmite en las operaciones. En términos generales, considero que facilita mucho la gestión y ofrece una experiencia confiable y profesional.",Jesus B.,5.0,"September 27, 2025","Lo que más me gustó de NexorONE es lo intuitiva y completa que resulta la plataforma. Tiene una interfaz clara, procesos bien estructurados y herramientas que facilitan la gestión bancaria digital. Además, la atención, la flexibilidad para adaptarse a diferentes modelos de negocio y la seguridad que transmite en cada operación.","Hasta ahora no he encontrado respuesta a esta pregunta, pero creo que sería mas interesante tener opciones para la personalización de la visualización del sistema (por lo menos incluir areas publicitarias de para el cliente)",PRESIDENTE,Banking,Used the software for: 2+ years
nexorone,Fantastic Customer Service on top of a Quality Product!,For the past 7+ years the staff at NexorOne has provided our organization with a reliable online financial product in which to conduct or business. When at times our Credit Union required new functionality on the system. They're always willing and very able to provide the technical tools we needed to achieve our goals. I would highly recommend looking into some of the services that this great company offers. You will be very happy with the friendly service you receive from this qualified team.,John T.,5.0,"March 6, 2015",,,IT Tech Support,Used the software for:,
nexorone,NexorONE go above and beyond to modify their software to meet your exact needs!,"Professional, Dedicated to customer satisfaction, and extremely user friendly. These are three phrases which we find to best describe the NexorONE team and their software! We first thought finding the right solution for banking software to be a difficult and time consuming process; we were proved wrong when we saw the flexibility of the software and the efficiency of the team. Thank you NexorONE!",Gareth H.,5.0,"April 26, 2017",,,Used the software for:,,
nexorone,Glenn Review,Software is very intuitive which makes it easy to use and implement into any organization. The support provided is was excellent. We had a number of projects that required some customization and we found the staff to be professional and timely. All in all a good solution with a great team behind it.,Diana C.,5.0,"March 23, 2015",,,OPS Mgr,Used the software for:,
