product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
online_check_writer,I use Online Check Writer daily and I am satisfied that I selected that product,I started to use that product several weeks ago and I would like to say that I am fully satisfied user. I like accept my payment via the link. The overall experience is amazing.,Danylo K.,5.0,"August 28, 2023","I like the interface. It's very easy to digest. Secondly, I am amazed that my business bank operations are in pocket and I am able to recieve and ask for a payment. What I am grateful for is that there's Advanced Two Factor Authentication.",I am not sure I could see my default currency information on the Bank Data. It would be useful because I have 2-3 bank accounts with different currencies. On a business tools menu there's a View more button but I would prefer seeing that features listed right there.,Marketing specialist,Outsourcing/Offshoring,Used the software for: I used a free trial
online_check_writer,Easy to use and can be used anywhere,,Young Jun K.,5.0,"July 25, 2022","You can easily know when, where and how much you have used at any time, even if you do not record separately, and it is easy to use and can be used anywhere.","Occasionally, when there is a change in the position of what I have designed, I have to go back into the design and adjust it.",president,Real Estate,Used the software for: 2+ years
online_check_writer,Review,,Latoya W.,3.0,"July 25, 2022",Ease of use to maneuver product and also prints clean and precise once set up properly.,Get locked out too much so has to call help desk.,Accounts Officer,Hospitality,Used the software for: 2+ years
online_check_writer,Excels porduct,I love this product. I would continue to use it forever.,Saif A.,5.0,"July 26, 2022",Ease of use. Versatile. The options are very well thought of.,The initial setup was a little difficult but that only makes the product that customizable.,Chief Financial Officer,Financial Services,Used the software for: 1-2 years
online_check_writer,Easy Check writing ,Totally positive,Chuck S.,5.0,"July 25, 2022",This is a nice and easy product to use. I use it once a week or so and there is no refresh time needed,Took a bit or wrangling to get the check function to print what I wanted as there are a lot of pre-installed entries and I have pre printed checks,President,Photography,Used the software for: 6-12 months
online_check_writer,Used to be a happy customer,"Like I said, it was a great piece of software when we started using it. I've asked for the zil account and accompanying wallet to be removed because we are a nonprofit, only the board can make a decision about creating new accounts. But it's been many months and they haven't done it yet, so I'm pretty sure they never will. It's so frustrating, they even send us monthly zil statements. We're probably going to switch back to our payroll system for ACH, because it's too confusing the way it's set up now.",Lynn M.,3.0,"July 26, 2022","I used to like it much better before we added ACH. The check writing worked great, it was intuitive and easy to use.","The user interface changed without warning a few months ago from something that was really easy to use to something that doesn't even fit on my computer screen and I have to reduce my magnification to 90% to see it all. I have to hunt all over the place to find various features that were all previously in one place. At least they should have given us some warning, I was on vacation and the admin using it was texting me that she couldn't figure out how to send ACH anymore. When we set up ACH they created a zil account for us which we didn't ask for and didn't want. It generated an automatic wallet that is identically named to our real wallet and it's been so confusing. It's unclear to me what enable wallet bypass means in the two different places it can be entered, both in the wallet settings and when we actually send an ach payment. We're always afraid we're doing something wrong.",Accountant,Non-Profit Organization Management,Used the software for: 1-2 years
online_check_writer,Too Slow,"Has many powerful features, however it can be overwhelming and confusing trying to understand every aspect.",Ronald A.,3.0,"July 25, 2022",The many features regarding check writing and security.,"Moves too slowly, even on my fastest computer it took long for pages to load.",Owner,Accounting,Used the software for: Less than 6 months
online_check_writer,If you don't want to bend the knee to Intuit ... ,It's been the best/easiest way to print my own checks that I've found.,Adam T.,3.0,"July 25, 2022",I can print checks the way I want for a much lower price than Intuit was offering.,"Creating checks could be a little streamlined, especially monthly recurring checks.",managing member,Computer Software,Used the software for: 2+ years
online_check_writer,Amazing Service,Amazing best service around. Customer support could be better. I don’t use the cloud banking services,Joshua C.,4.0,"August 29, 2025","I loved the ability to print checks, have virtual cards issued and even have checks mailed. Best thing around",The costs. I didn’t like that for most of the features you have to pay for them with other providers you get that all included,Owner,Business Supplies and Equipment,Used the software for: 1-2 years
online_check_writer,Reliable and Easy-to-Use Payment Solution,"Overall, my experience has been very positive. The platform has simplified my payment management and given me peace of mind with its security. It’s a great value for the money, and I use it regularly for both personal and business needs.",Jun W.,5.0,"September 18, 2025","I really like how easy it is to create and print checks. The interface is user-friendly, and the payment processing and money transfer options save me a lot of time. It also feels secure and reliable.","Sometimes there’s a slight learning curve when exploring advanced features, and I wish the reporting tools had more customization options.",CEO,Computer & Network Security,Used the software for: Less than 6 months
