product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
gemini,We the software in our office for managing support tickets,support site,Iaiswarya P.,5.0,"February 16, 2018",It can be customized according to our business need. Very user friendly. Non technical user also use it. Was able to change UI color according to company trade mark. Has all options for project maintainence.,Sometimes crashes which does not allow comments to be entered. Can increase the size of comment box. Cursor does not go to clicked position.,Senior Software Engineer,Financial Services,Used the software for: 2+ years
gemini,Great add on for the G Suite,"I use it daily on my work, as translator or to summarise long texts.",Francisco S.,4.0,"March 12, 2025",I like the accessibility and to be linked to my account and Google suite. It is easy to interact with.,The privacy settings are not really clear,Innovation lead,Information Technology and Services,Used the software for: 6-12 months
gemini,"Functional, but there are better options","I have used Gemini at my job as a senior programmer and later as a lead developer for five years, and I've found it sufficient at what it does but lacking in multiple features I'd expect. It's not a terrible product and does its job ok, but if you're paying for software I'd expect a better interface and a more well rounded feature set than it has. In my opinion your money is better spent on another product.",Verified Reviewer,3.0,"November 28, 2018","Does its basic job well, allows you to create and manage tickets, customize statuses, and send emails to specific resources. Permissions and flow through your process are easy to customize and control.",Interface is klunky and somewhat unintuitive. Creating customized searches for simple things like all tickets in a release and then saving that for later use is completely buried in menus. Searching is awful. No easy way to go straight to a ticket number - easiest to just edit the URL.,Software Engineer,Public Safety,Used the software for: 2+ years
gemini,A great tool for internal projects and customer projects,It's an excellent tool overall and I think it's definitely worth considering for any company that wants total control over their processes and has the technical resources internally to customize and manage it. I don't deal with the licensing but I understand it's one of the best solutions on the market for the price.,Verified Reviewer,4.0,"March 28, 2022","It's a complex system that comes with a lot of great features out of the box, including testing and QA features. It's super customizable and you can even host it on your own servers with an enterprise license, giving you total control over how it's used. They give you the source code, not just the object code) so it ends up being a really flexible and customizable.","The only thing I don't like about this software is that it's not mobile friendly out of the box -- the design isn't responsive (at least in our implementation) and as someone who uses my phone a lot for work, being able to access tickets and issues on the go in an optimized interface would make it work a lot better for me.",Marketing Director,Information Technology and Services,Used the software for: 2+ years
gemini,Works great for keeping track of tasks for development as well as general sales tasks,Simplifying task management,Nicholas C.,5.0,"February 16, 2018","Great for keeping tasks organised, great central point for customer tickets for any issues that they have. Great for keeping track of time spent on development.","I find that it can be quite slow in terms of making changes, changing grid layouts and page loads. There should also be a resize option for the part where you add comments. When copying and pasting images, only one at a time can be done.",Junior Software Engineer,Financial Services,Used the software for: 1-2 years
gemini,"Great 10 Years Ago, But Not Better Than Jira Now",,Verified Reviewer,2.0,"April 14, 2020","when we first purchased the on-premise version, it was affordable and easy to install.",as the platform needed to be upgraded the cost was similar to Jira but the value was way lower.,CTO,Computer Software,Used the software for: 2+ years
gemini,I have had a great experience with Gemini,This is incredible software for any organization that needs a decent support and ticketing system,Wade A.,5.0,"February 16, 2018",Gemini Countersoft provides the basis for a great customization ticketing system for any organization. It is really easy to use and takes a short time to get used to and learn.,The only con i have for Gemini Countersoft is that it can be a bit slow occasionally and this halts the functionality for the time it takes to load.,Software Developer,Information Technology and Services,Used the software for: 2+ years
gemini,Very efficient,,Javier I.,5.0,"August 2, 2018",is very efficient when you work with a lot of scripts and a lot of big projects,Isn't that intuitive at first sight but once you get use to it is very nice,Implementation Engineer,Computer Software,Used the software for: 1-2 years
gemini,Good Product - Poor Documentation,"I've been using this software for the past four years. It's great for general purpose issue and project tracking. Once set up, it's fairly easy for any end user to get the hang of it. However, it's biggest flaw is the documentation, which is so watered down that it is worthless. They do have a few videos about how to setup, but again, these do not provide the depth or detail needed to understand it. It's this flaw that makes setup and configuration very difficult, even when you become familiar with the product. The setup of users, groups, permissions and the relationship to projects is circular and confusing. The email notification setup is just as weird. The setup is not intuitive at all. Expect to take lots of notes and write your own administrative guide as you learn how to configure it - this is what I have done. As the application administrator, you can expect to send dozens of support emails to countersoft with questions about simple things that should have been covered in the documentation. Luckily they respond within a few hours. This would be a five star product, if the documentation was fleshed out and complete.",Che M.,4.0,"October 3, 2015",,,Used the software for:,,
gemini,Gemini Enterprise has excellent user interface for large agile teams,Gemini has a lot of potential to disrupt the project management tool landscape.,Connor S.,4.0,"January 1, 2019","Gemini Enterprise has built a nice product that helps my large team stay in contact and work together in our agile environment. It has nice bug tracking, help desk ticketing, and agile tools that stand out.","I wish it has build-in source code management to really make this an all around tool, hope the feature gets rolled out soon and I will consider extending license.",Analyst,Insurance,Used the software for: Less than 6 months
gemini,tres loin d une intelligence a negliger,tres decue apres un mois d usage .. avec des erreurs de plus en plus frequentes. ne sait meme pas lire un arbre généalogique,geraldine M.,2.0,"December 30, 2025","rapidité , meme trop , pas le temps de repondre et d echanger humainement et beaucoup de réponses erronées",se melange les pinceaux !! car ne memorise pas les echanges donc grosses erreurs et pire de plus en plus frequentes,ex,Insurance,Used the software for: Less than 6 months
gemini,Solved our problems!,We have struggled with our issue tracking before moving to Gemini. Now we have full visibility of the tasks and bugs we have and it also solved our help desk problems. Now everything is in Gemini so we don't miss any customer problem.,Steven S.,5.0,"November 21, 2014",,,CTO,Used the software for:,
gemini,Top class software,"I used this product when working for a customer, who ran their helpdesk and software development in it. Easiest tool of its kind I have ever used with a super cool UI.",David J.,5.0,"February 9, 2015",,,Scrum Master,Used the software for:,
gemini,Runs on .NET & Doesn't Suck!,Finally a decent enterprise grade issue tracker that you can run on-premise on Windows Server.,Brian R.,4.0,"February 4, 2015",,,Devops,Used the software for:,
