product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
ruttl,Ruttl made client collaboration so much easier!,"My overall experience with Ruttl has been amazing. It's easy to use, saves time, and makes collaboration with clients much more efficient and visual. It became a key part of my process, and I truly recommend it to other designers.",Marina A.,5.0,"July 25, 2025","Ruttl made my communication with clients much easier. I love being able to leave and receive comments directly on the website. It's intuitive, smooth, and helps a lot to speed up my workflow. The support team is also incredibly kind and attentive!","So far, everything has worked really well for me. If I could suggest something, it would be offering more flexible plans for solo professionals. But overall, it's been a great experience!",Webdesigner,Design,Used the software for: Less than 6 months
ruttl,"Amazing Features, Great Price",,Yarden H.,5.0,"March 26, 2026","Very good UI and feature rich. Basically everything I need. Fair price. I compared it to Pastel, Atarim (complicated and a lot of friction), Maker but they all cost too much for the same features.",Needs more roles so I can split developer comments from my comments from client comments. Currently they only offer private and public. They need to give you an option to filter based on users or based on groups.,Developer,Telecommunications,Used the software for: 6-12 months
ruttl,Would've been great if it worked.,,Verified Reviewer,2.0,"September 25, 2025","Would be great if it worked. It was a really nice, easy to use interface and a very much needed tool. Nice that I could share with clients/partners for feedback.",Too buggy to function. Genuinely encountered so many bugs so many times it makes it almost unusable. Bad support as well. Had issues with crashing. Also difficult to sort new comments and check things off to-do lists for dev going through and making edits.,Designer,Design,Used the software for: Less than 6 months
ruttl,Quarterly Website Updates Made Easy,,Eric C.,5.0,"January 23, 2026",This software has made it effortless for my company to navigate our quarterly website changes across multiple departments. The feature to navigate as many pages as you need in one link is especially awesome. I switched over from marker and think this product is a much improved experience for everyone.,"I've seen lots of improvement with bugs and lagging, so no issues now! And they are responsive if you need help, so that's a plus if you do encounter something.",Marketing Manager,Hospital & Health Care,Used the software for: 1-2 years
ruttl,Affordable and easy to use feedback tool,Very positive! Our team finds it easy to use.,Kelly G.,5.0,"March 21, 2025",Easy to manage and respond to team feedback.,I wish I could upload multiple jpgs as a single project,Web Designer,"Health, Wellness and Fitness",Used the software for: Less than 6 months
ruttl,Very Promissing But Not Great As of Now,"I started to try it after I bought it 2 months ago. Guest now can comment via your sharable link without needing to sign up. It's a good thing. While they need to register their accounts on Ruttl when they want to save their editing. Sync is realtime, I can see comments from guests or collaborators. But it's also buggy as of now. I hope they can address it soon. One more thing, if they can add multiple translations and get rid of direct Google API, it would be great.",Stephen Z.,4.0,"September 10, 2021",- Modern and Clean UI - Easy-to-use UX and guide tour - Live site editing feature,"- Not working on Firefox, always loading. Then I have to use Chrome - Sometimes the inspect tool would choose wrong tag, then editing wouldn't work - Buggy: - It can't handle some special elements for example ""Back to Top"" button, the comment box will be covered by your OS status bar when you click it. - Replace Image often not working, sometime it will leave blank after you set a image. And it seems that SVG/WebP even PNG images are not well supported yet. - It seems that Ruttl relys on Google's API, so it's almost impossible to use in China.",Marketing,Textiles,Used the software for: 6-12 months
ruttl,Ruttl is probably the best solution out there!,Very good,Cameron B.,4.0,"January 18, 2022",How simple it is to use. My clients intuitively knew what to do without me having to onboard them to the product.,I think linking of live website pages could be easier? Instead of linking individually there could be an option to link all pages associated with a live website domain. It would be easier generally to remove the ones you don’t need rather than to add individual pages.,Freelancer,Design,Used the software for: Less than 6 months
ruttl,Time Saver!,"As a Digital agency owner, time is my must valuable asset. Having clients commenting directly in a Design and not in a Work Document is time saving for everyone envolved. It takes off the weight and communicate directly with my creative team. So much easier to delegate.",Ricardo B.,4.0,"December 3, 2021","- Scroll page on Hover - Review Both Images and Websites - Mobile and Desktop views work seamlessly - The fact that you can hide below menu and work with a clean view its a plus. - You can ""add latest version"" without losing the anterior version... Time saving. - Support answers you fast",It was slow at first but they upgraded now and it's working fine.,Founder / CEO,Marketing and Advertising,Used the software for: Less than 6 months
ruttl,Perfect Client Feedback Tool,Overall I’ve had a great experience. It does exactly what I need to be able to do. I also reached out to support once and they were super quick to get back.,Carmen C.,5.0,"February 23, 2026","I find Ruttl to be hands down the best way to provide feedback on sales pages without needing to take screenshots and circle things on my phone. It's absolutely the most efficient way to work with clients, allowing me to provide feedback on sales pages (and websites) directly. I absolutely love the ability to pin comments, which is fantastic because it lets me be super specific with where and exactly I want the changes to be. Sharing it with clients is also super easy. The initial setup was incredibly easy and seamless, making it straightforward to transition and implement, which is why I continued to use it.","The only downsides I’ve noticed this far is that you can’t view your pins on mobile, and the comments lose formatting.",Founder,"Health, Wellness and Fitness",Used the software for: Less than 6 months
ruttl,Excellent everything!,"Ruttl makes it super easy to collect comments directly on all our websites instead of using a ticketing system. The multiple device view is very useful — we can instantly check how a page looks on mobile, tablet, and desktop. That’s a big plus compared to other website review tools. Customer support is fast, helpful, and genuinely understanding whenever we reach out.",Andy H.,5.0,"November 4, 2025","Customer support is fast and very helpful and understanding. Easy to collect comments directly on all our websites, instead of per ticket basis. Have different devices view to check our websites from (other website reviewers dont have, that's why we chose Ruttl).","Just that members are not being added automatically when adding new projects. Other than that, overall excellent product.",Manager,Design,Used the software for: Less than 6 months
ruttl,Efficient and Effective Collaboration,,Anthony M.,5.0,"December 9, 2021","The software is so easy to use and implement for our clients. It solved our headache of emailing back and forth revisions from clients. Now, we have a software that records everything we need in 1 place. The customer support is very active as well.","The only integration that is missing (for us that we want) as of 12-8-2021 is Clickup. However, it's on their roadmap. Looking forward to them adding it.",Owner,Marketing and Advertising,Used the software for: Less than 6 months
ruttl,UX friendly,,Aman G.,5.0,"January 31, 2022",It's best for bug tracking and resolve UX issues,It's best for bug tracking and resolve UX issues.,Founder,Apparel & Fashion,Used the software for: 6-12 months
ruttl,Great for Team Web Design,Great product for a team.,Adam L.,5.0,"July 12, 2022",Easy for beginners to expert web designers,More options for inexperienced designers would be Nic,Program Director,Sports,Used the software for: 1-2 years
ruttl,Reaching to the point very rapidly.,,Mayur K.,4.0,"January 18, 2022",Ruttle has a very amazing modern user interface and it's very easy to use. This app is way ahead of the competition.,"Ruttle lacs few feature. They should include audio notes and it's slow on loading the site. Sometimes, it does not render links properly.",Sr. UX/UI Designer,Information Technology and Services,Used the software for: I used a free trial
ruttl,Worst product ever,"Purchased a subscription that charged money but subscription was not activated. I asked their support team, but they were not able to help. Canceled the subscription, but it charged money again. Trying to contact support, but there is a bug on the website to do so. They do not respond to emails. I guess it is a scam.",Dmytro Z.,1.0,"September 7, 2024","Nothing to highlight, terrible product, not recommend","A lot of bugs, and unresponsive support AT ALL!",Engineering,Financial Services,Used the software for: Less than 6 months
ruttl,"What a joke. Don't buy. Full with bugs, terrible customer support. ",,⚡️ Evan K.,1.0,"May 31, 2024",Looked like a good alternative to usepastel,The customer support was terrible. The response times were way too long and they deleted all of our customer data in trying to resolve an issue. They then proceeded to charge my card more than the pricing I signed up for. Run the other direction. It's not worth your time. The customer support reps clearly don't care enough to put the effort in.,Founder,Marketing and Advertising,Used the software for: Less than 6 months
ruttl,"Good tool, very useful and with improvements","I think it's a good product, with many improvements, but without a doubt it has become an important tool in our work, especially lately with remote work. The team's response times are good but could be improved, although I understand that it is partly due to the time difference. I would recommend it without a problem and more so because lately they have focused on adding new functions and it seems that they are making a heavy hand to the product.",Cristopher G.,4.0,"July 5, 2022","The best things about it are: - Allow interaction with created websites and pdfs of designs proposed to clients - Ease for customers to let us know their comments on each section - When you're connected to it, real-time notifications that someone commented - Being able to tag in the comments is great - The versioning and history is great","What I don't like and should improve: - Email notifications when someone comments, practically nothing ever arrives and you should be checking the panel - Remove ruttl product promotions from the dashboard, customers do not understand when we invite them to comment, if they have to click on their advertising or what's up (I know, but there are customers of all kinds) - Allow access to a project without previous registration when it is shared, since it is forced and some clients do not enjoy forcing them to register. - It does not have integrations with platforms like Pabbly or others outside of Zapier which is very expensive.",CEO,Computer Software,Used the software for: 6-12 months
