product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
zipboard,Good tool for bug tracking,,Deeksha A.,5.0,"November 25, 2020",The user interface and ease of use. We can also switch between table and Kanban view.,There is nothing to dislike. It solves the purpose like a charm.,Product Manager,Computer Software,Used the software for: Less than 6 months
zipboard,Incredibly effective platform for communicating with clients on web development,Love it. Small hiccups here and there but excellent product and does what I need it to do.,Verified Reviewer,5.0,"June 13, 2019","*Ease of use: clients who self-identify as ""not a computer whiz"" had no trouble using the platform and features. *Ability for client to view a webpage, click somewhere on it, make a comment about that area, and move on...all while tasks get created and organized in a ""to do"" list gets generated in the background...makes client feedback a BREEZE. *Effective tracking: even if the client isn't labeling comments, tasks, requests, etc ""properly"", it's very easy to follow activity and make sure nothing gets lost or forgotten *Pricing is appropriate and worth it *It does everything I needed for a remote website development project: get client feedback, revise, and complete with no crossed wires or forgotten/lost requests. And no misunderstandings or miscommunications - the record is right there! Total project management solution.","When the ""collaborator"" (ability to add a ""client"" is an enterprise only, custom price point) provides feedback, the task status isn't automatically changed from ""waiting on client feedback"" - so the ""collaborator"" (ie, my client) has to manually change the status to something else - otherwise the task, although provided with feedback, remains in the ""I'm waiting on you"" stage. The method for changing the status is simple - but clients don't need to be bothered with the multi-step process of making sure to adjust ""tags"". Having said that, the way to go about making sure that the client has in fact provided feedback (despite the unchanged ""status"") is to simply sort tasks by activity. Which is where we arrive at the main issue I have: At the time of this writing, you could sort tasks by date that a task was modified - but you can't add a secondary filter (ie: ""modified BY""). Which means that while a client may have provided feedback and forgotten to change the status, I'm simultaneously modifying or adjusting other tasks.... hence I'm not quickly and easily able to filter the list for tasks that the client has recently modified. It's not the end of the world - it just created a bit of extra work having to go through the ""Recently modified"" tasks one-by-one to make sure that I hadn't missed anything. Yes, I can go through the list of ""waiting on client"" ....but completed tasks, where client changed their mind & added a revision w/o changing status away from ""completed"".....",Independent Contractor,Internet,Used the software for: 1-2 years
zipboard,"Great platform, would love to see some of the functionality expanded.","I previously used Airtable for tracking web change requests, and I loved the functionality of this platform however it could be hard for clients to utilise without seeing the comments in the context of the website. Some suggestions: - Allow drag & drop sorting of tasks - Allow task list to remember your sort order from last time instead of defaulting to post date, eg. I don't have to select to sort by 'Screen' each time I reload the page. - Allow screenshot option that captures the entire page - eg. https://chrome.google.com/webstore/detail/full-page-screen-capture/fdpohaocaechififmbbbbbknoalclacl That way, I could add all of my feedback comments within one screen, and when sorting or filtering tasks we can focus on feedback for one particular page. - If you could rename screens within the individual task window, that would be even better. - If I create a task without taking a screenshot, I lose the ability to name the Screen according to it's location. - Can you enable the Screen field within all tasks so they can be named & sorted regardless of having an attached screenshot? Or, allow us to add a screenshot after the task has been created, and then I can rename it. - Include a page link within each task so you click straight through to the website (for example, on hover of the screenshot image, include an icon that links to the website page) - Allow formatting of text within the task description (eg. bold, underline, bullets) - Allow 'Select All' or option on task filters",Justine W.,3.0,"June 14, 2019","Screenshot functionality with comments shown on page, ability to post comments within a stream although these can be difficult to read. If status changes were a different colour that would help.","Can be a clunky user experience, especially from a client perspective, so it can be hard to collaborate within this platform. They tend to resort to emailing their feedback instead of creating tasks. Do you have any basic user guides for logging in, accessing the website review page, creating tasks and tagging users or reassigning?",Project Manager,Internet,Used the software for: Less than 6 months
zipboard,Digital Product Reviews with east,,Verified Reviewer,4.0,"November 30, 2018",-Simple and easy way to track needed edits -Ability to see exact locations of needed changes -Collaboration of the entire team and client in one place -Tracking all changes throughout the life of a project -Customer support,"-Missing a few features, like the ability to archive older versions / feedback, but these are being rolled out continuously -Occasional down times, but this is getting less frequent -User interface is still a little clunky and needs some updates",Senior Project Manager,E-Learning,Used the software for: 6-12 months
zipboard,"The easiest & most useful, but not the only place to find jobs",i wish more job boards made it this easy to apply. i also like the feature that lets me know if a company is interested in me. i guess another thing would be that i've yet to get a job through this site.,Verified Reviewer,5.0,"November 30, 2018","lots of local listings, very easy to use and apply for jobs","hard to find remote jobs, not all job matches are a true match, too many emails matching me to jobs that don't match, and misleading headlines in the emails saying there are certain types of jobs available, but when i look at the listing it doesn't add up",CMS Consultant,Hospital & Health Care,Used the software for: 2+ years
zipboard,Great and Easy to Use,"We are a mid-tier manufacturer who has to organize jobs by contract, shipping destination, and timeline. zipBoard allows us to see all of our jobs in one place and easily organize them by priority, especially in this busy time of the year.",Verified Reviewer,4.0,"December 19, 2018","The user interface is very easy to navigate and nothing to tucked behind confusing menu options. When you click on an option, you get what you click and nothing else.","The color scheme can sometimes be a bit glaring if you're working late at night with your laptop as the only light source. Not a huge problem, but something worth noting.",Copy Editor/Coordinator,Logistics and Supply Chain,Used the software for: 1-2 years
zipboard,Great Tool!,Client review and feedback is made much easier and faster with zB.,Verified Reviewer,5.0,"December 10, 2018",It makes working with clients for reviews seamless and saves SO much time. Efficiency is a huge reason why we went with zipBoard.,Nothing of note. We have had a very wonderful experience so far.,Senior Learning Experience Designer,E-Learning,Used the software for: 6-12 months
zipboard,Excellent tool to review video content,"Education, E-Learning, Media Industry needs this tool. Expecting a world class review product near future. It has all features to be at the top. Fluid and design flow of the website should be enhanced",Pavithra S.,5.0,"May 23, 2019",1) Clients can view without login 2) Clients can comment on the timeline where changes are to be done 3) Ready for any kind of collaboration with freelancers from different teams and clients at different locations,1) Design and flow can be world class to make this product shine 2) Loading and Lag issues 3) Names should be customizable,Video Editor,E-Learning,Used the software for: I used a free trial
zipboard,Perfect tool for processing own website relaunch,,Lucas H.,4.0,"December 3, 2018",zipBoard was the perfect tool in the process of our website relaunch to show our programmers what bugs are still there or what is missing to finish the website. It was easy to use and it took only 10 minutes to familiarize yourself with the tool.,The only thing we didn't quite like was the fact that you could only take screenshots of your website and could only make your markers in the screenshots.,Digitales Marketing,Marketing and Advertising,Used the software for: I used a free trial
zipboard,A good product to take design specifications,"As a developer it was easy to understand the design problems, and what to fix, when posting a screenshot, and assign a tasks for the changes on it. It is really helpful, when the reviewer is far away.",Gábor M.,5.0,"December 1, 2018","Love the feature to comment on items, create tasks about design changes.","Because I am new to the product, it was hard to find some function.",Development Operator; Software Developer,Computer Software,Used the software for: I used a free trial
