product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
engati,Best chatbot builder with a lot of features,We're very pleased with the possibilities of the chatbot and look forward to see how it develops itself even further with the help of its users.,Delphine V.,4.0,"January 7, 2021","This chatbot builder is quite easy to use when you have a bit of logical understanding and knowledge. It has a lot of features and can be implemented with different parties, including other chat-apps.","To change or view some core features, you have to apply to the customer support, like a list of all of the attributes, being able to copy your chatbot to a live chat bot etc. this is a bit of a hastle, luckily the customer support provides swift feedback and help and are very friendly.",It support and service,Information Technology and Services,Used the software for: Less than 6 months
engati,Great functionalities in one package!,"Great tool, super intuitive and easy to use. Customer support is exceptional and there is no problem that cannot be solved within a single business day. For a SaaS business dealing with a worldwide audience, it's a great way to minimize the workload on our customer support team.",Verified Reviewer,5.0,"January 31, 2022","It's super easy to use and once you take some time to set things up, it can learn on its own. It can adapt to different contexts pretty easily and cover a bunch of use cases. If you were afraid that a chatbot wouldn't sound human, this tool will prove you wrong.","If you run a small business, you'll find it expensive to start with. However, it really pays itself off if you want to have 24-hour coverage on your website.",Content Marketing Manager,Pharmaceuticals,Used the software for: Less than 6 months
engati,"STAY AWAY! Another Scam App. High Promises, Zero Delivery","When we saw the demo, we simply loved the solution and we bought the Quarterly plan in English + Arabic for $999. The onboarding process was supposed to take 2 weeks. The problems began during the onboarding process. The team is lethargic to respond to queries - their claim of the email being their official source of communication says it all. These guys are selling a chatbot solution and will only respond by email!!! The team was taking things jolly well. Remember, the timeline kicks in as soon as you pay (yes, not from the day of deployment but the date of payment), so any delays impact your cost. We launched the WIP solution in week 3, as we did not want to lose precious time. And wanted to do the testing as we go along. That opened up the can of worms. Their platform has an infinite number of bugs! Their mobile app freezes and doesn't even notify when a user is online. So, an e-commerce user looking for an agent is kept waiting as the app doesn't even notify the agent, and there you go, you lost your customer. Over the last 3 days, we had numerous cases where customers exited as they couldn't chat with an agent. And the team is very laid back, I would have raised so many tickets and requests for fixes. And now they are about to kill the WhatsApp user interface. From an amazing instantaneous WhatsApp, they want to transfer the interactions to their app. It's scary to imagine the customer fury that we have to face with the WhatsApp migration. Save yourself. PICK ANOTHER",Harsha P.,1.0,"September 20, 2022",The sale process - how they demonstrated that this solution could do wonders! That's where we fell. We should have done thorough research.,"The entire experience was a nightmare. The onboarding process takes forever against their 2 weeks promise. They take the money upfront, and you are stuck. We opted for two languages option, and we could not even deploy English and had to pull out the bot from our Shopify store. Empty promises made during the sale (e.g. all past WhatsApp conversations can be read/ tagged by the API, which apparently can't be!). The mobile app is full of bugs. Agents are not notified of customers requesting to connect with an agent. The support teams were lethargic and would only want to respond by email. If you are an e-commerce player, STAY AWAY from Engati.",Owner,Retail,Used the software for: Less than 6 months
engati,Easy to implement and good customer support,"Building the bot was was easy and fun for the 1st time. Have used different nodes and trained the chatbot on our document as well. That's working fine. The chatbot needs to be trained for all the use cases, and all possible/probable combinations and then it starts picking the context also. Overall, a good experience and it's worth giving a try.",Gaayatri K.,5.0,"October 27, 2021",1. Good customer support 2. Easy to build flows 3. Easy to train the chatbot,"The price might be a bit on the higher side when compared to others, but it covers all functionalities.",Marketer,Information Technology and Services,Used the software for: Less than 6 months
engati,It is really amazing platform with support of extraordinary features ,Chatbot building is just a breeze awaay. Getting data from API os supercool . Excellent platform to use Anyday,Ayush Chandrashekhar V.,5.0,"December 5, 2017",1. Intuitive UI 2.Beautiful FAQ Generation using simple NLP. 3 Easy for Non Coders. 4. One click deploy and analytics,1.REST API features is only what bothers me sometime. Rest everything is perfect. 2. Adding more exhaustive FAQ and documentation is good idea anyday,Intern,Computer Hardware,Used the software for: 6-12 months
engati,"Not worth the money , lost my data , number & hard earned money, couldn't get anything out of it.","It was the worst , i will always regret the decision of choosing engati , the loss can't be recovered now , i lost my old number in which I used to get leads , i lost business because of them, i lost all my data , i kept asking them what would happen to my data , they never respond and i finally ended up with huge loss.",Bharat K.,1.0,"September 22, 2022","I did not like a single thing about this software , they are way too much expensive from every single one of there competitors , there is no transparency in the employees , they don't tell you the consequences, never got complete info on what I am getting into.","I hated there mobile application , it is slow , doesn't work in cheap phones at all , tons of customer complaint about how bad this automated thing is. I wpuldnt recomend using engati at all , there are many good and less expensive services available in the markets",Manager,Retail,Used the software for: Less than 6 months
engati,Best AI Chatbot Platform,"I love it, we have already saved so many business hours by using this Chatbot platform",Karan K.,5.0,"September 16, 2019","The ease of creating new Bots is the best in Industry, no one needs training on setting up a bot using Engati Platform. You don't have to ask for a POC as you can configure and deploy your own bot in less that 5 mins Each and every deployment is described in detailed fashion. Customizations can be done in jiffy The product support team from Coviam is very responsive The number of integrations are best- you wouldn't find any other product with so many integrations","Well actually there is not much. But during the free trial (which never expires though), first 7 days should be with all features enabled for testing the integrations.",Digital Quality & Controls Leader,Financial Services,Used the software for: I used a free trial
engati,It is extremely easy to set up and use across all the platforms. Great scope to grow!,Learnt more about how chatbots can be useful for escalating business and engage with customers better.,Mohammed M.,4.0,"November 16, 2017",It is extremely easy to set up and I had a fun time playing with it. It is required very minimal work and almost no place where you get stuck. It has a wide range of features and has scope to add on more features to make the product greater. The best part about it is that the platform also provided good analytic data to track the bot and nature of users.,"The bot could be more customizable using external technology and more better compatible with other web apps. Please provide more video tutorials explaining how to use external web apps , json APIs and other core integrations along with the bot.",Student,Computer Software,Used the software for: Less than 6 months
engati,I tried to integrate in one of my friend's fb page it was so easy and works flawlessly . 5 star work,The best was the replies and instant ones which helps more people to subscribe through our page and let it increase and Ultimately we achieved it. Benefits as experience of using a chatbot. And although deployment stuff.,Subham A.,4.0,"November 16, 2017","The best part of this software is the ease at which we can integrate to pages, channels like slack and etc. So it was damn cool and the Deployment doesn't take much of the time .",The least i could tell is that there are no proper length tutorials on this. Its a plus point if people with no idea of chatbot will actually use chat bots.,Student,Mechanical or Industrial Engineering,Used the software for: Less than 6 months
engati,I feel engati is am amazing platform but it lacks a few basic requirements like Advanced APIWebhook,Easy chatbot customizations Friendly and inititutive UI,Verified Reviewer,5.0,"November 28, 2017",Simplicity and Uniqueness. I strongly feel it provides awesome FAQ generation and Waterfall model bots . The Payload part is beautiful but lacks a few major API Integrations. Overall its amazing for Medium and small Context chatbots,API Webhooks. Please add more POST and Put options. Integrations. Adding more Integrations to third party app would be good.,Software Specialist Intern at Nokia Solution and Networks,Telecommunications,Used the software for: Less than 6 months
