product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
heyday,Excellent web chat application,I've enjoyed working with their team from the sales people to implementation specialists. They were all very patient and kind.,Erich S.,5.0,"March 19, 2020","I like how it works with Facebook Messenger so that regardless of if the user leaves the website, you can still have conversations with them.","It doesn't currently work with inbound emails as a kind of 'ticketing system', which would be nice to have as a future feature.",IT Director,"Health, Wellness and Fitness",Used the software for: Less than 6 months
heyday,Great tool & great company,We are able to answer better than before to our customers.,Redouane B.,5.0,"November 23, 2021","The connection of Facebook Messenger, Instagram, the messenger widget and Google My Business helped us so much. We could set up FAQ and we are now much more efficient than before. The impact on the customer satisfaction is huge. The Heyday team is incredibly nice and help us a lot in the implementation and evolutions.",Could be better for e-mail connections (in term of UX). Autonomy can also be limited to make some changes (hopefully the team is always there to help),Head of Digital,Retail,Used the software for: 6-12 months
heyday,Review of a + 6 months use,I am saving so much time with all our channels and messenger pages + instagram,Amel A.,3.0,"November 23, 2021","Facilty to change channels and select agents,","It is not fast enough, that little seconds wasted for loadig the pages",CRC LEADER,Retail,Used the software for: 6-12 months
heyday,Simple Intuitive Platform,"Heyday as a company is populated by thoughtful, interactive employees. Whenever we have contacted them for any reason, they are extremely accommodating, responsive, understanding and collaborative. They remain one of the best in this regard.",Curt V.,4.0,"March 26, 2020","Heyday is very easy and intuitive to use. It has a very nice user interface with minimal sleek features. This platform allows our clients to contact us on their preferred time schedule. The bot is able to reply to many basic questions, thus allowing our human agents the opportunity to work on more delicate/complex cases. The ""price drop alert"" feature is a favorite of ours as our particular website has a lot of fluctuation in pricing, this allows our clients to keep an eye on their desired purchases and buy them when the price is right!","At the moment of adoption, the bot had some minor issues with understanding our clients questions, but as promised, through time and evolution, these issues disappeared. The data reporting could be more robust, but I do believe this is coming.",Manager Customer Support Department,Retail,Used the software for: 1-2 years
heyday,A key factor in our growth ,"We are Montreal-based indoor vertical farm than produces microgreens for the local foodservice industry year -round. -Every week we deliver freshly harvested product to over 50 establishment in downtown. -Integartion of Heyday Chat as enable to streamline and simplify order processing, which is extremely valua ble considering the highly-perishable nature of our product and the large amount of deliveries we make every week . -Without it, we would not have been able to experience a rapid growth while maintaining a direct sale strategy, which we consider a key competitive advantage in our B2B market.",Guillaume S.,4.0,"January 16, 2020","Increase productivity by automating the ordering process while maintaining a personalized approach to customer service For our customer, simplify the restocking and respect of order deadline Facilitates customer awareness of new product launch; Facilitates customer feedbacks regarding service and product quality Increased value proposition of our indoor vertical farm concept we are developping As allowed to pursue sales growth through direct sale rather than third party distribution channels","Dashboard could be a bit more user-friendly, but overall there's not much reason to complain",CEO,Farming,Used the software for: 1-2 years
heyday,One of our best partner ,"We love our partnership with Heyday. Since our collaboration, our business as involve in terms of communication with our customer.",Pierrick T.,5.0,"September 21, 2021","User friendly, effective, an amazing extension of our business.",nothing to say in this section. We are very satisfy with all that Heyday as to offer.,Marketing Director,Retail,Used the software for: 1-2 years
heyday,Heyday Decathlon El Djazair,"efficiency, simplicity",Benlabed R.,4.0,"November 23, 2021",have access to all social media messages in one platform the intervention of the chatbot which saves time and anticipates responses,difficulty finding contacts and not being able to open stories,Content & community manager,Sports,Used the software for: 1-2 years
heyday,I would recommend it. Improvements can be done though!,,Verified Reviewer,4.0,"January 8, 2020",- ease of use of the interface for customer service agents,"- bot not always relevant - reporting very limited for now: can't extract google sheets, can't compare data easily etc",Customer service manager,Retail,Used the software for: 6-12 months
heyday,Decathlon Mexico Review ,,Elizabeth D.,5.0,"December 30, 2021",The best thing of heyday is that is an easy software where you can download the information you want.,It would be easier to have a dashboard that shows the whole teammates performance with the main criteria.,Customer Experience Leader,Sports,Used the software for: 6-12 months
heyday,Heyday for online chat service,Great experience so far! We were one of the first businesses integrating the software. The whole team is listening to our needs and feedback which is extremely appreciated.,Dalila K.,5.0,"January 20, 2020","That it's easy to use on a daily basis. No training is required, really intuitive.",Nothing specific to mention. Heyday team is always listening.,Customer experience leader,Retail,Used the software for: 1-2 years
