product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
oracle_fusion_cloud_hcm,Best HCM Product,Great experience as a implementation consultant and a user,Ila R.,5.0,"January 18, 2021","Easy to configure, very flexible, no coding required, flexible. Great reporting tools BIP and OTBI. Sandbox is a great feature for personalization",Not too much customization possible. Limited context fields available,Sr Manager,Information Technology and Services,Used the software for: 2+ years
oracle_fusion_cloud_hcm,Oracle HCM Cloud Review ,It solves the purpose of having one system of record for all data points. We can manage our workforce in a more efficient way. Overall it's a great software offered by oracle to meet the hcm business needs,Lavanya R.,5.0,"January 10, 2020","Ease of use, user friendly UI, Has all the modules like core HR, Absence, Goals, performance Management, compensation workbench. Improved the hiring efficiency and to track data for all employees at one place. Cloud based SAAS model , so no maintenance costs as quarterly upgrades are done by Oracle for no costs",Payroll and Benefits module features can be improved. Search functionality can be improved. Mobile responsive UI performance delays can be improved,Oracle Lead,Automotive,Used the software for: 2+ years
oracle_fusion_cloud_hcm,"It's there, but it isn't helpful",It's more frustrating than helpful. Want to request time off? Good luck at not over using your vacation time. Want to enter a time card? Better get your PhD in computer science. Just do some UI testing. Make it easier on the end user.,Benjamin W.,3.0,"January 2, 2025","I do like all of the tools being in one place, but that is about where it ends.",Most of the UI is very confusing. It's like they didn't have any actual users test the experience. Entering a time card might be the most confusing thing on the planet.,Software IT Trainer,Government Administration,Used the software for: 1-2 years
oracle_fusion_cloud_hcm,"Easy, effective tool for onboarding",Easy to use with a clear outline of what needs to be done. Breaking out into Tasks/Activities is easy to manage.,Prachi P.,5.0,"January 29, 2026",Easy to use with tasks clearly outlined. Good to move through a checklist and be able to come back to complete later.,"Very basic interface. Should have options to record messages, etc. during the onboarding activity to consolidate all communication.",Senior Manager,Management Consulting,Used the software for: 6-12 months
oracle_fusion_cloud_hcm,oracle team,"employee management, security, learning curve, payroll functionality, can be used in any day to day",Verified Reviewer,5.0,"October 24, 2025","easy to navigate interface/documents, schedualing, value for money, great support team, career goals","cost of software has increased, new updates poor to navigate, software being slow, not user friendly",medical assistant,Hospital & Health Care,Used the software for: Less than 6 months
oracle_fusion_cloud_hcm,Review of Oracle HCM Cloud ,"This software serves as a single source for all data points, making it easier to manage our workforce more efficiently. Oracle has provided an excellent solution for meeting our HCM business needs.",Adrian M.,5.0,"May 12, 2023","This software is designed with a user-friendly interface and offers all the necessary modules, including core HR, absence tracking, goal setting, performance management, and compensation management. It also improves hiring efficiency and allows for tracking of employee data in one location. Additionally, the software utilizes a cloud-based SAAS model, which means there are no maintenance costs and Oracle provides quarterly upgrades at no additional cost.","There is room for improvement in the Payroll and Benefits module features, as well as the search functionality. Additionally, the mobile responsive UI performance could benefit from some enhancements to reduce delays.",manager,Retail,Used the software for: Less than 6 months
oracle_fusion_cloud_hcm,Everything you need in one spot,,Matt M.,4.0,"July 28, 2021","I like that you are able to find numerous function and information related to you job, review, compensation, and payroll.",Job search functionality is clunky. You aren't really able to open jobs in new tabs nor see all listings without clicking see more quite a few times.,Data Systems Support Specialist,Food & Beverages,Used the software for: 1-2 years
oracle_fusion_cloud_hcm,It's just great,,MansurAulamKhan K.,4.0,"March 20, 2018",Updates and upgrades services for data migration are really very helpful for our organization and team,"The software Should be more user friendly for the end user population within our organization, which is in 19 countries",Oracle Cloud HCM Solution Architect,Legal Services,Used the software for: 2+ years
oracle_fusion_cloud_hcm,Works as it should,It seems to work well for our company. Requests are responded to quickly so I know my supervisor is being notified of requests right away.,Kyley Shinead E.,4.0,"January 21, 2019",We use this to manage things like time off requests and compensation explanations. It works well and is pretty intuitive to use.,It can be tricky to navigate time off requests. I often chose the wrong option on my first try and have to back out and re-select the correct thing.,Sr. Content Developer,Computer Software,Used the software for: 1-2 years
oracle_fusion_cloud_hcm,Great one,,Shriya C.,4.0,"April 23, 2018","Oracle Human Capital Management Cloud is a great software for the organizations who need a solution that is personal.By using this tool you can make quick and easy decisions,its great to unlock the potential of your workforce.",Oracle HCM is simply powerful tool.By this you can prepare your organization for the digital economy.Its good in terms of customer support.,Account Manager,Used the software for: Less than 6 months,
oracle_fusion_cloud_hcm,Oracle Cloud HCM - nice features but needs better UX,,Vatsal K.,5.0,"April 26, 2025",The web clock feature and the timecard feature is really good and provides a good pathway for companies to digitise their timesheet process.,"Does not offer the best user experience. For example, the features which are used most by employees should appear first or should have a bookmark but even for clocking in, you need to scroll to the bottom every single time to find that feature. Clocking in takes around 2 minutes alone which could be heavily reduced.",SDE Intern,Computer Software,Used the software for: Less than 6 months
oracle_fusion_cloud_hcm,Modern ERP for all,Overall a complete package with well defines processes in each modules,Abhishek G.,5.0,"February 25, 2022","Its industry best functionalities, well defined Process and easy UI",Nothing which is not likable in this product,Consultant,Computer Software,Used the software for: 2+ years
oracle_fusion_cloud_hcm,Oracle Review,,Gianmarco M.,4.0,"November 20, 2023","The thing I liked most about Oracle Cloud HCM was its comprehensive suite of human resource applications, which allowed for efficient and streamlined HR processes. The user interface is also intuitive, making it easy to learn and use.","Oracle Cloud complex user interface can be less intuitive compared to other similar tools in the market. Additionally, the customization process can be time-consuming and may require technical expertise.",Consultant,Banking,Used the software for: 6-12 months
oracle_fusion_cloud_hcm,Oracle cloud hcm,,Chris B.,4.0,"May 31, 2023","Makes for easy use on the go, to be able to pull up on a cell phone or mobile device",Security programs needed more for being out and about,Hr compliance coordinator,Transportation/Trucking/Railroad,Used the software for: Less than 6 months
oracle_fusion_cloud_hcm,"Difficult Implementation, Not Intuitive and Low User Acceptance",,Codie H.,3.0,"December 12, 2017",Cloud based and offers many features for on boarding and employee management. Everything is able to be managed through the cloud portal,"In practice the portal was always slow, and users found the layout confusing. We offered many training sessions to employees, but even after being shown how to perform functions many users were confused. HR did not like the solution and found the difficulty of use and performance issues outweighed the full feature set.",Applications Administrator,Used the software for: 1-2 years,
oracle_fusion_cloud_hcm,From novice to exPert in less than a year,,Radu I.,5.0,"March 21, 2018",Consistency of form and task design Easy to find actionable items Able to have gone from novice to expert in less than a year,"At times we get sudden disconnected, which can be an issue The FBL design may need some more work and improvement But out than that, it is going well",HRIS Advisor,Used the software for: 2+ years,
oracle_fusion_cloud_hcm,"Excellent tool for automating easy self service functions for employees, managers, and HRBPs",,Connie F.,4.0,"March 21, 2018",Easy configuration & flows. BI reporting makes it easy to provide ad-hoc reports & quick analyses. Also can brand to make it ours.,Sometimes there are limitations on configuring the pages. Would also be nice to be able to opt out of some new functions in releases.,Hris principal,Used the software for: 2+ years,
oracle_fusion_cloud_hcm,It's been a struggle moving from PeopleSoft to Fusion but we are doing good.,,Jenny G.,3.0,"March 21, 2018","User Interface, hdl loader better than fbl, effs and doffs are very great. We are very happy with these aspects.",Auto defaulting fields are not easily set up. Finding setup tables is a struggle at times for certain parts of the day,IT Analyst,Used the software for: 2+ years,
oracle_fusion_cloud_hcm,Platform is great. Available training and documentation is difficult to find and use,,Tom D.,4.0,"March 20, 2018",Cloud environment is evolving and adds new functionality. The software has great advanced functionality that will position our university for future best practices,Issues with updates breaking reports. We have had steppers stop functioning after monthly patches that worked in a test environment,Director payroll/hris,Used the software for: 1-2 years,
oracle_fusion_cloud_hcm,Love Oracle HCM but would be nice to have database access,,Pooja M.,3.0,"March 20, 2018",Ease of use. Love the new features. Those are the two main features we want to highlight as pros - pluses we like.,Poor database access. Do not like using reports to access database. Would like easier access to reporting.,Business Analyst,Used the software for: 6-12 months,
oracle_fusion_cloud_hcm,Not Just for the Birds,I have one word - Awesome!! This makes life so much easier to manager staff and keep staff. This entire package takes the burden off the HR department to manage records and staff can staff can help to keep their records straight and encourage management to keep looking for ways to utilize them in a way that keps them engaged.,Kenatu B.,4.0,"November 24, 2016",requires next to nothing in the way of internal IT infrastructure 24 hour access to your own data its secure and pulling reports are a breeze,Price. make sure that you have a little change in your budget because the license structure is not too flexible to make it affordable to small companies,Senior Programmer Analyst,Public Policy,Used the software for: Less than 6 months
oracle_fusion_cloud_hcm,Awful integration process.,I called Software Advice for help and this is is the survey I received back.,Stephen T.,2.0,"October 3, 2017",Literally nothing. I am two months behind on my launch schedule. This has cost me an additional fee. We're a small business. This has been a disaster. Profoundly disappointed in the recommendation.,"I think the pros covered it. Extremely disappointed with the Software Advice, Oracle, and the integrator. It's been almost an impossibly bad process.",Operations Director,Management Consulting,Used the software for: Less than 6 months
oracle_fusion_cloud_hcm,Very intuitive ,,CJ H.,5.0,"March 21, 2018",End user experience is highly intuitive and required little training. Also like the mobile functionality as well,Customer support sometimes difficult. Navigating all the Oracle resources can also be difficult. Would like a more centralized learning exp,HCM consultant,Used the software for: Less than 6 months,
oracle_fusion_cloud_hcm,Evolving,,Rhonda G.,3.0,"March 20, 2018",I like the integration concept that replaces several disparate tools we have been using. great user experience for our organization.,The tool still lacks key functionality and usability features and we are waiting for those to be added.,ERP Manager,Used the software for: 6-12 months,
oracle_fusion_cloud_hcm,Implemented Cloud beginning this year. Overall support with Oracle and Deloitte was great. ,,Teresa J.,4.0,"March 20, 2018",Employee Self service is the feature we like the most - it is very helpful to our organization and to our workforce,No ability to derive fields from an array of data attributes or guard rails for edit checks for field values.,Director HR Optimization,Used the software for: Less than 6 months,
