product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sendbird,Implementation was super easy and functional very quickly. We got up to speed super quick.,,Chad N.,5.0,"November 8, 2017",It is super stable. After trying to build our own using firebase... This was an awesome experience that got us deployed super quick. It is fully featured and ready out of the gates requiring very little adaptation.,"There are still some things that are not included in our portal management. However, engaging support has been able to resolve them.","SVP, Product & Technology",Market Research,Used the software for: 6-12 months
sendbird,Good chat foundation that you can build upon,"Sendbird allows you to get up and running with a chat solution pretty quickly. We have since customized it a lot (integrating it with Slack, building notifications etc). It is pretty good for plug and play if you are looking for a basic chat service. We don't use their UI, but their UI is good straight out of the box. Their response time is a bit slow, and they have made some changes to their product without warning and detailed descriptions of those changes. All in all it was a good solution for us because we needed to focus on other things and don't have the bandwidth to worry about make sure our chat foundation is reliable. Sendbird has been pretty reliable with only a couple of times going down. Their pricing is good for what you get. If you are just looking for a plug and play chat service then you should definitely consider Sendbird. If you are looking to customize it a lot like we have, then I would suggest thinking about what you are trying to achieve, as it may be better to just start from a little lower level like socket.io. We ultimately decided on Sendbird, and have been pretty happy thus far.",Sean G.,4.0,"February 1, 2017",Plug and Play,Needed to customize quite a bit and the customer support is not the fastest.,Software Developer,E-Learning,Used the software for: 6-12 months
sendbird,"Better alternatives, just don't do it.","We wanted a simple, fast, chat solution to drop into our app. Sendbird promised this, but did not deliver.",Verified Reviewer,1.0,"September 28, 2021","Seemed like it had the features we wanted, small hungry team that promised a lot.","Poor quality product, terrible documentation, engineering support that didn't know how their own product worked. We paid a lot of money for this software, got locked in, have regretted it every day since. Will leave as soon as we can.",CEO,Computer Software,Used the software for: 1-2 years
sendbird,"A great team, helping to integrate a great product",,Patrick G.,4.0,"January 12, 2021","Team is willing to help you - starting from your first contact. all relevant platforms we need to integrate the chat on, are supported. if you have some custom requests, the team is willing to find a good solution to enable your business implement their plan.",the ui kit could offer more functionality.,Product Owner,Computer & Network Security,Used the software for: 6-12 months
sendbird,Great team to work with,,Verified Reviewer,5.0,"January 9, 2021",Great tech support. Always proactive when we face issues,Some features were missing when we initially tied up and had to custom implement on our side,Software Engineer,Computer Software,Used the software for: 1-2 years
sendbird,I would never recommend this product ,"Absolutely terrible. We ended up cancelling our subscription, and asked for a partial refund for the unused portion of the costs. They refused. We contacted the credit card company and asked to rebate the charges, and Sendbird fought it. We were unable to get anything at all. What kind of a company takes your money and refuses to rebate unused service. We are are a B2C startup and every dollar counts. At the same time, I believe in customer service, and would never screw a customer out of their money. What a bunch of dirtbags! I would never do business with this company again! We ended up having our devs make a chat in house. Stay away. Far away.",🎸Steven L.,3.0,"May 23, 2022",Very little - the basic interface was ok,"They wanted to charge us way more for moderation tools, which we believed should be an essential part of any chat software. And we were in development mode with virtually no users - so we needed time to ramp up to scale.",CEO,Broadcast Media,Used the software for: Less than 6 months
sendbird,Responsive and helpful partner to build a chat feature with,Very pleasant and would recommend using Sendbird to other engineers looking for chat integration.,Toshiki J.,5.0,"January 8, 2021","The customer service team has been very responsive with any inquiries. Although they are a third party partner, it feels like they are in my own team. Integration was very easy and straightforward as well.","Sometimes when there are errors, we have to reach out to them, instead of them reaching out to us.",Software Engineer,Media Production,Used the software for: 2+ years
sendbird,A Growing Product,"I think the product is useful and needed. Chat is quite difficult to implement into an app on both the front-end and back-end. SendBird makes it much easier to do so, but still needs work in terms of documentation and support. It was not that easy to implement a front-end solution, albeit a custom one. I would like to be able to speak with a tech support staff via chat. It was very difficult to get support over email with long wait times in between correspondence - at least when I was a non-paying member. One might say that is a crucial time to convert someone to paying. A direct line via Slack or even their own messaging service would be incredibly useful. I still have issues to this day with implementation related to connecting, temporary messages, caching, error handling, etc. There are a LOT of odds and ends that need to be taken care of, and I'm willing to bet most apps implementing this solution are not bug free or on par with more mainstream chat services and I think it should be. Overall, I like the product. I think there's a lot more that can be done with it, and I look forward to future releases.",Scott W.,4.0,"December 16, 2016",Definitely makes it easy to add chat. Saves a ton of time and headaches. It's a better back-end solution than I could have done personally.,- Needs better technical support. - Needs a better front-end solution. - Not very easy to implement.,Founder,Financial Services,Used the software for: 6-12 months
sendbird,"Solid product, but much more room for growth","I launched my app Pro Photo Shoot using SendBird as the engine for in-app messaging. I was very pleased with the way the API handled conversations, as it really took a lot of work out of the process, which can be very complicated if building from scratch. A few things in the suggestion box: - Faster, faster, faster! Make the API as fast as possible. - Improve your console to make it easier to drill down into a conversation when needed",William U.,4.0,"December 6, 2016",Ease of use. Decent SDK and REST interface.,"Documentation is a little thin. It could be more robust with details, examples, and use cases.",Entrpreneur,Computer Software,Used the software for: 6-12 months
sendbird,SendBird saved my time for integrating a chat platform.,SendBird is a best solution for a basic chat service.It is very easy to use.I recommend SendBird for all those who want to integrate a chat platform. It is fast and easy to learn and use.,Verified Reviewer,5.0,"November 30, 2018",It is a tough job to integrate chat in both front-end and back-end.But SendBird makes it possible with out much time.It is very fast and easy. It didn't take much time to first implement. And the the back-end solution is really good. It saves a lot of time.,It would have been better if you provide good documentation and support. It's difficult to get support from the team.,chief software developer,Computer Software,Used the software for: Less than 6 months
