product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
dropbox_business,Dropbox. More secure than Googel one drive.,"It has done well with our team and I feel it is more secure than Google Drive. Pricing is reasonable for what we get, and the storage and option to download to computer are good features.",Patrick S.,4.0,"March 30, 2026","The system allows me to share files internally and externally (links, permissions, expiry, passwords). The real-time collaboration + tools like Dropbox Paper, e-signatures, and DocSend tracking kae it easier to collaberate remotely (which we do)",The cost compared to Google one drive is obvisous. Another thing is that people who are used to Google One drive have a steep learning curve with DB business..especially boomers.,Director of Finance,Consumer Goods,Used the software for: 2+ years
dropbox_business,Drop Box Review ,"Overall experience is a great product when it comes to keeping files together, and storage to free up all your other devices.",Wayne B.,5.0,"March 14, 2026","What we like most about Dropbox business is that it is very easy to use, it keeps all my files stored in one place, and is capable of storing large files, easy to reach files and great customer support.","One of the things that we did not appreciate sometimes we are not able to get into the account, we have to constantly change our password.",CEO,Consumer Services,Used the software for: 1-2 years
dropbox_business,frustrating- I gave up,,Verified Reviewer,2.0,"March 30, 2026",Not much I liked about it to be onest. I gave up because the interface and synching was so convoluted .,"The interface is so difficult. I coulsn't find my stuff, wasn't sure if things would sync. i found it unnecesary difficult to set it up and to access files.",Consultant,Marketing and Advertising,Used the software for: 1-2 years
dropbox_business,"Great alternative to OneDrive, with some caveats.","Have used Dropbox Business for the better part of 10 years. Although OneDrive is another app we use, I prefer DropBox when it comes to sharing files with people outside my organization. It just works easier than OneDrive.",David S.,4.0,"February 12, 2026","Folder structure works well, desktop app works consistently and sync's with mobile uploads almost instantaneously.","Not the fault of Dropbox, but Microsoft Files doesn't allow advanced features for files stored in Dropbox. Such as auto-save and shared access.",Director of Technology,Electrical/Electronic Manufacturing,Used the software for: 2+ years
dropbox_business,Dropbox Business: Smooth Sailing… at a Premium Price,"Using Dropbox Business feels a bit like having that one ultra-reliable coworker who never messes up—but charges you for every favor. Day-to-day, it’s smooth, intuitive, and gets the job done with minimal fuss. Files sync, sharing is easy, and collaboration actually works without turning into a tech support nightmare, which already puts it ahead of half the tools out there.",Leo D.,5.0,"April 9, 2026","Ah yes, the classic “premium pricing for the privilege of not losing your files.” Dropbox Business is like that fancy restaurant where you pay extra for water—but hey, at least the glass is clean. You’ll occasionally wonder if you’re funding innovation or just really well-organized servers somewhere in the cloud. To be fair, Dropbox absolutely nailed this. It’s so easy to use that even the least tech-savvy person in your office suddenly becomes “the file-sharing expert.” Drag, drop, done. If only everything else in life were this simple.","Probably the part where your wallet quietly sighs every billing cycle. It’s not outrageously bad, but it definitely makes you pause and think, “Do I really need this much convenience?” Also, the occasional sync delay loves to show up at the worst possible moment—like right before a deadline—just to remind you who’s really in control. And while the interface is beautifully simple, digging through older or poorly named files can feel like an accidental archaeological expedition.",Embedded software test engineer,Machinery,Used the software for: I used a free trial
dropbox_business,Excellent Value for the Money,"It is great and we use it with many contractors on several jobs to keep track of contracts, legal documents and more",Hallye N.,4.0,"March 5, 2026",Dropbox business is one of the best ways to collect and keep track of shared documents for commercial jobs for contractors. It is easy to use and a great value for the money.,"There can be a limit to how much you can store and do so you have to pay for additional features, but the price is affordable.",Operations Manager,Mechanical or Industrial Engineering,Used the software for: 2+ years
dropbox_business,Decent cloud storage solution,"I used dropbox in the early years, before I made a switch to Google Drive. Was a decent solution but needs improvement.",Swagat G.,4.0,"April 17, 2026","What I like about Dropbox is how flexible their solution is for business needs. For example, you can create groups and roles without the app. That's something very cool. The other interesting feature that I love is, you are able to restore the deleted files within 180 days. I don't think about businesses in this domain offers that. I might be wrong though.","Dropbox Business is very cool with many features within. But, I have always one complain about using Dropbox for personal use and that is - you do not have flexible options of less storage. Let's say, what if I needed just 200GB of cloud storage? Well, they do not provide it. So you have to purchase their minimum plan of 2TB.",Photographer and Videographer,Design,Used the software for: 6-12 months
dropbox_business,Dropbox is the go-to file sharing platform,"Dropbox has been an an amazing platform for both storing files but also sharing files to our partners. Super easy to use, search, and navigate as well as amazing customer support. Plans are affordable and offer great value.",Jayden L.,5.0,"April 1, 2026","Dropbox has been an an amazing platform for both storing files but also sharing files to our partners. Super easy to use, search, and navigate as well as amazing customer support. Plans are affordable and offer great value.",occasional bugs with downloading but customer support is helpful in getting these resolved. sometimes downloading from server takes time,VP of Accounting,Construction,Used the software for: 1-2 years
dropbox_business,Worst file sharing service I have ever used.,Awful. will never go back and will not accept files delivered this way. Was overcharged several times and no customer service to help recover these charges. Faceless and greedy.,Andrew G.,1.0,"March 4, 2026","Nothing, We now have company policy not to use this service and have deleted our account. We will no longer accept files delivered this way.",Constantly requesting money to receive files shared by clients. Even if you select free trial they will charge you anyway. Service is very clunky and difficult to navigate.,Managing Director,Media Production,Used the software for: 2+ years
dropbox_business,Easy to use,Easy to use and store files and recovery deleted files. Can save the files and documents easy to use.,Verified Reviewer,5.0,"April 8, 2026","Affordable and Automatically keeps files up todate across computers, mobile devices and browsers even everywhere for small documents.","Easy to store but only 2gp free space, sometime security concerns, features tools,colleberibation features",Mechanical Engineer,Mechanical or Industrial Engineering,Used the software for: Less than 6 months
