product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
droplr,Droplr OK when the,,Ali K.,5.0,"July 19, 2023",We love using this within our team of company as a single app to share and capture screenshot. That's about it! I love that I can use my branding in there to kinda feel like white-label.,Their program is not as good as other screenshot app for video recording. So I would recommend this for photos and documents.,Owner,Information Technology and Services,Used the software for: 2+ years
droplr,Droplr has been a mainstay service for my developing business,"I use Droplr as a file sharing system for my customers, as an inspiration board, and very frequently (daily) use it to share screenshots and vid captures with everyone from customers, friends, to support personnel (it lets me see how many times a file has been accessed so I know if/when a customer support agent has bothered to look at my file/screenshot/vid capture). With Droplr, I am never in the dark and I can't say enough about the service.",John S.,5.0,"July 2, 2020","The overall cost and customer service is great. I have been using Droplr for some years now and though I may drift and try some other services, I always stay with Droplr. And when it comes to working with my customers and sharing assets of different types with them there just isn't anything easier or more convenient to use. I absolutely love Droplr and can't recommend it enough.","The primary issue I have is that I use Droplr on all my devices, including my iPad. There used to be a great iPad app but that has long since been abandoned. Please bring it back, I need it!",Owner,Computer Software,Used the software for: 2+ years
droplr,"Outdated software, with terrible UX.","Decent product, terrible process when it comes to cancelling; and very expensive to pay 84$ per additional team member yearly, considering some might barelly take some screenshots.",Robert R.,3.0,"March 11, 2026","Worked well to take screenshots and videos, and allowed me to share them with my coworkers and clients.","Terrible dark pattern sales, in order to cancel your subscription, you're forced to cancel your account, I've went through this last year, and I've decided to just delete it and not care. Impossible to receive an invoice automatically, you have to open a support request with them, which got more complicated over the years.",Small Business Owner,Computer Software,Used the software for: 2+ years
droplr,"Great way to share screenshots, recordings and files! ","I'm extremely happy with this app, but there's ONE thing that it doesn't do that I REALLY need: copying the file into my clipboard right after taking the screenshot/recording. Hope they implement it soon!",Luis P.,5.0,"July 31, 2019","Droplr is a great tool to share screenshots, screen recordings and files almost instantly. I love how easy it is to set up and share stuff with other people. Since I have it, I'm using CloudApp much less, as its interface is better and it offers a much better functionality to organise files online.","The only thing I'm missing in Droplr (which I do have in CloudApp) is the ability to send a screenshot or recording straight to my clipboard instead of copying the link. I sometimes need this functionality more often than the link sharing, so that's the only reason I haven't ditched CloudApp.",English teacher & blogger,Education Management,Used the software for: Less than 6 months
droplr,Droplr is a good screenrecorder and file manager,Droplr helps me to share files and pdf with clients and customers easily with my own branded links.,Rachael Woolley -.,5.0,"November 11, 2021","It is easy to upload my document from the computer into their system, create a file link and then share to clients and customers. It is good that I can change the privacy settings on the files and create a password to restrict access where required. Able to easily record video on the computer screen and share any information with clients.",I would like to be able to edit the documents that I upload with their software without having to use third party tools.,Mindset and Health Coach,"Health, Wellness and Fitness",Used the software for: 1-2 years
droplr,Badly Designed Software,sharing instructional videos with clients and students,Corrado I.,1.0,"December 22, 2020","Just recorded a long screencast and the screencast is gone! Can you believe it that a file upload app like this does not have a temp folder? it does not have an upload resume feature, it also does not have a failed uploads folder. if for any reason the app closes to fails to upload ""which can happen"" your upload/screencast is GONE! Never experienced such badly designed software. Should my content not be protected and safeguarded until it is made shareable? The answer is NO with droplr.",No Failed uploads folder No Upload Resume feature No Temporary local uploads folders,CEO,Education Management,Used the software for: 6-12 months
droplr,Amazing screenshot tool with powerful integrations,"I was pleasantly surprised by the new version of droplr. Drag and drop integration with major productivity apps is not only a killer feature, it's also fun to do! Anyone who regularly needs to annotate and share screenshots should check out droplr first.",Rick P.,4.0,"April 8, 2019","I've been using the free version of droplr for years but not consistently. I got an email encouraging me to check out the new version and was glad I did. The integrations provided with the Mac desktop app are for me the biggest selling point since there's really nothing special about the screenshot and annotation tools which can be found in many Chrome extensions and in other apps. (None of them are quite as pretty as Droplr, however.) As a hobby, I write film reviews and often need screengrabs or official stills for whatever film I'm writing about. I used to use Google Keep to store images that could then be easily imported into Google Docs, my primary writing tool. Droplr allows me to take a screenshot, switch to Google Docs, and then drag and drop directly from the app's toolbar menu. Amazing! So convenient. This drag and drop functionality works in Gmail, as well, which is also useful. The Pro version is also reasonably priced.",The new version of Droplr is quite a bit slower when scrolling in the web app. The old version used to allows direct sharing to Twitter and other social networks. There is no sharing option now. Perhaps that functionality will be added later. Drops in free version are automatically deleted after 30 days. Legacy users/early adopters aren't eligible for a free pro trial of the new version. This seems kind of mean to me.,Director,Design,Used the software for: 2+ years
droplr,Droplr has been my default screenshot app for over 5 years,,Maxim L.,5.0,"May 1, 2018","Very simple workflow: you press a shortcut, select an area on the screen and get a link in your clipboard. Or, if you want, you press another shortcut and draw extra info on your screenshot. A lot of my friends are using Dropbox for this, but I hate how heavy is the dropbox web page when you click the link. I think it even tries to convince you to install the Dropbox app, which is extremely annoying. Also, love the screencast feature, use it all the time.","It feels like the app became a bit more buggy in recent days. In particular, uploading a screencast sometimes crashes the app, and there are few annoying bugs in the drawing editor.",Co-Founder,Computer Software,Used the software for: 2+ years
droplr,Amazing tool!,"Amazing, it has really helped me save a lot of time!",Juan Arturo G.,5.0,"April 22, 2020","Since I started using Droplr I've been able to manage screenshots so easily. Given the work I do, it is essential to be able to take screenshots all the time, and using the default OS option and then uploading it is time consuming. Droplr makes it easy, specially with the Chrome extension, simply select the type of screenshot you need, markup it and copy the link. Another very important feature is being able to add tags or move screenshots to folders to keep them organzed, and the selfdestrcut option, also really really good.","So far I don't really have problems, I did had a problem taking screenshots a long time ago, but their support team got back to me and helped me fix it, turns out all I needed to do was uninstall and reinstall the Chrome extension to fix it.",CEO,Graphic Design,Used the software for: 6-12 months
droplr,So great for prototypes,,Chad S.,5.0,"December 14, 2018","I loved sending screen shots to people for some feedback on different graphics I've created. I love how when you take a screen shot, it automatically creates a link for it and copies it to your clipboard. I think it's genius how easy it is to share","Sometimes it doesn't open when you login to your computer, and also the free version can be quite a tease! I would love some functionality still with the free version.",Owner / Designer,Religious Institutions,Used the software for: 2+ years
