product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
idgard,secure Document Transfer ,,Natalie S.,4.0,"September 24, 2020",External parties can have access to documents and upload additional ones to the idgard drive. Their Service team helped a lot with onboarding.,No Sync-Client for Mac (Apple) available.,CEO,Information Technology and Services,Used the software for: 6-12 months
idgard,idgard review for project based company,"We use idgard for exchanging data sheets with our clients, as we are a project oriented organization. All our clients use guest licences and can easily share their data with us, sheets, documents, videos etc.",Anamarija N.,4.0,"September 14, 2020",It gave us ease of use for our clients Huge help database and in-product assistance,"Chat feature could be improved, but we did't use that feature often",Marketing Manager,Outsourcing/Offshoring,Used the software for: 6-12 months
idgard,Fair Balance,"IDGARD has a fair balance between user-friendliness and military-grade security, making it great for businesses that prioritize both productivity and privacy.",Isaiah T.,4.0,"April 19, 2025","One of IDGARD’s most appealing features is its sealed cloud technology, which ensures end-to-end encryption and prevents even the provider from accessing user data. This zero-knowledge security model creates peace of mind for businesses working with confidential projects or client data.",Storage plans can get pricey depending on data volume. There is a learning curve for users unfamiliar with secure collaboration platforms.,Designer,Consumer Services,Used the software for: I used a free trial
idgard,Perfect to share documents,"Overall, it was a good experience. However, it may not be very intuitive for clients who are unfamiliar with the platform and need to join as guests.",Erik A.,5.0,"October 27, 2025","It is very easy to use and quite intuitive, especially when creating folders to organize and share the necessary documents. Additionally, it offers a high level of security and excellent storage capacity, making it a reliable and efficient tool in every aspect.","Sometimes, access for company members can be a bit challenging, and occasionally, clients to whom we share the folders mention that joining as guests is not very intuitive.",Project Management Office,Electrical/Electronic Manufacturing,Used the software for: 1-2 years
idgard,Secure File Management,"idgard is a secure, cloud-based collaboration platform designed to protect sensitive documents and communications while enabling compliance with strict data protection regulations such as GDPR.",Mohamed H.,4.0,"September 15, 2025","The platform supports both desktop and mobile access, giving teams the flexibility to securely work from anywhere without compromising security or control over confidential data.","idgard provides end-to-end encryption for files, emails, and messages, ensuring that sensitive corporate information is fully protected from unauthorized access at all times.",Engineer,Airlines/Aviation,Used the software for: Less than 6 months
idgard,Assistant manager,My over all experience is that I would recommend it to anyone and for the most part user friendly to everyone,Emily S.,4.0,"September 18, 2025",I like idgard because it is easy to use and navigate even for someone that does not like technology.,I dont like how there are so many different options that I have to pick from. It over whelms me a lot,Manager,Architecture & Planning,Used the software for: I used a free trial
idgard,Recommended,,Denis S.,4.0,"July 14, 2021",Excellent platform for sharing files securely. I recommend using the software.,It may be clearer in explaining to a guest user.,Designer,Printing,Used the software for: 1-2 years
idgard,Reliable and secure,,Patrick T.,5.0,"September 20, 2022",Security strong and good protection protocols,It is perfect. it is difficult to fault the product.,Chairman,Chemicals,Used the software for: 2+ years
idgard,Easy to use platform,Very good for managing files at a high security level,Kastriot K.,5.0,"July 27, 2022","Easy to use platform, different options of terminating the session.",It would be good to have a browser extension,Agro Expert,Banking,Used the software for: 2+ years
idgard,Easy sharing of docyments,Good and easy,Maibritt K.,5.0,"September 8, 2021",How easy it is to find the documents which has been uploaded,"Nothing, since it has working fine whenever I needed it",Support & Quality Manager,Industrial Automation,Used the software for: 6-12 months
idgard,Hohe Sicherheit mit Spitzen-Support,,Thomas L.,5.0,"November 18, 2020","Hochwertige Cloudlösung bei 100%iger Einhaltung der strengen DSGVO Richtlinien. Vor allem hat mich aber der enorm hohe Sicherheitsstandard sehr überzeugt, weswegen ich den Dienst immer wieder gerne weiterempfehle.","Bis man sich mit der Software vertraut gemacht hat hakt es manchmal etwas an der Benutzerfreundlichkeit. Sollte man in Ausnahmefällen nicht weiterwissen, hilft der freundliche und kompetente Support aber sehr schnell weiter.",Webdesigner,Internet,Used the software for: 6-12 months
idgard,Produktbewertung,Passt schon.....irgendwie!,Markus T.,5.0,"August 24, 2023",Funktionalität in der Zusammenarbeit mit den Wirtschaftsprüfern,Die Umständlichkeit Ordner zu strukturieren und Unterordner zu bilden,Bereichsleitung Marktfolge Kredit,Banking,Used the software for: 2+ years
