product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mediafire,"Friendly, fast and Secure",MediaFire helps me store documents which helps to prevent potential losses.,Delly S.,5.0,"January 26, 2024","Mediafire provides an enterprise-level file cloud-based storage solution. It's the best cloud-based file backup software I've ever encountered. The main reasons I still use it now and thus, recommend are because: - it is because it's super fast and from personal analysis, I think it runs on ultra-fast servers which tremendously speeds up file upload and download processes. - file sharing is easy as the user interface is easy to navigate -It's easily accessible, mobile friendly, and provides robust file security solutions with cutting-edge technologies that protect users from account hacking and data phishing. It's a safe place for my files tho.",It only supports a few integrations and lots of my favorite apps seem to not be supported yet.,Telemarketer,Marketing and Advertising,Used the software for: 2+ years
mediafire,Very Good Product,"Overall good experience. Some difficulty at first navigationally, but figured it out.",Trevor H.,5.0,"May 5, 2025","Great tool for storing and keeping track of important information, including notes, music, etc...",Nothing actually comes to mind as far as dislikes are concerned.,Admin,Hospital & Health Care,Used the software for: 2+ years
mediafire,Easy File Sharing For Free But Annoying Ads In Free Version,"The software was useful for quickly sharing large files and I suppose the ads are a necessary evil so there is a free version, but it was not good that some of these ads are popups and could be generally better selected to be less annoying.",Verified Reviewer,3.0,"September 9, 2021",I wanted to share a large video with friends and family and other online utilities couldn't handle the size. Mediafire seemed to work (but I still had to split the video up into 4 parts so that the complete video could be downloaded. It included a nice feature to earn extra free space e.g. by referring to friends or sharing on social media I liked the way you didn't necessarily have to create an account to use the software (but see the minor gripe I had re this in the cons).,"The “Welcome to your new my files” screen didn't quite match the actual screen e.g. it does not show ""FILTER"" on the former. It was not clear that I could drag a file onto the upload screen however, I discovered by experimenting that this was possible. I could not lookup help e.g. I clicked on help expecting to be able to search on a topic, but it just took me to a “submit a ticket” screen. People I shared a link (to a video) with had to give their consent to use personal data. (You don't get this with Youtube when you share a video). People I shared a link (to a video) with were displayed annoying adverts. One Ad included a big download button which my friends could easily have misconstrued as the button to download the video (and they would have been very annoyed with me if they had downloaded something dodgy). The ads are necessary (I supposed) to keep it free, but they include annoying pop-up ads No warning to me that the people I share a link with will see ads including popups. When I'm not logged in, I still get a logout option on the left-hand side. I would expect a login option there. Options that are only available with an upgrade are not greyed out or differentiated in some way, so I found it annoying that I had to click on them before seeing they were not available. The filter was rather limited e.g. I could not set it so I could view all video and all audio files (filtering out the rest); it had to be just video or just audio.",Director,Marketing and Advertising,Used the software for: 2+ years
mediafire,My Favorite Cloud Hosting Service,I've used MediaFire for around 15 years and have had no issues with lost files or anything. It's a great hosting service.,Colton B.,5.0,"September 14, 2022","I've used MediaFire since it first started in beta. Since that's the case, I have extra storage space as it started out with way more space, if not unlimited, at the time. They've changed that up but it's still affordable. It functions really well and is even great for image sharing. I like that it gives you instant links to share the picture directly with anyone else. The download and upload speeds are really fast as well.",I'm pretty sure that it originally had unlimited storage when it first came out. I understand why they changed it up and started charging for it but it's still really affordable and it's still my favorite hosting website to this day.,Owner,Computer Software,Used the software for: 2+ years
mediafire,"Storage for you, me and everyone",I used it to share my files with my students so that everyone could collaborate on teamwork. in addition to files and stems of my musical projects,Said S.,5.0,"July 11, 2021","I am very happy with mediafire since I can use it in 2 easy ways, as a public link or as a storage for myself. The types of view as a search engine and as a unique link is what seems perfect to me. Uploading documents simultaneously is one of its best virtues. That they have a stable and available mobile application for IOS which is something that not everyone has.","I can't find anything wrong with Mediafire, I would rank it as one of the best online storage services.",Educacion,Education Management,Used the software for: 1-2 years
mediafire,Mediafire? never Again!,"I had a MediaFire account open for about 10 years. Yesterday, out of the blue, I received an email stating that on February 28th, my account will be suspended, and I won't be able to access it anymore. They wrote to me claiming that I violated their Terms of Service. It's a shame because I only upload work files created by me without breaking any rules for years. Moreover, I hadn't uploaded any files for weeks. So, I opened a ticket as suggested by them to try to resolve the issue, and I received a response from someone named LaChandra without any explanation, simply copying the email I had already received. She didn't tell me what the problem was and informed me that my account has been permanently closed. This treatment is absurd, the service and assistance are terrible. I lost numerous important work files, and they don't even have the decency to help me understand and resolve the situation somehow. Never again. Better Mega / Dropbox / google drive.",Verified Reviewer,1.0,"February 22, 2024",,,Director,Entertainment,Used the software for: 2+ years
mediafire,The door to unlimited file sharing,"I'm very fond of games and series, the fact that bandwith is unrestricted means i can rely on this software everytime.",Verified Reviewer,5.0,"October 11, 2021","Mediafire is amazing, it is intuitive and allows for unlimited file sharing, regardless of size, which is really helpful to download games, movies and series. It has a good pricing too.","It would be great if it had a desktop app, file previews and at least encryption to avoid so many redirect links.",political scientist,Government Administration,Used the software for: 1-2 years
mediafire,Easy to use data sharing tool,,Mickey V.,5.0,"April 24, 2025",The best thing about MediaFire is how easy it is to upload any type of file and then share it with anyone by simply sending a link.,MediaFire is rather pricey compared to its direct competitors. Despite its ease of use I do not think the price justifies the switch.,Financial Controller,Computer Software,Used the software for: 1-2 years
mediafire,Decent Cloud Storage,,Ibrahim A.,5.0,"March 10, 2025",Media Fire offers free uploads and simple file sharing options. The interface is easy to use and share when giving access to files.,The free plan is limited with storage amount limits and can have slow download speeds.,Video Producer and Editor,Media Production,Used the software for: 6-12 months
mediafire,Useful for Basic File Sharing,"A reliable option for basic storage and sharing, but could use more features for serious cloud storage.",abdelkabir N.,5.0,"October 30, 2024",No advanced features like sync or backup; ads on the free plan can be annoying.,"Easy to use, good free storage, simple file sharing with links.",freelancer,Design,Used the software for: 1-2 years
mediafire,Condivisione veloce di file ,Utilizzato a lavoro per inviare una grossa quantità di immagini che ho modificato per una presentazione ad una mia collega che lavorava in smart working,Verified Reviewer,5.0,"February 28, 2023",Condividere grossi file e cartelle con una interfaccia molto intuitiva,Dipende la grandezza dei file e la velocità di connessione ci può volere molto tempo per il processo,Sales Assistant,Marketing and Advertising,Used the software for: 2+ years
mediafire,Arkon-MediaFire,"Em resumo, o MediaFire é uma solução segura e eficiente para quem precisam armazenar e compartilhar documentos online, com recursos avançados de gerenciamento de arquivos e a capacidade de acessar os documentos de qualquer lugar, o usuário pode ter certeza de que seus documentos estão seguros e acessíveis a qualquer momento.",maykon J.,4.0,"March 6, 2023","O que mais gostei é da possibilida de acesso com dispositivos móveis é a capacidade de editar os arquivos de qualquer lugar, a qualquer hora, usando qualquer dispositivo conectado à internet. Isso torna o armazenamento de documentos muito mais conveniente e flexível para usuários que precisam acessar seus arquivos enquanto estão em movimento.","O suporte ao cliente não e muito eficiente, demora muito para responder e não forneceu uma solução para o meu problema, poderia investir mais em um suporte de qualidade.",Diretor,Civil Engineering,Used the software for: 6-12 months
mediafire,"is MediaFire good for files sharing,is it safe?","overall experience, I would say that MediaFire is a really good website for both storing files and sharing.",Zakaria B.,5.0,"May 31, 2022","MediaFire is a really common website for file-sharing or file storing, I'm using it for a very long time, and the thing that I like most is that you have up to 11GB for free to store your files which is good for free versions. and there is a paid version really cheap you can get up to 1TB of space, No captcha codes, Long-term storage, and many more good features. In both versions, you can upload your files and share links, you have cloud storage so you can store your files and back whenever you want. If you are a MediaFire user, you have a really good interface easy to use so you can see all uploaded files.","to be honest as a user, I upload files, and I have never seen something wrong on the website, But if you are a user who downloads people's stuff, I can't guarantee if the files can be harming your device or not, of course, the website is taking care of this stuff, but always give attention, you will never know.",computer engineer,Computer Hardware,Used the software for: 2+ years
mediafire,Da sempre una Garanzia,,Francesca C.,5.0,"December 29, 2023","MediaFire si è presentato come software degno sia di nome che di fatto: i files sono facili da far upload, e da far download. In pochi istanti sono riuscita con facilità a fare backup dei files più importanti, e riesco sempre a ritrovarli con semplicità. Perfetta!","MediaFire non mi ha ancora dato nessun segno di cedimento, anzi si sta rivelando il mio software preferito in questo ambito per la sua professionalità.",Fotografa,Photography,Used the software for: 1-2 years
mediafire,Ottimale,,Caterina C.,4.0,"May 24, 2023","Software sicuramente in grado di fornire facilmente un approccio alla condivisione di files, che in breve tempo vengono scaricati o uploadati.","Purtroppo non possiede la funzione di poter interrompere e ripristinare l'upload/download a mio piacimento, cosa che mi ha portato successivamente a cambiare software predefinito; tuttavia rimane un'ottima alternativa.",Fotografa,Photography,Used the software for: 2+ years
mediafire,One of web side helpful ever ,I am working with Media fire around 2y and i am glade to use it on daily bases.,Mohammed H.,5.0,"August 7, 2021",I used this app and media fire web side on daily basis to upload our file and shred it with our customer and it's secure.,I used this website around 2y but the only thing I didn't like it the space of storge comparing with the money I subscribe with.,IT Manager,Mental Health Care,Used the software for: 2+ years
mediafire,Una Certezza,,Giovanni Z.,5.0,"January 4, 2024","MediaFire rappresenta la pura affidabilità e rapidità quando si tratta di caricare o scaricare files; la gestione è molto semplice e sicura, e non mi ha mai dato problemi.","MediaFire è un software eccellente, secondo la mia esperienza non ho riscontrato alcun malfunzionamento.",Moderatore Chat,Public Relations and Communications,Used the software for: 2+ years
mediafire,"I'm really satisfied, But the download page flooded with ads",I'm satisfied and I will use it again.,Eitan T.,4.0,"November 21, 2021","I really liked how extremely easy it was to use, uploading a file to the cloud only takes a few extremely easy clicks.","The file download page has very noticeable ads on it, and this interrupts the flow of the page.",Creative manager,Apparel & Fashion,Used the software for: 6-12 months
mediafire,Reseña a mediafire,Ha sido buena ya que me ha facilitado compartir archivos con otros usuarios.,Alvaro L.,4.0,"October 7, 2022",Su facilidad para compartir y almacenar datos entre usuarios en su sistema.,"La poca seguridad que tiene ya que, se ha reportado que al compartir archivos se pueden corromper con virus.",Secretario,Consumer Goods,Used the software for: 2+ years
mediafire,best application for Large files storage and file sharing,its great application for cloud storage there are many other options but its provided premium services we can organize our files very easily.,Hammad H.,5.0,"June 1, 2021","best thing is its ads free, we don't need to wait to start downloading, and also its free version provide best download speed.",Previously it wasn't allow more then 200Mb file size in free version. but hopefully we can upload now unto 4GB file size.,Network Engineer,Information Technology and Services,Used the software for: 2+ years
mediafire,Mediafire ottima alternativa top,,Verified Reviewer,5.0,"February 16, 2023",L'interfaccia grafica è molto semplice da usare.Le funzionalità sono al top.,Nulla molto intuitivo è semplice. Da consigliare.,Direttore,Information Technology and Services,Used the software for: I used a free trial
mediafire,Uploading and sharing files,It’s a simple and reliable platform for uploading and sharing files,Antonia Bolena M.,4.0,"November 19, 2024","Uploading and sharing files is quick and straightforward, with no unnecessary steps",Lack of advanced features like automatic file syncing or integration with productivity tools. Limit for free users.,Engineer,Civil Engineering,Used the software for: I used a free trial
mediafire,Uno de los mejores servicios en la nube que existen.,Excelente servicio para administrar tus archivos en la nube y tambien para compartir estos mismos con mas personas con las medidas de seguridad que tu desees. Contiene herramientas adicionales que te seran de ayuda.,Alan R.,5.0,"April 2, 2024","Me encanta la tasa de descarga, su facilida de su y la cantidad de personas que lo utilizan a comparacion de otrosservicios en la nube, esto nos da una gran divercificaion para que mas personas tengamos acceso al mismo servicio y facilitar su uso",Tal vez deberian de mejorar la inferfaz para que sea mas moderna.,Uso de archivos,Computer Software,Used the software for: 2+ years
mediafire,A mixed bag for online small business owners,"Overall, while Mediafire has some useful features, there are several areas where it falls short. For a small online business owner like myself, there are likely more reliable and user-friendly storage solutions available, like Cloudfiles which I use currently.",Priyansh K.,3.0,"December 19, 2022","As a small online business owner, finding a reliable and efficient storage solution is crucial for managing and organizing my digital assets. One of the main benefits of Mediafire is its large storage capacity, which allows me to upload and store a large volume of files. The platform also offers a range of security measures, including encryption and backup options, to ensure the safety of my data.One additional advantage of Mediafire is that it offers a range of integrations with other tools and platforms. For example, you can use Mediafire to store and share files from within your Microsoft Office suite, or use the platform to collaborate with team members on a project through Google Docs. This can be a useful feature for online business owners who rely on a range of different tools and platforms in their work.","However, there are several areas where it falls short. For one, the interface can be confusing and cluttered, making it difficult to navigate and locate specific files. Additionally, the upload speed can be slow, which can be frustrating when I'm trying to quickly share a file with a client.Another issue is the limited file sharing options. While Mediafire does offer a link-sharing feature, it lacks more advanced options like password protection or expiration dates for shared links. This can be a problem when I need to share sensitive or time-sensitive information.Finally, the pricing structure can be confusing, with different plans offering varying levels of storage and features. It can be difficult to determine which plan is the most cost-effective for my business needs.",Owner,Animation,Used the software for: Less than 6 months
