product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
synaman,On Premise file sharing - great for organizations with security and compliance requirements,,Cecil L.,5.0,"April 2, 2019",SynaMan is easy to use out of the box. Very straight forward configuration settings and ease of use for end users make this a winning platform for file sharing.,Nothing to note here. All our expectations have been met.,Owner,Machinery,Used the software for: 6-12 months
synaman,Excellent Software,Excellent.,Mike R.,5.0,"October 3, 2019",It wasn't too complicated to get set up and is easy for the end users to understand. Security is great and we can use it across https so our clients do not have issues with their networks connecting to ours. Good resource information and explanations on what certain features do.,Would like to be able to customize the home page more. There are sometimes lag or bugs when users are searching through directories that are multiple folders deep (5+),Owner,Oil & Energy,Used the software for: 2+ years
synaman,Protects data but adding folders/users is time-consuming,,Tiffany W.,3.0,"November 15, 2019","It protects our confidential data, which is our highest priority. It is also quite straightforward to set up accesses and to manage the folders internally.","The whole system of setting up folders for users is really not user-friendly. To add a folder to someone's account, you have to scroll through all the available folders in order of the date they were added, which in our case goes back years, and there's no easy way to find a folder within that. There is also no facility to add several users at once, which we have on occasion needed to do, and so it is a slow process.",Programme Coordinator,Research,Used the software for: 2+ years
synaman,Cuts out the crap,,Stephen M.,4.0,"October 30, 2020","Not much spam gets thru the system, it does well as long as it is configured correctly. Takes time on setup to get it properly configured tho.","Live view does not allow you to block or release messages, and sometimes messages are hard to find. Search leaves a lot to be desired, half the time you cannot find what you search for in the search box but find it in the message list..",Ceo,Food & Beverages,Used the software for: 2+ years
synaman,My Synaman Review,This is a great alternative way for customers to send files to use without using ftp. Would love to customize the look more without having to get the most expensive version.,Verified Reviewer,4.0,"April 2, 2019",Fairly easy to use. Works well with very little problems.,Can't sort items by date. This is a huge issue if you have a lot of files in a folder and don't know the name of the file you are looking for. Sorting by date is something I requested years ago but it still won't do it.,President,Printing,Used the software for: 2+ years
synaman,Cost effective solution to getting large business critical files to clients,Great! It served us well for many years even to this day and is very stable and great value for the cost of it!,Michael N.,5.0,"April 2, 2019","Very easy to administer, they kept innovating and adding features and provided timely support when needed. Very lightweight footprint on the server and very customizable.","Eventually was passed by the likes of filerun...lacked a more robust file manager that included versioning, commenting, screenshots and searching that filerun has.",IT Manager,Architecture & Planning,Used the software for: 2+ years
synaman,"Ease of use, management and excellent support!","We moved our FTP solution that was inhouse only access to leveraging SynaMan and it opened a new world of security, flexibility and control to a much wide customer offering.",Christopher B.,5.0,"November 27, 2019","Without a doubt its the support team behind the application that makes me a loyal customer. The application is great, but the support is stupendous!","If I have one con it would be SAML integration, so that we can tie into our ADFS solution",IT Manager,Computer & Network Security,Used the software for: 2+ years
synaman,Excellent and Easy Product,Great - the customer service techs are VERY responsive. Shout out to the representative for always helping us out!!! :)!!!,Roanne A.,5.0,"November 8, 2019","This software so extremely easy to use. Files are easily transferred to customers, vendors, and internally if needed.",There is only one admin account - I would like to add some more security to this software and have different admins.,Quality Engineer / IT Support,Electrical/Electronic Manufacturing,Used the software for: 2+ years
synaman,SynaMan Review,We had againg FTP server that had terrible security. We needed a way to safely transfer massive CAD Drawings. This has helped us 10 fold!,Nick B.,5.0,"November 15, 2019",Synaman is so easy to install/configure and use! The interface is very user friendly. Transfering files is much more secure than our old FTP server.,I don't have any cons of Synaman. It is a great product.,Network Admin,Machinery,Used the software for: 1-2 years
synaman,Simple and Effective,,Verified Reviewer,4.0,"April 3, 2019","With minimal effort / background research, it's possible to set up a file sharing site that offers branding and ease of use.","It does not appear to be possible to host two distinct instances on the same host (because certain internal port numbers seem to be unchangeable by the user); this is not so much of an issue with internally hosted installations (as one just spins up another VM), but with external hosting companies it complicates management by requiring duplicating hosts.",Chief Technologiest,Aviation & Aerospace,Used the software for: 2+ years
synaman,Synaman and me,"Overall competent software, does what it says in the tin, branding Let’s it down",Glen G.,4.0,"April 2, 2019","Use ability for end user, easy to use and highly adoptive software",The branding is incomplete especially on the mobile version. Made branding pointless,Technical firector,Information Services,Used the software for: 1-2 years
synaman,A solution that never compromises security,,Tony B.,5.0,"April 2, 2019",The ease of use for this software is our biggest driving point. It’s simple and secure and the file transfer process is fast and secure.,Honestly as long as we have been using this Solution. There are no cons as of yet to list. We are truly impressed,Owner,Financial Services,Used the software for: 1-2 years
synaman,Great product,,Mark C.,5.0,"April 3, 2019",Easy to use and share documents. Clear list of accounts.,Had a few challenges with the renewal purchase process,Group Director of Finance,Non-Profit Organization Management,Used the software for: 2+ years
synaman,Self Hosted File Share,100% happy with the support I received. They actually released an update especially for me to add a feature that my users were requesting.,James S.,5.0,"December 2, 2019",Cost...ease of use....easy to administer....web based.,Web based...advanced browser is better but requires Java.,IT Manager,Civil Engineering,Used the software for: 6-12 months
synaman,User Friendly But Feature-Packed,"Secure file sharing, through an easy to use web front end. Both end-users and administrator (me) can easily use and navigate the software.",Ryan M.,5.0,"April 2, 2019","How easy to set up and run a secure file share with friends and colleagues. Small footprint on my machine. Powerful software and administration features, not complex to use.",Nothing really comes to mind - my use case was very simple. IT fulfilled my needs and more.,Analyst,Information Technology and Services,Used the software for: Less than 6 months
