product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
terabox,A cloud storage solution that has changed my life,"I could not be happier, and in over 6 years, I have not even attempted to try another online cloud platform. I've actually consolidated my GDrive and OneDrive accounts all to Terabox. I have over 8TBs of stored media of all kinds that I keep for use in my Graphics Design Studio, and Terabox has nearly 100% of my storage business. Honestly, one of the best application experiences I have ever had in my 35+ years of computing.",Carlos T.,5.0,"December 12, 2025","I am very cautious when it comes to online cloud storage, as I have had numerous disaster experiences using them. The one thing that stands out to me in my long-term and cautious trial and usage of Terabox is their honesty. I have had numerous years with their platform now, and from the beginning Terabox has not only explained every single thing about their service, application, fees, usage, and experience has been nothing but 100% accurate and exactly as described. Bid even venture to say that they might even over explain everything sometimes... In the best way. I'm over 6 years, not one surprise or issue. Not one thought of messaging the help desk because I didn't understand a charge, or anything at all. They update and enhance what they're service entails constantly, and every step of the way, they are there to guide you through every change. Having a care-free experience with a service of any kind is so stress relieving and refreshing, it has to be my favorite aspect of this service.","Terabox constantly updates, enhances, and adds various things to their platform, and every once in a while it can seem to be too much to keep up with. Now, I'm entering this in the ""CON's"" section, however it is a good type of CON in my opinion. There isn't anything I can say I dislike, and even this issue is a good one to have. They are there, literally explaining everything and every new step you take on their platform... So this CON really is one you want to have in an application you give your trusted information to",Owner and Lead Designer,Graphic Design,Used the software for: 2+ years
terabox,A have to for backups and tiny-medium size files,Is a good option if you don't need a lot of options or just want something big and simple.,José J.,4.0,"March 3, 2023","Installing his program in Windows you'll have a great tool for backups, you have 1TB for free or 2TB for a little price every month (discount at annually pay).","Mobile app doesn't works so good, files supported can't be so big, so you must to upload in some parts (rar, for example) or without compress.",Director de IT,Media Production,Used the software for: 2+ years
terabox,TeraBox,1024 gb Cloud space provided by TeraBox,Sriram G.,3.0,"May 31, 2023",1024 GB of free space is provided by the TeraBox for all the customers and this amount of free storage is not provided by any other cloud service providers.it is available for both android and iphone users and even without register with terabox one can have 5gb of free space,"Since they provide a huge amount of free space the security of data becomes a question mark and the main disadvantage of using TeraBox is ads, for loading every video or whenever we open Terabox add gets pop up.",Associate Graduate Engineer,Information Technology and Services,Used the software for: Less than 6 months
terabox,Terabox - cheapest in the market but with its own cost,"Terabox is overall providing a very decent service with the free version and their premium is also cheap. My experience with the free version was not very good but with premium version, the experience was decent and I did not have any problem. The app is not buggy and the UI is also good.",Aryan T.,4.0,"October 6, 2024","The best thing about terabox is that you get 1TB free remote online storage upfront when you signup. Also, if you purchase the premium, the app becomes so smooth and there won't be any ads and you get 2TB space. Their subscription is comparatively the cheapest with a good service in that price. One more thing that I like is that they have website as well as app and it becomes very easy to use the app and manage your file, download or upload rather than website and the last thing that I like about terabox is that even in the free service, they provide very decent downloading and uploading speed. One last feature that I would like to tell is that they have this earning program as well where if you upload a video and share it with your friends, you get around 2 USD (It can vary from country to country) for one thousand views.","The biggest con is that there are so many ads in their app. The ads are so annoying and the no. of ads that you need to watch is just too much. even if you just open the app, you will see full screen ads, this makes it difficult to use the app. this is with the free version. Also, in the free 1TB storage that you get, there is a limit to how big a file you can upload and it is difficult to use 1TB space with the file limitations that they have.",Business Development executive,Luxury Goods & Jewelry,Used the software for: 1-2 years
terabox,Great overall app,Great it automatically updates using real time data from a device so you don’t have to manually do it,Chloe O.,5.0,"January 30, 2025",That you can sync or back up data from any device,Just it protects to much security when you want to transfer things,Admin,Accounting,Used the software for: Less than 6 months
terabox,Good cloud storage,"My overall experience using terabox was excellent, I mean, yes I would have loved to sync with other cloud services, but terabox is still a really beneficial app.",Jerad C.,4.0,"September 20, 2024","I like how easy the interface of this app is, it is really easy to set up and start using.","There wasn't really a whole lot I didn't really like about terabox, for me there were just some features that I wish were included like being able to sync with other cloud services.",Freelance Photographer,Photography,Used the software for: 1-2 years
terabox,Good storage option,,Anjum T.,4.0,"November 4, 2024",very big storage option provided at a very economic price.,"Needs application or registration to work, cant access without registering.",BI Engineer,Information Technology and Services,Used the software for: I used a free trial
terabox,Best platform I use to share and store files.,I really love terabox with its tremendous capacity to store files and i Really love the file sharing capacity. It also provides the option to download the shared file easily which is really helpful. I feel secured using terabox.,Konjengbam Mitindra S.,4.0,"February 7, 2023",It is easy to use. By following certain campaign of this platform we can get the app free of cost. It have good storing and file sharing capacity which is really good while sharing critical files.,I love most part of this platform but Sometimes I feel that I receive a tremendous amount of ads . I am not sure if it is just with me.,Business Development Representative,Financial Services,Used the software for: 6-12 months
terabox,Terabox is one of the best cloud storage app!,"I have been using TeraBox for many years now, all my important files are stored in this cloud, I use it both to store personal things, old photos, files and contracts, as well as things related to my work, I still use the free version because it is still enough for me but I would certainly pay if I needed more space.",Cássia Aparecida D.,5.0,"May 8, 2023","What I like the most is that it allows you to store files on remote servers accessible via the internet, with synchronization features, file sharing, and subscription plans are affordable it has different features and prices. I can access it from both my cell phone and my computer.","I have nothing negative to say about the program, as it has always met my needs perfectly.",Gestora,Facilities Services,Used the software for: 1-2 years
terabox,Tera box,It's nice as it is handy and not so technical so anyone can use it,Verified Reviewer,4.0,"January 8, 2023",Its spacious and i can directly download lecture movie and shows directly with links,If deleted accidentally i was unable to recover my file,Student,Information Technology and Services,Used the software for: I used a free trial
terabox,Nube muy util y barata,"Yo lo utilizo especialmente desde el móvil cuando salgo de la oficina a algún evento de auxiliar y cuando tenemos que compartir archivos al resto de empleados, como las circulares, pero material gráfico y similar que me pasan.",Esperanza M.,4.0,"February 18, 2023","Es muy barato, tienes un plan gratuito de 1TB y uno premium de 2TB. La velocidad de subida y descarga y el tamaño se amplia con el plan premium.",El problema es que en la aplicación móvil cuesta un poco subir cosas o encontrar lo que quieres.,RRHH,Broadcast Media,Used the software for: Less than 6 months
terabox,Terabox é um excelente aplicativo,Armazenamento de grande quantidade de arquivos.,Fábio F.,5.0,"March 23, 2023",Inicialmente pela capacidade de armazenamento e praticidade.,Pouco espaço de armazenamento. Poderiam dar mais capacidade para a versão gratuita.,Advogado,Legal Services,Used the software for: 2+ years
terabox,Demasiado bueno para ser cierto,,roberto L.,4.0,"January 29, 2023",Tiene un sistema de subida de archivos bastante seguro que nos permite compartir estos con las personas que queramos.,"Dicen que da 1024gb, pero en una prueba inicial en junio de 2022 dieron solo 50gb de almacenamiento gratuito.",informatico,Broadcast Media,Used the software for: 6-12 months
terabox,Es una nube facilísima de usar,,Miriam L.,5.0,"February 24, 2023","Es una nube muy fácil de usar, drag & drop, de 2TB con el plan premium, pudiendo organizar los archivos en carpetas, tiene aplicación para el móvil y puedes compartir los archivos a otras personas que no tengan TeraBox.","La velocidad de subida y descarga es algo lenta, y la función de streaming o mejor dicho, la reproducción online, tiene fallos a veces con el buffering y se queda cargando demasiado tiempo.",Secretaría,Civic & Social Organization,Used the software for: Less than 6 months
terabox,Una opción económica y muy recomendable.,,Arturo H.,4.0,"January 20, 2023",El mayor punto a su favor sin lugar a dudas es su relación precio-capacidad.,Quizás su mayor contra sea la velocidad con la que se puede trabajar.,rrhh admin,Broadcast Media,Used the software for: 1-2 years
terabox,TeraBox Nuvem,"Uso o TeraBox já faz algum tempo e nele consigo guardar todos os meus arquivos, Fotos, videos, músicas, documentos, que não são pouca coisa, sem me preocupar em comprometer o espaço do meu notebook. Vale muito a pena aderi-lo.",Elisa S.,5.0,"February 6, 2025","Gostei da capacidade de armazenamento, pois é ideal para eu arquivos minhas, fotos e vídeos. Perfeito.","Não tenho o que reclamar, para o que eu preciso me atende perfeitamente.",Assistente Administrativo,Information Technology and Services,Used the software for: 1-2 years
terabox,No es el mejor pero te hace el apaño,"No creo que esté especialmente contento con Terabox por lo expuesto en los contras, pero como tampoco tenía grandes aspiraciones, me conformo por la capacidad, mayormente.",Javier R.,4.0,"December 25, 2022","La simpleza y la capacidad base de la nube, si no tienes grandes requisitos o aspiraciones, sino como una nube de backup y subida de documentos no muy importantes, está bastante bien, es sencilla y sin prisa se sube todo.","No es muy fluido, tiene pocas opciones como gestor de archivos y la carga gratis o premium deja bastante que desear (y la descarga más). Tampoco permite el bloqueo mediante contraseña de los archivos, ni por maestra (fuera de las opciones de la cuenta como la protección del inicio de sesión) ni individual, tampoco es que puedas compartir de manera muy personalizada los archivos. Una diferenciación muy pobre entre el plan gratuito y el premium.",Editor,Broadcast Media,Used the software for: 1-2 years
terabox,Todo lo básico pero le faltan cosas,"Necesitaba una nube con mucho espacio porque Dropbox se hace muy caro tener esas capacidades, son muchas imágenes que aunque solo sean MBs de capacidad, cuando se suman muchas, van acumulando gigas, y los vídeos si que ocupan mucho espacio, entonces acabas llegando sin ir muy lejos a más de medio terabyte.",Rosario M.,4.0,"February 15, 2023","Tiene todo lo que puedes esperar de una nube, mucho espacio, una interfaz limpia, una gestión por carpetas de los archivos, si los archivos son pequeños se suben rápido y pierde uno de sus puntos malos, además es baratísimo, incluso gratis si quieres 1 TB solamente.","A pesar de tener lo básico, esa parte tiene carencias, por ejemplo la velocidad, en cuanto subes algunos archivos pesados, se hace muy lento, y el descargarlos no es tan fácil a menos que tengas el plan premium, además de eso, la organización deja bastante que desear, eso de organizar carpetas directamente olvídate, tienes que ir archivo por archivo.",Community Manager,Broadcast Media,Used the software for: 6-12 months
terabox,Precio imbatible pero dudosa seguridad,"Lo uso para subir archivos y compartirlos con otros compañeros, de momento bien.",Juan R.,4.0,"November 22, 2023","El precio es imbatible, tienes 1 TB gratis y 2 TB de pago, básicamente eso es lo bueno.","Lo malo empieza por la velocidad, aunque tengas el plan pro, las velocidades (de descarga, de subida es aceptable desde el gratis) no son gran cosa. Y las traducciones así como la interfaz muy estilo 'plantilla' me hacen sospechar un poco de su seguridad o privacidad, aunque he de reconocer que de momento no he tenido problemas, pero no sé por qué no le dan un aspecto más profesional.",Redactor,Online Media,Used the software for: 1-2 years
terabox,Alojamiento económico pero lento,"Necesitábamos un alojamiento para las imágenes y conseguimos con Terabox la solución perfecta, muy económico y fácil de usar.",Jamil M.,4.0,"January 14, 2023",El precio del tera y los dos teras en el plan premium es bastante atractivo.,"Tiene pocas funciones, incluso en el premium, la velocidad de subida es bastante lenta.",Columnista,Broadcast Media,Used the software for: 6-12 months
