product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
cerulean,AgileBlue/Cerulean offers Great Value for the Money,,John Z.,5.0,"March 8, 2023","The 24/7 Security Operations Center has been the most exciting part of the service. As a team that both uses and resells the product, there is no replacement for having a human team monitoring your network during and after business hours. It's a peace of mind thing, as well as a security must for our clients and us.","Taking a leap of faith and trying something new was initially a little daunting. Many folks in our industry use big name-brand solutions. For us, however, those didn't offer the extra security features or pricepoints we needed to be successful. Looking back, it has been a great move going with AgileBlue.",VP of Sales,Information Services,Used the software for: 6-12 months
cerulean,"Easy to use, compliant for FTC, Security Forward","Easy to use and manage. Again like the notifications of changes to security on computers, and the validation of them. It makes sure I'm keeping up in the busy days that I have.",John R.,5.0,"August 27, 2024","appreciate the alerts to possible issues, and the check in with me to verify. Also really like the dashboard with everything right there to see and easy to dig deeper into.","I still find the Cyber Risk Score screen a little confusing with the numbers and the explanations under them,",IT Manager,Automotive,Used the software for: 2+ years
cerulean,Meets needs,,Mark B.,3.0,"March 22, 2023",The primary reason we use this service is to log events externally in a storage that can't be tampered with to meet NIST controls as our organization is too small to have separation of duties.,"Customer/Engineering support is slow to implement requested changes. Multiple follow ups are always required. Since we are primarily using the service for logging and that's our main expectation, I can't say we are disappointed but if you want the most out of this service, you really need to dedicate time to tinker with the product, ask questions, ask for changes and continually follow up to pressure the changes be implemented.",IT Coordinator,Internet,Used the software for: 6-12 months
cerulean,Easy to get up and running,,Tom F.,5.0,"February 13, 2023",Product integration is very easy and intuitive.,Agent updates can be difficult to update with our software rollout tool (Connectwise Automate),vCISO,Information Technology and Services,Used the software for: 2+ years
cerulean,AgileBlue- Best of breed,,Jim R.,5.0,"February 10, 2023","I have worked with 10-15 competitors of AgileBlue, and they are the best of breed. They have the best dashboard, the best customer service, and the best product by far.","Since I have to say something here, I will say that sometimes the integrations are not the smoothest up front, but AgileBlue always makes it right.","Director, Business Development- Cybersecurity",Computer & Network Security,Used the software for: 2+ years
cerulean,Good Product,So far we have had a good experience with the product.,Justin K.,5.0,"February 7, 2023",The alerts are detailed and provide logs with the alert for quick determination,The only con is the time that passes between and incident and when we are alerted.,Director of Operations,Computer & Network Security,Used the software for: 1-2 years
cerulean,Excellent group of people behind this product,,Ray H.,5.0,"February 10, 2023",We have been working with this team and their products for several years. [sensitive content hidden] and his team are top notch in every respect.,We have not had any issues. Occasionally some little tweak must be made. That's it.,Managing Member,Information Technology and Services,Used the software for: 2+ years
cerulean,Security Operations Center Training,,Ron M.,5.0,"February 7, 2023",It is easy to deploy and use. Reports are easy to read.,The software provides the basis. Our challenge is getting in-house personnel with the skills to interpret the information.,Professor of Practice,Education Management,Used the software for: 1-2 years
cerulean,"Good T1 monitoring capabilities, but it would be great to have a more sophisticated threats ","As the first step in monitoring your environment, it's a good start, but I would appreciate more details and actionable capabilities.",Alexander M.,4.0,"February 8, 2023",The simplicity of the software is a good start.The raw log is one of the most significant things. It lets you understand more about the issue you are investigating.,"There is no more information ""on demand"". Not too many actionable things you can execute.",CISO,Pharmaceuticals,Used the software for: 6-12 months
cerulean,TechnoGen Cyber,,Karen B.,5.0,"February 7, 2023","User Friendly, Protects and is Trusted, True and Tried.",Nothing did we like least. Software was acceptable.,Vice President,Information Technology and Services,Used the software for: 1-2 years
cerulean,All in one solution,,Brandon O.,5.0,"February 8, 2023",My account manager [sensitive content hidden] has been very helpful with getting everything implemented. I like that all my FTC Safeguards solutions are under one roof and everything is easy to access and manage.,Working with several different vendors at once can be a little much. Luckily I have one contact who stays with me throughout the process and helps keep things on track.,Corporate IT Admin,Automotive,Used the software for: Less than 6 months
