product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
gitguardian,GitGuardian has always had my back.,,Amith G.,5.0,"May 23, 2024","The timely response after I do something wrong in my commit such as exposing the authentication keys or any other secure information. The app is very easy to use, moreover can be used even without us being aware that it is working in the back. The integration and implementation was as easy as logging in with my github credentials. I use it all the time or better, I do not even know it is being used all the time. Cannot comment on the swiftness of the customer support as I have not had to contact the support till now.","The UI is not up to the mark, my friends and colleagues find it a bit confusing with all the icons and symbols in the UI.",Software Developer,Computer Software,Used the software for: 1-2 years
gitguardian,Fit to purpose to our needs / Very little I need to admin ,"GitGuardian is now actively included in our core CI/CD pipeline. Setup was very easy and, and the time I need now to admin it is close to zero. After the initial adoption, ""avoiding secrets in first instance"" is now part of our standard practice. I would say GitGuardian is now our insurance that secrets are not disclosed inadvertently.",Fabio C.,4.0,"June 10, 2022","Easy to install. I mean, very easy! I have followed the ""Quick-Start"" guide, it took me about 30 mins. and when I read ""Start Remediating"" I thought it was the time to figure out how to adapt to our own environment and I have spent a couple of hours to set-up a manual/parallel integration that was totally unnecessary. I like the remediation flow: no emails back and forth, it simplifies the communication and the resolution of incidents across users. I can easily narrow the scope to what is critical to us, this has reduced the remediation effort to specific and relevant incidents. Automatic notifications: as an admin, I do not need to investigate every and each incident. GitHub Integration: secrets within code are automaticall detected and merge is blocked.","So many ways to integrate, it might be a plus for others, it was confusing to me. in my case I was not clear if I needed a ""VCS/GitHub"" or ""CI/CD GitHub Actions"" integration. Pricing plan for small business is not fully clear and requires to ""contact sales"".",Infrastructure Manager,Entertainment,Used the software for: Less than 6 months
gitguardian,"Easy to use for GitHub, not so easy for ADO. ",,Chris C.,4.0,"November 8, 2021","Very easy to setup, simply a few clicks and you're done. Quickly alerts in near real time.","No support for integrating with ADO, which is frustrating because we've had to purchase another tool for this.",Cyber security engineer,Computer Software,Used the software for: I used a free trial
gitguardian,GitGuardian saves you,Great application. Highly recommended to have enabled on anyone's repository.,Aman K.,5.0,"July 6, 2024",Ability to work on private repo. Standard interface to easily see who comitted and to assign resolution to a user. The teams feature is greate and seemless. It emails on time about the vulnerability.,I cannot find the button to auto patch and add new commit option,Associate software engineer,Computer & Network Security,Used the software for: 6-12 months
gitguardian,Keep your codes and software safe with GitGuardian,Software that monitors my code for security purposes!! What more as a developer would i need than some software which can alert me in case of any security issues with my code!,Isalanya M.,5.0,"November 21, 2022",First of all a really great UI. Very simple and beautiful dashboard.The emails which keep me notified in case of any confidential credentials i may leak in my codes keep my codes and software safe and also help me realize where the leak is.,"I haven't really found any negative sides while using GitGuardian, it has really been a useful software and can't complain about it.",Software Developer,Computer Software,Used the software for: 1-2 years
gitguardian,First impression of working with GitGuardian,"My overall experience with GitGuardian has been very positive. I've used their platform to scan my repositories for secrets and vulnerabilities, personally, I had no problem setting it up the first time. GitGuardian has helped me improve my security practices and protect my code from unauthorized access.",Yegor V.,5.0,"May 13, 2023",I enjoyed using GitGuardian. It helped me protect my code from leaking sensitive data and secrets. This product is perfect for small businesses with up to 25 people and for individual use. The features that I found most helpful were the automatic scanning of commits and the alerts for potential breaches. The product was very easy to use and integrated well with my GitHub account and workflow. I would recommend GitGuardian to anyone who wants to secure their code and prevent data leaks.,"As for the missing features, I think more detailed management of which repositories and files are tracked would be helpful.",Full-Stack Developer,Aviation & Aerospace,Used the software for: Less than 6 months
gitguardian,Gitguardian prevented a major leak in my codebase,"as i said, gitgauardian helped detect a leak in my codebase and emailed to notify me about it, else i would have found it pretty late.",Abhishek N.,4.0,"March 19, 2024",It detected the leak pretty quick and gave me some steps which put me mentally at ease that my data was safe.,"I think they can make there UI a little more user friendly as it is sometimes a little hard to navigate what leaks it detected and where its telling me to fix it, especially while im panicking.",Engineer,Computer Software,Used the software for: 6-12 months
gitguardian,GitGuardian review,"GitGuardian emerges as a highly effective tool when it comes to identifying potential password leaks within GitHub commits. Its proficiency in this regard has proven invaluable, as it has brought to my attention several errors in my commits that I might not have noticed otherwise. By doing so, GitGuardian has played a pivotal role in preventing potentially severe security breaches.",Giovani B.,5.0,"August 9, 2023","Pretty efficient in detecting possible password leaks on GitHub commits. If it wasn't for GitGuardian's notification, I would not have realized several mistakes I've commited, and it could have led to a severe security breachs.","So far I haven't faced any problems that would fit in ""dislike"" about GitGuardian.",Software Developer,Information Technology and Services,Used the software for: 6-12 months
gitguardian,Never lets you escape any critical data,,Álvaro C.,5.0,"April 24, 2023",The immediate notice of critical exposed data and good resolution options.,At the moment I do not dislike anything. It was usefull and not very difficult to understand how to use it.,Software development,Information Technology and Services,Used the software for: I used a free trial
gitguardian,GitGuradian Helps me find the Repos.,"I like GitGuradian, although I frequently use it in a week",Aman R.,4.0,"July 20, 2021",Finding a repo which is urgently needed to me It makes easy for me.,It is a little bit more expensive as compared.,Intern,Computer Software,Used the software for: Less than 6 months
