product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
logicgate_risk_cloud,Best Software for Audit Review,very good I'm using this software from last 1.5 yer,VIDYASAGARREDDY K.,4.0,"November 10, 2021",low-cost price and easy to build the application setup and Control reviewing and Process of SOX Review.,Sometimes Controls trigger before the due date and missing notifications,SOX ITGC Internal Auditor,Information Technology and Services,Used the software for: 1-2 years
logicgate_risk_cloud,Customized and Buildable GRC Tool,"LG Support team are game changers! They are the glue that holds the applications together and help you build an application that not only meets your organizations' needs, but also embraces automation.",Ashleigh G.,4.0,"November 28, 2023",The no-code ability to either build your own processes within the application or utilize some of the application templates available to you makes building your workflows super user-friendly!,Not having a sandbox to test changes to workflows pre-production or a restore/undo button has been difficult for our teams to manage; making us hesitant to work on significant changes on our own.,"Manager, Third Party Risk Management",Financial Services,Used the software for: 1-2 years
logicgate_risk_cloud,Incredibly hard to use despite having good features,"Governance is necessary, and LogicGate has the potential to make it easier but it's not there yet.",Catherine H.,2.0,"June 16, 2020",The features of the software are great and provide what we need. It provides governance structure and record-keeping.,The features are incredibly unintuitive to access and use. It is hard to find tasks and commitments after they are created. It is like they got halfway through developing the website and stopped.,Analyst,Financial Services,Used the software for: 6-12 months
logicgate_risk_cloud,user of extensive structure and data content,Customer support services have been phenomenal during training and implementation. the tool performs well and contains the modifications and flexibility that our company administrators can address on their own.,michael R.,5.0,"April 1, 2020","The software tool is very flexible for creating data structures and workflows. Our assigned administrators are empowered to create or modify many aspects of the tool for our own purposes and needs. This includes adding users with specific roles and access levels, modify data structure, modify workflows, change screen layout formats, and add notification jobs. The tool reports can show visual and table outputs for data analysis of content in many ways and can be exported out as well.","As LogicGate is relatively new company, this software tool has a few minor limitations for our specific needs. These limitations have been easily worked around with different options for solving, and LogicGate has already added many features that companies have requested. The company and software continues to grow and expand with periodic release updates and additional functionality.",product compliance engineer,Logistics and Supply Chain,Used the software for: Less than 6 months
logicgate_risk_cloud,Logic Gate user review ,the overall experience has been great overall. like every software there are changes that would be great to have in the future,Ken M.,4.0,"March 21, 2024",the ease of setting up new workflows and fields,the reporting could use capabilities update need to be allowed to be more than 5 workflows into reporting inability to create our own prefix on auto ID would like a clear data library,SR risk Director,Financial Services,Used the software for: 1-2 years
logicgate_risk_cloud,Love Logicgate!!!,Great partnership and love the product.,Lori B.,5.0,"March 21, 2024",very customizable! the possibilities are endless! Logicgate is a great partner!,The level of knowledge it takes to support and build the platform.,VP Risk Compliance,Legal Services,Used the software for: 1-2 years
logicgate_risk_cloud,Grows With You,"I am solving a variety of business problems with LogicGate (controls management, policy management, Third Party Risk, Business Continuity, GDPR, and others). Each of these applications are able to interact with each in a logical way. I have been able to build our security and privacy program exactly how I want to build it due to LG's flexibility.",Matt W.,5.0,"April 7, 2020","Personally, I love the customization ability within the LogicGate tool. I am able to build, grow, and edit the various different applications within the tool as I see fit. If the default, out of the box apps don't work for me, I can change them myself. I can also create my own reporting tools easily, and can show my leadership exactly what I want to show them.","Compared to competitors, this tool my take some time to learn if you want to customize it; however, you ARE able to build the tool how you want to. You are not reliant on LogicGate and their staff to make changes that are important to you.",PCA,Computer & Network Security,Used the software for: 6-12 months
logicgate_risk_cloud,LogicGate Review,LogicGate has been a great experience so far. We continue to enhance the workflows to meet the needs of the team and company,Kevin C.,4.0,"November 30, 2023",LogicGate is very user friendly and it is very nice that updates auto save,"The fact that all builds are live and its easy to delete flows, applications, fields, etc. Would be nice to have a sandbox while building out","Manager,",Financial Services,Used the software for: 6-12 months
logicgate_risk_cloud,LogicGate is a win!,LogicGate has been a big improvement over our previous GRC tool. It is easy to learn and use. The support team is fantastic!,Tom S.,5.0,"November 10, 2021","Ease of use. It is so easy to build flows the way we want them. It is very easy to train new users, it is intuitive enough that some users started using it without training. It has allowed our team to engage the rest of the organization.","I really like this tool. Although it may not currently have every feature, it is not overloaded with features we don't need or want.",Senior Information Security Analyst,Consumer Goods,Used the software for: 2+ years
logicgate_risk_cloud,Good mid-level risk cloud offering,"so far, so good. We have just implemented.",Verified Reviewer,4.0,"March 21, 2024",Ease of implementation and product support,"reporting is not baked in, must integrate with reporting option.","Sr Dir, Supplier Risk Mgmt",Banking,Used the software for: Less than 6 months
logicgate_risk_cloud,QA engineer,,Zeynep B.,5.0,"April 13, 2025",Easy to use and I can find what I'm looking for quickly.,can provide more descriptive information about risk factors,QA engineer,Information Technology and Services,Used the software for: 6-12 months
logicgate_risk_cloud,The Swiss Army Knife,Pretty exciting makes me see the low hanging fruits in our applications and processes,Lucas H.,5.0,"April 8, 2025",The flexibility to build just about any application,"As a new power user I'd say nothing realy, getting to know the tool and it's capabilities",Compliance Technology and Data Administrator,Insurance,Used the software for: Less than 6 months
logicgate_risk_cloud,Fit for Any Company,The complexity of the system can grow with your business and your business' individual requirements. Our version of risk Cloud has developed over time along with the risk maturity of the business. The LogicGate team continue to push themselves to make improvements to Risk Cloud using suggestions from customers therefore there is always something new on the horizon which challenges you are a business user to improve your domain.,Deb M.,5.0,"August 2, 2023","As an organisation we did not have any risk management solution in place before working with Risk Cloud. The easy of the system for both admins and users has made the integration of the system into the business efficient and effective as we have used terms that the business are familiar with. The flexibility to make changes quickly when issues are identified gives users and management a lot of confidence in the system. The ability to make links between all the modules that you purchase has been fantastic as it demonstrates to all users that audits, control, risks, incidents and business continuity for example have impacts of each other. It is great that you can pick and choose which modules that you require but the downside is that each module comes with a hefty implementation fee if your Power Users/admin are not yet up to speed with all the build elements.","The only thing which I believe is missing is a greater understanding of the Financial Conduct Authority which is only applicable to financial services in Great Britain. As an American company this is understandable, I'm just jealous when I see the support for new regulation in the US.",Senior Risk Manager,Insurance,Used the software for: 2+ years
logicgate_risk_cloud,Great software,Have enjoyed the journey of enhancing compliance tracking.,Mark W.,5.0,"March 21, 2024",Very nice and user friendly solution for GRC and compliance tracking.,"They are a younger company so sometimes features do not exist, but they are growing quickly.",IT Compliance Manager,Education Management,Used the software for: 1-2 years
logicgate_risk_cloud,Logicgate is highly flexible and easy to learn,"We are automating testing requests, product development, complaint resolution, and new supplier approvals. We are see better communication and visibility of the process. Also, Logicgate keeps the organization following the defined process and not deviating and ensures all the right people sign-off at the right step. Having a dashboard where each user sees the tasks they need to finish has increased productivity. Teaching new users is easy due to how good the user interface is.",Mark E.,5.0,"May 1, 2019",Logicgate makes it very easy to take a process and automate it without any programming code. You just drag and drop your steps and define a default and alternate paths such as needing to escalate an issue due to a field entry or calculation. It also can have multiple sub-processes within a process and can even define sub-processes of a sub-process which is something I have not found in any other software. Forms are easy to customize and change even while the process is live. There is no need to call a programmer or Logicgate to make changes. Their strength is their focus on enabling each company to make changes within the software without needing to pay a programming fee like most of their competitors. They have also recently improved the dashboard and reporting features.,"Because the software is fairly new, improvements are still being made. Sometimes it has not able to do exactly what is desired but each time they have listened to our problem and feedback. As a result most of the features we asked for have now been implemented in the latest releases.",R&D Technical Manager,Chemicals,Used the software for: 1-2 years
logicgate_risk_cloud,Security Quality Program Manager,"Overall LogicGate is fantastic! Once you learn the system it is a one stop shop for creating risk assessments, tracking remediations, and mitigating our inherent risk.",Jennifer W.,5.0,"March 21, 2024",The ability to configure the system to match my organizations needs and the ability to maintain historical documents in one location.,The technical abilities of my end state users have a large variance of capabilities. Those with a lower technical aptitude struggle with the user experience and we spend a lot of time developing training for them.,Security Quality Program Manager,Media Production,Used the software for: 6-12 months
logicgate_risk_cloud,Great Compliance Management Tool,,Jessica S.,4.0,"November 28, 2023",It is completely customizable and easy to use.,"Some features that I would like are not available, but I know the company is very serious about adding features that constomers request.",Compliance Litigation Manager,Insurance,Used the software for: 6-12 months
logicgate_risk_cloud,Straightforward software,Useful software to keep tickets and the historical follow-up all in once place,Eric C.,5.0,"May 25, 2022",I found it to be pretty simple to use. I was able to keep track of all of the cases that were assigned to me and was reminded when ample follow-up was needed.,I didn’t like that at times the program would duplicate tickets that were created but this was rectified pretty quickly with the customer support team. Also the software could have looked nicer but it was satisfactory in terms of design.,Public Safety Manager,Hospital & Health Care,Used the software for: 2+ years
logicgate_risk_cloud,Risk management with a great user interface,,Valerie M.,5.0,"March 21, 2024",The ability to configure real time without engaging developers,A bit of a learning curve to become an effective Power User/Builder in the environement.,Information Assurance Project Mgr,Education Management,Used the software for: 6-12 months
logicgate_risk_cloud,LogicGate Review,,Daniel S.,5.0,"September 16, 2021",No Code workflow building makes this an easy tool to use and configure to your needs.,"I think that some of the calculation fields could be improved upon, as well as the reporting fields.",GRC Operations Analyst,Hospital & Health Care,Used the software for: 1-2 years
