product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
logsign_unified_so_platform,Logisgn as SIEM is perfect,I believe Logsign is a real challenger in SIEM market.,Tufan A.,5.0,"November 6, 2018",Ease of use Integration Capabilities Support pace and quality,Nothing particular I must say. May be Online Help should be there as well.,Chief Information Officer,Financial Services,Used the software for: 1-2 years
logsign_unified_so_platform,Best SIEM,,Kamil M.,5.0,"September 29, 2023","high visualization, automated incident response, legal obligations, unlimited data collection and storage",lack of an agent of its own as a log collection tool,Senior Information Security Specalist,Logistics and Supply Chain,Used the software for: 2+ years
logsign_unified_so_platform,logsign hotspot,We have been using logsign hotspot solution almost one year. We covered our problem with this product. They have good customer support team.,Bekir S.,4.0,"October 11, 2016",,,Information Technology Specialist,Used the software for: 6-12 months,
logsign_unified_so_platform,Logsign Business Partnership,,Evre T.,5.0,"May 6, 2019","The brand is very flexible which makes it also very productive. The employees are energitic and motivated. Getting any support needed, even before becoming a customer is very effective. The software is very easy to use.","On customer side still need retention. For SMB there are cheaper solutions, at which customers you are not able to push the quality, but the price.",Sales Manager,Information Technology and Services,Used the software for: 2+ years
logsign_unified_so_platform,Excellent SIEM Software !,,Mustafa B.,5.0,"April 26, 2019",The SIEM software is very easy and user friendly. Also threat database is updated everyday.,Office 365 Integration but you have to know the Microsoft don't give you API for Office 365 to Vendor.,Technical and Project Manager,Computer & Network Security,Used the software for: 2+ years
logsign_unified_so_platform,Best Practices,We can take many ready reports when The correlation happened,Ramazan Y.,5.0,"April 26, 2019",User friendly and ready reports for some regulations,Maybe they can improve some forensic reports for easy analyze,Project manager,Computer Hardware,Used the software for: 2+ years
logsign_unified_so_platform,Logsign Review,,Bilal K.,5.0,"April 26, 2019","easy to use, advanced rules and reporting","correlation flexibility , roles and privileges",IT Security Consultant,Computer & Network Security,Used the software for: 1-2 years
logsign_unified_so_platform,"Robust, easy to use",,Verified Reviewer,4.0,"April 26, 2019","Works stable and it is very robust. Administration not complex and the guides is easy. Support line (technical people) are enough expert, satisfied.","Will be good to expand more functionalities (tools) to become a suite, a full SIEM.",IT Director,Electrical/Electronic Manufacturing,Used the software for: 2+ years
logsign_unified_so_platform,Logsign Technicial Review,We have lots of referancial customer and customer satisfaction.,Verified Reviewer,5.0,"April 26, 2019",reporting and monitoring interface is userfriendly.,I have not upgrade it yet. We will review when I upgrade it.,Presales,Telecommunications,Used the software for: 2+ years
logsign_unified_so_platform,ROL,,Salih T.,5.0,"April 26, 2019",Logsign is Very Good at Correlation of logs,There is no negative feedbacks from endusers,Senior Account Manager,Information Services,Used the software for: 6-12 months
logsign_unified_so_platform,Best software for SIEM at Turkey for Enterprise Companies,"Best software for SIEM at Turkey for Enterprise Companies. We are using SIEM and 5651 (in Turkey). We recommend to all companies. This is elastic, useful. The support team is good. You can contact them every time.",Dogan A.,5.0,"October 11, 2016","Price, support,communication and stability.","Price, support,communication and stability.",IT Manager,Education Management,Used the software for: 6-12 months
logsign_unified_so_platform,IT manager,"I like it. Easy install , easy setup, easy manage , low resource and changeble module. Fast report",Huseyin K.,5.0,"October 11, 2016",,,It manager,Computer Networking,Used the software for: 1-2 years
logsign_unified_so_platform,We were aware through logsign.,"We can identify problems with our simple to use and extremely fast results. What is happening in the particular network layer. All incoming attacks, the firewall is able to view everything from reaction to comments.",Sinan S.,5.0,"October 25, 2016",Dashboard and SIEM,,System Administrator,Furniture,Used the software for: 6-12 months
logsign_unified_so_platform,Logsign Review,,Can F.,5.0,"April 26, 2019","User Friendly, Easy to implementation and fast deployment, ability to challange with other vendors about technology & prices, good partner support",lots of options for end user that sometimes understand that complicated,Managing Director,Information Technology and Services,Used the software for: 1-2 years
logsign_unified_so_platform,Thanks To Logsign,"We met with Logsign in 2015. We tried to product. The product is superior from its competitors. When buying a product , it is important to get the technical support. Logsign have very good technical support team. Thanks to Logsign.",Onur U.,5.0,"October 11, 2016",,,CoFounder,Information Technology and Services,Used the software for: 6-12 months
logsign_unified_so_platform,SIEM product,"I have been working for Data Market for 3 years as a Technology Consultant. Sometimes, our customers would like to get a SIEM solution from us and we suggest them to use Logsign as a SIEM product. We sold them these solutions several times and get good feedbacks from our customers. Their technicals persons have very good knowledge about their products and Logsign customer support servives are also great. Thanks for them.",Can A.,5.0,"October 12, 2016",,,Used the software for:,,
logsign_unified_so_platform,hotspot review,we are using logsign as hotspot product in some of our projects. This product solved lots of problems in our customers. Also very good customer support.,Can A.,5.0,"October 11, 2016",,,Used the software for:,,
logsign_unified_so_platform,successful software,"My favorite software is among the most-Turkish software. Support and quite successful in terms of use, It also has a very successful team behind.",¿ener F.,5.0,"October 11, 2016",,,Used the software for:,,
