product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
phished,Best in class!,,Jasper W.,5.0,"March 15, 2022","As a digital marketing professional, cyber security is one of my main focus points. Especially with the recent news in Austria who are banning a lot of tools and started fining companies. That's why I contacted Phished to learn more about cyber security and to use it for my own marketing agency. I like the in-house training academy. In 2 hours, I already felt like a cybersecurity professional. I also like the fact that it's fully automated and there is no manual work required. You don't need to log in every day ect. Love it! Also kudos for [SENSITIVE CONTENT], who did the onboarding.","Nothing really. Not even the pricing! ;) It's very handy and has a very clean interface. It can be overwhelming when you log in, but [SENSITIVE CONTENT] did a great job in the onboarding.",Managing Partner,Marketing and Advertising,Used the software for: Less than 6 months
phished,"Phished - Easy to implement, low maintenance Training&Awareness solution",,Dieter S.,5.0,"April 1, 2022","Phished is very easy to implement and use. In our previous solution I had to design every phishing mail myself, which took a lot of time. With Phished it takes about 2h to do the full setup for a customer and after that everything pretty much goes automatic",The option to show reports of automatic campaigns in the Partner portal would be a big plus.,CX Specialist,Information Technology and Services,Used the software for: Less than 6 months
phished,Phishing for Schools,"Our experience with Phsihed has been positive. We are addressing the need for employees to be more astute when processing emails. In an educational environment there are various distractions which can make it challenging for employees to take time to review the authenticity of emails. By using Phished, our organisation has become more alert to the risks.",Andrew B.,4.0,"April 1, 2022","The ease of implementation and the design of the dashboard. The schedule of the emails being sent make it easy to see what is happening, and the automated distribution negates any significant workload in running a Phishing Awareness campaign.","I would like the dashboard to have more interactive options in order to drilldown to phishing events, through the summary chart.",Head of IT,Education Management,Used the software for: Less than 6 months
phished,Helps you and your company stay protected,,Kalina N.,5.0,"June 10, 2025","The trainings are divided into different courses and you have to allow some time to do them, you can't do everything at once. This helps with more easily retaining the information. They also send you very sophisticated phishing test emails and keep you on your toes.","Phished can be a little spammy with their emails, I feel the overall quantity of them can be reduced but I also understand the importance of being vigilant.",Account Support Administrator,Logistics and Supply Chain,Used the software for: 1-2 years
phished,Great tool for educating your customers,educating our customers! This is the main purpose of this tool! And helps a lot!,Verified Reviewer,4.0,"March 31, 2022",Easy interface and a lot of ways for setting up a automated phishing campaing. Great way for checking the clients education on phishing mails.,The interface is great as said above. Only some of the plugins take some time to implement. So it's not that you can adjust all the things on the fly,Tech ops,Information Services,Used the software for: 6-12 months
phished,Great tool for learning and awareness,I am very happy with how Phished works. We use it on a daily now with monthly training.,Arjan O.,4.0,"November 13, 2023","It is easy to use, you have great training programs and a Report button in Outlook.",They do not recognize non-spam senders. Like Facebook or Google and internal mails.,Helpdesk Support,Civil Engineering,Used the software for: Less than 6 months
phished,Great awareness training,The Phished.io software and team are an added value to decrease the security incidents in our company.,Johan D.,5.0,"April 8, 2022",The Phished software is very easy to setup and is easy to use. The automatic phishing campaigns are the best way to perform a continual security awareness.,"There is already put a lot of effort in the (automatic) reporting but here are some gaps that can be closed. When you inform the team of it, they listen to the customer and inform them of the status.",information security consultant,Information Technology and Services,Used the software for: 1-2 years
phished,Increasing awareness among our employees,"Our organization had no awareness of phishing and smishing prior to our introduction to Phished, but now we are very aware of the dangers that come with emails from unknown sources. Since we started using Phished in our organization, our employees have learned to be very careful about what to do with phishing.",Benoît B.,5.0,"November 4, 2022","We started using the Phished platform over 3 months ago and it has been working great. It’s automated, so we don’t have to be hands-on at all, which of course is a huge time saver. The user interface is very intuitive and easy to use as well.",The variety of services they provide make it a great tool!,directeur real estate,Real Estate,Used the software for: 1-2 years
phished,Automated Cybersecurity awareness platform,,Werner F.,4.0,"March 17, 2022","The platform is fully automated. Creating simulations, sending them out, educating the people that fell into the trap takes too much time … Phished takes all of those tasks out of our hands and does them for us. Once we had it properly set up, we didn’t need to go back very often, other than to check on our progress. We have an automated reporting set up in our inbox as well, but we like to keep a close eye on things in the meantime. Plus, it’s just fun to see the numbers improving. The training academy has undergone a positive evolution as well, improving on both content and performance. It shows that they care about customer feedback and that they always keep improving. Our employees generally come back with positive feedback.","The number of people in my organization that clicked on the phishing emails. 😊 But honestly, I haven’t discovered any downsides so far. There is perhaps still room for improvement in the Phished Academy, but as said: it has already undergone huge improvements and they have proved to be committed to keep evolving. It already does what we expect from it, so every gain is a win.",CO-CEO,Industrial Automation,Used the software for: Less than 6 months
phished,Great product,"Easy to do business with, easy to use, easy to sell...what's not to like?",Emanuel V.,5.0,"April 8, 2022",1. Easy to implement and use. 2. Content available in local language (Dutch).,They do not yet offer 'offline' methods of phishing but I heard that they are working on it.,Chief Evangelist,Information Technology and Services,Used the software for: 6-12 months
