product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
risk_ledger,Compliancy Peace of Mind,Risk Ledger has been such a wonderful product to use. The dashboard and the team behind the product are superb. All questions are answered quickly and any issues flagged are quickly looked into. The visualisation is amazing and helps when working with others to show the impact of the tool and how simple it is to open discussions to resolve issues both with the product or those you connect with is so helpful.,Verified Reviewer,5.0,"December 8, 2021",The ease of use - the clarity of the dashboard and how simple it is to set all the policies. This is such a great way to be able to quickly identify areas and criticality,It would be great to be able to segregate the policies a little more - breaking down to services etc.,Category Manager,Information Technology and Services,Used the software for: Less than 6 months
risk_ledger,Risk Ledger and us!,"Before we selected Risk Ledger, we had reviewed numerous companies' who provided software and applications to help us with our overall risk and compliance. Our aim was to simplify the tracking of our third party IT companies and remove the need to rely on completing multiple spreadsheets and tasks lists for both us and our suppliers. When we signed with Risk Ledger they were a fledgling company and we could see the potential they had and felt that we could expand and increase our areas of risk and compliance as they also grew and improved the system. Which they have done. We continue to have regular calls and communication with them and it is always a two way conversation on what we've done and how they can and are continuing to improve their system.",Kate B.,4.0,"November 26, 2021","We originally decided to go with Risk Ledger, as the system was not over complicated to use but still provided all the requirements for information governance and regulatory frameworks. It could be used either by multiple people or a single user, without it being cumbersome and time consuming if part of an existing job role.","As new suppliers are continually being added to the platform, it would be good to have list of 'newly' added companies, to see if there are any which may also be new suppliers to us. Currently, we need to scroll through the list of all suppliers",Compliance Officer,Hospitality,Used the software for: 1-2 years
risk_ledger,Good investment if you get a lot of questionaires to fill out!,,Josh B.,4.0,"December 13, 2021",The ease of use and granularity of control on the platform. There is so much to look at and configure as needed which isn't always of taste but I like it.,The need for prospects having to sign up to view attachments as this can become tedious when asking them to make accounts on a service.,Systsems Administrator,Computer Software,Used the software for: Less than 6 months
risk_ledger,Rapidly address your vendor assessment needs,The customer success team is always on the ball.,Sebastien J.,5.0,"November 25, 2021",Very easy to implement and a solid curated assessment questionnaire that covers most needs.,"Some vendors are unwilling to join the platform, and as there is no mechanism for recording any vendor assessment details without vendor involvement, you will need to resort to another process in these cases.",Chief Security Officer,Financial Services,Used the software for: 6-12 months
risk_ledger,Exactly what I needed to simplify my customers onboarding,,Tony G.,5.0,"November 29, 2021",Risk Ledger gives me the perfect solution to answer my customers compliance questions.,It would be handy if custom questions can be added - perhaps it already does this but I have not seen where.,Founder and MD,Information Technology and Services,Used the software for: 6-12 months
risk_ledger,Risk Ledger Review,Excellent,Becky Q.,5.0,"December 8, 2021",It is easy for me & vendors to use and quick to load.,The emails always seem to go into junk folders,Sourcing,Investment Management,Used the software for: 6-12 months
risk_ledger,First time use of Risk Ledger ,"The entire supplier assurance experience with Risk Ledger has been great and very efficient in terms the time taken to respond to the survey and follow up points. The interface is clean and easy to use, with questions separated out very well. The customer care team are exceptional and respond very quickly to asks for support. I have had several meetings with staff wider in Risk Ledger and they are a pleasure to work with,",Ken B.,5.0,"March 3, 2021","The platform is very intuitive to use, with the support of their fantastic customer care team its easy to get the most from Risk Ledger. The format of the questions are easy to follow, respond to and attach evidence where required. Any following risk management is incorporated into the portal, meaning you don't have long drawn out email conversations. The conversation is pinned to a specific element of the survey. I've found the follow up support from customer care to be far above and beyond suppliers I have worked with in previous roles, great people to work with.","When reviewing and updating responses the view will default to the next unanswered question, meaning you have to scroll back to the point where you were conducting the review. Clearer distinction to indicate which view you are in would be great, supplier or client.",InfoSec Officer,Telecommunications,Used the software for: Less than 6 months
risk_ledger,Risk Ledger,"From initial engagement, through purcase and day to day use, its been great. No complaints at all",Andrew F.,5.0,"December 9, 2021","Risk Ledger is very easy to use, the UI makes complete sense. On-boarding suppliers was easier than I thought it was going to be. Once the benefit to the supplier was understood the process of the supplier onboarding was quick",One feature I would like is the ability to send out a questionaire or survey to stakeholders within the business of current suppliers. Their responses then are automatically entered into Risk Ledger. This would help smooth the process of capturing all suppliers within the business,Head of IT,Information Services,Used the software for: Less than 6 months
risk_ledger,Easy ,We are very positive to the system instead using excel sheet’s,Ulf A.,5.0,"December 8, 2021",Easy to use,Easy to learn,Ciso,Telecommunications,Used the software for: 2+ years
risk_ledger,"Easy, Faster and best",,Faheem T.,5.0,"November 29, 2021",East to navigate and use and you can always come back to where you leave. And Yes you can segregate your responses and can see which ones are not yet answered by simply one click.,"the onyl short coming is that it asks for the two way verification and for that purpose you have to give your phone number which is multiple users case is not viable as if you are on holiday and your colleagues want to get on to it, they might not be able to",Technical Sales Support,Telecommunications,Used the software for: 1-2 years
risk_ledger,Easy to use but not much customisation ,,celine C.,4.0,"December 9, 2021","quite straightforward, and pre-populated the questions","not much flexibility to alter the questions, no tailor-made features",analyst,Financial Services,Used the software for: 6-12 months
risk_ledger,SSQ's Made Easy,,Rupert B.,5.0,"March 5, 2021",Makes it easy to fill out supplier security questionnaires with it tracking progress.,There's a lot of questions to get through.,BDM,Telecommunications,Used the software for: Less than 6 months
