product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
vijilan,It's all about SIEM and SOC for MSPs,Great SOC and sales team.,Rob P.,5.0,"July 10, 2021",I like the deployment and peace of mind for my techs. Vijilan does all the heavy lifting for running a 24/7 Security Operations and manage SIEM for my organization. I don't have to purchase SIEM or set up a SOC. simple and fair pricing.,I like to purchase longer retention than 7 years.,CTO,Computer Networking,Used the software for: 1-2 years
vijilan,Great affordable SIEM solution,"Overall it has been great, they have a great development road map and it is very affordable for a SIEM/SOC",Simon C.,5.0,"January 21, 2022","We love the SOC function that allows us more time to complete other IT initiative, knowing that there is a SOC team managing the alerts","I wish there was more reporting features that allowed us to pull logs at will, without having to request it, in a ticket",vCIO,Information Technology and Services,Used the software for: 2+ years
vijilan,Great Value - ,"The support team is fantastic and responsive when needed, point is that we never need them.",Verified Reviewer,3.0,"January 27, 2022","The software (collector), dashboard, and reports are what is expected. Great system for keeping track of alerts, responding, and closing. Very flexible on the collection of logs","One of two things, Vijilan is doing a fantastic job of reducing noise (that's the pro) or reducing too much noise (that's the con). This is interesting; the con could also be a pro. I always feel like I should do a fire drill from time to time (which is a good idea on any platform) to confirm everything is working.",VPT,Information Technology and Services,Used the software for: 2+ years
vijilan,24x7x365 SOC and SIEM,Solid PARTNER in our security team!,Troy N.,5.0,"March 16, 2022",Reliable security software and SOC team to support! Excellent reporting features to demonstrate value.,"No Cons, Vijilan is always improving features and adding value.",CEO,Information Technology and Services,Used the software for: 2+ years
vijilan,Great SEIM/SOC solution for small to medium businesses,"The experience has been great. They work closely with their partners, take their feedback seriously and continuously listen to suggestions. They fill a very important role and niche in the cyber security stack for SMB and MSP partners",Ben V.,5.0,"January 21, 2022","We love that Vijilan offers a price effective SEIM/SOC solution for our managed service clients. It allows us to offer a solution to problems (compliance, regulation, general security log monitoring) that can be very expense for SMBs.","Requires a footprint in the environment, such as a virtual appliance. Can be annoying for cloud-only, or born in the cloud SMBs. Also requires onsite presence so we can't fully deploy behind the scenes",Project Manager,Information Technology and Services,Used the software for: 2+ years
vijilan,Informative alerts with help just around the corner,It's been a changing and ever-growing partnership. It's been great watching the product grow and improve over the years. Everyone I've interacted with is passionate about the software and want to ensure their customers are satisfied and understand everything they're getting and what's going on. The support and discussions we're able to have directly with the team is extremely valuable,Ian I.,5.0,"January 20, 2022","I like the amount of detail in the tickets, so I know what the issue is/where I need to review with just a glance. It then goes into greater detail at the bottom in case I need more",Some of the alerts can be a bit noisy and don't always give the most detailed information,Managed Service 1,Information Technology and Services,Used the software for: 2+ years
vijilan,Great Partner!,Vijilan has been a great partner and really helped us increase information security with our clients. Primarly in education there is not a lot of money and information security is often the last priority so having a partner that allows us to provide a great service and a great price is invaluable.,Toby H.,5.0,"January 12, 2022",Vijilan has been a great partner from the very start. They listen to our needs and truly help and want us to be successful.,They are always improving and have quickly addresses any issues we have ran across and added tons of features that were missing at the start of our partnership.,Coordinator of Network Operations,Information Technology and Services,Used the software for: 2+ years
vijilan,Vijilan Security,,Robert M.,5.0,"January 21, 2022",Very easy to use. Great tool for on the move.,Nothing to dislike about this product. Set up is easy and support is good.,Security Analyst,Computer & Network Security,Used the software for: 2+ years
vijilan,Company that listens partners,,Michael P.,4.0,"June 28, 2022",Continuously adds reports and features. Willing to work with partners to customize the need for the end customer. Willing to listen to partners to improve the product.,Discontinue of Syslog device monitoring (routers and switches). Sometimes slow response from SOC to receive the answer. Unable to monitor the devices where Threat Sensor is not visible (remote computers).,Sr. Systems Analyst,Information Technology and Services,Used the software for: 2+ years
vijilan,Eye-opening threat insights!,Everybody at Vijilan has been very helpful throughout our setup and usage of the product.,Alexander E.,5.0,"June 17, 2022",This product opened our eyes to security events which we would have never caught without a SIEM like this parsing through our vast event logs for us.,Sometimes generating exceptions so common false-positives do not generate events can feel tedious. Not a serious issue though.,IT Technician,Automotive,Used the software for: Less than 6 months
