product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
altair_slc,Flexible & Powerful Analytic Toolset for a price small businesses can afford,,Dr Dean Gordy F.,5.0,"January 1, 2023",The product is easy to use if you know SAS programming. They have their own ML PROCS that are better than SAS offerings. The cost is very reasonable and support is prompt and thorough.,I do not use the GUI Workflow side of the product so I am unable to rate that. Most complaints or issues I have had are so rapidly solved by support that many disadvantages are transitory. I would say that the set of extra windows is confusing to me when doing SAS coding and troubleshooting. They do not have all options in certain procedures that you would get with SAS 9.4.,Senior Lead Analytics Consultant,Banking,Used the software for: 2+ years
altair_slc,Good product,,Olivier C.,4.0,"April 27, 2023","- the ability to code in SAS - the ability to mix Python, R and SQL with the SAS language- server mode operation- fiability of the product",- I would have liked to see more training on this very feature-rich product via more tutorials or to make these resources more visible.- get logs of python or R programs encapsulated in SAS code- more monitoring tools,Responsable Actuariat et Data analytics,Insurance,Used the software for: 2+ years
altair_slc,Ruined the product,I'm switching analytics platforms.,Joseph D.,1.0,"November 30, 2022",None and i'm typing more words to fill the minimum word count,I've had to rewrite most of my code since the most recent upgrade. Customer support has been dismal and beyond useless.,Director of Business Intelligence,Hospital & Health Care,Used the software for: 2+ years
altair_slc,I love SAS but....$$$,,MarcPaul L.,5.0,"December 1, 2022","I've been programming in SAS for nearly 40 years and it's indispensable for working with large data sets and statistical analysis. I love the software but let's face it, SAS pricing is not transparent, is too expensive, and they charge for additional functionality like SAS/Stats. I've been using SLC (formerly WPS) for over 10 years and have had no problems with compatibility to Base SAS. There have been a few statistical procedures that were not initially supported but when I requested them they were implemented within the year. I could not be happier with SLC. Their support team has been great, too.","Honestly, there is nothing that I do not like about the software. It lives up exactly to my expectations and has not failed me in any way. That said, I would like to see a connector to Tableau hyper datasets. That could make my life easier.",Data Analytics Innovation Specialist,"Health, Wellness and Fitness",Used the software for: 2+ years
altair_slc,A robust product that is worth the money,Overall we have been very happy working with Altair.,Isabell C.,5.0,"March 27, 2023","Setup is fairly easy, ease of use as a standalone but works well with Python, and the database connections are so far stable and easy to configure.","1. Sorting large datasets have always been a challenge. Some of this is due to our config settings, as by default we always compress datasets and use the sas7bdat engine, but the way the product works with the Windows OS to balance cpu/memory can be frustrating.2. GETTING TO THE DOCUMENTATION! You must bookmark it once you find it else it takes 10 minutes to figure out how to get to it, as it gets lost in the midst of everything else that is on the site.",Staff Data Engineer,Pharmaceuticals,Used the software for: 2+ years
altair_slc,My short trial period ,,Amr A.,3.0,"December 1, 2022",I like more the interface of the software and it is user friendly,Data importing is not flexible and you have to comply with the requirements before importing the data. Other softwares adjust the data according to the requirements automatically,Associate Professor,Medical Practice,Used the software for: Less than 6 months
altair_slc,Happy User!,All positive. Excellent customer support!,Dean B.,5.0,"December 1, 2022","Able to extract, analyze, report, and predict with one package!",None...have been able to answer all related data analytics questions.,data scientist,Financial Services,Used the software for: 2+ years
altair_slc,Long-time user!,,Michiko W.,5.0,"March 24, 2023","I have used it for well over 10 years since the early WPS years. Their support has been great, with favorable licensing terms for consultants like me. Also, the pricing structure now makes it possible for me to use additional Altair products.","Sometimes the convenient features in the SAS language are unavailable, though workarounds usually exist. Also, sometimes it has limitations that had not existed in SAS, so, moderately complex tasks often require non-trivial adjustments.",Principal Consultant,Management Consulting,Used the software for: 2+ years
altair_slc,World Programming System,,Chris B.,2.0,"December 1, 2022",Cost effective solution and great connectivity options,"Bugs, slow speeds and performance issues/crashes",Supply Chain Lead,Retail,Used the software for: 2+ years
altair_slc,Best Analytics Product,,John C.,5.0,"November 30, 2022",I have really enjoyed using this software and the fact that I can use both visual and code based views of this.,"A number of my colleagues bitching and moaning about pricing, functionality and the desire to not use Hub in preference for AWS.",Chief Risk Officer,Financial Services,Used the software for: 1-2 years
