product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
datapine,Easy to use advanced analytics and visualizations,"datapine is a tool that will certainly help data analysts as well as business users who need to build complex analytical procedures and deliver fast results to various stakeholders. Their customer service is very approachable, every time I needed help, they would always go the extra mile and I have to appreciate that. Fast performance, ease of use, and advanced features both in analysis and visualizations made my experience positive and productive.",Moritz H.,5.0,"October 30, 2020","The data analysis features are impressive. I could easily connect through their data connectors option, and immediately start building my analysis. The 2 modes, a visual and SQL interface enabled me to easily switch if I want to build the queries on my own or drag and drop values into the analyzer. The simplicity of creating complex analysis and visualizing through dashboards that have many interactive options like drill-downs, widget linking, and hierarchical filters have really stood out for me, but also advanced analysis such as predictive analytics. I can also add my own calculated fields, build formulas, and save them for future use.",At the moment they don’t offer many AI / Machine Learning features. I hope this will change in the future.,Data Scientist,Computer Software,Used the software for: 1-2 years
datapine,Excellent BI tool to support teamwork,"Working in the financial area for a few years now, I’ve had my fair share of experience with business intelligence software and I have to say datapine has been amongst the top ones. The software is fairly easy to learn and use, and its dashboard functionalities make visualizing and treating our data such a pleasant experience. Our team can easily generate accounting reports in interactive formats that are easy to navigate and understand. Plus, the reports can be accessed online and shared in multiple formats, which is extremely valuable now that most people are working remotely.",Verified Reviewer,5.0,"December 22, 2022","As we deal with sensitive financial information, it is crucial for us that only the right people have access to it. That’s why the different viewer rights are among some of our favorite features of the software. It allows you to define if someone can edit a report or just view the data in it. You can also provide access to a portion of the data contained in the report as well.","Honestly, no serious issues come to mind. We have really enjoyed using the tool so far. It is not the cheapest solution out there, but if you really take advantage of all the features it is definetly worth the investment.",Head of Platform Accounting,Consumer Services,Used the software for: 2+ years
datapine,Far exceeded by any competitor,,Dan E.,1.0,"September 10, 2018",data importing system. Once upon a time they had a product that worked.,"Their product at one point was competitive but little has changed over the years except for their ever-increasing pricing. Tableau and Power BI is far more powerful, cheaper and easier to use. Be wary, they require 4 months notice just to cancel their contract. Give them anything less and they will renew you automatically for another two years. (unheard of)",Founder & CEO,Financial Services,Used the software for: 2+ years
datapine,All-in-one BI software for the entire company ,,Verified Reviewer,5.0,"December 17, 2019","I am a BI manager in a medium-sized retail business. We struggled a long time to get all our retail data (online and offline) into one central analytics platform, from where we can share our analysis results easily within the company with different departments (sales, marketing, customer service, procurement, etc.). We tried different solutions on the market and finally decided for datapine because they offer a powerful analytics solution, where most of the features are also easy-to-use. For non-technical business users, the intuitive drag and drop interface makes it easy to visualize data on their own. But also the dashboard interface is great, which offers viewers quite a lot of features to take a closer look at the data to answer concrete business questions ad-hoc. For analysts like me, there is also a “SQL mode”, where I can write database queries on my own or simply copy & paste existing ones. Furthermore, datapine offers quite modern features such as predictive analytics and intelligent data alerts. Even these advanced features are quite easy to set-up with a few clicks and you don’t need to build your own data models as you can take advantage of their intelligent algorithms that are based on machine learning or neural networks. For us, their forecasts and automated data alerts were quite accurate. This helped us to automate a lot of analysis/monitoring processes, which were done manually before.",You cannot test a (customized) on-premise versions for free. Their standard 14-day free trial refers only to their SaaS solution.,Junior Manager Business Intelligence,Consumer Electronics,Used the software for: 1-2 years
datapine,The perfect tool to track project performance,"datapine exceeded my expectations. It facilitated the way I manage projects by giving me an overview of progress, due dates, budgeting, and performance. I fully recommend the tool to any organization that is looking for a solution that will help them manage their data effectively and make it accessible and understandable for everyone.",Verified Reviewer,5.0,"May 20, 2021","I am an engineer working as a Project Manager for several projects at a time. datapine help me and my team to efficiently organize all the data from our projects and to perform advanced analysis in an easy and fast way. My favorite feature is definitely the interactivity of the dashboards. The tool has a clean and user-friendly interface that displays all your information in one place, you just have to drag & drop your most important KPIs and in minutes you have a visual and interactive overview of your project’s status. I was also pleasantly surprised with the tool’s automation features, it saved everyone in the company time on manual calculations and it gave us access to real-time data when needed.","Since the tool has many features that need to be tested in detail, a 14-day trial might not be enough for a big company with several decision-makers. However, their customer service is great and they are willing to extend the trial period if needed.",Project Engineer,Civil Engineering,Used the software for: 1-2 years
datapine,A tool that makes the process of data analysis fast and efficient,I fully recommend this tool to anyone who needs to constantly monitor data from several databases. Being able to get all your data in one dashboard and perform advanced analysis fast and effectively will definitely make your life easier.,Verified Reviewer,5.0,"May 27, 2021","The fact that the tool included premade dashboard templates for the retail and FMCG industry is something that I particularly liked at the beginning. Thanks to them we were able to quickly visualize our selected KPIs leaving us plenty of time to focus on the heavy work of analyzing the information. The interactivity of the dashboards is also something that amazed me about datapine. Once we started to create our own dashboards, we had access to advanced chart types, we could filter the data as we pleased to quickly build data scenarios, and we had plenty of sharing options and formats. Datapine has definitely made our work more efficient until this day.","At first glance, datapine seems to be quite expensive compared to other BI tools that advertise low prices per user. However, after doing detailed research and comparing the prices and the functions included in each tool, we realized that datapine offers a lot more advanced features and packages that make it not that expensive and totally worth the investment.",Commercial Buyer,Consumer Goods,Used the software for: 1-2 years
datapine,Modern business dashboards at your fingertips,,Verified Reviewer,5.0,"December 20, 2019","I’m just a “viewer” in datapine. That means that my colleague added me on his account and I got access to various dashboards covering different business development topics such as marketing and sales. I didn’t do the analysis or created the dashboards on my own, but simply used the final dashboards. What I like is the visual interface which is quite simple but powerful, the possibility to access dashboards from anywhere no matter the device (I use it on my tablet a lot), no matter where I’m located – at the office, at home or in meetings. My favorite dashboard options are the filters and drill-downs: I can easily filter all the data I’m interested in and drill into pieces of information to answer all the specific questions I might have and take a closer look at what happened at some point in time. The access to these dashboards made my day-to-day work way more effective.","As I didn’t set up the dashboard and I’m currently just a viewer, I’m not sure how complicated the set up was. I can only say that working with the final dashboard is quite convenient and saves me a lot of time.",Senior Business Development Manager,Marketing and Advertising,Used the software for: 1-2 years
datapine,All your data in one place,"Our goal when we decided to invest in datapine was to make the data analysis and reporting process more efficient (especially time wise). It has not disappointed us so far. The tool is easy to use, it provides automated features so you don’t need to worry about manual reporting, and it lets you connect multiple sources and mix your data into one dashboard which is great when you are dealing with large projects involving several business areas.",Verified Reviewer,5.0,"October 28, 2021",The main benefit that we extracted from using datapine is definitely connecting all our data sources into one dashboard. It pleasantly surprised us how easy it was to add a new data set to our reports with barely any manual work. We get plenty of time to focus on making decisions bucked with fresh data.,"It could appear a bit expensive at the beginning, especially if you never tried a BI software like this one before, but after a few months of use, you see that is totally worth the investment.",General Manager Tire Management System,Automotive,Used the software for: Less than 6 months
datapine,Great Dashboard Reporting Options,"Well-structured tabs and simple access to different options made my experience with datapine effective right from the start. I could also find advanced features and coding possibilities, but I was satisfied with the visual builder and made my visualizations from there. Overall, I’m very satisfied with the product and the overall experience. I will continue using datapine as it brought numerous benefits to my presentations.",Fabian L.,5.0,"June 23, 2020","Dashboards and reports are remarkable. I can easily choose from one of their templates or create my own, and then schedule the delivery through a password protected URL each week. The data is updated automatically so I don’t need to think about creating a report manually ever again.","I don’t have enough educational materials from them to write my own SQL queries so I would like to see more interactive tutorials. But to be honest, until now I was able to build all needed queries with the drag & drop interface.",Partner,Computer & Network Security,Used the software for: 2+ years
datapine,Great for our technical requirements and seamless connection,"Generally speaking, our experience with datapine is more than positive. They provide us a product that meets all of our technical requirements and a smooth transition to the cloud environment. Data sources are easily connected, and on the management level, the analysis of the data is easy once you get used to it, and all the innovative dashboard features are quite impressive.",Korbinian H.,5.0,"August 6, 2020","Actually, the agility it provides. As a CTO and founder, I have to keep a close eye on numerous technical and business processes that will enable me to scale my business and keep the pace on the market. This software managed to consolidate all of our data sources, and afterwards, we could scale the product based on our specific requirements. We connected our database(s), CRM, ERP, and the complete process was quite seamless. They provide flexibility and performance speed that we’re really satisfied with, and I have to say the software delivered more than we expected.","If I have to specify, my team would like to have more dashboard templates specific to the hotel industry. They do provide a healthy number of built-in templates, but it would certainly help us if we would have multiple ones that would suit our industry better than the already suggested within the tool.",CTO & Founder,Hospitality,Used the software for: 2+ years
