product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
datasnipper,"DataSnipper has excellent capability for internal audit, to be need good training and support for actual work.",I had very positive impression when to see first DS demo. However it is difficult to explain this value to our team and to be need long term applying actual audit work. We are moving forward to migrate our audit work more smart and efficient right now.,Hiro Y.,4.0,"May 2, 2024",I like the product concept and high performance OCR.,To be need enough training for users and customizing audit report template for each audit work.,Senior Expert,Chemicals,Used the software for: 1-2 years
datasnipper,Data Snipper review,My overall experience with data snipper was positive with only a few minor hiccups with document losses.,Ethan J.,5.0,"April 11, 2026",The thing I liked most about data snipper was the integration into excel and effective document management.,The thing I disliked most about Data Snipper is that there were times that my documents became corrupt losing certain documents.,Auditor,Accounting,Used the software for: 1-2 years
datasnipper,Solid and simple,"It is a simple, helpful tool that can be added into Excel as a plugin. It requires some training to understand the full capabilities.",Andrew H.,3.0,"March 20, 2026","Having a tool to take a PDF or image and convert it to editable text saves a lot of time, especially when you receive messy file formats.","It's pretty basic, and the plugin to Excel could be a little glitchy. Also, I could basically do the same thing using ChatGPT.",Advisory Associate,Accounting,Used the software for: Less than 6 months
datasnipper,Datasnipper Review,My overall experience with Datasnipper has been very positive making document management very easy and helping to create a solid audit trail.,Lyn J.,5.0,"April 18, 2026",My favourite feature of Datasnipper is the document management when integrated with Microsoft excel. This tool is excellent for use in creating an audit trail.,The only issue I had with Datasnipper is that there was information lost when attaching documents to excel.,Senior Manager,Construction,Used the software for: 6-12 months
datasnipper,Revolutionized our Audit Processes,Service and product have been phenomenal.,Michael P.,5.0,"October 23, 2024",Amazing efficiency tool embedded directly in excel. Revolutionized our internal audit processes as well as external audit.,"Minimum 5 licenses makes barriers to entry tough on smaller companies, fortunately we are mid size but I would definitely make the entry point more digestible.",Finance,Logistics and Supply Chain,Used the software for: 1-2 years
datasnipper,The must-have tool to boost my productivity in audit and finance,"What stands out the most is its ability to automate repetitive tasks. Before, I spent hours manually extracting and cross-referencing data, but with this tool, I can accomplish these tasks in a matter of minutes.",Juan B.,5.0,"July 7, 2023","What I liked the most is its ability to automate repetitive tasks and speed up my productivity in audit and finance. With just a few clicks, I can extract data, cross-reference, and document the source of any procedure quickly and easily.","One of the drawbacks I have found is that at times the data extraction can be a bit limited in terms of the variety of formats that can be parsed. Sometimes when working with more complex files or databases, I have experienced difficulties extracting certain specific data.",CEO,Computer Software,Used the software for: I used a free trial
datasnipper,"Great solution, but I miss some discontinued features",There's no doubt it is a great solution and makes quality checks of financial statements much faster. I'd love to see faster response to reported issues and a more agile approach to pushing new fixes.,Verified Reviewer,5.0,"January 4, 2023",DS makes it incredibly easy to check accuracy and consistency within financial statements. It has saved me and my teams precious hours everyday in FS quality checks.,"The latest updates removed some useful features such as viewing the math checkmarks during the IC check. Also, custom checkmarks are hard to access and don't print into the PDF.",Specialist - Document Proofreader,Financial Services,Used the software for: 6-12 months
datasnipper,Game Changer for Test of Details!!!,Saves so much time with switching between documents and tracking exact locations where changes happen.,Verified Reviewer,5.0,"January 4, 2023",Ability to use pdf's within excel and track changes with just one click!,It's crashed a few times here and there but never an issue getting it to restart or redownload,Assurance Staff,Accounting,Used the software for: 6-12 months
datasnipper,Efficient auditiing only a snip away!,,Sebenzile Karen T.,5.0,"January 4, 2023",The financial suite has to be my favorite as it enables us to compare financial statements versions in minutes,Installing plug ins can be a bit complicated for the less tech savvy user.,Senior Trainee Accountant,Accounting,Used the software for: 1-2 years
datasnipper,Great DataSnipper,,Magdalena P.,5.0,"March 13, 2023","I like features, functionality and ease of use.","In my opinion DataSnipper is really useful now, everything is great.",Audit Associate,Financial Services,Used the software for: Less than 6 months
datasnipper,Datasnipper saves time in financial statement review and workpaper preparation,Decrease in time required in vouching and financial statement review.,Joe B.,5.0,"July 13, 2023","Financial statement suite (PY, footing, version control)","Slows excel, can't easily insert workpaper references during FS tie out.",Partner,Accounting,Used the software for: 1-2 years
datasnipper,Data Snipper in Audit. ,Makes work very efficient,David H.,5.0,"June 19, 2023",It allows one to work quicker and look at documentation better and efficiently especially when pressed for time.,It is very nice to use it is just that when overloaded it crashes and one looses their work,Senior Associate,Accounting,Used the software for: 6-12 months
datasnipper,Great software to ease the auditing documentation,,Sourabh V.,4.0,"July 20, 2023",Ease of useCompatibilityFast and efficient,"Uses its own formatting, which is sometimes a little annoying in big files, should only just high light and rest of the formatting should be same like the cell. After deleting snips, also messes up formatting and not revert it to original self.",Consultant,Accounting,Used the software for: 2+ years
datasnipper,DataSnipper review,,Jacob B.,5.0,"June 21, 2023","Very intuitive to use. Great time saving tool, especially the financial statements suite. There are additional features like embedding documents into a file which works significantly better than the default Microsoft embedding and allows easier cross referencing / support for figures. Table snips are very useful to for extracting data from bank statements.",No cons or any suggestions for improvements.,Accounting and Financial Reporting Manager,Accounting,Used the software for: 6-12 months
datasnipper,DataSnipper has made auditing so efficient as it saves so much time and improves on accuracy.,,Nguquko N.,5.0,"January 4, 2023","Document matching, form extraction and the Financial Statement tick-up are the best functionalities that have ever happened for an auditor. They are easy to use and can be performed on whatever the size of the data or engagement.",At the moment the product has surpassed my expectations and I do not have any reservations. Infact the latest version that was implemented around October 2022 has even improved the DataSnipper functionalities.,Audit,Accounting,Used the software for: 1-2 years
datasnipper,Great software!,,Alex B.,5.0,"June 6, 2023","Easy to use across all situations and software's, and very fluid to use day to day, in particular my role creating working papers.","Nothing to note, datasnipper does exactly what is expected of it",Assurance supervisor,Accounting,Used the software for: 1-2 years
datasnipper,Extract data from PDFs.,Excellent.,Mohammed E.,5.0,"January 9, 2023",Data is easy to extract from pdf documents which can be used in excel. Form extraction saves you time by extracting data from a large set of documents in a minute.,The ability to put the documents in order for form extraction.,Trainee auditor,Accounting,Used the software for: 6-12 months
datasnipper,Using Data Snipper is a help,,Amy R.,5.0,"June 23, 2023",Ease of use and improve efficiency in audit considerimg we have always large data to audit.,"None so far. I just need to attend more trainings to know more of its features. I heard, its interesting",Assistant Manager,Accounting,Used the software for: 6-12 months
datasnipper,Datasnipper,,Praise R.,4.0,"July 5, 2023","Data extraction, vouching and referencing.",It makes my system and excel hang and slow when I import like 2 folders into my workpaper.,Auditing,Accounting,Used the software for: Less than 6 months
datasnipper,Data analytics and linking made easier,makes data analytics and data management easier to link and follow,Annalea T.,4.0,"June 1, 2023",vouching documents and linking them together to perform data analytics was made easier and more accurately recorded amounts.,snipping manually amounts especially if there are numerous documents to filter,Auditor,Financial Services,Used the software for: Less than 6 months
datasnipper,Makes work more efficient,,Mmatsie M.,5.0,"July 27, 2023",Snip tables feature. It is a quick way to add tables to create lead schedules and cast financial statement,"Nothing yet, I still need to explore more features.",Assistant Manager,Accounting,Used the software for: Less than 6 months
datasnipper,Datasnipper review,Really improved effeciency.,Kovilin M.,4.0,"January 11, 2023",The table function is amazing really convenient when snipping from PDF and scanned documents.,When opening the excel file the document stored takes awhile to open.,Associate,Accounting,Used the software for: 1-2 years
datasnipper,Saves so much time,,Jess F.,4.0,"March 23, 2023","-Datasnipper saves so much time when casting accounts, and comparing to prior year figures as most of the work is done for you -Really good for importing figures from PDFs where it's not possible to copy and paste things accurately, such as lists or split columns",-Doesn't always pick up all of the information or may set it out weirdly (but this is easy to adjust)-Can take some time to get used to,Accounts Assistant,Accounting,Used the software for: 6-12 months
datasnipper,The good part about datasniper,It is easy to use and saves time,John G.,5.0,"April 10, 2023",Financial statements suiteIt enables you to check constistency of both current year and prior year financial statements,Version comparisonBeing able to compare current and prior year numbers improves constistency,Assurance associate,Financial Services,Used the software for: I used a free trial
datasnipper,Value for money,We are able to manage time and reprioritize Resorces to optimize client satisfaction.,Mduduzi M.,5.0,"June 1, 2023",Time efficiency. The ability to manage multiple documents under one document.,There is nothing I like least about DataSnipper.,Senior Analyst,Accounting,Used the software for: Less than 6 months
