product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
domo,Domo Provides Critical BI Functions at Lower Cost,Overall Domo provided all the functions needed out of our BI software and allowed for the connections needed and provided excellent customer service when needed.,Austin S.,5.0,"February 12, 2024","Domo provides all of the essential functions of other products including data connectors, data visualization, data ingestion and exports, as well as dashboard creation. Domo does have a learning curve to learn the difference in how the back end functions are different, but anyone with previous experience should be able to pick it up.","At times Domo can be slower than other products, and does sometimes crash when ingesting large amounts of data. We also used a browser based UI which could cause trouble if their were browser issues, etc.",Analyst,Medical Devices,Used the software for: 6-12 months
domo,Work can be stressful - but DOMO can help!,My overall experience with DOMO is a pleasant one. I have all my main filters saved so I am able to dwindle down to my saved features and I get right to my answer. This help a lot because I work on a lot of accounts so it is tedious work. But DOMO allows me to effectively and efficiently move my workload along!,Joy K.,5.0,"March 11, 2025","I use DOMO frequently for my job to collect data metrics. I like how easy it is to access DOMO. It's easy to filter down to the exact metric you are looking for down to the date, metric and number amount. I also like how easy it is to export the file into a Microsoft Excel pdf. When I need to send me findings, I always need to attach the DOMO report which is easy to download.","DOMO can be a bit confusing and overwhelming to use when you first look at it. But this is because of how detailed it takes you when you are searching for your data. Once you get the hang of it and know how to save your filters, it is a piece of cake to utilize and is very effective.",Account Coordinator,Pharmaceuticals,Used the software for: 1-2 years
domo,"Nice to look at, not the easiest to navigate",,Eleanor B.,2.0,"May 27, 2025","The data it puts out is fairly easy to digest, and you can make edits to the cards in real time. It's also easy to collaborate with colleagues on projects within Domo.","The interface itself isn't the most intuitive. Trying to navigate to different boards/projects can feel a bit jumbled at times. It can also be confusing figuring out how to request to join a card/project if you don't know who the owner is, or having to contact them outside the platform since the notification system doesn't always seem to... notify people.","Senior Specialist, Education Programs",Non-Profit Organization Management,Used the software for: 1-2 years
domo,Good Data Visualization Platform,,Yogesh M.,4.0,"January 17, 2025",It provided a good and easy to manipulate data visualization platform.,Etl functions and heavier dashboards slowed the entire page down and was difficult to work with,Sr. Data Specialist,Retail,Used the software for: 2+ years
domo,Experience with Domo software.,My fast hard experience with Domo has been remarkable. The software is very standard.,Gideon B.,5.0,"January 13, 2025",Software is easy to learn and set up. It does not require training. Domo software provides reliable digital solutions that saves time and resources.,The software has delivered according to expectations.,Customer Manager,Media Production,Used the software for: 1-2 years
domo,DOMO is Great! ,,Olivia B.,4.0,"January 2, 2025",I like the numerous reports you can run. There are reports for each department and it is customizable which is great.,It does not update in ream time. This is frustrating when we have deadlines and need accurate information.,Subrogation Specialist,Law Practice,Used the software for: 2+ years
domo,DOMO Highly Recommend,"Superb! Excellent! Top Notch, Good Visuals",Deborah M.,5.0,"December 5, 2024",Domo is the platform for us! It has all the capabilities we were looking for all in one.,Onboarding was a little harder than we thought but well worth it!,Administrative Assistant,Non-Profit Organization Management,Used the software for: I used a free trial
domo,Domo Product ,,Adrianna T.,4.0,"November 2, 2024",That it has multiple forms to showcase data and selections to create reports.,It was simple in many functions and we only displayed it for day to day sales tracking.,Operations,Food & Beverages,Used the software for: 1-2 years
domo,Easy to Learn Data Visualization Tool,,Liam S.,5.0,"June 19, 2024",I like the speed I can create new cards to better understand the data behind user complaints or potential areas to improve our system and customer experience. I also appreciate that it was easy to learn the software on the job with a limited background in data.,"I sometime wish I could create my own card template, and have had to export data to excel to create specific visualizations. Additionally, combining data sources can be clunky.",Real Time Center Senior Engineer,Medical Devices,Used the software for: 2+ years
domo,"DOMO covers BI needs of my team, excited to see new updates and product development",,Mariia K.,3.0,"June 19, 2024","As a person who mostly works with ETL and Data visualization I can say that cards and dashboards approach allows developer/analyst to visualize and analyze data, but business users will find it complicated. Working with various data sources, scheduling pipeline updates and reports, setting up alerts, and managing data lineage is easy.","Writing and debugging SQL code in ETL pipelines is complicated and long process. Cards are not very responsive to resizing. DOMO has similar to Tableau LOD calculations, but they are not as flexible as DAX.",Lead software engineer,Computer Software,Used the software for: 2+ years
