product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
emojot,Great support,Overall it has been a good experience. Amazing customer support.,Karan K.,4.0,"September 5, 2024",Quick to support and they are always available to resolve your issue. Good platform with relatively easy to use.,More platform to be included in the enjoy to track.,Marketing coordinator,Financial Services,Used the software for: 6-12 months
emojot,Streamlining Patient Feedback with Emojot,"We recently implemented Emojot's NPS ticketing system to streamline patient feedback management, and it has exceeded our expectations. The platform’s intuitive design makes it easy to capture, analyze, and act on Net Promoter Score (NPS) feedback, allowing our team to promptly address patient concerns and enhance overall service quality. Emojot’s analytics provide valuable insights into patient satisfaction trends, and the automated ticketing workflow ensures that no feedback slips through the cracks. The system has proven invaluable for maintaining high standards in patient care and service improvement.",Indeera H.,5.0,"November 4, 2024",Emojot’s NPS ticketing system has a user-friendly interface and provides real-time analytics that make it easy to manage patient feedback efficiently.,One area for improvement is the customization options within the analytics dashboard or integrate third-party tools would enhance the platform's utility for specific organizational needs.,Senior Manager - IT,Hospital & Health Care,Used the software for: 6-12 months
emojot,Head of Group HRS,"Great, it's gives multiple options in one questionnaire similarly able to get rating of service partners as well.",Sanjeewa B.,3.0,"September 18, 2024",User friendly feedback system. able to ass many questions & get answers as how you want. Easily manage for any person,"Some petty alternation even on cost. Since users are unable to finalized all at once before experience, it would be great, that small alternation done at FOC",Head Group HRS,Apparel & Fashion,Used the software for: 2+ years
emojot,Great service ,As above . I am quite disappointed with this survey app - not with Emojot,Sumudu C.,5.0,"October 21, 2024","They are time bound, software is userfriendly and super after sake service by a team of customer friendly ppl",Nothing.but this Csat app is what is exasperating . Its a pity that this survey is not user friendly. I am disappointed,Senior manager,Banking,Used the software for: 1-2 years
emojot,Senior Manager - Group HR,It’s truly remarkable how this is enabling us to configure additional workflows and surveys with greater efficiency,Kamindu K.,5.0,"September 5, 2024","With user-friendly interfaces, enhanced configurability, and an integrated SMS service, this solution offers seamless functionality and flexibility",Need to enhance the complexity of our dashboards while ensuring they remain intuitive and visually engaging,Senior Manager - Group HR,Apparel & Fashion,Used the software for: 2+ years
emojot,Great Experience with Emojot,"Overall, the experience with Emojot was positive. Emojot was a fresh change from traditional survey methods.",Ruvangi W.,4.0,"September 5, 2024","The platform was easy to use and the emojis helped our customers convey their feedback quickly. Also, the Emojot team is very supportive.",It would have been nice to have more flexibility in adjusting the platform to better fit specific preferences.,Manager - Projects,Apparel & Fashion,Used the software for: 2+ years
emojot,Experience with the Emojot,100% satisfied with the dashboard and the customer care of Emojot,Meenu A.,5.0,"October 18, 2024",Very easy to use and very convenient. [sensitive content hidden] and his team very supportive and great to collab with you all,Nothing major to mention overall i am really like every facility,Executive,Retail,Used the software for: Less than 6 months
emojot,Achieving Digital Tranquility with Emojot ,"Our overall experience with Emojot is positive. The level of flexibility they provide, simplicity of their solutions and most importantly their ability to convert a problem into a quick solution with few or less engagements justifies this. This showcase their ability to understand their clients situation and their knowledge on solutions available that fits best to the given scenario. When we (Brandix) embarked on the control room project with Emojot to look for a solution to eliminate burning issues in the upstream of our value chain, Emojot provided just that!!!. The Control room project required a solution that gives better visibility across our value chain and tools to simplify complex processes inbuild with a governance mechanism keep thing in line. So that we have better control on our upstream to minimize impact on the downstream or on our operations. Aligning to this the solutions Emojot provided were simple, easy to use and highly effective. Thus the flexibility the teams provided to make changes to the solution to accommodate varied dynamics given the complexity of the problem at hand is commendable.",Ishanka N.,4.0,"April 21, 2023","1. Simplicity and accuracy of the widgets, visualizations and analytics 2. Ability to understand the business requirement with few engagements 3. Level of flexibility provided by Emojot to accommodate complex requirements in short notice is commendable4. Customer service (reliability, easy to approach, positive attitude) and clear communication",Solution esthetics is a area that can further improved.,Manager - LRP / Projects,Apparel & Fashion,Used the software for: 1-2 years
emojot,"Emojot Platform - A Comprehensive Solution for Customer Onboarding, Accounts Health Tracking .. ",,Dinusha S.,5.0,"April 24, 2023","I mainly use Emojot Platform for Customer Onboarding, and I found it to be particularly useful in this regard. Our CSMs also using it for customer onboarding lifecycle tracking, and it provides them with a comprehensive set of dashboards to track the progress and account journey. Additionally, we are using Emojot for customer health score tracking and churn predictions based on it. This has been very effective in identifying accounts at risk and taking action accordingly.What I particularly appreciated about Emojot is the technical support team they have and the level of extensions support it provides to do customizations. This made it possible for us to adapt the Emojot platform to our specific needs. We have integrated Emojot platform with other internal systems like Salesforce, ServiceNow as well. Moreover, the Emojot team provides flexible development services which they do the implementation based on our use cases.Overall, I would recommend Emojot Platform for anyone looking for a cost-effective solution that provides excellent technical support, customizable extensions, and flexible development services in the areas of customer onboarding, customer health score and customer journey tracking.",Nothing specifically at the moment with so far experience.,Associate Director/ Architect,Computer Software,Used the software for: 1-2 years
emojot,Fantastic partner,"Emojot have been a fantastic partner to work with. Easy to work with, great communication, great ideas, and very agreeable and accommodating of all of our needs.",Jo W.,5.0,"April 26, 2023","Emojot have a very engaging, customizable, easy to use platform.","Lack of integration with other systems - not that it couldn't be done, but we didn't need to spend the additional $ to make it happen right now.","Manager, Clinical Applications",Veterinary,Used the software for: 2+ years
