product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
harmoni,Review of Harmoni - both the platform and people,"The platform is user-friendly and offers many useful features. [sensitive content hidden] , as project manager, has been responsive to our feedback and provided excellent service.",Aruna B.,4.0,"October 28, 2025",We can create any type of crosstabs we want. We can run stat testing easily. We can aggregate data across different markets into one view. We can create custom tables very easily.,Harmoni's dashboards are functional but need an aesthetic upgrade. Strict rules have limited design improvements.,Director,Banking,Used the software for: 6-12 months
harmoni,"best survey analysis and deep mining, with simple and efficient report/export","I think it is a powerful platform, and anyone running old school cross tabs - but the ability to combine surveys, efficiently update, share out easy stories, etc. it is really the best software i have used in many years and a great supportive team.",Philip N.,5.0,"April 22, 2020","The ability to setup organised survey mining and reporting, with advanced analysis capabilities. Ability to share out, mixture of advanced - but easy to train (unlike SPSS/SAS), can enable end-user to update (with pre-defined parameters). Also, if you bring in new datasets - will automatically show what can be combined (or ""harmonized"") automatically, and on tracking studies the data will update automatically - as will any dashboards or complex analysis stories. In addition, you can upload your own - or work with Infotools to setup when it is too complex. In addition, it also can integrate other datasets to analyse with (media, sales, etc)","You do need to learn a bit of survey experience to setup and determine the structure that you want to have. In addition, it has yet to release som advanced functionality that the offline desktop version of Harmoni (regression analysis, whatdifferent, whatsinthere, correspondence mapping, segmentation etc) but it has some cool advanced features and ability to run stats on anything and drill into what is underneath your data.",Brand Insight Director,Consumer Electronics,Used the software for: 2+ years
harmoni,"The experience was fantastic, and there is considerable potential for even more GREATNESS!",,Khallyl A.,4.0,"March 8, 2023","Tools for exploring and analyzing data consist of the ability to create tables by dragging and dropping, and Harmoni will automatically compute statistical significance. Then, it will recommend the most appropriate graph for generating one-click visualizations.","In my opinion, there is a significant opportunity for Harmoni to provide additional functionality and features. It's unfortunate that they are currently not available, which requires the use of other software like tableau and PowerBI.",Data Specialist,Marketing and Advertising,Used the software for: Less than 6 months
harmoni,Good tool for Market Research ,It is a powerful tool for market analysis with good survey options. Helpful support as well.,Verified Reviewer,5.0,"July 6, 2022",Market research is important to grow business therefore Harmoni helps to analysis the ongoing market and it can forecast and suggest the possible outcome based on input data.,"Need some experience to setup the software and also need some advanced features like regression, mapping and segmentation analysis to add in its main function list to make it more popular.",Graduate Research Assistant,Electrical/Electronic Manufacturing,Used the software for: I used a free trial
harmoni,Harmoni Experience,I think given the current capabilities my experience has been great - but I would like to leverage Harmoni for more - a one stop shop platform.,Shweta W.,4.0,"October 3, 2025","Harmoni understands Market Researchers and their everyday needs better than other platforms. It is intuitive to use and is my savior in most moments of urgency. It would be amiss for me to not call out the great client servicing team - with [sensitive content hidden] - available at all times, life has been simpler.","I do think Harmoni has some opportunities to enhance their capabilities to transform into a one stop platform. Currently it is great for backend data tabulation, but it needs to get better at dashboarding capabilities - where stakeholders can easily access data through a custom and dynamic dashboard - not static.",Director,Consumer Electronics,Used the software for: 2+ years
harmoni,"Quick, and intuitive system. Great people","Ours is a global study and it's difficult to give full attention to each and every market - the platform makes this possible. We've made our local markets more self-sufficient on simple and straightforward analysis meaning our teams are involved in more strategic analysis. When discussions take place, they can do so with both parties seeing the exact same analysis/ process which really helps. Feedback is very positive from our local users - Infotools have also helped us create parallel sites in local language to encourage usage, but the fact remains we all view the same numbers.",Russell K.,4.0,"July 3, 2020","Before we talk about the software, one of the biggest pros are the Infotools people. It would be easy to design against their needs, but they take the time to learn your business and how the software will fit into this; then they design something that hits this brief. All too often, the business has to fit with the software, but not with Infotools. Once installed, the platform is ideal (no surprise given the focus that goes into set up). It's intuitive and works on a number of levels from senior management 1-pager down to 'get your hands dirty' analyst.","There aren't really any cons ... just like in life, you pay for quality and although things may seem a little on the pricey-side to begin with, once you and your business work with the platform, you see why. And then you realise you have value for money.",Research Director,Telecommunications,Used the software for: 2+ years
harmoni,Harmoni Review - For Market Research Suppliers looking for a great tool & service,We used Harmoni for a Global 11-country dashboard portal - client feedback about this easy-to-use interface was excellent,Lisa V.,4.0,"June 20, 2020","User friendly interface, great customer service","on the pricier side, visuals could be modernized,",Vice President,Market Research,Used the software for: 1-2 years
harmoni,A powerful tool for market analysis,,Verified Reviewer,5.0,"June 26, 2023","Harmoni is a powerful tool for market analysis, offering excellent survey options and helpful support from their team. The platform stands out with its ability to combine surveys, update data and easily generate visual reports and visualizations.","One limitation of Harmoni is that it requires some prior experience to set up and lacks certain advanced features like regression analysis, mapping, and segmentation analysis.",CEO and Founder,Computer Software,Used the software for: Less than 6 months
harmoni,Harmoni: Pros and Cons Review,,Reunaldo P.,4.0,"March 4, 2023","I liked how simple Harmoni was to use and learn. It was very user-friendly, and I could create and manage my projects quickly. Additionally, it had a wealth of templates and tools that made it simple and quick for me to produce projects with a professional appearance.","The lack of customization options was the aspect of Harmoni that I liked least. Although there were few options for tailoring the platform to our needs, it was still quite user-friendly. Furthermore, it was challenging to access specific features and settings, making it challenging to customize the platform to meet our unique needs.",Senior Data Analyst,Marketing and Advertising,Used the software for: 6-12 months
harmoni,"Great agency, customizable databases!",,Haley K.,5.0,"February 24, 2020","-Totally customized to our business -Easy to use, can add filter buttons to quickly adjust view to different areas of the business -The agency team is very friendly and helpful","Nothing really, the only issues we've even had were from our tech side (blocking access to the website!)",Insights and Strategy,Food & Beverages,Used the software for: 1-2 years
harmoni,CCIM Review,"Overall, we're quite happy with the customer support for Harmoni. we've received heaps of feedback that the CCIM dashboard both works and looks great, which is something that dashboards don't tend to balance out very well.",Mirna B.,5.0,"August 24, 2020",- Ease of use - Intuitive - Aesthetically pleasing way to showcase data,- Some limitations in what types of charts we can display,Account Executive,Market Research,Used the software for: 6-12 months
harmoni,Great Experience; Strong Potential for More!,I would highly recommend Harmoni for cross-tab and data pull. But I would suggest supplementing it with another software that offer more analytical capabilities.,Amy Y.,4.0,"February 5, 2020","Harmoni was extremely easy to use and intuitive. Being able to run analysis so quickly was amazing, so is the ability to save and export information. The interface is nice and clean.","I feel there's a lot of potential for Harmoni to offer more functionality/features. It is unfortunately that those are not available, forcing the use of other software.",Marketing Research Manager,Financial Services,Used the software for: 6-12 months
harmoni,Mi experiencia usando Harmoni,"En Harmoni se puede importar datos de diversas fuentes, crear tablas y gráficos interactivos, aplicar filtros y segmentos, y exportar o publicar los resultados en diferentes formatos.",Verified Reviewer,4.0,"September 1, 2023","Es una buena herramienta de análisis de datos que me permite transformar, visualizar y compartir información de forma rápida y sencilla.",Por el momento está bastante bien espero continúen mejorando en todo sentido a futuro.,Abogado,Judiciary,Used the software for: Less than 6 months
