product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
kyvos_semantic_layer,Kyvos is a great product,,Verified Reviewer,5.0,"March 19, 2024","With Kyvos, we could modernize our analytics stack and achieve quick responses to queries. Their Support team is always available, providing us with quick resolutions to our issues.","We deploy Kyvos on Azure through VMs, it would be nice if Kyvos was more cloud native",Dev Ops Engineer,Hospital & Health Care,Used the software for: 1-2 years
kyvos_semantic_layer,Kyvos makes it easy to look at any amount of data without slowing down.,We can now go through huge sets of data quickly and create reports without long waits. It’s helped us make decisions faster.,shubham C.,5.0,"June 16, 2025",Kyvos makes it easy to look at any amount of data without slowing down. The layout is simple and our team can use it with other tools they already know. It saves time and helps us get the information we need faster.,"Some advanced options can be a bit confusing at first. Setting it up took some effort, but once we understood how it works, it became easier to use.",Software Enginer,Defense & Space,Used the software for: 2+ years
kyvos_semantic_layer,Data Analytics Engineer,Good overall from developer side and from management side,Sikkander Azarudeen A.,4.0,"October 23, 2024",* Easy to use * Speed on queries * Accessibility,* low performance in few complicated calculation.,Data Analytics Engineer,Hospital & Health Care,Used the software for: 2+ years
kyvos_semantic_layer,Helped us make sense of our data ,"Analytics used to be slow, especially with large datasets. Now, we build reports and dashboards faster. Teams like sales and finance now get current updates.",Ayush B.,5.0,"June 12, 2025",We deal with a lot of data across teams and it was hard to get accurate insights. Kyvos lets us analyze everything directly from our data lake without moving it. It’s easy to use and works with different BI tools.,"At first, our older systems didn’t work well with it. But once we moved to a hybrid cloud, things got better.",Security engineer,Information Technology and Services,Used the software for: 1-2 years
kyvos_semantic_layer,Speeds up our Business Intelligence work,All our Business Intelligence tools are supported Same data can power both Business Intelligence and Artificial Intelligence.,Manish S.,5.0,"July 17, 2025",Works with our Business Intelligence tools Connects easily with Spark and SQL databases and fulfill our needs.,"Took a little time to connect everything the first time. While Kyvos offers many benefits, the setup and learning curve could use some improvement.",Lead Software Engineer,Information Technology and Services,Used the software for: 1-2 years
kyvos_semantic_layer,Easy to use and fast to get started,We can now analyze both historical and current data quickly—something we struggled with before. Nice experience overall.,Shubhendu B.,5.0,"June 12, 2025",Kyvos made it easy for our team to start exploring data right away. Simple layout and works with familiar tools. The support team was helpful.,Some advanced features could be easier to use. But Kyvos keeps improving things based on user feedback.,Security Engineer,Information Technology and Services,Used the software for: 1-2 years
kyvos_semantic_layer,Make report fast,"We used to wait forever for reports to run. Kyvos gets what I need right away, which speeds everything up.",akshay B.,5.0,"June 17, 2025",I can go through large datasets quickly. It’s fast and simple to use. Nice experience while using the product.,No complaints so far.,Lead Software Engineer,Information Services,Used the software for: 1-2 years
kyvos_semantic_layer,Work fast on huge data,"Before Kyvos, I was often stuck waiting for slow queries and managing data from different sources. Now, I can quickly find trends and patterns. It also helps my team to collaborate better since we all see the same, reliable data.",Neha P.,5.0,"June 10, 2025","Kyvos makes it easy to work with any amount of data. Complex queries run fast and everyone gets the data they need. Now, I spend less time on routine stuff and more on actual analysis",As of now i like everything about kyvos. Everything is working smooth. The experience has been great.,Senior Executive - HEG,Information Technology and Services,Used the software for: 2+ years
kyvos_semantic_layer,Sifting through old data is no longer a hassle.,"Our data was stored across different locations, which made it difficult for us to analyze. Kyvos connected",Ram kumar C.,5.0,"June 10, 2025",Kyvos makes it easy to work with years of data. The simple interface lets our team explore data on their own and getting started was smooth with great support along the way.,"Kyvos works great, but writing MDX queries takes some know-how, so we need someone skilled in it, which slows us down a bit.",Senior Software Developer,Information Technology and Services,Used the software for: 6-12 months
kyvos_semantic_layer,Helped us bring all our data together in one place ,"We had data all over the place before. Kyvos helped us break down the silos, now everything’s in one place and everyone sees the same data.",Akshay M.,5.0,"June 18, 2025",I like how Kyvos connects with all kinds of BI tools that we already use and we don’t need to move data around.,"Some features took time to figure out at first, but once we got used to it, things have been working well.",Sr. Software Eng,Computer Software,Used the software for: 6-12 months
