product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mixpanel,Detailed User Insights,"It gives valuable insights into user behaviour, but it’s best for those willing to learn the ropes.",Ava H.,5.0,"October 26, 2024","I tracked what users were doing, helping me see what they enjoyed and where they struggled.","It’s tricky to learn at first, especially if you’re new to analytics.",Staff Software Engineer,Program Development,Used the software for: 1-2 years
mixpanel,Mixpanel is a must go for every app. Easy to start with.,Overall Mixpanel is a great tool. 1. Tracks users from apps. 2. Track user journeys. 3. Advanced reports. 4. Easy to integrate with backend to pull in events.,Lovepreet S.,5.0,"June 6, 2025","1. Easy to integrate. 2. Identity merge is great for people using same device with multiple users. 3. Accurately tracks user journeys, phone properties etc. 4. Reports are easy to make.","1. Sometimes due to technical issues, multiple users get created despite identity merge being enabled. 2. They keep changing there free plan limit and overall plan is quite costly for paid feature.",Product Engineer,Automotive,Used the software for: 2+ years
mixpanel,"Mixpanel enables scalable, self-service analytics across Product, UX, and Data",,Flavio M.,5.0,"February 25, 2026","Mixpanel is quite useful when we want to track user engagement and activity, also sending pipeline and warehouse event data for the datawarehouse team have visibility and do analysis, also is goof to avoid duplication of data. Mixpanel enables scalable, self-service analytics across Product, UX, and Data teams—supporting faster, evidence-based decision-making. It also allows us to measure the impact of product changes and experiments.","Do not noticed any bigger issue with the tool, but sometimes it was a bit difficult to understand when started using it. So learning curve could be a bit higher for beginners.",Senior QA Analyst,Banking,Used the software for: 1-2 years
mixpanel,Great product for preliminary analysis,,Nitin M.,3.0,"April 27, 2024",It's great for preliminary analysis. The UI is super neat and any person can get started with little-to-no setup,In-depth analysis is a little tough. Exporting data is also tricky,Associate Product Manager,Computer Software,Used the software for: 6-12 months
mixpanel,Great Analytics tool for Decision Making,It was a great product we use it on daily bases to track the user activity on our site and based on the research we plan our future goals.,Verified Reviewer,5.0,"September 26, 2020","1. It is highly useful for those products which are based on customer service over web like hotel bookings, resume creation, etc. 2. You can easily create your own events for evey page or action and track user experience on mixpanel that where are they mostly using and viewing on their site which helps in decision making to upgrade their products. 3. You can easily access the mixpanel data form anywhere just login to mixpanel site and you can see the realtime data. 4. It is also easy to implement on the source code of products . We just need to include one script and we are able to add events where ever we like to define.",Sometimes we face issue in profiling of the users.,Software Engineer,Computer Software,Used the software for: 2+ years
mixpanel,User analytics for the masses,Used at a couple of organizations now who have implemented it in very different ways. Both times I have been responsible for implementation. I feel like the 2nd time went better and that might be a testament to the UI.,Stuart P.,4.0,"July 9, 2025","Super flexible and simple to pick up, making user interaction analytics self-serve as much as possible",The level of smart alerts were annoying - they should be dynamic. You can set a threshold but that threshold won't move based on a variable,Product Manager,Computer Software,Used the software for: 2+ years
mixpanel,Mixpanel gave us a tighter feedback loop on feature usage.,"Mixpanel enabled us to easily test whether a new module we had developed was providing value, based on the actual activities of our users not only feedback forms. We tuned rollout strategies much more quickly than previously.",Vittal B.,5.0,"June 26, 2025",We use Mixpanel to slice and dice event data by user segments and to graph behavior trends over time. We used the retention reports to identify which features were associated with long-term engagement.,"The UI can become crowded with too many custom events, and it took some work to get consistent naming decisions across the team.",Chief Product and Strategy Officer,Information Technology and Services,Used the software for: 2+ years
mixpanel,Mixpanel Review,"Mixpanel is easy to use, functional and digestible.",Tom F.,5.0,"February 28, 2025",Easily digestible data and graphs. Easy to manipulate.,"Data can be slow to update, and is not real-time.",Customer Marketing Specialist,Gambling & Casinos,Used the software for: 1-2 years
mixpanel,Great self-serve analytics tools that empower product teams,,Andrei B.,5.0,"December 8, 2024",It has an intuitive interface that's great for myself and my team to be able to use when wanting to answer our own data questions without needing help from our product analytics team.,"There isn't a clear process for how to ensure the data and reporting options we use when self-serving data queries have been quality assured, and that the data and the way we interpret it is reliable",Director of Product Management,Information Technology and Services,Used the software for: 2+ years
mixpanel,A powerful and intuitive tool to make the most of your data,,María S.,5.0,"December 11, 2024","It is a very intuitive tool, and in just a matter of minutes, you can obtain fascinating graphs and results without a steep learning curve.",It is important that your platform/website clearly defines the events you want to export in order to be able to exploit them later; this requires prior work.,Software Engineering Manager,Computer Software,Used the software for: 2+ years
mixpanel,Web analytics and customer engagement,,Caleb O.,5.0,"May 12, 2024",The tool is easy to use and enhances customer engagement tracking and web analytics.,No significant issues with the tool so far,Accounting manager,Education Management,Used the software for: 1-2 years
mixpanel,MixPanel helps us to predict our business!,,Verified Reviewer,4.0,"November 12, 2023",-Data and Metric prediction -Import/export -Ease of use and deployment -Nice interface and dashboard -Cost,-Customer service isn’t as good as Adobe.,Director of Development,Consumer Services,Used the software for: 6-12 months
mixpanel,"Powerful, comprehensive tool to track and analyze user actions and behavior patterns","It's a powerful analytics and marketing tool that helps you track and understand user behavior (who are your power users? which sources did you acquire them from? what's your churn rate? etc.) and make important business decisions about what you should do more of, what's working and what isn't.",Sapph L.,4.0,"December 25, 2019","Once you set it up properly, you can use Mixpanel to track every granular user action. You can save numerous details with each event that's important for you to know such as device, browser, country, campaign UTM, etc. Mixpanel provides you with several types of reports you can analyze data with such as Insights (break down user actions to show how many share X, Y or Z detail such as campaign UTM) and Funnels (conversions between user actions). You can also use Mixpanel to send notifications (email, push, in-app) to users based on their actions. It's a very powerful analytic and marketing tool.","Lately, Mixpanel has made quite a few UI changes. Some have been helpful, others less so. Example with a recent funnels UI change: if you add a breakdown (which breaks down each of the funnel steps by a specific detail like country), Mixpanel adds several different colored bars to the funnel, which makes it very difficult to visually see the conversions between each step. I'm not sure if they do any testing with users before launching new features or UI but their user experience would benefit a lot from it. Mixpanel also does get expensive as you track more user actions (events), but it's only powerful and useful when you track every user action, big and small. Otherwise, your analysis would be based on an incomplete picture and cause incorrect findings.",Marketing strategist,Professional Training & Coaching,Used the software for: 2+ years
mixpanel,A powerful tool for gaining real insights into users' behaviors.,"With the support of Mixpanel, we are now able to gain a more in-depth comprehension of clients' behavior and generate reports and dashboards that provide a more precise comprehension of data.",Molsy K.,5.0,"March 12, 2023","Mixpanel is a great tool for tracking and analyzing how users act, and it is built in a way that makes it easy to get to the tools we need. I appreciate the ease of setting up different paths for data as well as having dashboards and reports that show all the details. With Mixpanel's collaboration features, I can get my team involved in all operations. This lets us mine data from more sources to get the best results.","While I don't see this as a major issue, there are a few situations when we can't get to the necessary streams when setting up customized events.",Sales Coordinator,Building Materials,Used the software for: 2+ years
mixpanel,Grow your online business by finding out caveats in your application,,Verified Reviewer,5.0,"May 1, 2022","Data analytics, event capturing, AB testing, customer support.",Missed event are never captured and they just vanish so that needs to be addressed.,Sr. Software Engineer,Banking,Used the software for: 6-12 months
mixpanel,Data tool for more established companies,"When working Mixpanel is fantastic. It can help companies see their acquisition, activation, retention, revenue and referral. But I think the product is primarily for more mature companies that have used queries and excel sheets in the beginning to make their initial KPI's. Don't use this from the get go as a startup. But use once you know exactly what you want to track, and get somebody on your team to be the super user of Mixpanel (data scientist) and do the same on the development team.",Verified Reviewer,4.0,"August 16, 2018",Mixpanel can tell you a lot of things about your users. Especially the Signal feature is great – we've used it as a guideline instead of having a full time data scientist. You can also follow different cohorts of users and create funnels to see where these users fall of or not.,"The dashboard function is not great. Besides that the system is pretty complex, so you really need to dive deep into the tutorials to understand how to use it.",Advisory Board Member,Internet,Used the software for: 1-2 years
mixpanel,Handling Analytics Made Easy ,,Catania G.,5.0,"April 29, 2024",Data analytics and analytics has been amazing. It is smooth too.,It is powerful and helpful - no dislikes yet.,Sales Manager,Retail,Used the software for: 1-2 years
mixpanel,Basic analytics software for simple companies,"Overall this product was easy to integrate and use, but ultimately did not provide the level of detail needed to run a successful data-driven business.",Verified Reviewer,4.0,"May 5, 2020",This product provides easy-to-integrate code and some very basic metrics for your digital products. It is easy to use for beginners in data & analytics.,"There are many better visualizations and analytics metrics that could exist, but do not for the sake of simplicity. If you want to be more advanced in your ability to measure your data, look at other analytics platforms.",CEO,Consumer Services,Used the software for: 1-2 years
