product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
toucan,Great Visualization product,,Jeff R.,5.0,"May 5, 2023",* Quick to start up / learn / use* Connectors and data imports user friendly* Helpdesk and consulting team amazing and very helpful from startup thru maintenance,Improve on ability to schedule and export reporting (on roadmap),Vice President IT,Consumer Goods,Used the software for: 6-12 months
toucan,Perfect Fit,Our experience with Toucan has been great! It really is a tool that anyone can utilize after working through the training courses! The customer service has been above and beyond expectations since our first initial contact with them and we have unlimited access to the team with the product purchase - no extra support or implementation fees. We are very grateful to have found the Toucan team for our data visualization needs.,Anna J.,5.0,"April 18, 2023","Toucan has been the perfect data visualization tool for our company. Their customer service has been excellent from the initial discovery call to 6 months in with regular account check ups. The team guided us in the process of finding and syncing our data (via Azure SQL) to our apps in order to build beautiful data visualizations. We have been really grateful for the self learning tools that Toucan provides for no additional cost. Our internal team of builders were able to take the course and build out several dashboards just from those self learning instances. During the discovery journey, we met many companies who would charge extra for training and development, implementation, or even outsource to a third party for all training and development. We are so happy we ended up with Toucan!","We had to learn a bit of code only because of how we are integrating the majority of our data into Toucan. We are using Microsoft Azure for our SQL database and needed to learn at least the basics of SQL in order to run queries to pull the tables into the visuals we were building. That being said, Walter was super helpful pointing us in the right direction for free training courses on SQL and would even go the extra mile to review our queries in the first few visuals to make sure we were optimizing output.",Director of Operations,Staffing and Recruiting,Used the software for: 6-12 months
toucan,An user friendly tool which can scale up rapidly,It is a user friendly tool which can only be better and better,Alexandre W.,4.0,"May 12, 2023","The possibility to copy paste the ""small apps"" and their contents (which is a set of different views on a specific topic or team for example) and simply change the data sources via connectors is quick and easy.More features to facilitate scaling are in the works to enhance the productivity",Some features we would instinctively expect as Excel users are not here.Some view would be better with more density of information.,Data Analyst,Investment Management,Used the software for: 6-12 months
toucan,Intuitive tool & great user experience,,Simon A.,5.0,"April 19, 2024","Easy and intuitive implementation Great user experience (tiles, stories, visualizations,...)","Not enough customization options for particular tiles and graphs (legends, colors, number of rows,...)",Data Specialist,Hospital & Health Care,Used the software for: 1-2 years
toucan,Toucan helped position our existing product as a leader in the Marketing Research industry.,,Amaan K.,5.0,"March 30, 2021","Toucan's go to market speed as a reporting component to our existing product is unmet in the BI market. Also, the ease with which you can deploy it without needing technical skills was a big part of why we chose to go with this tool. The team is also very helpful.","It'd be nice to improve the implementation process a little bit more for non technical persons. However, the team's been great with us. this is just a detail.",CEO,Market Research,Used the software for: Less than 6 months
toucan,A Must-Have Tool for Streamlined Data Collaboration,My experience with Toucan has been highly positive. The platform has proven to be an invaluable asset for data management and team collaboration. It simplifies complex data analysis and makes sharing insights across teams easy and effective.,Kuzkina O.,5.0,"November 7, 2024",Toucan's easy-to-use interface and robust data visualization tools allow for quick insights and efficient data analysis. The platform’s collaborative features help streamline team workflows and improve productivity.,Some occasional performance lags when handling large data sets can interrupt the workflow. Improvements in speed for data-heavy operations would enhance the user experience.,Developper,Program Development,Used the software for: Less than 6 months
toucan,An excellent app!,,Xavier C.,5.0,"September 10, 2024",A fantastic app that has allowed us to save a LOT of time and headache.,Sometimes the UI is a little bit counter intuitive but very rarely.,Founder,Food & Beverages,Used the software for: I used a free trial
toucan,Toucan is great for generating reports and BI,Today it is a fundamental part of our organization when it comes to data. Reports and BI are generated weekly and presented to the entire team.,James C.,5.0,"February 7, 2023","Generates satisfying reports with rich details; Performs data analysis masterfully; The dashboard is a very positive and attractive point, it brings a sense of modernity; Access to any type of stored data is effective, as is access to important company indicators that need to be accessed at any time quickly.","When we started using the tool, we had problems generating some reports that over time did not become a problem anymore; The price is a little high if you compare it with some other tools on the market.",Sales and Marketing,Marketing and Advertising,Used the software for: 6-12 months
toucan,I first enjoyed Toucan Toco as a client. Now as a Toucan Toco partner I make my clients happy too!,,Laurent L.,5.0,"June 5, 2018",User Experience. Toucan Toco is really easy to use ever for non data specialist people. Above all the interfaces are smooth an simple. Full Web solution. Toucan Toco is a web application even its creation studio. All devices. Toucan Toco can be deployed on any devices as it is a responsive web solution. Time to market. Building a Toucan Toco app can take less than one month before you can go live. Integration : Toucan Toco can integrate data from many Data Sources and Data Providers and their number is still growing.,Toucan Toco solution is not yet known and recognized as it should be compared to some of its competitors. But for sure this will change very soon.,Chef de projets,Used the software for: 1-2 years,
toucan,Good experience ,,Nupur S.,4.0,"December 27, 2022","The customer success & onboarding team worked diligently to ensure that we could launch before our deadline. Moreover, the development team made necessary back end modifications to meet our requirements.","Initially, creating reports was quite challenging due to the amount of code required. It was not an easy task for the average person. Fortunately, the product was improved over time, making the process much simpler and allowing us to be more independent with our reports.",Senior Project Manager,Real Estate,Used the software for: I used a free trial
toucan,Toucan Toco - une réussite,,Gabriel K.,4.0,"May 31, 2024","Outil simple, convivial pour construire déployer et utiliser des supports de reporting",Interface et logique de requetage qui tranche avec les outils traditionnels et qui nécessite un temps d'adaptation,Contrôleur de gestion,Furniture,Used the software for: 1-2 years
