product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
appenate,Forms are definitely on Fire!!!! ,Forms on fire was exactly the middle ground we needed between being offline using paper and developping our own mobile app for internal use. We decided that simply digitizing the forms was the best use of our time and money and it has had a great ROI. Within the first 3 weeks of using FoF we were able to increase productivity and decrease paper to computer entry completely. Reports that usually took 1 hrs to gather the information and another hour to digitize and publish could be done on the fly during the data gathering phase.,Matthew Maximo V.,5.0,"April 22, 2022","This software is so easy to use! If you can drag and drop you can make a nice UI and form that is accessible reliably from any mobile platform. We really did have an easy time taking our existing excel sheets, modifying them to a forms on fire friendly format and setting that up. Total effort was about 10 hrs for a form conversion (first time, and done manually).","We got stuck with a few elements (how to pass data in a certain format) that didn't work, but Forms on fire customer support were available to help us get through it. It turns out it was user error and not Forms on Fire",Project Manager,Automotive,Used the software for: 1-2 years
appenate,Easiest to Implement!,"Very pleased with the ease of developing our forms, distributing, updating, and collecting the uploaded data . The drag and drop interface for forms is outstanding and the help files make it easy to develop any workflow you can imagine, very powerful!",Cliff G.,5.0,"May 28, 2019","Our team especially liked the openness of the software programming interface, the associated help files, and the superb customer support whenever we had a question. We knew going in that we would have some ""special tasks"" we would need to implement and Forms On Fire appeared to have the best programming system in place to easily make that happen using our own personnel and not requiring the software company to handle everything at additional cost. The system is so easy it just doesn't require that much support, but if you need it, they are there to help!","I think the website interface could use a few minor improvements like having data view columns maintain their positions between sessions or refreshes, and perhaps a little more development on the dashboard, although we'll probably develop our own that most of the vendors for this type of software simply don't offer.",Mfg Eng & QC Mgr,Machinery,Used the software for: 6-12 months
appenate,Easy to learn,,Nanita Rica Winniewski W.,3.0,"March 6, 2025",Forms on fire is tour is easier to follow while learning to use.,Forms on fire experts are easy to deal with,Customer care management specialist,Market Research,Used the software for: Less than 6 months
appenate,Forms on Fire ,We have been with Forms on Fire for several years and our experience has always been positive. We have continued to expand our use of the Forms on Fire functionality and are very pleased with the solutions and support that Forms on Fire provides.,Bryan B.,5.0,"October 2, 2025",The ability to build and customize forms that fit our business needs. We have been able to build many different forms. We are currently implementing a new form to assist with creating proposals from the Forms on Fire app.,"We have experienced problems installing the Windows version of the app on our users desktop computers. We have been able to resolve the install problems, but it has been an ongoing issue.",Director of Information Technology,Construction,Used the software for: 2+ years
appenate,Great tool!,A great tool that we have utilized in our internal workflows across the board. We have even started using it for internal staff management.,Tyler P.,5.0,"July 1, 2025",I like the ability to use it on several different devices in various locations. The ability to pull data from different points of our work allows us to monitor and make adjustments as needed,There is a bit of a learning curve on learning how to use the software. Once you have a handle on it then it is a bit easier. Some of our forms have gotten quite complicated and we have a few FoF experts on our team now!,Sr. Scientist,Environmental Services,Used the software for: 2+ years
appenate,"Stop Looking, You Found The Right Company!!!",Fantastic. They do amazing work at a very reasonable price. I hired them to create a proposal form for us which we use basically like an app. The finished product is amazing and we could not be happier about our experience working with Forms on Fire,Eric S.,5.0,"June 8, 2025","The Form that they created for us is the cornerstone of our business. They are incredibly easy to work with and very accommodating, especially for someone like myself who is technologically challenged.",I cannot think of a single thing that I would change about Forms on Fire or my experience with them. They do spectacular work at a very very reasonable price.,Owner,Construction,Used the software for: 2+ years
appenate,Easy virtual form generation,"Simplify virtual and online forms operation. The mobile application is easy to access, make it suitable for our field operation.",Rafael I.,5.0,"May 6, 2025","Speed-up processing to build workflow and SOP for field operation, loved the builder that automating almost every operation like checklist, task checker and customer invoice. Vast option for ready-to-use template, only need 30 minutes top to build a new checklist.",Forms On Fire provide no video guidance on how to operate the application. I learn from Youtube how to setup the apps and how to operate it effectively.,Executive Engineer,Construction,Used the software for: 1-2 years
appenate,A huge fans of Forms Fire,"Full of customization, make it compatible with my need for marketing campaign management.",Chourouk D.,4.0,"May 6, 2025","The best online form creation application that I have use in recent years. Can be access from mobile phone, make it perfect for outdoor use and field operation. Can be use both for online and offline operation, any changes that is operated in offline mode will be updated after internet connection is restored.",Quite a learning curves to learn before able to use it to create new work checklist or workflow. The price is quite expensive compared to its close rivalry.,Marketing Manager,Mechanical or Industrial Engineering,Used the software for: 1-2 years
appenate,Excellent aupport,Very good customer service. Always prompt on getting me help when needed. Appreciate the time and care given.,Mike M.,4.0,"December 24, 2025","Easy to use. Anytime i have any issuea customer support would correctnit immediately, saving me time.",Had a couple hang ups with one farm not taking the audit. I notified support and issue was corrected right away.,Field Manager,Farming,Used the software for: 2+ years
appenate,I was very impressed with their professionalism and customer service,"I've been using it for two or three years now and everything works very well, it's easy to use. The program managers are very attentive",Cayetano C.,5.0,"September 24, 2025","I like it because it is easy to use and the staff is very attentive when you need help, and you soon receive the help","I think there is nothing wrong with this app, I am very satisfied and I'm happy to use it and overcooked",chickens management,Food Production,Used the software for: 1-2 years
appenate,Evaluating this software ,"No sure, I just test it on a trial version and still on evaluation",Carlos A.,4.0,"August 24, 2022","easy to implement, low code or no code, streamlining processes","No sure, I just test it on a trial version and still on evaluation",IT Director,Food & Beverages,Used the software for: I used a free trial
appenate,Great and easy to setup app type forms for use in any industry,,Ramon F.,5.0,"April 22, 2022",Loved the easy way to setup our workflow and the form we needed and the easy way of finding our data,I really don´t have many cons for the type of tool that forms on fire presents itstelf. it does what it says,CEO,Transportation/Trucking/Railroad,Used the software for: 1-2 years
appenate,Forms on Fire Rocks,As a whole Forms on Fire is a great tool for creating usefull apps in our company. From simple get this signed to a vehiicle accident report. It so far has supported all of our needs.,Joey U.,5.0,"December 23, 2024",Ability to create robust forms and display info in a variety of ways.,Learning curve. It takes a little while to learn how to use the databases and perform queries against it.,Lead System Admin,Facilities Services,Used the software for: 2+ years
