product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
cognito_forms,Smooth form creation experience,"Great and powerful form, integrates with zapier and i can track visitors with google analytics. Smooth experience",Babatunde O.,5.0,"May 4, 2025","One of the free, no fluff online form builder I have used in a long while.","Competitors were reporting my forms and it went offline, I had to explain to them to check that the form was not Spam, would have been nice if they checked first.",SEO Marketer,Market Research,Used the software for: 2+ years
cognito_forms,Simplified and unified form solution with exemplary customer service,"Cognito's customer service is truly peerless. I cannot remember the last time I worked with such positive, dedicated solutions staff. Not only are they always available to answer any question, from billing to ""how do I do this with the tools available"", but they seem genuinely happy to help solve the puzzle that is your latest requirement, providing not only an example in your instance, but an explanation of how it was done. Or, if they cannot for whatever reason, they are happy to log an issue for a future feature for their team to develop.",Brandon S.,5.0,"April 7, 2026","Cognito unifies and simplifies our processes, providing tools that are accessible to an average user, but powerful enough to satisfy any of our needs. As a University, we have hundreds of forms, capturing everything from food allergies to personal grievances, to exam deferrals and Cognito has had a solution for all of them.","Some common workflows still require complex several-step processes that should be simplified, such as approvals or guest roles. While there are workarounds, these are not as easy for average users to set up. Consolidating these functionalities into discrete, simplified pieces would make a huge improvement. Additionally, Cognito does not support some of the larger enterprise requirements, such as role based access control syncing with our identity management software; this means we have to manually maintain hundreds of users and try to keep this synced - a pain point that regrettably grows the more we use the platform.",Applications Analyst,Education Management,Used the software for: 1-2 years
cognito_forms,🔴 I strongly advise against using this company. ,"It was horrible. I had an issue with their login, so I could fix an issue, but no one could help me. I was losing money by the minute.",Alex L.,1.0,"September 19, 2024",It worked fine till it did not. I used them for years,"🔴 I strongly advise against using this company. If your business relies on functional forms, it's crucial to have real-time customer service to address any issues that may arise. It's unacceptable for a company to operate without this support. In today's competitive business environment, companies with good customer service thrive, and I hope businesses like this one realize the importance of providing real-time support before they become obsolete like Blockbuster.",President,Logistics and Supply Chain,Used the software for: 2+ years
cognito_forms,Cognito is a solid form option that I believe in,My overall experience has been very positive. So much so that I'm an affiliate and wholeheartedly recommend them to my clients. It's a powerful piece of software and almost anything you want to do can be done. The ease of use is a huge bonus for my clients who are not tech savvy.,Verified Reviewer,5.0,"April 7, 2026","I absolutely adore Cognito Forms. I use it myself and recommend it to all my clients. It's very easy to use - there's a drag and drop interface so you can build the form very quickly. You can add email notifications that go to the user as well as anyone else who needs to be notified. You can also redirect to a different page upon submission which is nice. If you want to do some advanced calculations and have conditional elements, that's also possible and quite powerful. This part does have a bit of a learning curve, but the majority of users will probably not need it. However, if you do get stuck, just reach out to their support, and they walk you through exactly what you need to do in order to create the form you want. I've got nothing but good things to say about their support team. Each form has a section where you can view entries and export whatever view you'd like. You can create a PDF template to send to your users if you're building things like purchase orders from the form input. You can accept payment as well which is really handy for one-off purchases. Subscriptions are not supported as far as I have seen, but it is easy to sell items or collect donations.","There's not a whole lot to not like, really. One thing I'd love for them to do is to have some kind of global fields. I often build forms that need the same fields and while I can copy whole forms and edit those, sometimes you just need to add one or two things and having some global elements would be a real time saver.",Web Developer and Designer,Design,Used the software for: 2+ years
cognito_forms,Cognito - Pros & Cons,"when you require support, you always receive useful prompt response, solutions and workaround from them in a timely manner.",Kelcy P.,4.0,"March 13, 2026",AI assistance; features; integration to Sharepoint; ability to prefill fields; table fields; low cost; frequent updates and addition of new features; user friendly,layout (unable to use customise fonts and limited selection of formatting for content cells); file size limitation when integrating to Sharepoint (it is not something that Cognito can do though); interface can be nicer; unable to copy & paste fields from one form to another; no bulk send from the platform; reminders cannot be sent to public users,Compliance Consultant,Accounting,Used the software for: 1-2 years
cognito_forms,Cognito is the best! ,I love cognito - it revolutionized the way I'm able to operate my organization and streamlined formerly arduous tasks.,Kieley S.,5.0,"March 26, 2026",ease of use - I feel like I learned a lot of different ways to use it in a very short time flexibility - I've been able to use the forms for a lot of different tasks that needed to be automated,I would like to be able to copy information from one form to another form without having to copy the whole thing. I'd like the security options to apply to all possible categories instead of just a select few.,Executive Director,Non-Profit Organization Management,Used the software for: 6-12 months
cognito_forms,User-Friendly and Powerful Tool for Streamlining School Processes,"Overall, my experience with Cognito Forms has been very positive. It’s a reliable and powerful tool that supports a wide range of needs, from simple forms to more complex systems. Once you get familiar with its capabilities, it becomes an incredibly efficient way to manage information and streamline processes. I enjoy building out forms with Cognito Forms!",Ashley J.,5.0,"April 1, 2026","Cognito Forms is pretty intuitive and easy to use, even for more complex workflows. The form builder is flexible, and I appreciate the ability to customize fields, calculations, and conditional logic. It’s been especially helpful for organizing school processes like sign-ups and data collection. I’ve also found tools like ChatGPT helpful for learning new features and improving how I use Cognito Forms more efficiently.","Some of the more advanced features, like calculations or conditional logic, can take time to learn and aren’t always immediately intuitive. There are also some limitations in formatting and design customization compared to more design-focused platforms. At times, troubleshooting more complex forms requires a bit of trial and error.",Assistant Director,Education Management,Used the software for: 2+ years
cognito_forms,Great Experience,"’ve had a great experience with Cognito Forms overall. It’s been a reliable and easy-to-use platform that helps me stay organized and manage my forms efficiently. I love how simple it is to create and customize forms to fit my needs, and it really helps streamline my workflow. Overall, it’s been a positive experience and a valuable tool for my business.",Candie W.,5.0,"March 26, 2026","What I liked most about Cognito Forms is how user-friendly and intuitive it is. It makes creating professional, customized forms quick and easy without needing technical experience.","One downside of Cognito Forms is that the notification setup isn’t very straightforward. It can take some time to figure out how to properly set up email alerts, especially when you want to be notified every time someone submits a job application. The customization options are powerful, but they can feel a bit confusing at first, which makes simple things like receiving instant notifications harder than they should be.",Compliance,Transportation/Trucking/Railroad,Used the software for: 6-12 months
cognito_forms,Tax Preparation Intake Usage For Clients,Overall somewhat pleased with the product the difficulty returning to the same upload sheet for external clients is a major issue.,Bruce S.,5.0,"March 28, 2026",Simple to setup forms and make edits to information. Easy to coordinate work flow within the organization. All internal users quickly access and use the information provided.,Very difficult for clients to return to the same upload document from an external source. External clients need to enter multiple forms if they have additional information.,President,Accounting,Used the software for: 1-2 years
cognito_forms,Easy Peasy Set Up,,Angela N.,5.0,"April 1, 2026","Cognito Forms has been such a lifesaver for me. I run multiple businesses and Cognito's templates made my, not to technology savvy self, create the most perfect registration forms so easy. I highly recomend them to anyone who asks.",I wish that the formulas for the different sections were a little more easily accessible or easier to find.,Homestead Educator,Child Day Care Services,Used the software for: 1-2 years
