product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
komment,Best Data Write Back Extension for Qlik on the market,"I currently use it myself for projectmanagement comments and status updates. It just does what it has to do. It's easy to make a change in the setup if you need it, you can use it multiple times in one app and the usage of the extension bij an Analyzer user brings great benefit as well.",Eduard B.,5.0,"March 2, 2022",As a longtime Qlik user and advisor for customers I have been searching for a spot on write-back extension for Qlik since years. With the Komment extension it was clear after 5 minutes in the demonstration that this was developed by users and for users. High and user friendly functionality. As I come from a app development background I can say that this is the way I would have build it myself.,Actually there are no items that come to mind. Sometimes there are little improvements to be made. Due to the short lines with ExtenBI most of them are picked up and sometimes already implemented in the next release.,Partner Manager,Information Technology and Services,Used the software for: 6-12 months
komment,Great Tool for Writeback capabilities in Qliksense,"Komment allowed us to solve a major business problem to be able to write data directly into Qlik. Other tools that had this capability, even VizLib, had nowhere near the features that Komment had. We are happy with our decision.",Michael P.,5.0,"February 17, 2022","We needed the ability for Qliksense users to be able to enter data on the sheets and have the information available immediately after saving. Komment allowed us to do this easily. In addition, the data entered is written back to our data warehouse where we are able to then share the information entered with other systems such as Salesforce.com.","The setup of the tool was a little difficult at first. However, we purchased this over two years ago when it came out so we were early adopters.",Vice President of Business Applications,Information Technology and Services,Used the software for: 2+ years
komment,Excellent Service,,Udi G.,4.0,"February 17, 2022","Ease of use, very good customer service",Not enough automation,BI Expert,Consumer Electronics,Used the software for: Less than 6 months
komment,Komment - New Administrator/Developer,My experience thus far has been amazing. I love the options available. Speed of development is faster. The support is amazing and I love the fact that the online documentation is in detail and updated. This really helped me to learn how to setup the software very quickly without any scripting or any knowledge on how the software works.,Damien A.,5.0,"April 21, 2022","Having used other writeback software I found that Komment was easier to setup. The administrative side is much easier and intuitive. It took me 10 mins to develop my first App with to store and update data. The pros: 1. Allows you to store data into QVD files which is something the other software I was unable to do. 2. The licensing options available allows you to choose what you require. 3. Quicker turnaround time on new development. 4. Out the box audit trail on changes 5. Multiple options for Display eg PopUp, Form, Inline Table. 6. Allows more than one object on a sheet to update information where other software only allows 1 object per sheet.",I haven't honestly came across any cons during my time developing with this software.,BI Consultant,Computer Software,Used the software for: Less than 6 months
komment,An easy to use Product,Very good and I found technical support is very helpful.,Shubhasheesh C.,5.0,"February 17, 2022",The product is quite cheaper than its competitor and gives you flexibility to use with or without costly data storage option like database. Having QVD as a storage is an easy choice to start with. Configuration is pretty easy and technical support from KOMMENT team is quite satisfying. I recommend this product for anyone to start first to understand about the user input capture. The advanced version wit Kaptain uses new age technology and updates are quite handy.,QVD Option may end up with data consistency issue.,Qlik Sense Lead,Building Materials,Used the software for: 6-12 months
komment,From the end user point of view: great tool to allow inputting data into an analytics tool ,See Pros,Maria Eugenia G.,4.0,"February 18, 2022","From the user point of view, being able to allow entering data manually into the same tool that later will be used for analytics it is a massive advantage. Forget about external spreadsheets!",Nothing missing in my opinion so far for the purposes of what it has been implemented.,Senior Solution Delivery Consultant,Information Technology and Services,Used the software for: 1-2 years
komment,No need for paper-written monthly reviews,"With the use of Komment the monthy reporting cycle is realized with a) facts and figures provided completely by Qlik Sense, and b) managers and business control are able to provide background information and explanations to the figures with Komment. This makes the use of paper-written (word) reports unnecessary.",Stefan D.,4.0,"March 2, 2022","It works great with the existing setup the customer already had, and after the implementation is really embedded in the solution being used.","The initial setup was a bit harsh with working on the connection to Qlik and Komment database, but the customer support from ExtendBI helped us out here very good to make this work.",Account Executive,Hospital & Health Care,Used the software for: 6-12 months
komment,Great Simple Writeback Extension,,Daniel J.,5.0,"March 1, 2022",- Works with Qlik Sense SaaS - Simple and Quick to Writeback - Good User Interface - Cost Effective Solution in comparison to other solutions - Fantastic support from the team,- Installation could be easier - Limited Visual Options,Consultant,Information Technology and Services,Used the software for: 2+ years
komment,Great Tool !,The support from the Komment team is excellent. They are very quick to respond if any technical issues occur. The tool itself is easy to use and simpler to set up once you know what you are doing,Joanne A.,4.0,"February 17, 2022",Easy to use from a user perspective and quick to capture. It is easy to set up from an administrative perspective,It can sometimes be quite fiddly e.g If you create a new Kapsule or new table you often have to click outside of the extension chart for it to pop up,Team Lead BI Consultant,Information Technology and Services,Used the software for: 6-12 months
komment,Komment is a nice add-on for Qlik,Real time updates versus reload in Qlik,Marc C.,4.0,"February 17, 2022",Input real time figures in Qlik vs Reload system for updating dat in Qlik,No special minus points ?,Sales,Computer Software,Used the software for: 1-2 years
komment,KOMMENT easy to use,,Mathias S.,5.0,"March 1, 2022","many widgets options, option for storing in professional database like mongodb, safety QVD file data layer, interactive script integration with partial loads",setup with ssl certificates need some experience,BI Consultant,Information Technology and Services,Used the software for: 1-2 years
