product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
vlx,Visualogyx - Very good for construction reporting!,"Flexible, responsive support team, easy to use.",Lauren A.,5.0,"March 20, 2025",Ease of editing and flexibility of formatting.,Nothing yet - everything I want to be able to change I can change.,"Senior Project Manager, Construction",Real Estate,Used the software for: Less than 6 months
vlx,Efficient and easy to use. ,"From the sales process, through implementation, and on going support the visualogyx team has been great to work with.",Hunter L.,5.0,"September 8, 2023",The partnership from visualogyx's team has been second to none. They consistently go out of their way to ensure we are getting the most out of the platform that we possibly can.,"Some of our end users have a bit of trouble from time to time, but visualogyx is always willing to help guide them in the right direction",Head Of Operations and Enablement,Financial Services,Used the software for: Less than 6 months
vlx,Visualogyx Review,"Overall, my experience with Visualogyx was positive. The platform's user-friendly interface and visually appealing data visualizations made it enjoyable to work with. It provided me with valuable insights and helped me analyze complex data sets more effectively. Although there were some limitations in terms of customization options and occasional performance issues, the overall functionality and usability of Visualogyx were commendable. I found it to be a valuable tool for data analysis and decision-making.",Marek T.,4.0,"May 15, 2023","One of the things I liked most about Visualogyx was its user-friendly interface and intuitive design. Navigating through the platform was smooth and straightforward, allowing me to easily access and utilize its various features. The visualizations and data representations provided by Visualogyx were impressive and visually appealing. They helped me gain valuable insights and make informed decisions based on the data analysis.","While Visualogyx had many positive aspects, one thing I liked least was the limited customization options. I felt that the platform could benefit from more flexibility in terms of tailoring the visualizations and reports to specific needs or preferences. Additionally, there were a few instances where I experienced minor glitches or delays when loading large datasets, which could be improved for a smoother user experience.",CEO,Financial Services,Used the software for: I used a free trial
vlx,Inspection data collection ,"Visualogyx is not only a highly reliable and user-friendly platform but also exceptionally well-organized, making it easy to navigate. The staff is highly responsive, promptly addressing any issues and efficiently implementing requested features or enhancements. Their commitment to continuous improvement and customer satisfaction sets them apart. Highly recommended.",Ernesto Q.,5.0,"January 30, 2025","The team’s responsiveness and willingness to enhance features only add to its value. Overall, it has been a seamless experience.","I haven’t encountered any issues or concerns with the platform. It has been reliable, easy to use, and well-organized.","Quality assurance, Quality control",Oil & Energy,Used the software for: 6-12 months
vlx,A satisfied inspector.,Overall a very good experience. I usually do reports via a clipboard and pen so i was hesitant at first. Visualogyx was very intuitive and easy to pick up. I will be happy using them for future contracts.,Jason O.,5.0,"July 14, 2025",How quickly customer service responded to issues. They really seemed to update the application quite often as well.,"The load times when reopening the application. Having to sync with other inspectors data’s. Sometimes app just shows a white screen, I then have to restart entire app which then causes the first issue.",Pipeline inspector,Oil & Energy,Used the software for: Less than 6 months
vlx,Comfortable ,Very comfortable with every report Good to understand,Victor S.,5.0,"January 30, 2025",Reports are easy to input Great software,The update take long Making another report we have to close to many repairs from someone else,Inspector,Oil & Energy,Used the software for: Less than 6 months
vlx,Director of Construction ,I like Visualogyx professional style and staff is helpful and always quick to respond.,Julius S.,4.0,"October 24, 2024",Report Style. Easy to upload photos and info.,No spellcheck. Cannot rearrange photos. Should have button to go to beginning and end of report instead of page by page. Should be able to copy or save as reports.,Director of Construction,Construction,Used the software for: Less than 6 months
vlx,Maximizing Resources Providing Visibility and Transparency to Our Daily Activities,"Excellent!!, Our team feels very comfortable working with this application, allowing them to be more efficient in their activities, and reducing the development time of the reports.",Ricardo M.,5.0,"April 11, 2023","Visualogyx was extremely easy to implement. On the first day, we could use it, and our customers liked the documents generated by our team.","I don't see any issues, the product fits quite well with our business, processes, and resources.",QC VP,Oil & Energy,Used the software for: 2+ years
vlx,Great product for the money.,5 star Great customer service Quick reaponses,Daniel R.,5.0,"June 1, 2024",Affordability. Customer service. Product.,"Accidentally delete templates, can’t retrieve myself",Owner,Construction,Used the software for: I used a free trial
vlx,Excellent QC tool,"Visualogyx has allowed us to automate many of our quality control processes across our operations. Our field team now spends less time doing manual work while allowing our operations team to access key real time data as inspections are performed. It’s a game changer for our industry and a great value added to our ISO9001-29001 programs. Thanks to its mobile feature, we can leverage the time spend in the field to get completed reports in minutes. The web interface makes it easy to navigate the APP configuration and set report templates quickly.",Edgardo V.,5.0,"April 11, 2023","Mobile which makes it usable in the field , flexible which allows for multiple applications and easy to configure.",It did not had an out of the box interphase to our ERP system.,CFO,Mining & Metals,Used the software for: 2+ years
