product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
choozle,Comprehensive Programmatic Advertising Platform,,Vondrae M.,4.0,"August 28, 2021","Choozle makes learning how to set up and manage programmatic advertising campaigns simple. Adding creatives, building audiences, and setting technical aspects like bid and frequency are made easy with their UI. Their customer support is also A+.","The reporting features leave something to be desired. The UI makes it difficult to see which ads are the best performing, tracking conversions, and more complex reporting functionality.",Data Analyst,Marketing and Advertising,Used the software for: 1-2 years
choozle,Great Programmatic Platform for Beginners,Fantastic. They've been a great partner to work with.,Ben S.,4.0,"October 9, 2020",The Choozle platform is very easy to use and makes programmatic advertising a tactic that anybody in the organization could set up and run! The team is great to work with. The platform is clean and easy to navigate. Choozle offers just about every capability in the programmatic space.,"Perhaps it's more of a negative about programmatic in general, but there are a lot of sites and placements where I wish our ads automatically weren't served on. The AI should be better at optimizing ads and ad placement. The detailed reporting is cool, but also only accessible with an export and used in excel.",Digital Marketing Manager,Biotechnology,Used the software for: 1-2 years
choozle,Good Starter DSP Platform,Great customer service. Has tons of room to grow. Hope they stay focused on the small businesses and agencies.,Verified Reviewer,3.0,"April 29, 2019","It is incredibly easy to get up and going. Set up and audience building is really easy and self explanatory. There have really, really great audience targets but CPMs can get pretty high depending how many attributes you're layering. You're able to bulk upload creative which is a great time saver. Very low cost per month fee in comparison to other programmatic platforms.","Very slow moving. You can't see what happens to your audience size estimate when you overlay geo-targets. Google Analytics data and Chooze data is really far apart. Customer service says it's because they measure different ways but it's sometimes concerning how far apart they are. Conversion tracking barely exists. As usualy when it comes display, and native, you need to have a pretty large spend but don't see many direct conversions. Sometimes hard to justify the ad spend+the fee Choozle takes from the spend.",Digital Marketing Specialist,Internet,Used the software for: 1-2 years
choozle,Choozle Review,"Overall, working within the Choozle platform and with our dedicated support team has been a very positive experience. Whenever we have questions or need additional help or info, it's nice to know that we'll always be able to get it.",Olivia K.,5.0,"September 23, 2021","Choozle is very user friendly, and includes a variety of targeting options to help us best choose how we want to serve our ads to our audience for any given campaign.",One feature that's rather annoying is the inability to have Choozle open in more than one tab at a time.,Social Media Manager,Marketing and Advertising,Used the software for: 2+ years
choozle,Absolute Frauds,It was great until we decided we didn't want to continue spending money on them.,Nick W.,4.0,"March 1, 2021",Targeting and number of options for various platforms,"Their billing system is an absolute black hole filled with fraudulent practices. There isn't an easy way to cancel a subscription, even though they require a CC on file to start using the product. When you need to cancel the subscription they require 14 steps and the involvement of support people to cancel the account. THEN, they keep your CC info and in spite of canceling the account, they continue to bill your card. Choozle uses predatory billing practices that are built around the same style as a gym membership. If you're just exploring and trying to find the best platform for you, test Choozle last.",Performance Marketing Manager,Marketing and Advertising,Used the software for: Less than 6 months
choozle,Terrible customer service,Terrible. A huge waste of time.,Verified Reviewer,2.0,"October 29, 2021",I liked the idea of the software - what they tell you about it.,"This company strung us along the onboarding process for months to end two days before a campaign launch to call us ""bad actors."" Terribly rude and inappropriate customer service and communication. I would never do business with this company or associate myself with them. I had previously used them working for a different company and had a mediocre experience. Their retargeting capabilities are useless, their platform is clunky, But to waste so much of our time and then call us names tops it off. Save yourself the trouble and just use AdCellerant. These are good people, kind of expensive but clearly a better option.",President,Marketing and Advertising,Used the software for: 1-2 years
choozle,Good alternative to access industry know DSP without the large entry point,,Verified Reviewer,3.0,"March 24, 2018",The plus side of Choozle is you have access to the inventory from The Trade Desk (which has an extremely high monthly min making it basically impossible for smaller companies to gain access). The sales person I worked with was really friendly and had great follow-up. The have much of the same functionality and reporting as other DSPs.,"Beyond the monthly fee to access (which most DSPs do not charge), there was a major discrepancy between what they reported for impressions and clicks and what the pixel reported. You expect to have some variation with reporting but this was over 60-70% discrepancy. The tech support wasn't very helpful to resolve issues.",Jedi Master,Used the software for: 1-2 years,
choozle,Choozle Review,"Overall, we are very happy with Choozle and it has helped our agency significantly build out our digital advertising opportunities for clients and has helped us grow much larger.",Harrison H.,4.0,"January 25, 2021",The built-in data tools and a wide variety of campaign types are great and make the software very versatile.,"More user control over advanced features would be great for larger campaigns. Also, easier attribution set up and more attribution options would be great.",Digital Marketing Specialist,Marketing and Advertising,Used the software for: 2+ years
choozle,Strong option when working with a limited budget,Overall very positive. Where features were lacking customer support was almost always able to step in and bridge the gap between what was possible in the application and what they could do their end.,Robert W.,4.0,"December 3, 2019",At a low entry point it allows for quick and speedy ad purchasing across all the major networks. Very flexible with the types of creative you can use.,Features and analytics are fairly limited. Things have progressed but there's still major work to be done to flesh out the product.,Producer,Entertainment,Used the software for: 1-2 years
choozle,Programmatic For Beginners,,Mike C.,5.0,"January 10, 2019",Friendly support/sales staff. Easy to set up and get going with a campaign going. Prices were reasonable.,Would like more in the form of data/analytics and transparency. Would try again though.,Digital Manager,Marketing and Advertising,Used the software for: Less than 6 months
