product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
dataddo,All the data sources you have always needed for your dashboards,"Dataddo helped us to include data from special tools that we use daily, in order to create dashboards merging all the metrics that we need to drive our decisions.",Ali K.,5.0,"September 4, 2020",Easy connexion to Data Vizualisation Softwares,The developments needed for a custom data source can be a little slow,Digital Manager,Sports,Used the software for: Less than 6 months
dataddo,Awesome Data Aggregation Tool!,"Dataddo enables us to easily bring data from all our data sources together so that we can create reports and dashboards that give us a holistic picture of our business. Dataddo saves us a ton of work and empowers us to easily extract the insights we need from our data spread out across our various CRMs, marketing channels, etc. In addition to the product serving our needs, the team has been attentive and has provided high quality support whenever we needed it. Overall, it's been a stellar experience working with Dataddo.",Verified Reviewer,5.0,"April 27, 2021",I have really enjoyed being able to combine my HubSpot data with my Google Analytics data to create Tableau dashboards.,"I had to contact support to add custom fields, but they were quick to respond so it was no big deal!",Co-founder & CTO,Construction,Used the software for: 6-12 months
dataddo,WARNING: Impossible to Cancel Subscription,,Verified Reviewer,1.0,"March 26, 2021",The pros are that I’ve learned Dataddo doesn’t following basic business ethics guidelines and I won’t have to waste money on them in the future.,Dataddo does NOT provide any functionality or customer supposed to cancel subscriptions. Our accounting team sent three cancelation requests via email and voicemails - all have been promptly ignored. The only way we can cancel is by disputing the charges and placing a block. Unethical practices that result in me highly discouraging anyone considering this solution.,CEO,Marketing and Advertising,Used the software for: 1-2 years
dataddo,Value for money,Value for money. It works good and It has been helped us to conmect different data sources.,Javier M.,4.0,"October 24, 2024","User-friendly, even with no technicl background you can easily use it","Time of response from Customer Service, sometime really slow.",People Ops Specialist,Information Technology and Services,Used the software for: 1-2 years
dataddo,Data Extraction made easy,"The tool was really simple to use and saved us a significant amount of internal labour. Because of the variety of its supported sources, we were able to employ a single platform for our diverse environment.",Verified Reviewer,5.0,"June 14, 2022","I've loved being able to blend HubSpot and Google Analytics data to build Tableau dashboards. I enjoy Dataddo's offering's agility as well as its competitive price in comparison to other market participants. Dataddo is constantly available to assist with customizing and resolving our API requirements, and their client-facing and account management teams are second to none.","Nothing comes to mind other than maybe improving the product knowledge base in terms of certain data kinds and measurement combinations. However, I feel that even a novice expert just getting started with data will quickly grasp the product.",Inside Sales Manager,Marketing and Advertising,Used the software for: I used a free trial
dataddo,The best data consolidation software on the market,It's time to stop wasting my valuable time as a marketer and get back to what I need to do. Now being able to save over 4 hrs worth of time consolidating data for my reporting has made my end of month a breeze and I owe it all to Dataddo.,Adam D.,5.0,"June 23, 2022","The ease of use, being able to simply extract our marketing data from our facebook reporting, our Google Analytics, LinkedIn and even salesforce was a MAJOR help and MAJOR time saver.","Not much, it did take a little while to learn everything but at it's heart it's a simple to use platform that any marketer looking to consolidate their data would be grateful for.",Social Media Manager,Marketing and Advertising,Used the software for: Less than 6 months
dataddo,Our almost 2 year adventure ,They allow us not to take care about external integration with multiple data sources,Kamil B.,4.0,"June 20, 2022",Easy to build - friendly GUI that allow quickly build full connector from the scratch to your endpoint with preview available,Almost from the beginning we are dealing with the issue about broken data connectors; manual restarts are necessary.,Senior Engineer,Media Production,Used the software for: 1-2 years
dataddo,Tailored service at a fraction of the cost,"The team over at Dataddo are always happy to help me and my clients achieve a fully customized experience and solution, they go above and beyond whenever I have a query or request, and the turn around times are second to none. I would hesitate to recommend them for all API requirements.",Jonathan G.,5.0,"April 28, 2021",I like the agility of the offering from Dataddo as well as the competitive pricing compared to other players on the market. Dataddo are always on hand to help customize and resolve are API requirements and their client facing and account management team are second to none.,"There can be some duplication in costings when pulling the same source of data which I have found is ineffective, but this is a small bug to bear.",Data & BI Architect,Information Technology and Services,Used the software for: 1-2 years
dataddo,Painless data management with Dataddo,"I really appreciate the team at Dataddo (and its pro-customer approach), whose members are quick to respond to any inquiries and are constantly coming up with ways of how to improve the product based on our suggestions.",Jan I.,5.0,"May 11, 2021","The Dataddo software is very easy to use and intuitive. Having relatively low technical knowledge when it comes to data management and infrastructure, Dataddo makes it really easy for me to prepare and combine various data sources when creating data visualizations in Tableau.",There is nothing I can think of other than potentially expanding the product knowledge base with respect to certain data types and metrics combinations. But I believe even a relatively little experienced professional only starting with data will get the hang of the product pretty fast.,Founder,Media Production,Used the software for: 6-12 months
dataddo,Very decent connector platform,,Bart N.,4.0,"June 15, 2022",Dataddo provides a quite extensive library of available platforms to connect to. Their prices for certain connectors are very competitive. Their developers have even helped create a few custom connectors for us!,"Some connectors can yield unexpected results and the new UI can sometimes crash (on a positive note, it's happening less often now).",Head of Analytics,Outsourcing/Offshoring,Used the software for: 6-12 months
