product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
nios4,Amaxing ,,Harley M.,5.0,"July 14, 2023",Amazing structure and accessibility amazing data anypsis,None it was overall outstanding I was amazed at how easy n how much u could do,Owner,Retail,Used the software for: 6-12 months
nios4,Facilita la gestione degli interventi manutentivi,Complessivamente mi trovo molto bene ecco perché è la terza volta che rinnovo la licenza,Mauro D.,5.0,"August 31, 2021",Semplicità nell'utilizzo Possibilità di avere personalizzazioni,Dover ricordarsi di sincronizzare ogni volta tutti i dispositivi,Titolare,Arts and Crafts,Used the software for: 1-2 years
nios4,Nios Review,,Rizah A.,4.0,"June 25, 2021","Great product, easy to use and very user friendly","Nothing comes to mind, but still learning to use it",Sales Rep,Electrical/Electronic Manufacturing,Used the software for: I used a free trial
nios4,Soddisfatto,,ALFREDO R.,5.0,"October 25, 2021","Personalizzazione, assistenza e facilità d'uso","La guida online poco chiara., avere un Cloud per l'invio delle fatture elettroniche scollegato Archismall",IDRAULICO,Construction,Used the software for: 2+ years
nios4,One of the best software management systems,This software is great for the price and is suitable for small to large businesses. The customizability means it can work with any business model.,Tieka V.,5.0,"July 1, 2021",This software is highly customizable to work in any company setting.,There are no negatives about this software,CEO,Information Technology and Services,Used the software for: 6-12 months
nios4,Dev Systems,Ottimo per gestioni di limitata complessita',Ercole D.,3.0,"September 22, 2021",Il prodotto e' facile da usare. Puo' essere facilmente personalizzato.,"A differenza dei dispositivi mobili, la versione desktop obbliga ad inserire la password ad ogni apertura",CEO,Information Technology and Services,Used the software for: 2+ years
nios4,Nios4 Review,I love being able to create apps to make my life easier and share those apps with my friends.,Frank J.,5.0,"August 12, 2021",I like the ability to create my own apps for a very low price.,There are no negatives with this software,Marketing,Computer Software,Used the software for: 6-12 months
nios4,Great Product,I use this software the make the apps I need to keep my work up to date.,Ilonka V.,5.0,"August 2, 2021",This software allows me to build apps that I use for admin purposes.,There are no negatives in this software.,Admin,"Health, Wellness and Fitness",Used the software for: Less than 6 months
nios4,No Code - No Problem,"In complesso mi permette una gestione del dato a mio piacimento, creando funzionalità ad hoc per le mie necessità!",Gaetano D.,5.0,"September 6, 2021",Il sistema è completamente personalizzabile,non si riesce a fare il caffè e tostare il pane,Sistemista,Information Services,Used the software for: Less than 6 months
nios4,Olbia,rapporti di intervento,Pasquale F.,4.0,"June 27, 2021",Abbastanza completo semplice da usare intuitivo,da migliorare da integrare con altre app,elettricista,Renewables & Environment,Used the software for: Less than 6 months
nios4,Gestisce ottimamente le varie necessita ,,Giancarlo P.,5.0,"October 25, 2021",Semplice da usare sia su telefono che su pc,Tutto sommato direi che inconenienti non ci siano,Commerciante,Publishing,Used the software for: Less than 6 months
nios4,DigitalDDC,Muy buena,alejandro V.,5.0,"June 23, 2021","Su facilidad de uso, y una experiencia agradable","En relativo el costo, aunque aun no he probado todas las opciones",SEO,Graphic Design,Used the software for: I used a free trial
