product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
northspyre,Trent Dev,We like the product and [SENSITIVE CONTENT] with Northspyre is a rock star!,Spencer T.,5.0,"December 2, 2021",I think it's a great tool to manage multiple projects and analyze a snapshot of our portfolio.,"I might not be aware of it, but it's challenging to project future costs. Uploading Change Order proposals and then the formal Change Order gets messy. If there was a way to manipulate future costs without having to enter in the COP, that would be awesome.",Development Manager,Real Estate,Used the software for: 6-12 months
northspyre,North American Properties,paper pushing/manual data entry,Amanda E.,4.0,"November 30, 2021",Invoice recognition and code recognition,No email alerts that invoices are ready to approve,Operations Manager,Construction,Used the software for: Less than 6 months
northspyre,I recommend Northspyre,I am satisfied with Northspyre and impressed with the services available with this software.,Carol C.,5.0,"December 5, 2021",Customer service is outstanding. Plus I like the overall visibility of projects.,I find it difficult to use until customer services helps. Then I find it very imformative.,Contract Administration,Construction,Used the software for: 2+ years
northspyre,Northspyre,The overall experience has been positive and I would recommend NS to other commercial RE developers,Michael B.,5.0,"December 6, 2021","The software is an excellent budget management tool for any real estate developer. It is an excellent tool to manage the draw process, track project budgets, and manage performance","While it is user friendly, it does take a little bit to get used to its interface.",VP Finance,Real Estate,Used the software for: 6-12 months
northspyre,Love this software!,This has been a gamechanger for our company. It has allowed us to expand and gives us the capacity to continue to scale. It has streamlined the approval process for our project invoices and allowed for clean and consistent tracking of project budgets and expenses.,Jessie S.,5.0,"November 23, 2021",Northspyre makes data processing efficient and effective. It eliminates all the messy manual work that companies can get caught up in.,The lien waiver function could use some revamping because there are hiccups when trying to attach lien waivers to invoices and tracking what you need to track.,Project Accountant,Real Estate,Used the software for: 6-12 months
northspyre,Highly organized and user friendly,,Clayton H.,5.0,"November 29, 2021",Highly organized and user friendly platform. The platform provides quality information that allows us to make critical decision at every phase of the project.,Payment processing on the platform could use a little more work for ease of use.,AVP Finance,Real Estate,Used the software for: 6-12 months
northspyre,"Customer Service, Interface, Ad-hoc Reports - Excellent!",Great! Customer service helps with the hang-ups / learning curve of finding where reports or discrepancies lie.,Kelly M.,5.0,"December 2, 2021","Customer service is excellent. The features are there, and the team is there to help guide you to where you want to be!","I would like to click on an amount and be able to drill-down from there, vs. going to ""invoice"" or ""vendor"" - sometimes the options appear ""grayed-out,"" when they are actually functioning and incredibly helpful links.",Controller,Real Estate,Used the software for: 6-12 months
northspyre,Northspyre Has Been Very Helpful in Honing Our Development Process,,Joseph Q.,4.0,"November 26, 2021",Cost accounting and tracking to keep us on track with expenses and bring attention to expenses that exceed or are close to exceeding expected amounts. Very much like the assembling of an internal library of historic costs and expenses. Extremely helpful for maintaining an accurate global view of expenses and commitments.,A more automated interaction with our accounting software would be helpful so that we are not adding work for our accounting team when integrating this software into our workflow.,Development Manager,Real Estate,Used the software for: 1-2 years
northspyre,Good Product,,Joseph Y.,5.0,"November 29, 2021",Our development team likes the ease of putting together draw packages. They also enjoy that Northspyre's team assists in coding and breaking out the GC invoices.,This is probably a question more for the development team. I typically just run reports and export to bill.com which I've had no major issues with.,Accountant,Real Estate,Used the software for: 1-2 years
northspyre,Northspyre Review,,Anita J.,4.0,"November 23, 2021",It's a relatively easy software to navigate and user friendly. I like that it's web based and users can log in from anywhere.,It would be nice to have a feature where i could upload all of our system vendors with our vendor codes and same for GL accounts and have it applied to all projects across the portfolio. I find it time consuming and frustrating at times when i go to upload a payable batch to our accounting software and find that the vendor codes and category (gl) codes are missing from the file and i have to go back to Northspyre and update them by project.,Property Accountant,Real Estate,Used the software for: 1-2 years
